DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,8.96,9.26,8.9,9.23,5405999,9.23
2012-01-04,9.15,9.5,9.14,9.45,4275729,9.45
2012-01-05,9.34,9.48,9.19,9.36,3487556,9.36
2012-01-06,9.13,9.25,9.1,9.16,3817800,9.16
2012-01-09,9.29,9.48,9.23,9.43,6329932,9.43
2012-01-10,9.69,9.85,9.39,9.44,6148262,9.44
2012-01-11,9.46,9.67,9.36,9.63,3311855,9.63
2012-01-12,9.83,9.96,9.58,9.93,4376614,9.93
2012-01-13,9.81,9.87,9.65,9.8,3536462,9.8
2012-01-17,9.99,10,9.71,9.76,3331924,9.76
2012-01-18,9.79,10.03,9.76,10.02,3596067,10.02
2012-01-19,10.1,10.22,10.05,10.18,3250859,10.18
2012-01-20,10.15,10.2,10.06,10.17,3813494,10.17
2012-01-23,10.22,10.32,10.15,10.25,3805351,10.25
2012-01-24,10.13,10.3,10.05,10.27,3066589,10.27
2012-01-25,10.2,10.5,10.08,10.48,4556498,10.48
2012-01-26,10.67,10.72,10.25,10.36,3297095,10.36
2012-01-27,10.25,10.47,10.18,10.43,3423771,10.43
2012-01-30,10.28,10.41,10.22,10.32,2650717,10.32
2012-01-31,10.43,10.44,10.1,10.16,3155998,10.16
2012-02-01,10.28,10.32,10.18,10.2,2579024,10.2
2012-02-02,10.35,10.47,10.27,10.42,3894600,10.42
2012-02-03,10.59,10.79,10.51,10.76,3453443,10.76
2012-02-06,10.66,10.76,10.6,10.74,2021662,10.74
2012-02-07,10.7,10.76,10.62,10.67,3492516,10.67
2012-02-08,10.76,10.92,10.61,10.67,3405138,10.67
2012-02-09,10.73,10.77,10.53,10.64,2128161,10.64
2012-02-10,10.44,10.44,10.22,10.29,3216311,10.29
2012-02-13,10.42,10.45,10.29,10.33,2757366,10.33
2012-02-14,10.26,10.27,10.1,10.21,2599223,10.21
2012-02-15,10.29,10.29,10.1,10.1,2930760,10.1
2012-02-16,10.1,10.3,10.03,10.28,2281696,10.28
2012-02-17,10.38,10.39,10.1,10.15,3071331,10.15
2012-02-21,10.26,10.5,10.21,10.41,5998674,10.41
2012-02-22,10.43,10.48,10.28,10.38,3329539,10.38
2012-02-23,10.39,10.48,10.31,10.46,2385052,10.46
2012-02-24,10.45,10.57,10.41,10.43,1830791,10.43
2012-02-27,10.39,10.4,10.26,10.32,2209158,10.32
2012-02-28,10.33,10.44,10.3,10.37,2094302,10.37
2012-02-29,10.38,10.49,10.15,10.17,3150635,10.17
2012-03-01,10.23,10.3,10.17,10.27,2748004,10.27
2012-03-02,10.25,10.32,10.18,10.24,2956217,10.24
2012-03-05,10.16,10.16,9.83,9.87,3479605,9.87
2012-03-06,9.64,9.67,9.46,9.47,4716672,9.47
2012-03-07,9.55,9.6,9.45,9.55,4028511,9.55
2012-03-08,9.69,9.83,9.58,9.77,2272779,9.77
2012-03-09,9.81,9.98,9.76,9.81,3202076,9.81
2012-03-12,9.82,9.96,9.81,9.87,3302219,9.87
2012-03-13,9.98,10.36,9.95,10.31,4400817,10.31
2012-03-14,10.34,10.38,10.21,10.28,3873422,10.28
2012-03-15,10.28,10.38,10.18,10.35,2842208,10.35
2012-03-16,10.4,10.61,10.38,10.54,7496462,10.54
2012-03-19,10.53,10.75,10.53,10.6,2687223,10.6
2012-03-20,10.45,10.5,10.28,10.44,2928292,10.44
2012-03-21,10.44,10.44,10.25,10.27,2123753,10.27
2012-03-22,10.14,10.19,9.95,10.02,4289774,10.02
2012-03-23,10,10.26,9.96,10.11,3088673,10.11
2012-03-26,10.26,10.3,10.13,10.22,2120959,10.22
2012-03-27,10.25,10.31,10.06,10.06,3012143,10.06
2012-03-28,10.04,10.05,9.79,9.83,3669159,9.83
2012-03-29,9.79,10.08,9.75,10.04,3689211,10.04
2012-03-30,10.14,10.15,9.98,10.02,3001721,10.02
2012-04-02,9.96,10.24,9.95,10.17,2684842,10.17
2012-04-03,10.13,10.16,9.97,10.06,3813726,10.06
2012-04-04,9.87,9.99,9.77,9.81,3253175,9.81
2012-04-05,9.78,9.89,9.59,9.63,2506081,9.63
2012-04-09,9.52,9.72,9.46,9.6,3476602,9.6
2012-04-10,9.61,9.64,9.31,9.31,3961464,9.31
2012-04-11,9.98,10.15,9.88,9.9,8536184,9.9
2012-04-12,9.99,10.24,9.96,10.17,4136031,10.17
2012-04-13,10.06,10.13,9.83,9.85,3230801,9.85
2012-04-16,9.93,9.95,9.73,9.86,3488071,9.86
2012-04-17,9.91,10.07,9.9,9.99,2226267,9.99
2012-04-18,9.93,10.07,9.9,9.95,3001970,9.95
2012-04-19,9.95,10.01,9.7,9.76,3300158,9.76
2012-04-20,9.85,9.92,9.67,9.7,3326647,9.7
2012-04-23,9.52,9.67,9.47,9.63,2305449,9.63
2012-04-24,9.63,9.76,9.6,9.66,1511551,9.66
2012-04-25,9.77,9.86,9.67,9.82,2691806,9.82
2012-04-26,9.78,9.89,9.72,9.86,1546066,9.86
2012-04-27,9.87,9.89,9.7,9.75,2565619,9.75
2012-04-30,9.71,9.78,9.64,9.73,2025400,9.73
2012-05-01,9.73,10.01,9.67,9.97,3105538,9.97
2012-05-02,9.87,9.88,9.69,9.73,2259635,9.73
2012-05-03,9.74,9.77,9.55,9.58,2009673,9.58
2012-05-04,9.5,9.51,9.34,9.37,2285647,9.37
2012-05-07,9.3,9.41,9.2,9.33,2413574,9.33
2012-05-08,9.24,9.27,9.03,9.21,2879523,9.21
2012-05-09,9.06,9.26,9,9.15,2748621,9.15
2012-05-10,9.24,9.25,9.04,9.1,2132615,9.1
2012-05-11,9,9.18,9,9.06,2248936,9.06
2012-05-14,9,9.08,8.92,8.92,2961324,8.92
2012-05-15,8.94,9.01,8.68,8.71,3034789,8.71
2012-05-16,8.74,8.87,8.48,8.49,3607295,8.49
2012-05-17,8.52,8.71,8.42,8.5,4189486,8.5
2012-05-18,8.56,8.68,8.38,8.43,4179679,8.43
2012-05-21,8.5,8.61,8.45,8.6,2007572,8.6
2012-05-22,8.62,8.72,8.41,8.49,3197804,8.49
2012-05-23,8.39,8.61,8.32,8.61,3086987,8.61
2012-05-24,8.61,8.64,8.43,8.63,2924005,8.63
2012-05-25,8.57,8.67,8.54,8.63,2249952,8.63
2012-05-29,8.8,8.92,8.75,8.89,3130296,8.89
2012-05-30,8.77,8.78,8.54,8.58,2249794,8.58
2012-05-31,8.58,8.62,8.39,8.55,2719561,8.55
2012-06-01,8.37,8.48,8.29,8.3,3233527,8.3
2012-06-04,8.28,8.39,8.21,8.39,3038742,8.39
2012-06-05,8.39,8.51,8.33,8.45,2061871,8.45
2012-06-06,8.56,8.67,8.54,8.62,3109729,8.62
2012-06-07,8.8,8.91,8.52,8.55,3207672,8.55
2012-06-08,8.47,8.53,8.36,8.52,2403167,8.52
2012-06-11,8.63,8.68,8.31,8.32,2775444,8.32
2012-06-12,8.36,8.52,8.34,8.52,3207319,8.52
2012-06-13,8.42,8.61,8.41,8.48,2533335,8.48
2012-06-14,8.48,8.66,8.42,8.65,2941011,8.65
2012-06-15,8.75,8.82,8.66,8.82,4606084,8.82
2012-06-18,8.76,8.76,8.62,8.69,2027787,8.69
2012-06-19,8.72,8.94,8.72,8.9,2828024,8.9
2012-06-20,8.89,9,8.83,8.92,3140840,8.92
2012-06-21,8.88,8.89,8.52,8.55,4029010,8.55
2012-06-22,8.58,8.66,8.5,8.62,7780313,8.62
2012-06-25,8.5,8.5,8.36,8.39,2974881,8.39
2012-06-26,8.41,8.5,8.32,8.39,3511806,8.39
2012-06-27,8.44,8.58,8.28,8.53,2732095,8.53
2012-06-28,8.41,8.52,8.35,8.51,2643038,8.51
2012-06-29,8.67,8.75,8.59,8.75,4707854,8.75
2012-07-02,8.75,8.77,8.59,8.63,3253772,8.63
2012-07-03,8.69,8.99,8.69,8.9,3214654,8.9
2012-07-05,8.9,9.06,8.84,8.92,3086514,8.92
2012-07-06,8.77,8.79,8.61,8.73,3911183,8.73
2012-07-09,8.66,8.77,8.57,8.76,4720876,8.76
2012-07-10,8.8,8.87,8.34,8.4,7799723,8.4
2012-07-11,8.36,8.42,8.3,8.35,5179608,8.35
2012-07-12,8.29,8.38,8.21,8.3,4570008,8.3
2012-07-13,8.35,8.43,8.28,8.42,2506964,8.42
2012-07-16,8.4,8.4,8.3,8.33,2138589,8.33
2012-07-17,8.37,8.39,8.22,8.28,4293596,8.28
2012-07-18,8.26,8.38,8.23,8.33,3146665,8.33
2012-07-19,8.34,8.44,8.33,8.37,3310994,8.37
2012-07-20,8.3,8.36,8.25,8.26,2429157,8.26
2012-07-23,8.14,8.14,8.02,8.14,2930631,8.14
2012-07-24,8.12,8.17,7.97,8.02,3346938,8.02
2012-07-25,8.05,8.13,8,8.02,3161681,8.02
2012-07-26,8.14,8.2,8.01,8.19,3250446,8.19
2012-07-27,8.23,8.52,8.16,8.45,3911809,8.45
2012-07-30,8.47,8.48,8.3,8.45,2335878,8.45
2012-07-31,8.44,8.52,8.41,8.47,2483108,8.47
2012-08-01,8.48,8.57,8.37,8.43,11750095,8.43
2012-08-02,8.32,8.41,8.1,8.18,2823934,8.18
2012-08-03,8.32,8.45,8.26,8.37,2189052,8.37
2012-08-06,8.39,8.56,8.39,8.5,2779627,8.5
2012-08-07,8.54,8.64,8.5,8.6,2397849,8.6
2012-08-08,8.56,8.8,8.52,8.8,3621897,8.8
2012-08-09,8.8,8.91,8.78,8.86,2468535,8.86
2012-08-10,8.74,8.98,8.68,8.98,2643511,8.98
2012-08-13,8.92,8.96,8.8,8.83,1767966,8.83
2012-08-14,8.92,8.92,8.64,8.69,1989857,8.69
2012-08-15,8.66,8.76,8.63,8.73,1326812,8.73
2012-08-16,8.71,8.83,8.7,8.77,1608486,8.77
2012-08-17,8.77,8.85,8.7,8.75,1702802,8.75
2012-08-20,8.75,8.83,8.7,8.8,1665612,8.8
2012-08-21,8.83,8.95,8.8,8.82,1927686,8.82
2012-08-22,8.76,8.87,8.68,8.87,2525885,8.87
2012-08-23,8.8,8.81,8.62,8.63,2104855,8.63
2012-08-24,8.62,8.68,8.55,8.63,1517644,8.63
2012-08-27,8.66,8.68,8.46,8.48,1702616,8.48
2012-08-28,8.46,8.57,8.46,8.5,1399580,8.5
2012-08-29,8.5,8.59,8.45,8.54,1758273,8.54
2012-08-30,8.46,8.5,8.39,8.44,1436577,8.44
2012-08-31,8.54,8.59,8.43,8.56,2231227,8.56
2012-09-04,8.55,8.56,8.41,8.42,1606900,8.42
2012-09-05,8.41,8.55,8.41,8.52,1935166,8.52
2012-09-06,8.62,8.8,8.61,8.76,2140603,8.76
2012-09-07,8.85,9.1,8.84,9.1,3933357,9.1
2012-09-10,9.1,9.3,9.03,9.05,3694217,9.05
2012-09-11,9.12,9.4,9.09,9.33,2716878,9.33
2012-09-12,9.45,9.46,9.19,9.35,2455382,9.35
2012-09-13,9.34,9.68,9.3,9.63,4151737,9.63
2012-09-14,9.8,9.93,9.78,9.84,4325268,9.84
2012-09-17,9.74,9.78,9.56,9.58,2733527,9.58
2012-09-18,9.44,9.6,9.33,9.49,2530216,9.49
2012-09-19,9.62,9.65,9.47,9.47,2039197,9.47
2012-09-20,9.4,9.4,9.18,9.25,3116620,9.25
2012-09-21,9.31,9.36,9.1,9.13,7470865,9.13
2012-09-24,9.04,9.13,9.02,9.06,2875416,9.06
2012-09-25,9.17,9.18,8.81,8.84,3602275,8.84
2012-09-26,8.78,8.971,8.65,8.89,4003369,8.89
2012-09-27,8.9,9.01,8.82,8.98,3211293,8.98
2012-09-28,8.9,8.94,8.84,8.85,2373668,8.85
2012-10-01,8.96,9.06,8.87,8.91,2125026,8.91
2012-10-02,8.96,8.99,8.8,8.85,1954864,8.85
2012-10-03,8.87,8.88,8.72,8.78,1988289,8.78
2012-10-04,8.83,9.1,8.81,9.07,3610074,9.07
2012-10-05,9.2,9.34,9.03,9.09,2847630,9.09
2012-10-08,9.02,9.21,9.01,9.12,1778602,9.12
2012-10-09,9.18,9.25,9.09,9.13,3666020,9.13
