DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-12-10,37,37,34.91,35,345652,35
2012-12-11,35.05,35.69,34.95,35.32,143774,35.32
2012-12-12,35.25,35.25,33.12,33.36,363717,33.36
2012-12-13,33.5,34.18,32.77,33.8,590816,33.8
2012-12-14,33.9,34.08,32.78,33,446561,33
2012-12-17,33.5,34.5,32.51,33.4,475077,33.4
2012-12-18,33.4,34.68,33,34.43,220786,34.43
2012-12-19,34.8,34.82,33.99,34.25,208901,34.25
2012-12-20,34.5,34.5,33.85,34.32,102402,34.32
2012-12-21,34.29,35.35,34.2,35.35,201525,35.35
2012-12-24,35.6,35.6,34.62,35.25,94037,35.25
2012-12-26,35.27,35.51,34.85,34.92,133772,34.92
2012-12-27,35.37,35.37,34.46,34.97,380361,34.97
2012-12-28,34.67,34.94,34.36,34.52,354120,34.52
2012-12-31,34.04,35.05,34.01,34.16,3268788,34.16
2013-01-02,34.4,35.4,34.12,35.12,2446119,35.12
2013-01-03,34.7,35,34.22,34.83,2136873,34.83
2013-01-04,34.66,34.89,34.25,34.39,1913473,34.39
2013-01-07,34.15,35.45,34.15,34.46,3087955,34.46
2013-01-08,34.29,34.63,33.36,33.71,2628645,33.71
2013-01-09,33.68,33.95,33.65,33.9,2374035,33.9
2013-01-10,33.33,34,33.33,34,2155371,34
2013-01-11,33.51,33.9,33.36,33.85,1405546,33.85
2013-01-14,34,34.25,33.8,34.09,2014786,34.09
2013-01-15,34,34.7,33.88,34.6,1884124,34.6
2013-01-16,34.47,35.54,34.45,35.54,1898572,35.54
2013-01-17,35.86,36.7,35.76,36.42,2676526,36.42
2013-01-18,36.66,37.32,36.04,37.32,10112163,37.32
2013-01-22,37.16,37.25,35.94,36.42,3385180,36.42
2013-01-23,36.9,37.84,36.51,37.8,2413223,37.8
2013-01-24,37.82,38.52,37.25,37.46,2351122,37.46
2013-01-25,37.46,37.84,36.65,37.6,1858180,37.6
2013-01-28,37.78,37.8,36.71,36.89,2230290,36.89
2013-01-29,36.71,37.45,36.25,37.31,2549095,37.31
2013-01-30,37.18,37.31,36.83,36.93,1310005,36.93
2013-01-31,36.84,36.93,36.27,36.69,2749355,36.69
2013-02-01,36.76,37.2,36.63,37.18,1496059,37.18
2013-02-04,36.8,37.3,36.68,37.28,2042021,37.28
2013-02-05,37.39,37.73,37.18,37.2,2264184,37.2
2013-02-06,37.02,37.27,36.86,37.14,1195669,37.14
2013-02-07,37.1,37.18,35.82,36.42,1696610,36.42
2013-02-08,36.27,36.42,35.84,36.25,1593608,36.25
2013-02-11,36.05,36.16,35.75,35.85,705495,35.85
2013-02-12,35.71,35.75,35.25,35.42,1020527,35.42
2013-02-13,35.36,35.56,35.15,35.27,1020561,35.27
2013-02-14,35.07,36.73,35.01,36.57,1216457,36.57
2013-02-15,37.59,37.8,37.17,37.58,3519932,37.58
2013-02-19,37.38,38.33,37.11,38.19,1753412,38.19
2013-02-20,38,39.12,37.81,38.61,1463261,38.61
2013-02-21,38.43,39.02,38.19,38.78,1320855,38.78
2013-02-22,38.75,38.8,38.14,38.46,1264174,38.46
2013-02-25,38.5,38.52,37.37,37.37,1159325,37.37
2013-02-26,37.6,37.6,36.96,37.09,1179526,37.09
2013-02-27,36.96,36.98,36.46,36.73,986950,36.73
2013-02-28,36.66,37.14,36.5,36.92,1758408,36.92
2013-03-01,36.76,38.06,36.57,37.81,1433799,37.81
2013-03-04,37.6,38.25,37.6,38.24,1237178,38.24
2013-03-05,38.49,38.49,37.3,37.51,1092949,37.51
2013-03-06,37.55,37.86,37.46,37.74,1051787,37.74
2013-03-07,37.65,38,37.45,37.49,1458470,37.49
2013-03-08,37.5,37.65,37.16,37.34,953724,37.34
2013-03-11,37.25,38.14,37.08,37.67,900438,37.67
2013-03-12,37.7,38.3,37.05,37.17,1168067,37.17
2013-03-13,37.2,37.57,37.05,37.17,760904,37.17
2013-03-14,37.33,37.58,36.87,37.56,1558098,37.56
2013-03-15,37.29,38.54,37.28,38.5,4784392,38.5
2013-03-18,38.07,38.49,38,38.16,1209907,38.16
2013-03-19,38.25,38.4,37.85,38.36,1205767,38.36
2013-03-20,38.57,39.19,38.42,39.06,1562744,39.06
2013-03-21,38.88,38.97,38.49,38.49,1080140,38.49
2013-03-22,38.57,38.97,38.3,38.97,859303,38.97
2013-03-25,39.03,39.52,38.94,39.32,1506296,39.32
2013-03-26,39.75,40.52,39.59,40.21,1373232,40.21
2013-03-27,39.98,40.29,39.66,40.15,1099028,40.15
2013-03-28,40.11,40.8,39.78,40.78,2264156,40.78
2013-04-01,39.99,41.14,39.99,41.12,1253045,41.12
2013-04-02,41.22,41.22,40.52,40.71,1099733,40.71
2013-04-03,40.7,41.45,40.36,40.57,977745,40.57
2013-04-04,40.69,41.77,40.69,41.6,1562968,41.6
2013-04-05,41.31,41.5,41.09,41.31,1058306,41.31
2013-04-08,41.25,41.86,41.18,41.77,1048023,41.77
2013-04-09,42,43.55,41.8,42.55,1919888,42.55
2013-04-10,42.6,43.77,42.5,43.62,1287759,43.62
2013-04-11,43.42,43.7,43.11,43.2,1281254,43.2
2013-04-12,42.97,43.29,42.63,43.09,1359898,43.09
2013-04-15,42.87,43.01,41.41,41.44,1917766,41.44
2013-04-16,41.65,42.53,41.14,42.45,1322180,42.45
2013-04-17,42.1,42.42,41.42,42.24,1080030,42.24
2013-04-18,42.37,42.64,41.91,42.32,934903,42.32
2013-04-19,42.51,42.57,42.23,42.39,3604791,42.39
2013-04-22,43,44.83,42.95,44.2,1256395,44.2
2013-04-23,44.54,46.32,44.43,45.14,1293716,45.14
2013-04-24,45.14,45.33,43.94,44.32,1267394,44.32
2013-04-25,44.55,44.69,43.76,44.24,933374,44.24
2013-04-26,45,46.31,44.75,45.84,2319206,45.84
2013-04-29,45.74,45.93,45.05,45.23,1617303,45.23
2013-04-30,45.05,46.22,45.05,46.05,1534664,46.05
2013-05-01,45.82,46.09,45.55,45.55,1287262,45.55
2013-05-02,45.6,45.68,43.86,43.99,1557175,43.99
2013-05-03,44.19,44.77,43.83,44.68,1052594,44.68
2013-05-06,44.23,44.9,44.16,44.59,881827,44.59
2013-05-07,44.62,45,44.43,44.91,613963,44.91
2013-05-08,44.93,44.99,43.4,43.49,1481969,43.49
2013-05-09,43.34,44.45,43.25,44.24,1044208,44.24
2013-05-10,44.29,45.01,44.29,45.01,992340,45.01
2013-05-13,44.39,44.71,44.27,44.54,729497,44.54
2013-05-14,44.64,45.52,44.54,45.35,1343829,45.35
2013-05-15,46,46.93,45.48,46.03,1571922,46.03
2013-05-16,46.26,46.9,46.01,46.21,877289,46.21
2013-05-17,45.95,47.33,45.93,47.17,1437075,47.17
2013-05-20,47.01,47.13,46.09,46.26,773542,46.26
2013-05-21,46.3,46.96,46.23,46.54,945167,46.54
2013-05-22,46.3,47.99,45.88,46.76,1251376,46.76
2013-05-23,46.02,46.94,46.02,46.59,916256,46.59
2013-05-24,46.25,46.43,45.32,45.44,1023364,45.44
2013-05-28,45.93,45.99,44.7,45.39,1246828,45.39
2013-05-29,44.8,45.15,43.79,43.88,1359446,43.88
2013-05-30,44.12,45.12,44.11,44.55,1508840,44.55
