DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,37.77,38.38,37.68,38.07,664185,38.07
2012-01-04,38.1,38.32,37.75,38.2,504309,38.2
2012-01-05,37.88,38.49,37.82,38.49,724660,38.49
2012-01-06,38.5,38.71,38.25,38.59,535748,38.59
2012-01-09,38.58,38.72,38.16,38.57,387796,38.57
2012-01-10,38.85,39.16,38.69,39.01,549000,39.01
2012-01-11,38.89,38.9,38.46,38.61,363345,38.61
2012-01-12,38.78,38.92,38.57,38.84,469991,38.84
2012-01-13,38.42,38.54,37.69,37.8,689108,37.8
2012-01-17,38.3,38.57,38.1,38.3,526089,38.3
2012-01-18,38.46,39.04,38.19,39.04,506967,39.04
2012-01-19,38.94,39.46,38.73,39.4,516075,39.4
2012-01-20,39.52,40.11,39.39,40.09,868572,40.09
2012-01-23,39.91,40.21,39.47,39.8,543343,39.8
2012-01-24,39.63,39.75,39.47,39.55,550257,39.55
2012-01-25,39.45,39.81,39.02,39.72,570426,39.72
2012-01-26,39.16,39.32,37.63,39,1319588,39
2012-01-27,38.91,39.65,38.56,38.98,725169,38.98
2012-01-30,39,39,38.56,38.82,896426,38.82
2012-01-31,39.07,39.67,38.87,38.97,694317,38.97
2012-02-01,39.29,39.9,39.13,39.82,588531,39.82
2012-02-02,39.6,39.79,38.93,39.34,640734,39.34
2012-02-03,39.55,39.72,39.08,39.23,725041,39.23
2012-02-06,39.1,39.31,38.85,38.98,588037,38.98
2012-02-07,38.85,38.97,38.46,38.87,579069,38.87
2012-02-08,38.97,39.51,38.75,39.35,452563,39.35
2012-02-09,39.33,39.33,38.95,38.97,367751,38.97
2012-02-10,38.85,38.88,38.38,38.6,421846,38.6
2012-02-13,37.84,38.05,36.91,37.21,1688147,37.21
2012-02-14,37.21,37.8,37.19,37.55,946887,37.55
2012-02-15,37.54,37.72,36.64,36.71,826208,36.71
2012-02-16,36.65,36.99,36.61,36.96,668453,36.96
2012-02-17,37.1,37.14,36.56,36.68,1131788,36.68
2012-02-21,36.7,36.76,36.11,36.19,661798,36.19
2012-02-22,36.28,36.84,36.22,36.8,1107047,36.8
2012-02-23,36.89,37.45,36.89,37.44,739187,37.44
2012-02-24,37.38,37.75,37.13,37.7,494707,37.7
2012-02-27,37.45,37.81,37.45,37.7,642145,37.7
2012-02-28,37.66,37.87,37.58,37.7,574849,37.7
2012-02-29,37.67,37.77,37.32,37.35,1037933,37.35
2012-03-01,37.34,37.61,37.22,37.3,620417,37.3
2012-03-02,37.22,37.29,36.56,36.59,503036,36.59
2012-03-05,36.47,36.87,36.46,36.55,614253,36.55
2012-03-06,36.36,36.8,36.2,36.28,821366,36.28
2012-03-07,36.4,36.9,36.31,36.85,567085,36.85
2012-03-08,37,37.5,36.91,37.45,831604,37.45
2012-03-09,37.41,37.94,37.38,37.86,963005,37.86
2012-03-12,37.79,38.05,37.7,37.74,520766,37.74
2012-03-13,37.98,38.1,37.65,38.02,589189,38.02
2012-03-14,37.88,38.51,37.82,38.24,843649,38.24
2012-03-15,38.24,38.25,37.81,37.91,487304,37.91
2012-03-16,38.19,38.54,38.1,38.32,1188573,38.32
2012-03-19,38.22,38.68,38.12,38.56,720479,38.56
2012-03-20,38.33,38.84,38.31,38.81,699956,38.81
2012-03-21,38.69,38.78,38.53,38.56,735460,38.56
2012-03-22,38.28,38.74,38.26,38.29,569618,38.29
2012-03-23,38.25,39.2,38.25,38.96,881030,38.96
2012-03-26,39.01,39.6,39.01,39.6,796182,39.6
2012-03-27,39.61,39.7,39.39,39.48,639796,39.48
2012-03-28,39.47,39.61,38.96,39.08,512266,39.08
2012-03-29,38.84,39.26,38.83,39.2,637575,39.2
2012-03-30,39.49,39.75,39.15,39.68,1059561,39.68
2012-04-02,39.7,39.74,39.04,39.19,664159,39.19
2012-04-03,39.13,39.22,38.47,38.68,752086,38.68
2012-04-04,38.48,38.79,38.31,38.49,619896,38.49
2012-04-05,38.28,38.54,38.21,38.22,595508,38.22
2012-04-09,37.87,38.7,37.65,38.44,654413,38.44
2012-04-10,38.46,38.85,38.26,38.39,1008935,38.39
2012-04-11,38.72,38.85,38.52,38.78,789700,38.78
2012-04-12,39.11,39.49,38.78,38.81,762557,38.81
2012-04-13,38.09,38.32,37.49,37.53,1046404,37.53
2012-04-16,37.54,37.73,37.39,37.48,830142,37.48
2012-04-17,37.7,38.37,37.6,38.22,684876,38.22
2012-04-18,38.03,38.09,37.42,37.45,816175,37.45
2012-04-19,37.58,37.74,37.24,37.48,837199,37.48
2012-04-20,37.76,37.9,37.52,37.75,783473,37.75
2012-04-23,36.52,37.67,36.52,37.49,830322,37.49
2012-04-24,37.42,37.71,37.26,37.5,697862,37.5
2012-04-25,37.7,38.16,37.51,37.85,620683,37.85
2012-04-26,37.87,37.87,36.87,36.97,1009652,36.97
2012-04-27,37.1,37.11,36.61,36.9,811180,36.9
2012-04-30,36.85,37.33,36.81,37.21,665846,37.21
2012-05-01,37.04,37.58,36.9,37.3,839358,37.3
2012-05-02,37.25,37.51,37.14,37.21,415472,37.21
2012-05-03,37.16,37.19,36.45,36.55,943005,36.55
2012-05-04,36.54,36.58,36.15,36.17,532462,36.17
2012-05-07,36.11,36.31,35.9,35.95,469351,35.95
2012-05-08,35.62,36.22,35.48,36.16,969369,36.16
2012-05-09,35.92,36.24,35.59,36.01,718346,36.01
2012-05-10,36.34,37.12,36.32,36.58,908139,36.58
2012-05-11,36.52,37.03,36.48,36.62,656923,36.62
2012-05-14,36.36,36.87,36.3,36.65,627197,36.65
2012-05-15,36.54,36.89,36.35,36.4,565531,36.4
