DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,27.0337,27.1964,26.8232,27.139,2193632,27.139
2012-01-04,27.139,27.1964,26.9046,27.0337,1763525,27.0337
2012-01-05,27.0337,27.0768,26.8854,26.9715,1339399,26.9715
2012-01-06,27.0194,27.029,26.6988,26.7275,1362627,26.7275
2012-01-09,26.7945,26.8136,26.5744,26.7227,1262830,26.7227
2012-01-10,26.8902,26.9237,26.7706,26.8471,1293197,26.8471
2012-01-11,26.598300000000002,26.627,26.3974,26.517,1375666,26.517
2012-01-12,26.694,26.7371,26.3734,26.3926,1786482,26.3926
2012-01-13,26.34,26.5744,26.3256,26.5218,1890412,26.5218
2012-01-17,26.7802,26.9046,26.651,26.6653,1551200,26.6653
2012-01-18,26.5553,26.6892,26.3878,26.4883,2177678,26.4883
2012-01-19,26.45,26.5218,26.34,26.5218,1134427,26.5218
2012-01-20,26.6175,26.6988,26.4213,26.6797,3340907,26.6797
2012-01-23,26.6797,26.6988,26.5409,26.6605,1134382,26.6605
2012-01-24,26.6797,26.7849,26.6557,26.7849,1775412,26.7849
2012-01-25,26.3447,26.5313,26.1534,26.4261,2198194,26.4261
2012-01-26,26.4979,26.4979,26.1916,26.2538,1575375,26.2538
2012-01-27,26.2873,26.4213,26.1773,26.3256,1765500,26.3256
2012-01-30,26.1055,26.1629,25.8711,26.0624,2507218,26.0624
2012-01-31,26.1964,26.1964,25.8184,25.9093,2433299,25.9093
2012-02-01,25.9572,26.0768,25.8567,25.962,2014990,25.962
2012-02-02,25.9763,26.1007,25.8232,26.0529,1805699,26.0529
2012-02-03,26.2203,26.383,26.1534,26.316,1961498,26.316
2012-02-06,26.1725,26.5313,26.1725,26.5026,2500306,26.5026
2012-02-07,26.4261,26.7227,26.4213,26.6557,1949091,26.6557
2012-02-08,26.6557,26.6701,26.5026,26.5888,1029405,26.5888
2012-02-09,26.5601,26.5935,26.316,26.4404,1488625,26.4404
2012-02-10,26.34,26.3878,26.2203,26.3687,1199086,26.3687
2012-02-13,26.3878,26.459600000000002,26.3639,26.3926,893572,26.3926
