DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,54,54.09,52.92,52.95,1054530,52.95
2012-01-04,52.74,53.13,52.55,52.93,1057756,52.93
2012-01-05,52.97,52.97,51.81,51.92,1698686,51.92
2012-01-06,51.91,52.15,51.47,51.83,1163842,51.83
2012-01-09,51.77,51.9,51.51,51.74,976328,51.74
2012-01-10,52.15,53.29,52.03,52.63,1434523,52.63
2012-01-11,52,53.85,51.99,53.67,1807147,53.67
2012-01-12,53.31,54.06,53.02,53.94,1497275,53.94
2012-01-13,53.82,54.02,52.43,53.25,1318931,53.25
2012-01-17,53.73,53.95,53.4,53.49,1358862,53.49
2012-01-18,53.69,55.3,53.46,54.95,1679197,54.95
2012-01-19,55.32,55.45,54.57,54.8,1437200,54.8
2012-01-20,54.98,56.61,54.9,55.81,2045604,55.81
2012-01-23,56.01,56.52,55.74,56.48,1281519,56.48
2012-01-24,56.28,56.77,55.68,56.63,1154674,56.63
2012-01-25,56.64,57.28,56.02,57.19,906869,57.19
2012-01-26,57.18,57.4,56.54,56.92,746668,56.92
2012-01-27,56.86,57.23,56.39,56.42,1052017,56.42
2012-01-30,56.07,57.09,55.88,57.06,799223,57.06
2012-01-31,57.31,57.8,57,57.34,1218744,57.34
2012-02-01,57.94,58.52,57.81,58.42,1273090,58.42
2012-02-02,58.55,58.58,57.76,57.77,758609,57.77
2012-02-03,58.26,58.6,58.23,58.31,653470,58.31
2012-02-06,57.72,58.25,57.6,57.66,1048915,57.66
2012-02-07,57.44,58.02,57.08,57.96,761393,57.96
2012-02-08,57.9,57.9,56.45,57.07,864098,57.07
2012-02-09,57.24,57.59,57.17,57.41,955037,57.41
2012-02-10,57.02,57.05,56.51,56.96,687531,56.96
2012-02-13,57.24,57.75,56.99,57.41,642878,57.41
2012-02-14,57.12,57.74,56.99,57.46,915939,57.46
2012-02-15,57.82,58.73,57.73,57.88,1091479,57.88
2012-02-16,58.1,58.52,57.7,58.45,565423,58.45
2012-02-17,58.8,58.98,58.15,58.43,882400,58.43
2012-02-21,58.68,58.82,57.95,58.14,809985,58.14
2012-02-22,57.9,58.64,57.71,58.53,1019521,58.53
2012-02-23,58.57,59.55,58.48,59.41,1098935,59.41
2012-02-24,59.55,60,59.44,59.65,775098,59.65
2012-02-27,59.2,59.91,59.14,59.66,609357,59.66
2012-02-28,59.83,59.83,59.11,59.76,551205,59.76
2012-02-29,59.76,59.82,59.43,59.54,784447,59.54
2012-03-01,59.81,59.9,59.46,59.68,820661,59.68
2012-03-02,59.61,59.7,59.13,59.6,488213,59.6
2012-03-05,59.65,61,59.58,60.88,1280382,60.88
2012-03-06,60.29,60.56,59.37,59.46,1311038,59.46
2012-03-07,59.61,59.9,59.07,59.61,786712,59.61
2012-03-08,60.09,60.5,59.82,60.27,508668,60.27
2012-03-09,60.53,61.12,60.32,60.86,677640,60.86
2012-03-12,60.93,61.22,60.45,61.15,835146,61.15
2012-03-13,61.31,62.43,61.2,62.41,1176486,62.41
2012-03-14,62.43,62.75,62.26,62.61,809163,62.61
2012-03-15,62.55,63.67,62.25,63.63,992172,63.63
2012-03-16,63.79,63.98,63.13,63.62,3571238,63.62
2012-03-19,63.34,63.67,63.11,63.41,742243,63.41
2012-03-20,63.09,63.24,62.67,63.08,706863,63.08
2012-03-21,63.54,64.26,63.39,63.75,898114,63.75
2012-03-22,63.17,63.61,62.71,63.52,946812,63.52
2012-03-23,64,64.9,63.2,64.88,1777342,64.88
2012-03-26,65,65.89,64.96,65.89,1178552,65.89
2012-03-27,64.8,65.5,64.7,65.46,1509605,65.46
2012-03-28,65.15,65.34,64.27,64.5,992346,64.5
2012-03-29,63.99,64.61,63.98,64.5,828624,64.5
2012-03-30,64.73,64.95,64.24,64.5,1213143,64.5
2012-04-02,64.63,65.65,64.54,65.49,1207493,65.49
2012-04-03,65.35,65.49,64.6,64.95,731906,64.95
2012-04-04,64.71,64.76,63.86,64.44,741036,64.44
2012-04-05,64.09,65.11,64,64.79,802067,64.79
2012-04-09,63.75,64.1,63.46,63.74,721250,63.74
2012-04-10,63.52,63.78,63,63.15,1193324,63.15
2012-04-11,63.03,63.99,62.9,63.62,984579,63.62
2012-04-12,63.72,64.22,63.49,64.13,948015,64.13
2012-04-13,63.54,63.54,62.41,62.55,1520535,62.55
2012-04-16,62.74,62.85,61.86,61.88,1243042,61.88
2012-04-17,62.59,64.3,62.5,64.18,1428634,64.18
2012-04-18,63.59,63.95,63.04,63.56,1063500,63.56
2012-04-19,63.59,63.7,62.61,63.05,1064807,63.05
2012-04-20,63.28,63.9,63.04,63.4,1374160,63.4
2012-04-23,62.68,63.15,62.27,63.03,1093032,63.03
2012-04-24,63.16,63.69,62.7,62.82,1215854,62.82
2012-04-25,63.43,64.15,63.23,64.06,929435,64.06
2012-04-26,64.02,64.66,63.92,64.34,867799,64.34
2012-04-27,64.69,65.2,64.43,65.02,1212595,65.02
2012-04-30,64.81,65.14,64.62,64.95,622433,64.95
2012-05-01,64.85,65.63,64.85,65,701842,65
2012-05-02,64.55,65.4,64.47,65.13,821689,65.13
2012-05-03,65.09,65.18,64.06,64.21,930475,64.21
2012-05-04,63.58,63.94,62.61,62.61,1137262,62.61
2012-05-07,61.03,61.37,60.08,60.22,1515706,60.22
2012-05-08,60.28,60.29,58.56,59.34,1842192,59.34
2012-05-09,58.72,59.72,58.33,59.22,1367298,59.22
2012-05-10,59.7,59.78,58.4,58.7,1395547,58.7
2012-05-11,58.42,59.25,58.08,58.61,1050849,58.61
2012-05-14,58.21,59.16,57.9,58.81,1422939,58.81
2012-05-15,58.68,60.07,58.58,58.93,1435558,58.93
2012-05-16,59.32,60.12,59.04,59.12,897073,59.12
2012-05-17,59.1,59.24,58.39,58.39,677008,58.39
2012-05-18,58.81,58.92,57.55,57.65,1787645,57.65
2012-05-21,57.89,59.17,57.67,59.07,1229950,59.07
2012-05-22,59.27,59.64,58.55,58.93,1020572,58.93
2012-05-23,58.46,59.13,58.01,58.91,1307128,58.91
2012-05-24,58.99,59.37,57.68,57.99,1732119,57.99
2012-05-25,58.09,58.26,57.42,57.44,1543945,57.44
2012-05-29,58.03,58.76,57.97,58.41,1323521,58.41
2012-05-30,58,58.06,57.59,57.72,1130535,57.72
2012-05-31,57.9,57.93,56.21,57.1,1842314,57.1
2012-06-01,56.14,56.33,54.94,55.28,1964587,55.28
2012-06-04,55.23,56.23,55.23,56.12,1010036,56.12
2012-06-05,55.7,56.96,55.69,56.74,1404257,56.74
2012-06-06,57.49,58.42,57.14,58.42,1294015,58.42
2012-06-07,59.21,59.25,58.68,58.86,803484,58.86
2012-06-08,58.59,58.87,58.03,58.53,696775,58.53
2012-06-11,58.98,59,57.19,57.23,943621,57.23
2012-06-12,57.51,57.84,57.13,57.35,1236786,57.35
2012-06-13,57.43,57.7,56.76,56.93,751226,56.93
2012-06-14,57.13,58.11,57,57.84,856221,57.84
2012-06-15,58.16,59.15,57.85,59.08,1727966,59.08
2012-06-18,58.7,59.13,58.5,58.88,597923,58.88
2012-06-19,59.36,60.32,59.35,59.83,793166,59.83
2012-06-20,60,60.1,59.07,59.59,816936,59.59
2012-06-21,59.58,59.82,56.56,56.66,1452590,56.66
2012-06-22,57.12,57.81,56.9,57.56,1154858,57.56
2012-06-25,56.85,56.89,56.19,56.45,853973,56.45
2012-06-26,56.51,57.03,56.12,56.45,799791,56.45
