DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,28.63,29,28.52,28.61,1747383,28.61
2012-01-04,28.5,28.58,28.04,28.28,1363332,28.28
2012-01-05,28.07,28.62,28.06,28.48,1036109,28.48
2012-01-06,28.37,28.79,28.14,28.75,1952379,28.75
2012-01-09,28.74,28.82,28.44,28.52,1317239,28.52
2012-01-10,28.61,29.34,28.61,29.2,1367134,29.2
2012-01-11,29.16,29.39,28.96,29.32,900911,29.32
2012-01-12,29.43,29.47,28.84,29.23,1233395,29.23
2012-01-13,29.11,29.18,28.46,28.97,1044102,28.97
2012-01-17,29.17,29.48,29,29.35,909701,29.35
2012-01-18,29.27,29.89,29.23,29.89,1362905,29.89
2012-01-19,29.91,30.28,29.9,30.24,1301595,30.24
2012-01-20,30.28,30.545,30.18,30.51,1474758,30.51
2012-01-23,30.33,30.78,29.98,30.23,1475218,30.23
2012-01-24,30.17,30.995,30.08,30.96,1396694,30.96
2012-01-25,30.59,31.4,30.52,31.34,1616561,31.34
2012-01-26,31.15,31.76,31,31.18,1210745,31.18
2012-01-27,30.5,31.21,30.39,31.05,1604554,31.05
2012-01-30,30.69,31.125,30.55,31,1569099,31
2012-01-31,31.18,31.25,30.85,30.95,1234488,30.95
2012-02-01,31.2,31.5,31.09,31.24,1338020,31.24
2012-02-02,31.24,31.68,31.21,31.285,1194530,31.285
2012-02-03,31.7,32.17,31.61,31.85,1397077,31.85
2012-02-06,31.61,32.34,31.52,31.855,1385545,31.855
2012-02-07,31.74,32.4,31.7,32.28,1032142,32.28
2012-02-08,32.2,32.39,31.93,32.1,1350699,32.1
2012-02-09,32.09,32.69,32.09,32.65,1651452,32.65
2012-02-10,32.28,32.46,32.08,32.21,870190,32.21
2012-02-13,32.42,32.64,32,32.35,1124062,32.35
2012-02-14,32.2,32.44,32.07,32.44,1528176,32.44
2012-02-15,32.49,32.64,32.35,32.46,1150159,32.46
2012-02-16,32.45,32.91,32.45,32.89,958026,32.89
2012-02-17,32.96,33.05,32.75,32.75,1594707,32.75
2012-02-21,32.74,33.06,32.475,32.54,1441180,32.54
2012-02-22,32.45,32.89,32.25,32.33,1599633,32.33
2012-02-23,32.21,33.005,32.1,32.97,1144714,32.97
2012-02-24,32.91,33.5,32.9,33.41,1012242,33.41
2012-02-27,33.18,33.49,33.09,33.27,1035794,33.27
2012-02-28,33.36,33.44,32.99,33.27,1197440,33.27
