DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-04-02,40.39,40.39,39.84,39.9,671626,39.9
2012-04-03,39.81,39.86,38.97,39.08,1482747,39.08
2012-04-04,38.73,38.79,38.29,38.69,921624,38.69
2012-04-05,38.48,38.83,38.47,38.79,708620,38.79
2012-04-09,38.23,38.3,37.88,38.04,766985,38.04
2012-04-10,37.95,38.22,37.52,37.61,772971,37.61
2012-04-11,37.97,38.28,37.87,37.93,604123,37.93
2012-04-12,38.07,38.97,37.88,38.83,782053,38.83
2012-04-13,38.75,38.88,38.04,38.04,637275,38.04
2012-04-16,38.22,38.52,37.85,37.93,619083,37.93
2012-04-17,38.21,38.75,38.11,38.64,747915,38.64
2012-04-18,38.46,38.52,38.07,38.39,640375,38.39
2012-04-19,38.4,38.84,38.02,38.28,916027,38.28
2012-04-20,38.39,38.44,37.75,37.81,1320107,37.81
2012-04-23,37.44,37.46,36.95,37.22,1089409,37.22
2012-04-24,37.49,37.77,37.28,37.46,982271,37.46
2012-04-25,37.9,37.94,37.36,37.83,750361,37.83
2012-04-26,37.78,38.565,37.78,38.38,554915,38.38
2012-04-27,38.54,39.1,38.34,38.97,831547,38.97
2012-04-30,38.91,39.03,38.79,38.98,753728,38.98
2012-05-01,39.15,39.31,38.86,39.04,498786,39.04
2012-05-02,38.8,39.08,38.66,38.99,432120,38.99
2012-05-03,38.93,39.11,38.12,38.2,586137,38.2
2012-05-04,38,38.12,37.39,37.5,542991,37.5
2012-05-07,37.53,37.64,37.2,37.44,408712,37.44
2012-05-08,37.12,37.57,36.7,37.45,648023,37.45
2012-05-09,36.62,37.26,36.29,37.09,1322993,37.09
2012-05-10,37.37,37.37,36.56,37.13,1023636,37.13
2012-05-11,37.03,37.72,36.92,37.33,420837,37.33
2012-05-14,37,37.31,36.76,37.19,460213,37.19
2012-05-15,37.19,37.36,36.58,36.9,760953,36.9
2012-05-16,37.1,37.13,36.24,36.35,1171941,36.35
2012-05-17,36.51,36.51,35.66,35.68,797765,35.68
2012-05-18,35.82,35.82,35,35.09,1038975,35.09
2012-05-21,35.06,35.94,35.06,35.87,504585,35.87
2012-05-22,35.96,36.04,35.54,35.8,771992,35.8
2012-05-23,34.25,35.76,34.25,35.68,1219180,35.68
2012-05-24,35.79,36.16,35.3,36,1006818,36
2012-05-25,35.91,36.38,35.78,36.19,592825,36.19
2012-05-29,36.56,36.92,36.37,36.9,661203,36.9
