DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,29.2,29.31,28.88,28.89,1371514,28.89
2012-01-04,28.97,29.43,28.87,29.37,1083014,29.37
2012-01-05,29.14,29.44,28.91,29.24,985716,29.24
2012-01-06,29.21,29.3,28.93,29.07,782379,29.07
2012-01-09,29.1,29.21,28.86,28.93,1172367,28.93
2012-01-10,29.1,29.14,28.62,28.78,1636596,28.78
2012-01-11,28.67,29.17,28.6,28.93,1300081,28.93
2012-01-12,28.93,29.21,28.7,29.14,857246,29.14
2012-01-13,28.97,29.23,28.72,29.17,1242181,29.17
2012-01-17,29.51,29.52,28.76,28.78,1638754,28.78
2012-01-18,28.75,29.25,28.47,29.22,983352,29.22
2012-01-19,29.25,29.49,29.21,29.42,1034605,29.42
2012-01-20,29.42,30.15,29.21,30.04,2167574,30.04
2012-01-23,30.02,30.09,29.7,29.89,985681,29.89
2012-01-24,29.73,29.92,29.66,29.82,905916,29.82
2012-01-25,29.62,30.18,29.5,30.08,953171,30.08
2012-01-26,30.23,30.34,29.67,29.84,913654,29.84
2012-01-27,29.8,30,29.55,29.82,932812,29.82
2012-01-30,29.57,29.96,29.33,29.71,1057030,29.71
2012-01-31,28.96,29.12,28.12,28.63,3517758,28.63
2012-02-01,29.21,29.51,28.9,29.19,2072339,29.19
2012-02-02,29.38,29.43,28.81,29.17,1375113,29.17
2012-02-03,29.44,29.58,29.23,29.55,1499322,29.55
2012-02-06,29.35,29.61,29.29,29.6,1208041,29.6
2012-02-07,29.58,29.89,29.5,29.8,1356938,29.8
2012-02-08,29.95,30.54,29.87,30.42,1602727,30.42
2012-02-09,30.49,31.09,30.36,30.75,2029582,30.75
2012-02-10,30.24,30.73,30.21,30.57,1200934,30.57
2012-02-13,30.74,31.06,30.56,30.93,1321209,30.93
2012-02-14,30.65,31.22,30.59,31.15,1767672,31.15
2012-02-15,31.3,31.53,30.97,31.04,1145239,31.04
2012-02-16,31.16,31.45,31.05,31.23,1156127,31.23
2012-02-17,31.48,31.5,31.08,31.35,1347985,31.35
2012-02-21,31.35,31.53,31.17,31.37,1269356,31.37
2012-02-22,31.24,31.63,31.24,31.55,1160217,31.55
2012-02-23,31.56,31.83,31.5,31.74,1076274,31.74
2012-02-24,31.81,32.05,31.72,31.96,1041726,31.96
2012-02-27,31.8,31.82,31.49,31.71,945456,31.71
