DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-09-17,36.5,39,35.76,38.15,473886,38.15
2012-09-18,38.45,38.45,36.62,37.13,488718,37.13
2012-09-19,37.25,37.98,37.15,37.67,676154,37.67
2012-09-20,37.43,37.74,37.01,37.6,620771,37.6
2012-09-21,37.63,38,37.52,37.9,1327078,37.9
2012-09-24,37.55,37.81,37.06,37.58,368605,37.58
2012-09-25,38.04,38.04,36.2,36.45,784840,36.45
2012-09-26,36.06,36.44,35.27,35.49,657243,35.49
2012-09-27,35.98,36.1,34.72,35.9,713093,35.9
2012-09-28,36.48,36.48,35.43,36,1090388,36
2012-10-01,36,37.27,35.44,37.27,3837624,37.27
2012-10-02,36.57,38.54,36.57,38.33,2193237,38.33
2012-10-03,38.75,40.35,38.64,39.09,1217566,39.09
2012-10-04,39.09,39.36,38.4,38.57,614992,38.57
2012-10-05,38.7,38.99,37,38.24,1444704,38.24
2012-10-08,37.55,38.53,37,38.23,903992,38.23
2012-10-09,38.09,38.56,37.24,37.5,843771,37.5
2012-10-10,37.17,37.64,36.73,37.06,786258,37.06
2012-10-11,37,37.21,35.75,36.45,966431,36.45
2012-10-12,36.23,36.5,35.98,36.48,748889,36.48
2012-10-15,35.49,36.58,35.38,36.55,625369,36.55
2012-10-16,36.55,37.99,36.55,37.84,741745,37.84
2012-10-17,37.85,39,37.85,38.82,648687,38.82
2012-10-18,38.6,39,38.19,38.56,714999,38.56
2012-10-19,38.81,39.1,38.22,38.8,542536,38.8
2012-10-22,38.6,38.96,38.44,38.9,431186,38.9
2012-10-23,38.16,38.61,37.95,38.09,409115,38.09
2012-10-24,38.15,38.57,37.56,38.32,387080,38.32
2012-10-25,40.1,42.42,40.1,41.16,1100825,41.16
2012-10-26,40.98,42.56,40.92,41.86,565297,41.86
2012-10-31,41.76,42,40.77,41.51,671332,41.51
2012-11-01,41.51,41.69,40.97,41.28,478719,41.28
2012-11-02,42.69,43,41.35,41.5,462665,41.5
2012-11-05,41.5,42.51,41.29,41.88,329077,41.88
2012-11-06,42.68,42.79,41.66,41.72,284721,41.72
2012-11-07,41.6,41.83,40.85,40.98,408399,40.98
2012-11-08,40.98,42.34,40.39,41.76,433141,41.76
2012-11-09,42.09,43.33,41.88,43.06,737296,43.06
2012-11-12,42.99,43.37,42.85,42.85,21995,42.85
2012-11-13,42.5,43.19,42.42,42.83,222356,42.83
2012-11-14,42.77,42.77,41.39,41.51,288994,41.51
2012-11-15,41.5,41.93,40.99,41.4,529423,41.4
2012-11-16,41.5,41.64,40.95,41.03,601060,41.03
2012-11-19,41.84,42.26,41.2,41.74,407423,41.74
2012-11-20,41.79,42.34,41.7,42.25,277873,42.25
2012-11-21,42.3,42.7,42.11,42.66,195452,42.66
2012-11-23,42.73,42.86,42.43,42.86,99424,42.86
2012-11-26,42.65,43.23,42.65,43.1,354185,43.1
2012-11-27,45,45,43.54,43.57,901664,43.57
2012-11-28,43.14,44.26,42.71,44.15,440766,44.15
2012-11-29,44.3,45.21,44.17,44.79,246222,44.79
2012-11-30,44.83,45.98,44.73,45.9,719228,45.9
2012-12-03,45.81,45.84,44.28,44.72,323405,44.72
2012-12-04,44.62,44.98,43.95,44,276266,44
2012-12-05,44.04,44.28,43.75,44.07,194995,44.07
2012-12-06,43.83,44.16,43.25,43.88,226264,43.88
2012-12-07,44,45.94,44,45.55,426904,45.55
2012-12-10,45.56,45.88,45.08,45.25,265811,45.25
2012-12-11,45.52,45.59,44.86,45.03,228311,45.03
2012-12-12,45.27,45.63,44.86,45.22,204028,45.22
2012-12-13,44.89,45.52,44.63,45,239258,45
2012-12-14,45,46.09,44.7,45.9,579800,45.9
2012-12-17,45.97,46.68,45.48,46.33,511072,46.33
2012-12-18,46.33,47,45.33,45.73,674461,45.73
2012-12-19,45.62,45.62,44.85,44.96,313599,44.96
2012-12-20,44.99,45.72,44.71,45.37,327877,45.37
2012-12-21,45.05,45.09,44.35,44.73,1035493,44.73
2012-12-24,44.61,45.42,44.46,45.12,100975,45.12
2012-12-26,45.07,45.17,44.28,45.06,199419,45.06
2012-12-27,45.33,46.48,45.29,46.23,380937,46.23
2012-12-28,45.74,46.28,45.25,45.35,266785,45.35
2012-12-31,45.04,46.64,44.93,46.49,382025,46.49
2013-01-02,47.09,47.29,45.94,46.02,357780,46.02
2013-01-03,46.62,46.62,45.54,46.11,398810,46.11
2013-01-04,46.23,46.8,45.88,46.75,320878,46.75
2013-01-07,46.26,47.15,46.25,46.66,251792,46.66
2013-01-08,47.21,47.5,45.84,46.47,423082,46.47
2013-01-09,46.59,46.69,45.65,46,313377,46
2013-01-10,46.34,46.65,45.74,46.5,468493,46.5
