DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,41.91,41.91,40.68,40.77,1329383,40.77
2012-01-04,40.77,41.05,40.77,40.9,1076544,40.9
2012-01-05,40.9,41.09,40.67,40.95,970284,40.95
2012-01-06,40.95,40.99,40.74,40.79,767041,40.79
2012-01-09,40.91,41.03,40.75,40.98,830416,40.98
2012-01-10,41.29,41.48,41.17,41.26,981684,41.26
2012-01-11,41.25,41.27,41.11,41.23,712665,41.23
2012-01-12,41.33,41.45,41.11,41.35,561888,41.35
2012-01-13,41.23,41.37,41.03,41.37,771065,41.37
2012-01-17,41.55,41.77,41.2,41.43,907814,41.43
2012-01-18,41.43,41.64,41.27,41.54,644729,41.54
2012-01-19,41.55,41.62,41.01,41.1,846875,41.1
2012-01-20,41.17,41.22,40.83,41.01,1113525,41.01
2012-01-23,41,41.24,40.61,40.8,1144476,40.8
2012-01-24,40.6,40.74,40.42,40.67,751068,40.67
2012-01-25,40.55,41.44,40.28,41.38,934841,41.38
2012-01-26,41.05,41.53,41.01,41.28,1174715,41.28
2012-01-27,40.84,40.88,39.93,39.95,1699123,39.95
2012-01-30,39.92,39.92,39.24,39.46,1258267,39.46
2012-01-31,39.66,39.66,39.25,39.56,1547171,39.56
2012-02-01,39.78,39.97,39.37,39.4,1554433,39.4
2012-02-02,39.54,39.69,39.22,39.57,1049816,39.57
2012-02-03,39.88,39.93,39.39,39.58,830192,39.58
2012-02-06,39.57,39.65,39.38,39.61,726543,39.61
2012-02-07,39.46,40.01,39.37,39.88,763677,39.88
2012-02-08,39.39,39.59,39.09,39.31,958388,39.31
2012-02-09,39.42,39.47,39.17,39.37,712451,39.37
2012-02-10,39.43,39.57,38.9,39.3,1100753,39.3
2012-02-13,39.66,39.84,39.51,39.71,1020164,39.71
2012-02-14,39.68,39.84,39.5,39.84,930510,39.84
2012-02-15,39.84,39.94,39.39,39.6,907308,39.6
2012-02-16,39.6,40.2,39.6,39.91,825853,39.91
2012-02-17,40.07,40.07,39.66,39.73,880372,39.73
2012-02-21,39.95,40.11,39.76,39.87,640371,39.87
2012-02-22,39.93,40.1,39.65,39.84,481011,39.84
2012-02-23,39.9,39.9,37.66,37.91,4091796,37.91
2012-02-24,37.69,38.06,37.66,37.73,1426401,37.73
2012-02-27,37.73,38.32,37.51,38.23,1560366,38.23
2012-02-28,38.23,38.24,37.88,37.96,924875,37.96
2012-02-29,37.74,37.86,37.49,37.61,1505251,37.61
2012-03-01,37.64,37.92,37.46,37.73,922252,37.73
2012-03-02,37.63,38.02,37.6,37.96,847984,37.96
2012-03-05,37.87,38.27,37.75,38.26,772382,38.26
2012-03-06,38.07,38.26,37.87,38.19,1158873,38.19
2012-03-07,38.21,38.46,37.83,38.23,1610974,38.23
2012-03-08,38.4,38.42,38.11,38.19,666028,38.19
2012-03-09,38.31,38.31,38.02,38.21,675258,38.21
2012-03-12,38.29,38.8,38.22,38.68,816099,38.68
2012-03-13,38.75,39.22,38.68,39.05,1140927,39.05
2012-03-14,38.97,39.05,38.21,38.3,1062257,38.3
2012-03-15,38.25,38.6,38.22,38.41,1139541,38.41
2012-03-16,38.31,38.75,38.27,38.73,1795870,38.73
2012-03-19,38.65,38.77,38.4,38.41,606421,38.41
2012-03-20,38.37,38.55,38.2,38.44,701096,38.44
2012-03-21,38.45,38.52,38.11,38.23,833899,38.23
2012-03-22,38.36,38.37,38.08,38.3,729094,38.3
2012-03-23,38.2,38.53,38.2,38.48,669314,38.48
2012-03-26,38.6,38.72,38.26,38.49,634773,38.49
2012-03-27,38.59,38.71,38.49,38.65,480439,38.65
2012-03-28,38.58,38.65,38.06,38.17,667507,38.17
2012-03-29,38.03,38.29,37.91,38.28,818232,38.28
2012-03-30,38.32,38.58,38.27,38.58,1042335,38.58
2012-04-02,38.6,38.95,38.5,38.88,870595,38.88
2012-04-03,38.8,38.81,38.45,38.78,908151,38.78
2012-04-04,38.5,38.76,38.3,38.58,731070,38.58
2012-04-05,38.41,38.47,37.97,37.99,803606,37.99
2012-04-09,37.93,37.93,37.7,37.81,911587,37.81
2012-04-10,37.6,37.64,36.98,37.22,1126695,37.22
2012-04-11,37.48,37.55,37.24,37.27,782717,37.27
2012-04-12,37.25,37.42,37.1,37.37,751332,37.37
2012-04-13,37.29,37.71,37.25,37.31,770801,37.31
2012-04-16,37.44,37.88,37.34,37.76,743938,37.76
2012-04-17,37.82,38.04,37.57,37.99,693702,37.99
2012-04-18,37.77,38.15,37.76,38,628697,38
2012-04-19,37.93,38.02,37.69,37.89,674929,37.89
2012-04-20,38.12,38.33,37.74,38.33,1097281,38.33
2012-04-23,38.13,38.18,37.98,38.05,621285,38.05
2012-04-24,38.18,38.35,38.08,38.27,693064,38.27
2012-04-25,38.29,38.5,38.18,38.49,811524,38.49
2012-04-26,38.47,38.62,38.3,38.61,579668,38.61
2012-04-27,38.64,38.79,38.54,38.7,760393,38.7
2012-04-30,38.68,38.88,38.52,38.84,745730,38.84
2012-05-01,38.91,39.07,38.73,38.88,756762,38.88
2012-05-02,38.87,38.92,38.62,38.8,665801,38.8
2012-05-03,38.75,38.97,38.51,38.55,742637,38.55
2012-05-04,38.5,38.84,38.46,38.58,677898,38.58
2012-05-07,38.5,38.69,38.45,38.52,691186,38.52
2012-05-08,37.96,38.31,37.96,38.12,751864,38.12
2012-05-09,37.92,38.4,37.92,38.22,767559,38.22
2012-05-10,38.4,38.57,38.32,38.36,544541,38.36
2012-05-11,38.31,38.68,38.21,38.45,869636,38.45
2012-05-14,38.23,38.39,38.06,38.26,593473,38.26
2012-05-15,38.15,38.16,37.55,37.62,1000257,37.62
2012-05-16,37.7,37.75,37.46,37.6,624023,37.6
2012-05-17,37.65,37.72,37.43,37.43,519109,37.43
2012-05-18,37.64,37.8,37.51,37.75,1388612,37.75
2012-05-21,37.75,37.88,37.62,37.83,742672,37.83
2012-05-22,37.9,38.15,37.78,38.06,747073,38.06
2012-05-23,38.04,38.22,37.68,37.79,627542,37.79
2012-05-24,37.77,38.12,37.7,37.98,495461,37.98
2012-05-25,38.02,38.35,37.97,38.23,533716,38.23
2012-05-29,38.36,38.47,38.27,38.47,559235,38.47
2012-05-30,38.47,38.67,38.15,38.2,687805,38.2
2012-05-31,38.21,38.69,38.2,38.51,874492,38.51
2012-06-01,38.24,38.67,38.22,38.39,750135,38.39
2012-06-04,38.47,38.47,38.28,38.42,713059,38.42
2012-06-05,38.37,39.07,38.27,38.92,699409,38.92
2012-06-06,39.09,39.5,38.92,39.48,758241,39.48
2012-06-07,39.6,39.63,39.42,39.48,748649,39.48
2012-06-08,39.6,39.74,39.37,39.72,507112,39.72
2012-06-11,39.87,39.99,39.55,39.57,628464,39.57
2012-06-12,39.57,39.74,39.39,39.73,506657,39.73
2012-06-13,39.62,39.84,39.4,39.71,431538,39.71
2012-06-14,39.75,39.92,39.58,39.84,578363,39.84
2012-06-15,40,40.15,39.77,39.94,1728351,39.94
2012-06-18,39.94,40.15,39.91,40.07,412035,40.07
2012-06-19,40.23,40.46,39.95,40.02,676754,40.02
2012-06-20,39.98,40.02,39.52,39.64,573129,39.64
2012-06-21,39.75,39.87,39.09,39.1,715349,39.1
2012-06-22,39.3,39.39,39.18,39.25,629057,39.25
2012-06-25,39.02,39.25,39.02,39.17,510931,39.17
2012-06-26,39.25,39.58,39.23,39.39,390638,39.39
2012-06-27,39.53,39.85,39.46,39.73,402187,39.73
2012-06-28,39.58,39.94,39.49,39.93,495311,39.93
2012-06-29,40.2,40.21,39.72,39.9,1112501,39.9
2012-07-02,39.92,40.42,39.62,40.42,1129267,40.42
2012-07-03,40.79,41.16,40.69,41.01,847792,41.01
2012-07-05,40.99,41.2,40.78,41.04,941202,41.04
2012-07-06,40.79,41.04,40.59,40.96,753984,40.96
2012-07-09,40.89,41.04,40.65,40.88,585056,40.88
2012-07-10,41,41.23,40.96,41.03,593485,41.03
2012-07-11,41.09,41.17,40.88,41.11,671119,41.11
2012-07-12,40.99,41.44,40.95,41.34,564300,41.34
2012-07-13,41.44,41.7,41.36,41.69,512107,41.69
2012-07-16,41.59,41.86,41.59,41.86,631779,41.86
2012-07-17,41.9,41.99,41.44,41.91,561403,41.91
2012-07-18,41.9,41.96,41.65,41.91,511478,41.91
2012-07-19,41.87,42,41.62,42,634972,42
2012-07-20,41.86,42.21,41.66,41.93,974160,41.93
2012-07-23,41.81,42.03,41.56,41.69,611426,41.69
2012-07-24,41.72,41.87,41.22,41.44,810572,41.44
2012-07-25,41.57,41.69,41.2,41.22,774474,41.22
2012-07-26,41.61,42.06,41.5,41.95,635215,41.95
2012-07-27,42.2,42.5,42.02,42.42,771059,42.42
2012-07-30,42.32,42.7,42.2,42.57,465934,42.57
2012-07-31,42.65,42.71,42.23,42.24,723363,42.24
2012-08-01,42.38,43.07,42.13,42.18,701344,42.18
2012-08-02,42.05,42.05,41.52,41.82,667321,41.82
2012-08-03,42.26,42.41,42.03,42.34,599591,42.34
2012-08-06,42.46,42.65,42.34,42.39,471698,42.39
