DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,11.9,12.2,11.9,12.12,1656523,12.12
2012-01-04,12.07,12.19,12.01,12.03,866598,12.03
2012-01-05,12.02,12.37,11.9,12.32,2103763,12.32
2012-01-06,12.28,12.38,12.15,12.23,1512442,12.23
2012-01-09,12.23,12.51,12.17,12.47,1467508,12.47
2012-01-10,12.6,12.76,12.58,12.7,1856521,12.7
2012-01-11,12.68,12.7,12.54,12.66,702867,12.66
2012-01-12,12.71,12.74,12.49,12.55,1272152,12.55
2012-01-13,12.47,12.67,12.43,12.65,1266381,12.65
2012-01-17,12.8,12.9,12.69,12.88,1522387,12.88
2012-01-18,12.83,12.9,12.74,12.79,1010519,12.79
2012-01-19,12.84,12.94,12.75,12.92,874245,12.92
2012-01-20,12.95,13.06,12.84,13.06,1232603,13.06
2012-01-23,13.04,13.13,12.86,12.94,1233871,12.94
2012-01-24,12.87,12.91,12.71,12.74,998310,12.74
2012-01-25,12.68,13.13,12.66,13.11,1309196,13.11
2012-01-26,13.15,13.15,12.87,12.94,1220970,12.94
2012-01-27,12.9,12.98,12.79,12.81,1263814,12.81
2012-01-30,12.73,12.79,12.63,12.75,825000,12.75
2012-01-31,12.87,12.87,12.57,12.76,1122345,12.76
2012-02-01,12.84,13.05,12.83,12.96,966721,12.96
2012-02-02,12.97,13.06,12.93,13.01,507249,13.01
2012-02-03,13.11,13.15,12.9,12.92,1001273,12.92
2012-02-06,12.87,12.9,12.75,12.78,725733,12.78
2012-02-07,12.7,12.94,12.69,12.88,828643,12.88
2012-02-08,12.88,12.97,12.83,12.94,697605,12.94
2012-02-09,13,13.08,12.86,12.98,576853,12.98
2012-02-10,12.88,12.92,12.8,12.88,557934,12.88
2012-02-13,13.09,13.37,13.07,13.12,922868,13.12
2012-02-14,13.1,13.48,13.05,13.48,1217742,13.48
2012-02-15,13.5,13.55,13.39,13.43,1083573,13.43
2012-02-16,13.47,13.84,13.42,13.78,1062926,13.78
2012-02-17,13.85,13.85,13.53,13.7,1409756,13.7
2012-02-21,13.71,13.8,13.61,13.78,814982,13.78
2012-02-22,13.79,13.83,13.66,13.82,744023,13.82
2012-02-23,13.82,14.01,13.63,13.77,1058221,13.77
2012-02-24,13.75,13.88,13.63,13.8,944864,13.8
2012-02-27,13.76,13.82,13.42,13.7,1336129,13.7
2012-02-28,13.74,13.75,13.4,13.44,856171,13.44
2012-02-29,13.55,13.59,13.31,13.56,1734728,13.56
2012-03-01,13.48,13.71,13.45,13.53,865611,13.53
2012-03-02,13.51,13.62,13.39,13.49,536715,13.49
2012-03-05,13.41,13.47,13.25,13.38,825965,13.38
2012-03-06,13.27,13.27,12.92,12.98,1489041,12.98
2012-03-07,12.98,13.1,12.88,13.02,925421,13.02
2012-03-08,13.15,13.29,13.1,13.18,1184191,13.18
2012-03-09,13.2,13.33,13.17,13.19,729399,13.19
2012-03-12,13.23,13.3,13.14,13.27,1072197,13.27
2012-03-13,13.37,13.4,13.17,13.32,1305095,13.32
2012-03-14,13.3,13.44,12.99,13,1738955,13
2012-03-15,13.03,13.18,13,13.15,1433830,13.15
2012-03-16,13.13,13.28,13.08,13.17,2388494,13.17
2012-03-19,13.17,13.23,13.1,13.12,623978,13.12
2012-03-20,13.02,13.17,12.97,13.15,1189448,13.15
2012-03-21,13.13,13.21,13.06,13.09,658522,13.09
2012-03-22,12.98,13.05,12.78,12.86,1304385,12.86
2012-03-23,12.94,13.02,12.88,12.92,956579,12.92
2012-03-26,13.03,13.14,12.95,13.11,1884986,13.11
2012-03-27,13.15,13.18,13.04,13.17,671935,13.17
2012-03-28,13.13,13.19,12.87,13.02,1103382,13.02
2012-03-29,12.9,13.06,12.75,13.02,1684599,13.02
2012-03-30,13.13,13.13,12.99,13.07,1693059,13.07
2012-04-02,13,13.11,12.93,13.04,1430637,13.04
2012-04-03,13.06,13.25,12.94,13.25,1152121,13.25
2012-04-04,13.13,13.24,13.1,13.17,999962,13.17
2012-04-05,13.09,13.09,12.87,12.92,1230472,12.92
2012-04-09,12.75,12.88,12.73,12.86,1078532,12.86
2012-04-10,12.79,12.84,12.47,12.5,1130774,12.5
2012-04-11,12.62,12.68,12.46,12.48,1025325,12.48
2012-04-12,12.47,12.7,12.43,12.66,768251,12.66
2012-04-13,12.59,12.64,12.39,12.4,1354457,12.4
2012-04-16,12.49,12.56,12.39,12.44,919352,12.44
2012-04-17,12.56,12.56,12.27,12.34,1977101,12.34
2012-04-18,12.32,12.46,12.22,12.25,1162718,12.25
2012-04-19,12.27,12.27,12.09,12.12,1357094,12.12
2012-04-20,12.19,12.29,12.09,12.26,1947913,12.26
2012-04-23,12.13,12.13,11.98,12.05,1046764,12.05
2012-04-24,12.11,12.23,12.09,12.14,782350,12.14
2012-04-25,12.24,12.27,12.17,12.22,799330,12.22
2012-04-26,12.19,12.51,12.12,12.42,993808,12.42
2012-04-27,12.47,12.53,12.37,12.45,760820,12.45
2012-04-30,12.45,12.52,12.37,12.52,1092623,12.52
2012-05-01,12.48,12.61,12.42,12.58,756562,12.58
2012-05-02,12.48,12.52,12.28,12.31,905652,12.31
2012-05-03,12.31,12.37,12.18,12.21,1042725,12.21
2012-05-04,12.75,12.75,12.03,12.08,1377684,12.08
2012-05-07,12,12.19,11.97,12.07,1137885,12.07
2012-05-08,11.96,12.04,11.67,12.01,1610403,12.01
2012-05-09,11.88,12.09,11.75,12.03,1183059,12.03
2012-05-10,12.18,12.51,12.18,12.37,1861785,12.37
2012-05-11,12.33,12.56,12.25,12.36,1522146,12.36
2012-05-14,12.26,12.36,12.18,12.22,993340,12.22
2012-05-15,12.2,12.32,12.07,12.19,1286314,12.19
2012-05-16,12.26,12.43,12.08,12.13,1412783,12.13
2012-05-17,12.13,12.18,11.97,11.98,691349,11.98
2012-05-18,12.07,12.15,11.91,11.95,1922947,11.95
2012-05-21,12,12.24,11.98,12.23,947802,12.23
2012-05-22,12.24,12.52,12.19,12.42,1256155,12.42
2012-05-23,12.3,12.34,12.11,12.21,1634497,12.21
2012-05-24,12.24,12.38,12.21,12.38,904365,12.38
2012-05-25,12.43,12.55,12.4,12.55,780585,12.55
2012-05-29,12.55,12.64,12.47,12.61,1485449,12.61
2012-05-30,12.49,12.56,12.24,12.32,1078812,12.32
2012-05-31,12.28,12.33,12.07,12.09,2487144,12.09
2012-06-01,11.9,11.97,11.77,11.84,1592418,11.84
2012-06-04,11.84,11.9,11.65,11.82,1266266,11.82
2012-06-05,11.78,12.06,11.78,12.02,835870,12.02
2012-06-06,12.09,12.46,12.09,12.45,1404066,12.45
2012-06-07,12.57,12.67,12.34,12.36,1509971,12.36
2012-06-08,12.38,12.56,12.29,12.55,794244,12.55
2012-06-11,12.66,12.67,12.29,12.3,1000066,12.3
2012-06-12,12.33,12.36,12.15,12.33,1030006,12.33
2012-06-13,12.23,12.45,12.1,12.34,887415,12.34
2012-06-14,12.39,12.64,12.34,12.62,1322394,12.62
2012-06-15,12.63,12.68,12.54,12.63,1810057,12.63
2012-06-18,12.6,12.62,12.47,12.58,954112,12.58
2012-06-19,12.65,12.75,12.55,12.69,669849,12.69
2012-06-20,12.66,12.7,12.37,12.45,1038271,12.45
2012-06-21,12.43,12.51,12.11,12.13,1068113,12.13
2012-06-22,12.17,12.25,12.02,12.08,2125374,12.08
2012-06-25,11.92,12.06,11.87,12.01,1130120,12.01
2012-06-26,12.05,12.26,12.03,12.18,926759,12.18
2012-06-27,12.23,12.52,12.2,12.45,760944,12.45
2012-06-28,12.37,12.64,12.36,12.62,958190,12.62
2012-06-29,12.75,12.88,12.71,12.83,1695687,12.83
2012-07-02,12.9,12.9,12.64,12.72,823574,12.72
2012-07-03,12.72,12.81,12.68,12.81,830378,12.81
2012-07-05,12.75,12.88,12.71,12.83,1526495,12.83
2012-07-06,12.68,12.86,12.65,12.84,1073899,12.84
