DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,44.56,45.25,44.42,44.88,1009247,44.88
2012-01-04,44.75,44.75,44.06,44.57,824480,44.57
2012-01-05,44.09,45.27,43.33,44.86,805883,44.86
2012-01-06,44.85,44.9,44.14,44.24,637919,44.24
2012-01-09,43.58,43.68,42.47,43.23,1457107,43.23
2012-01-10,43.85,44.23,43.71,43.87,1166644,43.87
2012-01-11,43.62,44.29,43.51,44.21,900729,44.21
2012-01-12,44.53,44.86,43.5,44.07,1009044,44.07
2012-01-13,43.43,43.43,42.3,43.18,1257859,43.18
2012-01-17,43.98,44.18,43.6,43.76,957215,43.76
2012-01-18,43.8,45.33,43.43,45.18,1152180,45.18
2012-01-19,45.64,47.25,45.56,47.13,1406693,47.13
2012-01-20,47.24,47.97,46.88,47.91,1209718,47.91
2012-01-23,47.9,48.65,47.7,48.05,579498,48.05
2012-01-24,47.54,49.23,47.45,49.07,1160592,49.07
2012-01-25,48.81,49.2,48.35,49.16,968366,49.16
2012-01-26,49.59,49.59,48.31,48.78,1246761,48.78
2012-01-27,48.46,49.28,48.27,49.04,1041761,49.04
2012-01-30,48.5,48.61,47.69,48.41,1116740,48.41
2012-01-31,49.21,49.25,48.14,48.23,1770800,48.23
2012-02-01,48.01,48.85,46.59,48.26,1811107,48.26
2012-02-02,48.5,48.67,47.75,48.48,824845,48.48
2012-02-03,49.26,50.33,48.96,49.98,1162849,49.98
2012-02-06,49.59,49.76,49.28,49.6,581577,49.6
2012-02-07,49.26,49.89,49.06,49.28,705968,49.28
2012-02-08,49.34,49.55,48.95,49.37,560934,49.37
2012-02-09,49.5,49.68,48.56,49.03,661689,49.03
2012-02-10,48.42,48.47,48,48.33,803097,48.33
2012-02-13,48.66,49.09,48.52,48.91,743076,48.91
2012-02-14,48.67,48.76,47.96,48.56,650559,48.56
2012-02-15,48.86,49.04,47.83,48.07,741161,48.07
2012-02-16,47.86,48.59,47.73,48.18,1000883,48.18
2012-02-17,48.29,48.31,47.68,48.01,1180543,48.01
2012-02-21,48.21,48.55,47.72,47.91,786168,47.91
2012-02-22,47.84,47.87,46.95,46.96,987154,46.96
2012-02-23,46.97,47.47,46.88,47.24,809178,47.24
2012-02-24,47.5,47.65,46.8,46.9,661300,46.9
2012-02-27,46.44,46.86,46.19,46.7,784078,46.7
2012-02-28,46.8,46.99,46.16,46.89,861488,46.89
2012-02-29,47.03,47.93,47.03,47.25,1293091,47.25
2012-03-01,47.37,48.08,47.17,47.41,853663,47.41
2012-03-02,47.43,47.51,46.94,47.08,549174,47.08
2012-03-05,46.83,47.3,46.7,47.03,628598,47.03
2012-03-06,46.02,46.06,44.93,45.22,1147716,45.22
2012-03-07,45.63,45.63,45.21,45.3,1016014,45.3
2012-03-08,45.6,45.6,44.38,44.76,1245592,44.76
2012-03-09,44.67,45.55,44.46,45.16,1183621,45.16
2012-03-12,45.1,45.24,44.52,44.73,623122,44.73
2012-03-13,45.02,46.08,44.82,46.07,1059210,46.07
2012-03-14,45.85,46.56,45.75,46.21,982452,46.21
2012-03-15,46.28,47.52,46.07,47.5,1104667,47.5
2012-03-16,47.59,47.86,46.78,46.87,1646587,46.87
2012-03-19,46.89,48.22,46.8,47.57,1293906,47.57
2012-03-20,47.24,47.86,46.94,47.56,646187,47.56
