DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,88.66,88.81,87.69,88.42,534980,88.42
2012-01-04,88.19,88.5,87.77,88.01,273892,88.01
2012-01-05,87.78,88,86.99,87.07,424860,87.07
2012-01-06,87.37,87.37,86.52,87.07,501159,87.07
2012-01-09,87.32,88.5,87.01,88.33,539094,88.33
2012-01-10,89,89.37,88.72,88.97,411567,88.97
2012-01-11,88.83,89.35,87.91,88.26,513715,88.26
2012-01-12,88.51,89.38,88.08,88.56,395977,88.56
2012-01-13,87.99,88.46,87.32,88.16,350187,88.16
2012-01-17,88.89,89.5,87.76,87.93,432304,87.93
2012-01-18,87.93,88.15,86.76,87.17,489845,87.17
2012-01-19,87.26,87.44,86.92,87.16,569538,87.16
2012-01-20,87.55,88.17,87.22,87.77,623766,87.77
2012-01-23,88,89.5,88,89.36,508042,89.36
2012-01-24,89.01,89.17,88.36,88.49,372793,88.49
2012-01-25,88.54,89.57,88.18,89.3,320613,89.3
2012-01-26,89.3,90,88.64,88.97,399235,88.97
2012-01-27,88.49,89.23,88.39,88.82,340807,88.82
2012-01-30,88.04,88.13,87.29,88.06,374944,88.06
2012-01-31,88.47,89.05,87.78,87.91,417543,87.91
2012-02-01,88.63,89.24,87.19,87.29,663857,87.29
2012-02-02,85.79,86.83,84.31,84.84,1252556,84.84
2012-02-03,85.47,86.47,85.12,86.08,722334,86.08
2012-02-06,85.51,86.59,85.51,86.49,322532,86.49
2012-02-07,86.17,87.48,85.76,87.25,418425,87.25
2012-02-08,87.41,89.39,87.31,88.65,607233,88.65
2012-02-09,88.45,88.5,87.08,87.38,328015,87.38
2012-02-10,86.97,87.34,86.56,87.05,346680,87.05
2012-02-13,87.45,88.26,87.43,87.61,253851,87.61
2012-02-14,87.33,88.88,87.33,88.88,317556,88.88
2012-02-15,89,89.05,87.53,87.8,336969,87.8
2012-02-16,87.92,88.43,87.66,88.06,406397,88.06
2012-02-17,88.48,88.48,87.7,87.91,402789,87.91
2012-02-21,87.83,88.11,86.6,87.07,333317,87.07
2012-02-22,86.62,87.47,86.45,87.27,286552,87.27
2012-02-23,87.24,87.6,87,87.32,322568,87.32
2012-02-24,87.31,87.74,87.14,87.42,230650,87.42
2012-02-27,86.98,87.69,86.45,87.38,327213,87.38
2012-02-28,87.8,88.93,87.68,88.82,389035,88.82
2012-02-29,88.75,89.83,88.7,89.59,545569,89.59
2012-03-01,89.5,89.86,89.18,89.74,446991,89.74
2012-03-02,89.64,89.88,89.21,89.24,238316,89.24
2012-03-05,88.95,89.83,88.95,89.55,271183,89.55
2012-03-06,89.17,89.59,88.26,88.42,389108,88.42
2012-03-07,88.4,91.07,88.3,90.64,681557,90.64
2012-03-08,91.15,92.49,90.99,92.33,685704,92.33
2012-03-09,92.34,93.11,91.69,91.87,555265,91.87
2012-03-12,91.79,93,91.48,92.12,352477,92.12
2012-03-13,92.39,93.36,92.11,93.36,400837,93.36
2012-03-14,93.36,93.68,93.15,93.59,267953,93.59
2012-03-15,93.37,94.38,93.37,94.18,443338,94.18
2012-03-16,94.03,94.45,92.98,93,874121,93
2012-03-19,93.29,93.42,92.9,93.3,304469,93.3
2012-03-20,93.05,93.42,92.73,93.17,241813,93.17
2012-03-21,93.38,94.08,93.14,93.57,260256,93.57
2012-03-22,92.8,93.9,92.8,93.56,320756,93.56
2012-03-23,93.46,93.8,93,93.61,260371,93.61
2012-03-26,94.46,94.99,94.22,94.74,650191,94.74
2012-03-27,95.16,95.67,94.19,94.31,497570,94.31
2012-03-28,94.41,94.88,93.71,94.05,463491,94.05
2012-03-29,94.01,95.11,93.83,94.91,580787,94.91
2012-03-30,95.65,96.39,95.27,95.43,593166,95.43
2012-04-02,94.08,95.68,94.08,95.17,527155,95.17
2012-04-03,95.15,95.49,94.55,95.27,452449,95.27
2012-04-04,94.8,95.3,94.59,94.82,243325,94.82
2012-04-05,94.89,95.13,94.42,94.99,383300,94.99
2012-04-09,93.57,94.32,93.57,93.94,352248,93.94
2012-04-10,93.44,93.78,92.41,92.48,472483,92.48
2012-04-11,93.51,93.65,93.03,93.31,320509,93.31
2012-04-12,93.27,93.54,92.94,93.19,384071,93.19
2012-04-13,93.75,95.06,93.65,94.65,651227,94.65
2012-04-16,94.87,95,93.52,94.08,433198,94.08
2012-04-17,94.58,95.04,94.26,94.79,544217,94.79
2012-04-18,94.32,95.1,94.32,94.94,261381,94.94
2012-04-19,95.2,95.44,94.5,95.2,329322,95.2
2012-04-20,95.46,95.94,94.91,95.58,613398,95.58
2012-04-23,95.07,95.08,93.29,93.8,469934,93.8
2012-04-24,93.96,94.27,93.59,94.18,477256,94.18
2012-04-25,94.98,95.28,94.52,95.15,480315,95.15
2012-04-26,95.13,96.57,94.93,96.38,382742,96.38
2012-04-27,96.75,97.09,96.41,96.59,310840,96.59
2012-04-30,96.59,96.67,95.76,96,411866,96
2012-05-01,95.85,96.69,95.27,96.39,498747,96.39
2012-05-02,93.11,93.56,90.68,92.5,1368321,92.5
2012-05-03,93.21,94.04,92.65,93.53,679875,93.53
2012-05-04,93.35,93.7,92.63,92.9,485202,92.9
2012-05-07,92.9,94.47,92.77,93.74,389831,93.74
2012-05-08,93.2,93.51,92.19,93.35,440415,93.35
2012-05-09,92.6,93.41,92.12,92.63,445494,92.63
2012-05-10,93.09,93.79,92.56,92.83,378059,92.83
2012-05-11,92.07,93.54,92.07,92.97,390516,92.97
2012-05-14,92.46,92.64,91.42,91.6,309314,91.6
2012-05-15,91.33,91.9,90.9,91.25,400163,91.25
2012-05-16,91.5,92.5,91.24,91.32,509883,91.32
2012-05-17,91.37,91.62,88.88,88.88,511380,88.88
2012-05-18,89.27,89.69,88.46,88.78,758602,88.78
2012-05-21,88.92,90,88.86,89.8,344158,89.8
2012-05-22,89.81,90.63,89.54,89.9,384440,89.9
2012-05-23,89.56,89.62,88.16,89.02,372013,89.02
2012-05-24,89.43,90.49,89.23,90.49,560752,90.49
2012-05-25,90.61,90.99,90.13,90.53,289016,90.53
2012-05-29,90.6,91.41,90.32,90.77,264581,90.77
2012-05-30,90.26,90.93,90,90.81,455006,90.81
2012-05-31,90.8,90.8,89.63,90.25,573372,90.25
2012-06-01,89.07,89.65,88.03,88.09,377218,88.09
2012-06-04,88.31,88.89,87.74,88.58,370444,88.58
2012-06-05,88.33,90.05,88.03,89.87,370033,89.87
2012-06-06,90.32,91.26,90.02,91.06,453243,91.06
2012-06-07,91.52,91.9,90.59,90.74,298123,90.74
2012-06-08,90.66,91.48,90.1,91.48,273816,91.48
2012-06-11,92.08,92.29,91.04,91.11,467634,91.11
2012-06-12,91.25,91.42,90,91.37,333193,91.37
2012-06-13,91.36,91.97,90.52,90.85,259313,90.85
2012-06-14,91.07,92.22,91.07,91.64,410908,91.64
2012-06-15,92.42,93,92.02,92.45,1286633,92.45
2012-06-18,92.47,93.16,92.33,93.12,321812,93.12
2012-06-19,93.62,93.96,93.3,93.49,245730,93.49
2012-06-20,93.4,93.68,91.98,92.46,362243,92.46
2012-06-21,93.04,93.19,91.05,91.24,320960,91.24
2012-06-22,91.46,91.74,90.98,91.59,470370,91.59
2012-06-25,90.94,91.24,89.85,89.86,513092,89.86
2012-06-26,89.99,90.53,89.84,90.02,337821,90.02
2012-06-27,90.35,91.74,90.35,91.11,389780,91.11
2012-06-28,90.73,90.74,88.88,90.03,409738,90.03
2012-06-29,91.21,92.57,91.21,92.57,582208,92.57
2012-07-02,92.73,94.94,92.47,94.77,553228,94.77
2012-07-03,94.88,95.74,94.37,95.65,232001,95.65
2012-07-05,95.25,95.45,94.62,94.64,291341,94.64
2012-07-06,93.87,94.31,93.34,93.7,280112,93.7
2012-07-09,93.56,93.77,91.22,91.81,669769,91.81
2012-07-10,92.75,92.8,90.32,90.6,516218,90.6
2012-07-11,90.42,90.71,89.34,89.43,571993,89.43
2012-07-12,89.16,89.68,88.05,89.4,594891,89.4
2012-07-13,89.23,91.01,88.92,90.75,372968,90.75
2012-07-16,90.39,90.68,89.51,89.59,362466,89.59
2012-07-17,89.87,90.28,89.14,89.95,336334,89.95
2012-07-18,89.55,89.72,86.36,87.52,1005108,87.52
2012-07-19,87.59,87.69,86.2,87.46,1165199,87.46
2012-07-20,86.75,86.86,85.07,85.15,852369,85.15
2012-07-23,84.05,85.11,83.62,84.78,693686,84.78
2012-07-24,84.66,84.69,83.61,83.87,893888,83.87
2012-07-25,84.1,84.39,83.09,83.44,510592,83.44
2012-07-26,84.7,85.6,84.5,85.13,622121,85.13
2012-07-27,85.54,87.2,85.42,86.25,617831,86.25
2012-07-30,86.04,86.28,85.2,85.3,556162,85.3
2012-07-31,85.15,85.57,81.28,82.07,1246011,82.07
2012-08-01,85.39,91.94,85.04,85.62,2124226,85.62
2012-08-02,84.69,86.57,83.88,84.89,898088,84.89
2012-08-03,86,86.77,85.14,85.45,728106,85.45
2012-08-06,85.45,85.7,84.98,85.41,366801,85.41
2012-08-07,85.37,85.86,85.1,85.23,411723,85.23
2012-08-08,85.1,86.26,84.99,85.57,377727,85.57
2012-08-09,85.28,86.05,85,85.49,210821,85.49
2012-08-10,85.25,86.02,85.05,85.61,487803,85.61
2012-08-13,85.34,85.91,85.1,85.59,314904,85.59
2012-08-14,85.7,86.38,85.61,86.37,351159,86.37
2012-08-15,86.35,86.77,85.82,86.35,326805,86.35
2012-08-16,85.75,86.83,85.63,86.49,474831,86.49
2012-08-17,87.24,87.62,86.42,86.61,498720,86.61
2012-08-20,86.34,86.57,85.34,85.65,468571,85.65
2012-08-21,86,87.27,85.87,86.57,379827,86.57
2012-08-22,86.26,86.82,85.05,85.43,488393,85.43
2012-08-23,85.44,85.44,84.43,84.84,296252,84.84
2012-08-24,84.43,85.86,84.43,85.25,461106,85.25
2012-08-27,85.43,85.57,84.66,85.41,355407,85.41
