DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,23.75,24.5,23.74,24.07,781142,24.07
2012-01-04,23.95,24.1,23.71,23.92,1015053,23.92
2012-01-05,23.82,24.08,23.41,23.91,930311,23.91
2012-01-06,24.05,24.15,23.52,23.54,787552,23.54
2012-01-09,23.67,24,23.5,24,825874,24
2012-01-10,24.42,25.34,24.4,25.07,1039668,25.07
2012-01-11,24.95,25.48,24.77,25.37,743479,25.37
2012-01-12,25.54,25.64,25.08,25.43,727329,25.43
2012-01-13,24.96,25.03,24.4,24.95,632689,24.95
2012-01-17,25.2,25.41,24.37,24.56,719488,24.56
2012-01-18,24.46,25.24,24.17,25.23,851108,25.23
2012-01-19,25.4,25.78,25.28,25.55,626607,25.55
2012-01-20,25.48,25.84,25.35,25.65,923956,25.65
2012-01-23,25.68,25.9,25.29,25.44,576609,25.44
2012-01-24,25.07,25.37,24.75,25.32,734935,25.32
2012-01-25,25.16,25.45,24.88,25.31,801504,25.31
2012-01-26,25.35,25.6,24.94,25.14,822167,25.14
2012-01-27,25.01,25.55,24.84,25.25,1168330,25.25
2012-01-30,24.97,25.33,24.66,25.2,664503,25.2
2012-01-31,25.44,25.6,24.92,25.11,755857,25.11
2012-02-01,25.45,26.92,25.36,26.6,1554783,26.6
2012-02-02,26.74,26.79,26.09,26.31,852569,26.31
2012-02-03,26.75,27.69,26.72,27.17,1661429,27.17
2012-02-06,27,27.02,26.52,26.8,739051,26.8
2012-02-07,26.98,27,26.57,26.7,638463,26.7
2012-02-08,26.75,27.13,26.55,27.04,815935,27.04
2012-02-09,27.1,27.8,27.1,27.35,654337,27.35
2012-02-10,26.97,26.97,26.51,26.66,705857,26.66
2012-02-13,27.04,27.4,26.77,26.82,469292,26.82
2012-02-14,26.72,26.79,26.25,26.6,567197,26.6
2012-02-15,26.73,26.93,26.41,26.49,484981,26.49
2012-02-16,26.56,27.3,26.49,27.28,760852,27.28
2012-02-17,27.36,27.36,27.05,27.23,719322,27.23
2012-02-21,27.28,27.55,27.11,27.33,833925,27.33
2012-02-22,27.5,27.93,27.22,27.67,862814,27.67
2012-02-23,27.83,28.1,27.48,27.99,1152553,27.99
2012-02-24,29.9,30.09,28,28.41,2367544,28.41
2012-02-27,28.37,28.78,28.04,28.66,994772,28.66
2012-02-28,28.67,29.08,28.56,28.96,1043113,28.96
2012-02-29,29.18,29.59,28.73,29.22,1288326,29.22
2012-03-01,29.42,29.99,29.29,29.45,922116,29.45
2012-03-02,29.63,29.86,28.44,29.8,1822369,29.8
2012-03-05,29.7,31.3,29.49,30.39,2164771,30.39
2012-03-06,29.75,29.79,28.86,29.05,1921314,29.05
2012-03-07,29.32,29.91,29.12,29.45,889901,29.45
2012-03-08,28.6,28.78,28.31,28.31,17097568,28.31
2012-03-09,28.53,28.68,28.23,28.25,2800500,28.25
2012-03-12,28.36,28.41,27.89,28.15,1753976,28.15
2012-03-13,28.37,28.49,27.94,28.4,2072044,28.4
2012-03-14,28.27,28.51,28.18,28.25,1831305,28.25
2012-03-15,28.33,28.38,28.05,28.08,2059307,28.08
2012-03-16,28.03,28.38,27.98,28.03,2854699,28.03
