DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,41.92,41.93,41.41,41.47,187086,41.47
2012-01-04,41.18,41.43,40.73,40.96,227619,40.96
2012-01-05,40.74,41.38,40.39,41.23,144305,41.23
2012-01-06,41.31,41.45,40.98,41.17,206294,41.17
2012-01-09,40.48,40.93,40.41,40.85,217366,40.85
2012-01-10,41.4,41.4,40.38,40.53,428646,40.53
2012-01-11,38.38,38.76,37.73,38.05,645957,38.05
2012-01-12,37.85,38.29,37.74,38.1,401952,38.1
2012-01-13,37.66,38.2,37.58,38.11,329509,38.11
2012-01-17,38.48,38.55,38.17,38.25,344708,38.25
2012-01-18,38.15,39.03,38.1,39.01,281507,39.01
2012-01-19,39.04,39.23,38.44,39.23,251699,39.23
2012-01-20,39.11,39.36,38.92,39.35,294011,39.35
2012-01-23,39.28,39.57,38.76,38.98,214919,38.98
2012-01-24,38.68,39.29,38.68,39.13,204273,39.13
2012-01-25,38.9,39.51,38.75,39.47,273931,39.47
2012-01-26,39.66,39.82,39.2,39.82,324688,39.82
2012-01-27,39.67,40.15,39.33,39.86,360857,39.86
2012-01-30,39.45,39.51,38.9,39.29,197935,39.29
2012-01-31,39.4,39.64,38.79,39.6,388859,39.6
2012-02-01,39.72,40.77,39.72,40.51,352706,40.51
2012-02-02,41.99,42,40.94,41.41,358330,41.41
2012-02-03,41.93,41.93,41.39,41.56,407137,41.56
2012-02-06,41.32,41.67,41.28,41.54,271061,41.54
2012-02-07,41.49,43.18,41.47,43.02,338784,43.02
2012-02-08,43.02,43.42,42.9,43.37,335109,43.37
2012-02-09,42.95,43.37,42.46,43.21,339420,43.21
2012-02-10,42.67,43.49,42.67,43.46,221080,43.46
2012-02-13,43.79,44.1,43.67,43.97,168273,43.97
2012-02-14,43.87,43.87,43.33,43.64,204958,43.64
2012-02-15,43.88,43.96,43.41,43.43,219936,43.43
2012-02-16,43.53,44.12,43.47,43.92,297925,43.92
2012-02-17,44.12,44.19,43.86,44.03,170960,44.03
2012-02-21,44.12,44.53,44.11,44.39,213250,44.39
2012-02-22,44.25,44.37,43.26,43.56,294392,43.56
2012-02-23,43.08,43.26,42.7,43.09,325028,43.09
2012-02-24,43.19,43.51,42.81,42.95,193661,42.95
2012-02-27,42.79,42.96,42.37,42.82,264091,42.82
2012-02-28,42.94,42.95,42.13,42.49,384688,42.49
2012-02-29,42.61,43.03,42.44,42.47,338129,42.47
2012-03-01,42.6,43.62,42.53,43.32,261792,43.32
2012-03-02,43.22,43.43,42.73,42.83,198257,42.83
2012-03-05,42.83,43.51,42.62,43.35,368153,43.35
2012-03-06,42.88,43.04,42.39,42.58,258132,42.58
2012-03-07,42.59,42.66,42.16,42.34,559024,42.34
2012-03-08,42.45,42.49,41.61,41.71,317022,41.71
2012-03-09,41.7,42.05,41.63,41.63,345812,41.63
2012-03-12,41.76,42.02,41.59,41.73,251265,41.73
2012-03-13,42.09,42.97,41.99,42.87,459404,42.87
2012-03-14,42.67,43.1,42.05,42.16,591843,42.16
2012-03-15,42.15,42.15,40.1,40.85,954754,40.85
2012-03-16,40.82,40.89,39.72,39.88,784659,39.88
2012-03-19,40.04,40.39,39.88,40.18,282346,40.18
2012-03-20,39.92,41,39.81,40.85,357994,40.85
2012-03-21,40.13,41.1,40.09,40.26,448643,40.26
2012-03-22,39.91,40.36,39.75,40.01,252513,40.01
2012-03-23,40.02,40.68,40,40.59,297997,40.59
2012-03-26,40.92,41.49,40.74,41.49,295814,41.49
2012-03-27,41.49,41.77,41.24,41.73,426282,41.73
2012-03-28,41.61,41.8,41.14,41.29,332244,41.29
2012-03-29,40.72,40.92,39.98,40.36,364505,40.36
2012-03-30,40.64,40.68,40.05,40.5,652859,40.5
2012-04-02,40.39,40.84,40.07,40.53,305736,40.53
2012-04-03,40.42,40.75,39.9,40.19,309406,40.19
2012-04-04,39.84,40.09,39.59,39.82,277055,39.82
2012-04-05,39.65,39.8,39.08,39.15,247950,39.15
2012-04-09,38.64,38.99,38.47,38.8,365020,38.8
2012-04-10,38.8,39.17,38.45,38.46,413570,38.46
2012-04-11,38.13,39.05,38.12,38.89,332579,38.89
2012-04-12,38.89,39.5,38.57,39.45,231913,39.45
2012-04-13,39.39,39.54,38.73,38.73,201196,38.73
2012-04-16,38.93,39.25,38.8,38.95,307212,38.95
2012-04-17,39.24,39.96,39.17,39.52,189929,39.52
2012-04-18,39.31,39.38,38.99,39.12,283151,39.12
2012-04-19,39.21,39.36,38.95,39.08,215855,39.08
2012-04-20,39.23,39.39,38.9,38.97,284913,38.97
2012-04-23,38.48,39.54,38.26,39.4,351012,39.4
2012-04-24,39.38,39.93,39.36,39.59,201030,39.59
2012-04-25,39.88,41.12,39.88,40.8,469449,40.8
2012-04-26,40.98,41.66,40,40.52,538345,40.52
2012-04-27,40.81,41.19,40.39,40.64,380806,40.64
2012-04-30,40.55,40.74,40.23,40.34,246170,40.34
2012-05-01,40.55,40.83,40.14,40.57,282292,40.57
2012-05-02,39.61,39.77,38.91,39.3,493646,39.3
2012-05-03,39.36,39.61,38.9,38.91,295282,38.91
2012-05-04,38.69,38.71,37.86,37.86,530340,37.86
2012-05-07,37.74,37.98,37.47,37.92,348240,37.92
2012-05-08,37.7,38,37.32,37.6,291542,37.6
2012-05-09,37.25,37.93,37.17,37.68,347956,37.68
2012-05-10,37.93,38.18,37.53,37.57,328035,37.57
2012-05-11,37.27,38.06,37.06,37.81,411014,37.81
2012-05-14,37.9,38.21,37.74,37.78,485048,37.78
2012-05-15,37.84,38.08,37.36,37.45,301910,37.45
2012-05-16,37.51,37.61,36.53,36.55,402230,36.55
2012-05-17,36.57,36.84,36.02,36.33,344700,36.33
2012-05-18,36.4,36.41,35.11,35.26,508683,35.26
2012-05-21,35.36,35.98,35.2,35.96,358175,35.96
2012-05-22,35.47,35.8,34.2,34.36,743207,34.36
2012-05-23,34.09,34.2,33.23,33.85,692748,33.85
2012-05-24,33.74,33.89,33.33,33.86,407398,33.86
2012-05-25,33.8,34.01,33.2,33.25,359265,33.25
2012-05-29,33.52,33.69,33.12,33.47,356158,33.47
2012-05-30,33.2,33.36,33.09,33.13,301824,33.13
2012-05-31,33.04,33.6,32.88,33.38,575448,33.38
2012-06-01,32.72,33.13,32.56,32.85,487537,32.85
2012-06-04,32.76,32.94,32.46,32.57,439627,32.57
2012-06-05,32.41,33.12,32.41,33.09,313372,33.09
2012-06-06,33.27,34.04,33.23,34.04,318678,34.04
2012-06-07,34.45,34.68,33.64,33.67,420562,33.67
2012-06-08,33.56,34.04,33.42,33.97,225598,33.97
2012-06-11,34.25,34.25,33.28,33.32,448843,33.32
2012-06-12,33.45,33.51,33.12,33.42,350299,33.42
2012-06-13,33.36,33.68,33.21,33.36,296764,33.36
2012-06-14,33.59,33.98,33.41,33.71,253734,33.71
2012-06-15,33.86,33.91,33.41,33.86,582890,33.86
2012-06-18,33.66,33.95,33.36,33.75,265652,33.75
2012-06-19,33.9,34.76,33.89,34.66,319682,34.66
2012-06-20,34.74,35.24,34.51,34.97,366640,34.97
2012-06-21,35.06,35.12,34.03,34.16,307370,34.16
2012-06-22,34.24,34.53,34.14,34.15,447155,34.15
2012-06-25,33.9,34.11,33.55,33.99,331630,33.99
2012-06-26,34.09,34.59,34,34.4,238750,34.4
2012-06-27,34.49,34.99,34.17,34.9,205267,34.9
2012-06-28,34.6,34.87,34.17,34.62,344698,34.62
2012-06-29,35.24,35.26,34.6,34.84,286013,34.84
2012-07-02,35.05,35.22,34.72,34.83,275939,34.83
2012-07-03,34.87,35.88,34.87,35.61,126778,35.61
2012-07-05,35.49,35.57,34.89,34.98,218640,34.98
2012-07-06,34.66,35.08,34.38,34.9,224399,34.9
2012-07-09,34.86,34.91,34.45,34.65,167686,34.65
2012-07-10,34.74,35.02,34.45,34.52,185705,34.52
2012-07-11,34.62,34.68,34.07,34.36,312936,34.36
2012-07-12,34.04,34.31,33.65,33.89,313428,33.89
2012-07-13,33.88,34.48,33.87,34.4,180068,34.4
2012-07-16,34.4,34.65,34.07,34.24,244095,34.24
2012-07-17,34.52,34.66,34.02,34.62,174643,34.62
2012-07-18,34.41,34.88,34.41,34.62,159810,34.62
2012-07-19,34.69,34.85,34.33,34.44,130085,34.44
2012-07-20,34.18,34.27,33.78,33.9,176156,33.9
2012-07-23,33.45,33.91,33.17,33.74,194028,33.74
2012-07-24,33.79,33.79,32.8,33.06,377860,33.06
2012-07-25,33.27,33.42,32.95,33.31,245872,33.31
2012-07-26,35.93,35.93,34.39,34.78,376233,34.78
2012-07-27,35.04,35.75,34.83,35.54,327179,35.54
2012-07-30,35.56,36.19,35.54,36.17,247561,36.17
2012-07-31,36.11,36.53,36.06,36.21,356339,36.21
2012-08-01,36.44,36.79,36.34,36.4,257842,36.4
2012-08-02,36.07,36.34,35.54,35.98,306437,35.98
2012-08-03,36.56,36.78,36.54,36.65,220283,36.65
2012-08-06,36.85,37.21,36.59,36.65,198441,36.65
2012-08-07,36.81,36.86,35.87,36.22,301925,36.22
2012-08-08,35.91,36.44,35.87,36.17,250199,36.17
2012-08-09,36.23,36.48,36.01,36.23,156720,36.23
2012-08-10,35.95,35.95,35.63,35.85,299992,35.85
2012-08-13,35.8,35.83,34.7,34.91,333575,34.91
2012-08-14,34.78,35.01,34.21,34.29,445649,34.29
2012-08-15,34.3,34.64,34.24,34.37,614760,34.37
2012-08-16,34.36,34.58,34.32,34.42,269708,34.42
2012-08-17,34.53,34.85,34.4,34.63,372552,34.63
2012-08-20,34.53,34.81,34.49,34.64,278057,34.64
2012-08-21,34.67,35.02,34.52,34.63,211564,34.63
2012-08-22,34.58,34.88,34.38,34.55,200717,34.55
2012-08-23,34.35,34.41,33.89,33.89,117796,33.89
2012-08-24,33.85,34.19,33.81,34.18,161457,34.18
2012-08-27,34.24,34.33,33.97,34.06,168561,34.06
2012-08-28,33.98,34.04,33.46,33.47,205731,33.47
2012-08-29,33.56,33.99,33.36,33.98,184976,33.98
2012-08-30,33.89,34.71,33.83,34.59,316075,34.59
2012-08-31,34.69,35.43,34.69,35.25,383016,35.25
2012-09-04,35.19,35.5,34.84,35.26,315255,35.26
2012-09-05,35.35,35.88,35.21,35.88,396322,35.88
2012-09-06,35.93,36.44,35.82,36.42,431018,36.42
2012-09-07,36.42,36.71,36.3,36.54,230088,36.54
2012-09-10,36.5,36.8,36.42,36.47,242028,36.47
2012-09-11,36.41,37.06,36.37,37.06,242489,37.06
2012-09-12,37.17,37.66,37.17,37.44,254015,37.44
2012-09-13,37.35,38,36.96,37.92,249388,37.92
2012-09-14,38,38.28,37.84,38.16,299774,38.16
2012-09-17,38.11,38.11,37.6,37.7,224582,37.7
2012-09-18,37.68,37.82,37.3,37.6,257099,37.6
2012-09-19,37.64,37.75,37.24,37.53,160957,37.53
2012-09-20,37.38,37.56,37.22,37.43,178531,37.43
2012-09-21,37.75,37.93,37.35,37.35,303033,37.35
2012-09-24,37.19,37.53,37.14,37.35,120794,37.35
2012-09-25,37.41,37.46,37.09,37.14,295922,37.14
2012-09-26,37.09,37.32,36.98,37.23,242922,37.23
2012-09-27,37.47,37.47,36.92,37.16,239580,37.16
2012-09-28,37,37.46,36.94,37.3,214236,37.3
2012-10-01,37.49,37.75,37.18,37.31,116726,37.31
2012-10-02,37.43,38.09,37.37,37.69,241796,37.69
2012-10-03,38.33,38.71,38.03,38.33,305892,38.33
2012-10-04,38.58,39.07,38.38,39.06,191495,39.06
2012-10-05,39.2,39.7,39.06,39.68,268344,39.68
2012-10-08,39.44,39.82,39.32,39.34,162298,39.34
2012-10-09,39.25,39.25,38.87,38.95,240384,38.95
2012-10-10,38.88,39.35,38.88,39.14,188356,39.14
2012-10-11,39.54,39.98,39.45,39.86,213193,39.86
2012-10-12,39.8,39.87,39.26,39.38,195878,39.38
2012-10-15,39.44,39.98,39.37,39.96,177565,39.96
2012-10-16,40.19,40.69,40.19,40.51,168747,40.51
2012-10-17,40.51,40.89,40.39,40.88,207727,40.88
2012-10-18,40.86,41.26,40.86,41,185794,41
2012-10-19,40.85,40.85,40.24,40.33,248718,40.33
2012-10-22,40.38,41.35,40.38,40.89,277891,40.89
2012-10-23,39.09,39.4,38.58,38.64,536347,38.64
2012-10-24,38.67,39.54,38.58,38.88,417923,38.88
2012-10-25,39,39.03,37.74,38.02,364375,38.02
2012-10-26,38.01,38.13,37.76,37.85,280384,37.85
2012-10-31,37.87,38.1,37.59,37.81,258487,37.81
2012-11-01,37.95,38.42,37.66,37.99,207187,37.99
2012-11-02,38.02,38.1,37.22,37.6,350203,37.6
2012-11-05,37.48,37.67,37.29,37.47,203901,37.47
2012-11-06,37.69,38.01,37.69,37.82,278524,37.82
2012-11-07,37.37,37.85,36.5,36.69,251724,36.69
2012-11-08,36.69,36.96,36.07,36.07,236438,36.07
2012-11-09,36.04,36.74,35.83,36.64,265336,36.64
2012-11-12,36.69,36.69,36.09,36.29,91825,36.29
2012-11-13,36.11,36.25,35.84,35.88,337642,35.88
2012-11-14,36.03,36.03,34.76,34.85,205589,34.85
2012-11-15,34.94,35.07,34.58,34.97,189769,34.97
2012-11-16,34.96,35.67,34.96,35.56,285069,35.56
2012-11-19,35.91,36.01,34.43,34.61,462063,34.61
2012-11-20,34.58,34.58,33.92,34.4,335298,34.4
2012-11-21,34.22,34.22,33.77,33.98,192346,33.98
2012-11-23,34.21,34.37,33.99,34.35,82999,34.35
2012-11-26,34.18,34.45,33.99,34.22,218134,34.22
2012-11-27,34.21,34.35,33.8,33.83,296460,33.83
2012-11-28,33.62,34.05,33.62,33.99,352264,33.99
2012-11-29,34,34.3,33.79,33.98,475823,33.98
2012-11-30,33.87,34.22,33.85,34.21,588415,34.21
2012-12-03,34.28,34.39,33.69,33.96,327037,33.96
2012-12-04,34.03,34.82,34.01,34.81,392977,34.81
2012-12-05,34.79,34.99,34.64,34.81,324512,34.81
2012-12-06,34.7,34.91,34.32,34.59,158802,34.59
2012-12-07,34.64,34.85,34.46,34.81,220475,34.81
2012-12-10,34.73,35.08,34.6,34.9,140568,34.9
2012-12-11,35.09,35.12,34.71,35.03,199730,35.03
2012-12-12,35.1,35.51,34.95,35.06,194317,35.06
2012-12-13,34.96,35.38,34.96,35.01,157806,35.01
2012-12-14,34.88,35.12,34.45,34.54,347150,34.54
2012-12-17,34.67,35.15,34.63,35.08,209813,35.08
2012-12-18,35.19,35.64,35.12,35.52,216019,35.52
2012-12-19,35.49,35.82,35.41,35.43,205009,35.43
2012-12-20,35.38,35.59,35.05,35.23,174592,35.23
2012-12-21,34.87,35.07,34.58,34.79,720904,34.79
2012-12-24,34.71,35.19,34.71,34.82,75305,34.82
2012-12-26,34.89,35.17,34.82,34.84,104362,34.84
2012-12-27,34.9,34.99,34.14,34.51,153981,34.51
2012-12-28,34.29,34.66,34.26,34.3,128054,34.3
2012-12-31,34.3,34.73,34.12,34.7,333570,34.7
2013-01-02,35.2,35.48,34.95,35.48,187566,35.48
2013-01-03,35.46,35.49,35.15,35.39,223587,35.39
2013-01-04,35.49,35.97,35.45,35.93,129901,35.93
2013-01-07,35.8,35.86,34.89,35.17,160262,35.17
