DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,32.92,33.19,32.78,32.94,1276766,32.94
2012-01-04,32.72,32.77,32.09,32.44,993643,32.44
2012-01-05,32.29,32.93,32.13,32.43,1608965,32.43
2012-01-06,32.49,32.89,32.14,32.76,994463,32.76
2012-01-09,31.87,32.78,31.57,32.61,1559250,32.61
2012-01-10,33.06,33.34,32.91,33.14,1416041,33.14
2012-01-11,33.44,34.235,33.37,34,1202180,34
2012-01-12,34.12,34.23,32.83,33.57,1469891,33.57
2012-01-13,32.91,33,31.83,32.22,1245900,32.22
2012-01-17,32.68,32.79,31.94,32.13,1018330,32.13
2012-01-18,32.34,32.57,31.96,32.41,958773,32.41
2012-01-19,32.45,33.28,31.88,32.69,1205092,32.69
2012-01-20,32.65,32.65,31.49,32.04,1590319,32.04
2012-01-23,31.98,32.04,31.01,31.72,975350,31.72
2012-01-24,31.46,31.56,31.25,31.37,1077266,31.37
2012-01-25,31.51,31.94,31.35,31.87,844309,31.87
2012-01-26,32.04,32.58,31.23,31.43,1058049,31.43
2012-01-27,31.37,32.11,31.08,32.01,1122878,32.01
2012-01-30,31.43,32.17,31.41,32.04,875427,32.04
2012-01-31,32.22,32.55,31.97,32.25,994858,32.25
2012-02-01,32.19,32.5,31.46,32,1507649,32
2012-02-02,32.34,32.82,32.17,32.33,898631,32.33
2012-02-03,32.77,33.7,32.77,33.64,1084874,33.64
2012-02-06,33.83,34.24,33.26,33.37,1215118,33.37
2012-02-07,33.4,33.67,33,33.65,677969,33.65
2012-02-08,33.82,35.58,33.67,34.44,3203004,34.44
2012-02-09,38.85,39.13,37.47,38.06,5132030,38.06
2012-02-10,37.6,38.78,37.56,38.435,1997941,38.435
2012-02-13,38.56,38.85,37.91,38.57,1060129,38.57
2012-02-14,38.55,38.71,38.08,38.48,785321,38.48
2012-02-15,38.61,38.85,38.02,38.06,991935,38.06
2012-02-16,38,38.56,37.93,38.42,784995,38.42
2012-02-17,38.43,38.445,37.42,37.8,1004686,37.8
2012-02-21,38,38,37.19,37.43,659735,37.43
2012-02-22,37.07,37.39,36.46,36.61,864464,36.61
2012-02-23,36.76,36.76,36.08,36.52,1103067,36.52
2012-02-24,36.78,37.42,36.57,37.21,777674,37.21
2012-02-27,36.83,37.35,36.63,37.07,871589,37.07
2012-02-28,37.15,37.24,36.47,36.69,721956,36.69
2012-02-29,36.81,36.93,35.85,36,1096088,36
2012-03-01,36.2,36.26,35.88,35.9,1044718,35.9
2012-03-02,35.96,36.75,35.9,36.3,844825,36.3
2012-03-05,36.13,36.39,35.6,35.77,695109,35.77
2012-03-06,35.46,35.46,34.72,34.87,969881,34.87
2012-03-07,34.96,35.8,34.88,35.55,824790,35.55
2012-03-08,35.89,36.37,35.89,36.12,742142,36.12
2012-03-09,36.08,36.93,36.06,36.84,781837,36.84
2012-03-12,36.8,37.24,36.37,36.63,754318,36.63
2012-03-13,36.82,37.48,36.56,37.47,701240,37.47
2012-03-14,37.35,37.47,36.38,36.66,762636,36.66
2012-03-15,36.85,37.49,36.61,37.35,860298,37.35
2012-03-16,37.44,37.61,37.22,37.36,1346317,37.36
2012-03-19,37.29,37.5,36.67,37.04,744583,37.04
2012-03-20,36.7,36.79,36.19,36.75,685617,36.75
2012-03-21,36.68,37.14,36.44,36.94,1100952,36.94
2012-03-22,36.63,36.9,36.24,36.46,719044,36.46
2012-03-23,36.55,36.65,36.1,36.62,528311,36.62
2012-03-26,36.97,37.95,36.81,37.77,927631,37.77
2012-03-27,37.85,37.97,37.62,37.68,873759,37.68
2012-03-28,37.65,37.81,36.55,36.88,781648,36.88
2012-03-29,36.53,36.96,36.25,36.92,606938,36.92
2012-03-30,37.22,37.31,36.48,36.7,660927,36.7
2012-04-02,36.43,36.81,36.065,36.73,982388,36.73
2012-04-03,36.58,36.58,36.14,36.38,884984,36.38
2012-04-04,36.58,37.29,36.2,36.48,1423697,36.48
2012-04-05,36.27,36.73,36.07,36.33,854103,36.33
2012-04-09,35.84,35.87,35.32,35.69,825311,35.69
2012-04-10,35.61,36.01,35.08,35.12,1084929,35.12
2012-04-11,35.32,36.28,35.28,35.97,731430,35.97
2012-04-12,36.02,36.66,35.99,36.54,678596,36.54
2012-04-13,36.36,36.79,36.11,36.76,805045,36.76
2012-04-16,36.95,36.99,36.31,36.73,835324,36.73
2012-04-17,37.19,37.81,37.09,37.63,796413,37.63
2012-04-18,37.66,38.64,37.66,38.41,1360637,38.41
2012-04-19,38.49,38.91,37.745,37.86,1190571,37.86
2012-04-20,37.94,38.09,37.34,37.4,987217,37.4
2012-04-23,37.1,38.37,36.92,38.1,1263249,38.1
2012-04-24,38.14,38.24,37.42,37.74,907551,37.74
2012-04-25,38.03,39.09,37.61,38.75,2564464,38.75
2012-04-26,36.29,36.58,32.95,33.15,4717104,33.15
2012-04-27,33.17,34.29,32.95,33.18,2709798,33.18
2012-04-30,32.86,33.05,32.2,32.6,1605803,32.6
2012-05-01,33.49,34.47,33.2,33.61,1639053,33.61
2012-05-02,33.36,34.14,33.22,34.09,1194883,34.09
2012-05-03,34.07,34.07,32.95,33.28,940478,33.28
2012-05-04,32.97,32.99,32.38,32.56,1218245,32.56
2012-05-07,32.35,32.39,32.06,32.28,795216,32.28
2012-05-08,32.07,32.33,30.95,32.28,1385296,32.28
2012-05-09,31.75,32.03,31.19,31.93,1168932,31.93
2012-05-10,32.15,32.32,31.19,31.37,1156940,31.37
2012-05-11,31.31,31.74,31.07,31.17,882145,31.17
2012-05-14,30.75,30.8,29.62,29.66,1564911,29.66
2012-05-15,30.14,30.9,29.9,30.19,1777551,30.19
2012-05-16,30.73,30.79,29.14,29.17,1647899,29.17
2012-05-17,29.25,29.65,28.66,29.29,2090696,29.29
2012-05-18,29.35,29.4,28.38,28.45,1469273,28.45
2012-05-21,28.45,29.58,28.12,29.3,946287,29.3
2012-05-22,29.28,29.63,28.92,29.18,755470,29.18
2012-05-23,28.76,29.79,28.22,29.68,741794,29.68
2012-05-24,30,30.24,29.09,29.4,811359,29.4
2012-05-25,29.36,29.72,29.215,29.31,510878,29.31
2012-05-29,29.51,30.01,29.47,29.98,744137,29.98
2012-05-30,29.89,29.98,29.11,29.21,1043382,29.21
2012-05-31,29.29,29.44,28.59,29.34,937521,29.34
2012-06-01,28.6,28.75,28.11,28.2,914197,28.2
2012-06-04,28.16,28.73,28.02,28.36,1140553,28.36
2012-06-05,26.82,27.57,25.9,27.46,4182921,27.46
2012-06-06,27.71,29.03,27.68,29.01,1543473,29.01
2012-06-07,29.7,29.96,28.99,29.07,1162312,29.07
2012-06-08,29,30.21,28.78,30.12,1385694,30.12
2012-06-11,30.44,30.44,29.64,29.75,1137912,29.75
2012-06-12,29.88,30.3,29.44,30.26,1417974,30.26
2012-06-13,30.15,30.29,29.34,29.56,1025956,29.56
2012-06-14,29.57,30.23,29.55,29.95,924700,29.95
2012-06-15,29.96,31.21,29.88,31.14,1325574,31.14
2012-06-18,31.01,31.67,30.76,31.33,1139257,31.33
2012-06-19,31.48,32,31.27,31.87,760018,31.87
2012-06-20,31.9,31.94,31.33,31.69,505185,31.69
2012-06-21,31.68,31.72,30.245,30.27,968086,30.27
2012-06-22,30.42,30.9,30.37,30.81,808374,30.81
2012-06-25,30.4,30.48,29.89,30.08,580486,30.08
2012-06-26,30.19,30.61,30.07,30.39,476973,30.39
2012-06-27,30.58,30.82,30.3,30.65,393235,30.65
2012-06-28,30.32,30.67,29.97,30.43,527987,30.43
2012-06-29,31.11,31.75,31.04,31.75,744665,31.75
2012-07-02,31.86,32.21,31.29,31.54,897022,31.54
2012-07-03,31.54,32.24,31.51,32.16,333932,32.16
2012-07-05,32.14,32.55,32,32.22,590645,32.22
2012-07-06,32,32.16,30.915,31.28,883026,31.28
2012-07-09,31.35,31.35,29.96,29.99,1188636,29.99
2012-07-10,30.28,30.33,29.38,29.71,965719,29.71
2012-07-11,29.68,30.31,28.99,29.37,1565542,29.37
2012-07-12,28.96,29.6,28.58,29.41,938628,29.41
2012-07-13,29.45,30.2,29.41,30.08,687883,30.08
2012-07-16,29.93,30.34,29.65,30.01,617402,30.01
2012-07-17,30.14,30.35,29.46,30.23,626728,30.23
2012-07-18,30.13,30.66,29.69,29.92,1507222,29.92
2012-07-19,30,30.75,29.95,30.49,1571989,30.49
2012-07-20,30.44,30.44,29.655,29.91,1028789,29.91
2012-07-23,29.24,29.24,28.03,28.66,1590761,28.66
2012-07-24,29.03,29.08,28.12,28.4,1056195,28.4
2012-07-25,28.66,28.83,27.87,28.25,1667269,28.25
2012-07-26,33.43,35.2,32.94,35.04,3652108,35.04
2012-07-27,35.06,36.04,34.51,35.86,2512789,35.86
2012-07-30,36.02,36.1,35.41,35.82,1034015,35.82
2012-07-31,35.55,35.89,35.125,35.18,1368821,35.18
2012-08-01,35.42,35.53,34.99,35.13,860824,35.13
2012-08-02,34.86,35.41,34.29,34.69,1320775,34.69
2012-08-03,35.4,35.63,35.06,35.48,749418,35.48
2012-08-06,35.65,36.145,35.45,35.82,954158,35.82
2012-08-07,35.85,36.415,35.85,36.34,818942,36.34
2012-08-08,36.2,36.38,35.69,36.18,654572,36.18
2012-08-09,36.28,36.41,35.98,36.21,481436,36.21
2012-08-10,36,36.22,35.68,35.97,514442,35.97
2012-08-13,35.85,35.88,35.46,35.74,592138,35.74
2012-08-14,35.87,35.95,35.02,35.44,790300,35.44
2012-08-15,35.68,37.38,35.58,36.8,1385966,36.8
2012-08-16,37.05,37.94,36.55,37.81,1382926,37.81
2012-08-17,37.75,37.89,37.34,37.55,889427,37.55
2012-08-20,37.53,37.59,36.8,37.05,682353,37.05
2012-08-21,37.31,37.71,37.25,37.43,614224,37.43
2012-08-22,37.2,38.01,37.15,37.96,691163,37.96
2012-08-23,37.64,37.68,36.78,37.13,556487,37.13
2012-08-24,37.03,37.42,36.89,37.1,718961,37.1
2012-08-27,37.25,37.36,36.94,37.24,421356,37.24
2012-08-28,37.04,37.6,36.79,37.31,443493,37.31
