DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,27.88,28.14,27.7,27.75,1309352,27.75
2012-01-04,27.69,27.79,27.46,27.56,1092626,27.56
2012-01-05,27.29,27.75,26.99,27.74,804867,27.74
2012-01-06,27.79,28.11,27.56,28.02,950548,28.02
2012-01-09,28.11,28.26,27.93,28.14,677636,28.14
2012-01-10,28.38,28.8,28.27,28.69,880482,28.69
2012-01-11,28.53,29.06,28.45,29.04,1969682,29.04
2012-01-12,29.15,29.32,28.86,29.07,744501,29.07
2012-01-13,28.71,29.04,28.56,28.98,838329,28.98
2012-01-17,29.33,29.39,28.95,29.05,858376,29.05
2012-01-18,28.94,29.47,28.8,29.47,726055,29.47
2012-01-19,29.51,29.69,29.38,29.49,634312,29.49
2012-01-20,29.55,29.86,29.5,29.83,1279413,29.83
2012-01-23,29.81,29.9,29.51,29.8,756231,29.8
2012-01-24,29.57,29.58,29.23,29.36,975316,29.36
2012-01-25,29.24,29.49,29.06,29.18,1158900,29.18
2012-01-26,29.31,29.39,28.89,29.15,1146109,29.15
2012-01-27,28.7,29.19,28.7,29.09,1297139,29.09
2012-01-30,28.91,29.15,28.62,29.04,687280,29.04
2012-01-31,29.09,29.37,28.81,28.85,1322858,28.85
2012-02-01,29.2,29.69,29.07,29.31,1307566,29.31
2012-02-02,30.61,30.75,30.13,30.29,2248749,30.29
2012-02-03,30.56,30.74,30.38,30.69,1045192,30.69
2012-02-06,30.59,30.78,30.43,30.63,855891,30.63
2012-02-07,30.47,30.91,30.34,30.84,866341,30.84
2012-02-08,30.83,31.12,30.73,31,1023621,31
2012-02-09,31.05,31.19,30.54,30.91,817898,30.91
2012-02-10,30.75,30.99,30.58,30.97,1086842,30.97
2012-02-13,31.49,31.49,31.03,31.16,891072,31.16
2012-02-14,31.06,31.16,30.79,31.15,691109,31.15
2012-02-15,31.25,31.31,30.8,30.91,611511,30.91
2012-02-16,30.9,31.19,30.9,31.13,587615,31.13
2012-02-17,31.26,31.59,31.23,31.39,977187,31.39
2012-02-21,31.39,31.61,31.22,31.56,555805,31.56
