DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,38.5,38.64,37.46,37.64,2076580,37.64
2012-01-04,37.4,37.47,37,37.17,1725360,37.17
2012-01-05,37.08,37.55,36.66,37.46,1391626,37.46
2012-01-06,37.45,38.02,37.2,37.47,934920,37.47
2012-01-09,37.45,38.24,37.17,37.77,1236595,37.77
2012-01-10,38.07,38.17,37.39,37.68,1443468,37.68
2012-01-11,37.55,38.17,37.49,37.54,1304451,37.54
2012-01-12,37.76,38.76,37.68,38.63,1268434,38.63
2012-01-13,38.49,38.6,37.22,37.31,1350724,37.31
2012-01-17,37.89,37.89,36.87,37.06,1115651,37.06
2012-01-18,37.81,40.89,37.81,40.72,3428515,40.72
2012-01-19,41.34,41.61,40.285,40.88,2380359,40.88
2012-01-20,40.85,40.85,39.79,40.35,1541600,40.35
2012-01-23,40.14,40.25,39.36,39.68,1334680,39.68
2012-01-24,39.36,40.12,38.99,40.12,1444856,40.12
2012-01-25,38.31,40.725,38.27,40.57,2983035,40.57
2012-01-26,40.65,41.31,40.18,40.38,1300850,40.38
2012-01-27,40.09,40.54,40.03,40.23,1001231,40.23
2012-01-30,39.8,40.02,39.5,39.76,1164432,39.76
2012-01-31,40.09,40.1,39.41,39.79,1300535,39.79
2012-02-01,40.25,40.48,39.59,39.64,1261018,39.64
2012-02-02,39.65,40.41,39.64,39.7,790881,39.7
2012-02-03,40.14,40.905,39.92,40.845,1141427,40.845
2012-02-06,40.57,40.61,40.08,40.32,612875,40.32
2012-02-07,40.31,40.74,40,40.405,816688,40.405
2012-02-08,40.37,41.2,40.32,40.77,1299947,40.77
2012-02-09,41,41.61,40.61,41.08,1470079,41.08
2012-02-10,40.68,40.82,39.83,40.08,849735,40.08
2012-02-13,40.27,40.29,39.11,39.705,1027999,39.705
2012-02-14,39.46,39.88,39.31,39.72,773087,39.72
2012-02-15,39.93,40.27,39.62,39.72,840231,39.72
2012-02-16,39.86,40.86,39.74,40.72,1051098,40.72
2012-02-17,40.71,40.87,40.05,40.07,1216794,40.07
2012-02-21,40.14,40.285,39.21,39.36,1111504,39.36
2012-02-22,39.35,39.51,38.57,39.02,1714694,39.02
2012-02-23,39.18,39.3,38.67,39.13,950590,39.13
2012-02-24,39.27,39.41,38.79,38.88,696747,38.88
2012-02-27,38.51,39.11,37.99,38.77,1284935,38.77
2012-02-28,38.78,39.33,38.72,39.11,908056,39.11
2012-02-29,39.05,39.14,38.01,38.45,1470670,38.45
2012-03-01,38.45,38.71,37.83,38.04,1124196,38.04
2012-03-02,38.02,38.34,37.18,37.2,1140582,37.2
2012-03-05,37.28,37.28,36.32,36.75,1389995,36.75
2012-03-06,36.39,37.4,36.17,37.28,2185891,37.28
2012-03-07,37.14,37.675,36.83,37.15,2595803,37.15
2012-03-08,37.38,37.62,36.98,37.42,1024349,37.42
2012-03-09,37.24,38.14,37.22,38,1153232,38
2012-03-12,38.09,38.09,37.52,37.58,932558,37.58
2012-03-13,37.89,38.09,37.68,38.06,977277,38.06
