DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,10.93,10.97,10.68,10.7,2923267,10.7
2012-01-04,10.71,10.76,10.61,10.76,2629802,10.76
2012-01-05,10.72,10.835,10.64,10.83,2731057,10.83
2012-01-06,10.85,11.03,10.73,11.01,3568971,11.01
2012-01-09,11.08,11.365,11.02,11.35,5714125,11.35
2012-01-10,11.5,11.7,11.44,11.6,5761976,11.6
2012-01-11,11.6,11.88,11.54,11.71,3642230,11.71
2012-01-12,11.81,11.85,11.63,11.8,2646941,11.8
2012-01-13,11.75,11.77,11.45,11.5,3694186,11.5
2012-01-17,11.79,11.91,11.73,11.78,5525715,11.78
2012-01-18,11.84,12.18,11.84,12.12,5056961,12.12
2012-01-19,12.19,12.415,12.16,12.31,3978164,12.31
2012-01-20,12.44,12.55,12.31,12.47,5291045,12.47
2012-01-23,12.45,12.46,12.12,12.22,4312336,12.22
2012-01-24,12.22,12.41,12.12,12.31,2511232,12.31
2012-01-25,12.31,12.395,12.18,12.37,3330428,12.37
2012-01-26,12.43,12.635,12.29,12.4,4725662,12.4
2012-01-27,12.4,12.52,12.185,12.23,5186954,12.23
2012-01-30,12.13,12.15,11.98,12.06,3982305,12.06
2012-01-31,12.18,12.34,12.115,12.28,5052488,12.28
2012-02-01,12.44,12.655,12.36,12.59,3879916,12.59
2012-02-02,12.55,12.75,12.55,12.64,3002127,12.64
2012-02-03,12.81,12.88,12.71,12.79,2717988,12.79
2012-02-06,12.74,12.74,12.46,12.61,3560760,12.61
2012-02-07,12.62,12.79,12.56,12.74,2479880,12.74
2012-02-08,12.71,13.09,12.71,13,4060148,13
2012-02-09,13,13.13,12.915,13.11,2959818,13.11
2012-02-10,12.97,13.1,12.87,12.95,2877332,12.95
2012-02-13,13.02,13.13,12.8,12.93,2697472,12.93
2012-02-14,12.95,12.99,12.695,12.87,3723880,12.87
2012-02-15,12.89,13.1,12.84,12.9,3169106,12.9
2012-02-16,12.94,13.23,12.93,13.21,3955052,13.21
2012-02-17,13.86,13.94,12.97,12.99,8918907,12.99
2012-02-21,13,13.01,12.605,12.71,5199759,12.71
2012-02-22,12.72,12.935,12.71,12.9,6124655,12.9
2012-02-23,12.89,12.92,12.52,12.74,4784232,12.74
2012-02-24,12.73,12.83,12.6,12.63,2421060,12.63
2012-02-27,12.55,12.715,12.48,12.53,4045718,12.53
2012-02-28,12.51,12.72,12.48,12.56,4945771,12.56
2012-02-29,12.54,12.56,12.21,12.24,5329051,12.24
2012-03-01,12.3,12.37,12.165,12.24,4092747,12.24
2012-03-02,12.22,12.4,12.135,12.22,4516433,12.22
2012-03-05,12.15,12.18,11.925,12.03,4505246,12.03
2012-03-06,11.94,12.19,11.93,12.01,4558706,12.01
2012-03-07,12.04,12.21,12.02,12.1,3523484,12.1
2012-03-08,12.19,12.29,12.08,12.18,4673413,12.18
2012-03-09,12.18,12.41,12.1,12.37,3269968,12.37
2012-03-12,12.36,12.415,12.23,12.37,2588590,12.37
2012-03-13,12.47,12.57,12.4,12.5,3492625,12.5
2012-03-14,12.51,12.66,12.49,12.54,3650539,12.54
2012-03-15,12.59,12.875,12.58,12.79,3311337,12.79
2012-03-16,12.75,12.92,12.715,12.82,6703404,12.82
2012-03-19,12.8,12.935,12.77,12.83,2522510,12.83
2012-03-20,12.74,12.83,12.67,12.71,3040686,12.71
2012-03-21,12.71,12.89,12.66,12.72,2317881,12.72
2012-03-22,12.67,12.7,12.46,12.64,4050301,12.64
2012-03-23,12.65,12.72,12.55,12.68,3296062,12.68
2012-03-26,12.8,12.99,12.78,12.96,3102771,12.96
2012-03-27,12.95,12.985,12.815,12.82,3208485,12.82
2012-03-28,12.77,12.795,12.3,12.46,6699229,12.46
2012-03-29,12.35,12.495,12.275,12.48,3253271,12.48
2012-03-30,12.58,12.58,12.41,12.44,3768925,12.44
2012-04-02,12.45,12.545,12.36,12.5,3327576,12.5
2012-04-03,12.4,12.525,12.22,12.24,3951555,12.24
2012-04-04,12.1,12.22,12.005,12.06,3433054,12.06
2012-04-05,12.02,12.16,12.005,12.03,2881698,12.03
2012-04-09,11.91,11.94,11.79,11.86,3433031,11.86
2012-04-10,11.8,11.94,11.69,11.75,3502963,11.75
2012-04-11,11.83,11.99,11.8,11.91,2753423,11.91
2012-04-12,11.92,12.145,11.87,12.05,2435705,12.05
2012-04-13,11.99,12.08,11.79,11.8,2496195,11.8
2012-04-16,11.82,11.925,11.71,11.86,2715454,11.86
2012-04-17,11.91,12.125,11.89,12.03,2715945,12.03
2012-04-18,11.98,11.98,11.815,11.85,2312779,11.85
2012-04-19,11.85,12.05,11.82,11.86,2438739,11.86
2012-04-20,11.91,11.985,11.77,11.77,3431211,11.77
2012-04-23,11.61,11.63,11.48,11.58,2673685,11.58
2012-04-24,11.59,11.65,11.46,11.49,2610464,11.49
2012-04-25,11.56,11.69,11.53,11.635,2221732,11.635
2012-04-26,11.67,12.005,11.65,11.94,2822074,11.94
2012-04-27,11.94,12.04,11.89,12.03,2863988,12.03
2012-04-30,11.99,12.1,11.96,11.99,2196306,11.99
2012-05-01,12.01,12.055,11.85,11.86,2034246,11.86
2012-05-02,11.83,11.84,11.72,11.8,2129342,11.8
2012-05-03,11.8,11.81,11.51,11.53,2813604,11.53
2012-05-04,11.5,11.5,11.23,11.28,3370043,11.28
2012-05-07,11.18,11.25,11.11,11.19,3235573,11.19
2012-05-08,11.09,11.21,10.96,11.16,3433707,11.16
2012-05-09,11.01,11.16,10.9,11.08,3548194,11.08
2012-05-10,11.14,11.23,10.99,11.06,3598620,11.06
2012-05-11,11.04,11.14,10.97,10.98,3919404,10.98
2012-05-14,10.91,11.04,10.85,10.95,2733553,10.95
2012-05-15,10.88,11.03,10.79,10.81,3160599,10.81
2012-05-16,10.82,10.9,10.65,10.66,3055878,10.66
2012-05-17,10.67,10.73,10.48,10.48,3174847,10.48
2012-05-18,10.46,10.67,10.35,10.37,4897048,10.37
2012-05-21,10.36,10.68,10.36,10.66,3511534,10.66
2012-05-22,10.53,10.66,10.3,10.54,3450564,10.54
2012-05-23,10.59,10.72,10.415,10.67,3703430,10.67
2012-05-24,10.67,10.7,10.265,10.38,4637283,10.38
2012-05-25,10.41,10.625,10.4,10.54,2509840,10.54
2012-05-29,10.64,10.77,10.58,10.71,2807022,10.71
2012-05-30,10.59,10.67,10.445,10.46,3669468,10.46
2012-05-31,10.45,10.46,10.27,10.33,5114702,10.33
2012-06-01,10.19,10.26,9.97,10,6547793,10
2012-06-04,10.08,10.16,9.99,10.1,3206829,10.1
2012-06-05,10.06,10.315,10.06,10.29,3302657,10.29
2012-06-06,10.39,10.665,10.39,10.65,3666208,10.65
2012-06-07,10.77,10.8,10.58,10.61,4382205,10.61
2012-06-08,10.62,10.795,10.56,10.76,3043517,10.76
2012-06-11,10.89,10.9,10.58,10.59,3314204,10.59
2012-06-12,10.61,10.85,10.58,10.83,3918994,10.83
2012-06-13,10.76,10.935,10.72,10.77,3585267,10.77
2012-06-14,10.78,10.835,10.66,10.78,3672458,10.78
2012-06-15,10.84,11.01,10.69,10.99,6391317,10.99
2012-06-18,10.94,11.055,10.91,11,3287072,11
2012-06-19,11.06,11.245,11,11.18,2681736,11.18
2012-06-20,11.46,11.585,11.38,11.55,5351316,11.55
2012-06-21,11.51,11.69,11.14,11.17,5096691,11.17
2012-06-22,11.24,11.31,11.14,11.23,8820092,11.23
2012-06-25,11.12,11.12,10.91,10.92,3963504,10.92
2012-06-26,10.94,11.06,10.91,10.98,2847796,10.98
2012-06-27,11.04,11.19,10.995,11.13,1965280,11.13
2012-06-28,11.02,11.11,10.92,11.09,2512147,11.09
2012-06-29,11.29,11.465,11.27,11.46,3686063,11.46
2012-07-02,11.44,11.45,11.21,11.28,2291091,11.28
2012-07-03,11.25,11.47,11.23,11.47,1262606,11.47
2012-07-05,11.41,11.49,11.26,11.32,3041817,11.32
2012-07-06,11.25,11.26,10.96,11.04,3013358,11.04
2012-07-09,11.05,11.1,10.935,11.01,2712433,11.01
2012-07-10,10.5,10.93,10.4,10.71,5951888,10.71
2012-07-11,10.66,10.69,10.51,10.57,2929496,10.57
2012-07-12,10.47,10.505,10.29,10.37,3254325,10.37
2012-07-13,10.37,10.515,10.35,10.48,2855826,10.48
2012-07-16,10.48,10.48,10.31,10.38,2222093,10.38
2012-07-17,10.42,10.465,10.25,10.39,2697558,10.39
2012-07-18,10.34,10.685,10.34,10.68,2977520,10.68
2012-07-19,10.69,10.84,10.58,10.68,3690282,10.68
2012-07-20,10.68,10.73,10.46,10.5,3737415,10.5
2012-07-23,10.32,10.545,10.22,10.49,2626889,10.49
2012-07-24,10.46,10.49,10.265,10.37,2848892,10.37
