DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,64.95,65.185,63.45,64.11,3053258,64.11
2012-01-04,64.1,64.12,63.41,63.76,2425707,63.76
2012-01-05,63.82,64.915,63.6,64.41,1778329,64.41
2012-01-06,64.24,64.87,64.03,64.75,1674461,64.75
2012-01-09,64.26,64.63,63.3,64.2,2241073,64.2
2012-01-10,64.48,65.7,64.21,65.67,2048818,65.67
2012-01-11,65.26,66.45,65.15,66.4,1720425,66.4
2012-01-12,66.28,67.77,66.28,67.54,2232541,67.54
2012-01-13,67.08,67.67,66.77,67.6,2008481,67.6
2012-01-17,67.9,68.47,67.74,68.06,2537444,68.06
2012-01-18,67.74,69.38,67.63,69.22,2265578,69.22
2012-01-19,69.08,69.48,68.71,69.14,1680551,69.14
2012-01-20,69.1,69.63,68.84,69.57,2416683,69.57
2012-01-23,68.81,68.995,67.56,67.78,1800389,67.78
2012-01-24,67.31,68.58,67.19,68.19,2024527,68.19
2012-01-25,67.56,69.38,67.45,69.22,2143844,69.22
2012-01-26,69.19,69.19,67.61,68.08,2068316,68.08
2012-01-27,67.02,69.18,66.71,68.33,3473902,68.33
2012-01-30,67.58,68.39,67.23,68.32,1925653,68.32
2012-01-31,68.36,68.71,67.77,67.91,3671401,67.91
2012-02-01,68.55,69.94,68.15,69.84,2102756,69.84
2012-02-02,69.74,70,69.27,69.62,1652341,69.62
2012-02-03,69.61,69.86,69.01,69.28,1807367,69.28
2012-02-06,68.48,69.15,67.28,69.135,2917877,69.135
2012-02-07,68.71,69.24,68.15,69.17,1620967,69.17
2012-02-08,69.01,69.01,67.7,68.06,3696483,68.06
2012-02-09,68.01,68.06,66.67,66.84,2988204,66.84
2012-02-10,66.9,67.37,66.8,67.34,1697435,67.34
2012-02-13,67.52,68.43,67.38,68.2,1480583,68.2
2012-02-14,67.84,68.02,67.5,67.84,1619276,67.84
2012-02-15,67.96,68.12,67.5,67.9,1433569,67.9
2012-02-16,68.07,69.2,67.98,68.89,2002870,68.89
2012-02-17,68.64,68.66,67.78,67.78,2902038,67.78
2012-02-21,67.45,67.78,66.65,66.69,2424837,66.69
2012-02-22,66.69,67.24,66.35,66.79,1541851,66.79
2012-02-23,66.79,67.54,66.59,67.34,1460039,67.34
2012-02-24,67.57,68.12,67.26,67.73,1135303,67.73
2012-02-27,67.21,67.71,66.73,67.44,1035817,67.44
