DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,60.48,60.51,57.98,58.81,2203685,58.81
2012-01-04,58.2,59.83,58.1,59.66,1349080,59.66
2012-01-05,59.36,60.47,58.54,60.35,935754,60.35
2012-01-06,60.35,60.93,59.98,60.25,1773906,60.25
2012-01-09,60.59,60.59,60.02,60.42,655707,60.42
2012-01-10,60.66,61.52,60.48,61.31,836592,61.31
2012-01-11,61.41,62.28,61.36,62.25,781467,62.25
2012-01-12,62.42,62.51,61.22,62.45,950345,62.45
2012-01-13,62.29,62.42,61.62,62.32,808481,62.32
2012-01-17,62.92,62.92,61.68,61.83,693258,61.83
2012-01-18,61.83,62.47,61.69,62.42,589954,62.42
2012-01-19,62.48,62.66,61.95,62.2,546465,62.2
2012-01-20,62.4,62.4,61.24,61.51,960488,61.51
2012-01-23,61.76,62.09,61.28,61.81,745670,61.81
2012-01-24,61.5,62.51,61.41,62.47,645905,62.47
2012-01-25,62.36,63.39,62.26,62.97,686868,62.97
2012-01-26,62.98,63.08,61.8,62.15,783014,62.15
2012-01-27,62.02,63.21,61.83,63.01,720298,63.01
2012-01-30,62.5,62.88,62.25,62.86,465435,62.86
2012-01-31,63,63.63,62.8,63.51,804737,63.51
2012-02-01,63.77,63.8,63.17,63.35,843507,63.35
2012-02-02,63.36,63.67,63,63.23,566387,63.23
2012-02-03,63.67,63.69,63.19,63.37,788981,63.37
2012-02-06,63.08,63.36,63.03,63.13,710179,63.13
2012-02-07,63.1,63.48,62.86,63.37,485568,63.37
2012-02-08,63.37,63.85,63,63.85,421258,63.85
2012-02-09,63.91,64.01,63.15,63.79,548729,63.79
2012-02-10,63.33,63.82,63.17,63.29,591203,63.29
2012-02-13,63.52,64.38,63.47,64.01,592583,64.01
2012-02-14,63.98,64.52,63.55,64.38,669943,64.38
2012-02-15,64.4,64.54,63.2,63.55,770687,63.55
2012-02-16,62.87,62.88,61.75,62.56,981124,62.56
2012-02-17,62.9,62.99,62.5,62.5,1049805,62.5
2012-02-21,62.62,63.47,62.6,62.99,1039303,62.99
2012-02-22,63.11,63.52,62.74,63.26,859216,63.26
2012-02-23,62.83,63.91,62.48,63.91,915070,63.91
2012-02-24,64.09,64.39,63.78,64.16,555101,64.16
2012-02-27,62.75,63.39,62.72,63.1,672342,63.1
2012-02-28,63.29,63.29,61.77,62.27,969241,62.27
2012-02-29,62.45,62.69,62.03,62.58,832674,62.58
2012-03-01,62.65,63.11,62.46,63.04,639298,63.04
2012-03-02,63.06,63.07,62.51,62.59,413968,62.59
2012-03-05,62.46,63.07,62.38,62.89,590647,62.89
2012-03-06,62.3,62.45,61.96,62.18,847539,62.18
2012-03-07,62.09,62.41,61.92,62.18,556548,62.18
2012-03-08,62.8,63.22,62.33,62.44,723460,62.44
2012-03-09,62.35,62.56,62.01,62.22,773192,62.22
2012-03-12,62.26,62.44,61.84,62,735332,62
2012-03-13,62.25,62.25,61.59,61.9,1419629,61.9
2012-03-14,62.36,63.23,62.22,62.96,1236582,62.96
2012-03-15,62.85,63.3,62.85,63.17,514388,63.17
2012-03-16,63.32,63.58,63.13,63.34,1205823,63.34
2012-03-19,63.66,64,63.39,63.85,414294,63.85
2012-03-20,63.43,63.65,62.83,62.93,656930,62.93
2012-03-21,62.93,63.16,62.4,62.44,635039,62.44
2012-03-22,62.26,62.59,61.98,61.98,696369,61.98
2012-03-23,61.98,62.13,61.29,61.75,612670,61.75
2012-03-26,62.07,62.48,61.81,62.27,622060,62.27
2012-03-27,62.18,62.48,61.9,62.1,512070,62.1
2012-03-28,61.98,62.38,61.84,62.26,556052,62.26
2012-03-29,61.98,62.45,61.65,62.38,661258,62.38
2012-03-30,62.68,63.12,62.31,63.02,760627,63.02
2012-04-02,63.06,64.03,62.86,64.01,585336,64.01
2012-04-03,64,64,63.13,63.24,639116,63.24
2012-04-04,63.01,63.04,62.39,62.65,546152,62.65
2012-04-05,62.51,63.47,62.39,63.41,630309,63.41
2012-04-09,62.39,62.59,61.93,62.3,457511,62.3
2012-04-10,62.08,62.67,61.56,61.62,719641,61.62
2012-04-11,62.29,63.14,62.11,63.09,652675,63.09
2012-04-12,63.2,63.86,62.96,63.81,576733,63.81
2012-04-13,63.26,63.55,63.03,63.16,639601,63.16
2012-04-16,63.63,64.05,63.42,63.72,807880,63.72
2012-04-17,63.9,64.45,63.36,64.36,686768,64.36
2012-04-18,64.31,64.42,64.05,64.1,441278,64.1
2012-04-19,64.2,64.4,63.4,63.85,411411,63.85
2012-04-20,64.05,64.51,63.97,64,834644,64
2012-04-23,63.63,63.68,62.74,63.13,621910,63.13
2012-04-24,63.3,63.85,62.98,63.53,457653,63.53
2012-04-25,64.14,64.75,64.11,64.74,685026,64.74
2012-04-26,64.71,64.91,64.3,64.86,377554,64.86
2012-04-27,65,65.16,64.57,65.1,406386,65.1
2012-04-30,65.16,65.59,64.9,65.58,455147,65.58
2012-05-01,65.64,66.11,65.31,65.43,639123,65.43
2012-05-02,65.15,65.98,64.92,65.92,517464,65.92
2012-05-03,66.5,68.5,66.38,67.05,1030817,67.05
2012-05-04,66.79,67.59,66.33,66.44,576062,66.44
2012-05-07,66.39,67.33,65.93,67.25,466268,67.25
2012-05-08,67.16,67.8,66.73,67.75,964966,67.75
2012-05-09,67.44,67.67,66.82,67,775351,67
2012-05-10,67.5,67.83,66.97,67.54,525829,67.54
2012-05-11,67.11,68.2,67.05,67.62,542224,67.62
2012-05-14,67.27,67.99,66.89,67.2,574057,67.2
2012-05-15,67.1,68.09,67.09,67.77,650162,67.77
2012-05-16,67.9,67.92,66.78,66.82,780415,66.82
2012-05-17,66.95,66.95,64.78,64.8,861234,64.8
2012-05-18,64.89,65.35,64.26,64.42,918416,64.42
2012-05-21,64.76,65.62,64.32,65.51,557394,65.51
2012-05-22,65.44,65.94,64.78,65.07,640814,65.07
2012-05-23,64.7,65.3,64.18,65.18,577582,65.18
2012-05-24,65.43,66.35,65.34,65.85,577180,65.85
2012-05-25,65.88,66.1,65.45,65.75,421920,65.75
2012-05-29,66.22,66.62,65.76,66.31,590787,66.31
2012-05-30,65.92,66.13,65.19,65.19,623250,65.19
2012-05-31,65.28,65.4,64.16,64.88,1067658,64.88
2012-06-01,63.54,64.15,63.12,63.15,919719,63.15
2012-06-04,63.25,63.35,62.55,63.09,484785,63.09
2012-06-05,62.97,64.28,62.97,64.09,569611,64.09
2012-06-06,64.64,65.79,64.55,65.79,669023,65.79
2012-06-07,66.29,66.56,65.26,65.34,531712,65.34
2012-06-08,65.18,66.34,64.84,66.3,562980,66.3
2012-06-11,66.83,67,65.57,65.64,457093,65.64
2012-06-12,65.74,66.49,65.24,66.39,531746,66.39
2012-06-13,66.07,66.84,65.7,66.22,474274,66.22
2012-06-14,66.15,67.4,65.8,67.2,570024,67.2
2012-06-15,67.17,67.84,66.93,67.76,1374161,67.76
2012-06-18,67.78,68.81,67.56,68.62,488292,68.62
2012-06-19,68.87,69.69,68.72,68.99,565497,68.99
2012-06-20,68.99,69.03,67.96,68.47,429033,68.47
2012-06-21,68.82,68.95,67.07,67.13,761790,67.13
2012-06-22,67.59,68,67.09,67.86,591708,67.86
2012-06-25,67.02,67.77,67.02,67.36,470883,67.36
2012-06-26,67.92,68.76,67.32,68.55,772975,68.55
2012-06-27,68.93,69.78,68.45,69.63,605900,69.63
2012-06-28,69.14,69.76,68.31,69.68,468419,69.68
2012-06-29,70.13,70.62,69.49,69.91,880651,69.91
2012-07-02,70.82,71.59,70.21,71.5,604345,71.5
2012-07-03,71.63,71.86,71.2,71.43,306476,71.43
2012-07-05,71.32,71.4,70.75,71.22,393181,71.22
2012-07-06,70.43,71.01,70.38,70.79,486473,70.79
2012-07-09,70.82,71.94,70.71,71.82,673782,71.82
2012-07-10,72,72.18,69.71,69.9,901755,69.9
2012-07-11,69.9,70.39,69.05,70.2,865711,70.2
2012-07-12,69.93,71.4,69.48,71.09,827149,71.09
2012-07-13,71.06,72.15,71.05,72.15,589927,72.15
2012-07-16,72.22,72.42,71.88,72.28,688567,72.28
2012-07-17,72.5,73.03,72.2,73.03,561937,73.03
2012-07-18,72.24,72.34,69.46,70.1,1263074,70.1
2012-07-19,69.96,70.75,69.68,70.52,660614,70.52
2012-07-20,70.34,71.09,70.2,70.92,940250,70.92
2012-07-23,70.42,70.52,69.71,69.94,577102,69.94
2012-07-24,69.39,69.42,68.66,69.14,763631,69.14
2012-07-25,69.48,69.62,68.81,69.26,707973,69.26
2012-07-26,70.62,71.46,70.62,71.03,857693,71.03
2012-07-27,71.53,72.54,71.41,72.33,748433,72.33
2012-07-30,72.37,72.92,72,72.11,544553,72.11
2012-07-31,72.13,72.8,71.89,72.31,963349,72.31
2012-08-01,70.86,75.57,70,71.56,4788954,71.56
2012-08-02,71.43,72.21,71.05,72.19,773361,72.19
2012-08-03,73.16,73.4,72.66,73.07,772572,73.07
2012-08-06,73.36,73.36,72.46,72.5,451311,72.5
2012-08-07,71.76,71.96,70.25,70.52,1098760,70.52
2012-08-08,70.59,70.79,69.97,70.04,686058,70.04
2012-08-09,70.07,70.43,69.84,70.28,551744,70.28
2012-08-10,70.3,70.63,69.91,70.51,461065,70.51
2012-08-13,70.45,71.55,70.43,71.21,537651,71.21
2012-08-14,71.26,71.56,71.11,71.38,426690,71.38
2012-08-15,71.4,71.95,71.12,71.2,407919,71.2
2012-08-16,71.07,71.19,70.48,71.05,561657,71.05
2012-08-17,71.23,71.34,70.8,71.22,767368,71.22
2012-08-20,71.21,71.31,70.39,71.31,469706,71.31
2012-08-21,71.44,71.72,70.04,70.17,575810,70.17
2012-08-22,70.04,70.43,69.79,69.87,852770,69.87
2012-08-23,69.62,69.76,69.21,69.21,694464,69.21
2012-08-24,69,69.72,68.88,69.44,664945,69.44
2012-08-27,69.5,69.659,69.04,69.5,515069,69.5
2012-08-28,69.24,69.95,69.11,69.49,367510,69.49
2012-08-29,69.33,70.01,69.32,69.75,335936,69.75
2012-08-30,69.37,70.19,69.37,70.12,377201,70.12
2012-08-31,70.19,70.52,69.52,70.4,688300,70.4
2012-09-04,70.48,70.92,69.85,70.78,447721,70.78
2012-09-05,70.91,71.02,70.31,70.94,510140,70.94
2012-09-06,71.17,71.78,71.17,71.64,678685,71.64
2012-09-07,71.9,72.32,71.59,71.92,580574,71.92
2012-09-10,71.98,72.09,71.3,71.4,468395,71.4
2012-09-11,71.36,71.89,71.34,71.74,382753,71.74
2012-09-12,72.03,72.06,71.44,71.95,408545,71.95
2012-09-13,72.05,73.19,72.01,72.79,567882,72.79
2012-09-14,72.82,73.1,71.08,71.36,805493,71.36
2012-09-17,71.21,71.62,71.06,71.19,475683,71.19
2012-09-18,71.35,71.46,71.01,71.11,524209,71.11
2012-09-19,71.11,71.28,70.63,70.66,673056,70.66
2012-09-20,70.3,70.91,70.21,70.79,889062,70.79
2012-09-21,71.11,71.32,70.41,70.41,1479610,70.41
2012-09-24,70.3,70.98,70,70.9,550177,70.9
2012-09-25,70.96,71.57,70.07,70.09,759525,70.09
2012-09-26,70.03,71.65,70.03,70.72,481275,70.72
2012-09-27,70.75,71.38,70.51,71.06,415785,71.06
2012-09-28,70.83,71.55,70.83,71.39,763503,71.39
2012-10-01,71.61,72.43,70.73,71.07,539619,71.07
2012-10-02,71.13,71.66,70.45,71.66,803624,71.66
2012-10-03,71.89,72.99,71.54,72.66,576586,72.66
2012-10-04,72.78,72.97,71.85,71.92,582447,71.92
2012-10-05,72.38,72.98,72.13,72.82,537100,72.82
2012-10-08,72.75,72.77,71.98,72.51,339456,72.51
2012-10-09,72.49,72.82,71.57,71.64,389220,71.64
2012-10-10,71.72,72.64,71.64,72.55,530791,72.55
2012-10-11,72.45,72.74,71.43,71.67,892006,71.67
2012-10-12,71.8,72.3,71.77,72.17,407931,72.17
2012-10-15,72.39,75.68,72.1,75.35,1029090,75.35
2012-10-16,75.61,76.15,74.71,74.76,527844,74.76
2012-10-17,74.38,75.04,74.26,74.79,712291,74.79
2012-10-18,74.75,75.55,74.62,75.49,376751,75.49
2012-10-19,75.36,75.48,73.82,73.84,1025817,73.84
2012-10-22,73.64,73.82,72.53,73.56,642111,73.56
2012-10-23,72.96,73.78,72.45,73.43,568756,73.43
2012-10-24,73.56,73.75,73.16,73.5,511001,73.5
2012-10-25,73.87,73.97,72.3,73.32,765942,73.32
2012-10-26,73.45,73.74,72.66,73.37,524092,73.37
2012-10-31,72.91,75.38,72.17,75.29,961507,75.29
2012-11-01,75.3,75.53,74.34,74.58,638323,74.58
2012-11-02,75,75.55,74.34,74.47,894313,74.47
2012-11-05,73.39,74.39,73.25,73.99,545440,73.99
2012-11-06,74.02,74.45,73.39,73.77,528057,73.77
2012-11-07,74.51,76.04,74.04,75.24,884527,75.24
2012-11-08,75.33,75.58,74.46,74.48,770306,74.48
2012-11-09,74.39,75.13,74.21,74.84,556079,74.84
2012-11-12,75.13,75.24,73.77,74.74,324433,74.74
2012-11-13,74.48,75.45,74.22,74.23,409975,74.23
2012-11-14,74.39,74.62,73.23,73.44,726365,73.44
2012-11-15,73.39,73.79,71.76,72.35,574581,72.35
2012-11-16,72.43,74.04,72.35,73.86,1414866,73.86
2012-11-19,74.5,74.7,73.51,73.71,717232,73.71
2012-11-20,73.76,74.24,73.09,73.75,480919,73.75
2012-11-21,73.77,74.16,73.6,74.12,397303,74.12
2012-11-23,74.28,75,74.04,74.98,230301,74.98
2012-11-26,74.58,74.86,73.97,74.35,351981,74.35
2012-11-27,74.16,74.81,73.64,74.2,565814,74.2
2012-11-28,74.02,74.25,73.4,74.21,484898,74.21
2012-11-29,74.49,75.02,74.22,74.9,365476,74.9
2012-11-30,74.92,75.47,74.81,74.93,643400,74.93
2012-12-03,75,75.45,74.58,74.88,359455,74.88
2012-12-04,75,75.54,74.57,74.83,400021,74.83
2012-12-05,74.96,74.96,73.53,74.61,490408,74.61
2012-12-06,74.65,75.01,74.41,74.98,373651,74.98
2012-12-07,75.01,75.55,74.87,75.45,369439,75.45
2012-12-10,75.58,75.58,75.04,75.12,456904,75.12
2012-12-11,75.39,75.93,75.08,75.21,453115,75.21
2012-12-12,75.36,76.47,75.14,76.19,463175,76.19
2012-12-13,75.95,77,75.76,76.09,463095,76.09
2012-12-14,76.09,76.71,75.96,76.67,691462,76.67
2012-12-17,76.95,76.95,76.2,76.9,519453,76.9
2012-12-18,77,77,76.25,76.8,649876,76.8
2012-12-19,76.92,76.99,76.12,76.13,479941,76.13
2012-12-20,76.11,77.26,75.92,77.26,444042,77.26
2012-12-21,76.84,77.03,76.31,76.77,1328303,76.77
2012-12-24,76.78,77.19,76.58,77,179107,77
2012-12-26,76.98,76.99,76.1,76.29,257726,76.29
2012-12-27,76.32,76.82,75.36,76.29,381135,76.29
2012-12-28,75.86,76.69,75.86,75.89,351145,75.89
2012-12-31,75.87,77.27,75.85,77.27,426270,77.27
2013-01-02,78.47,79.05,78.3,79.05,674954,79.05
2013-01-03,78.22,78.22,76.8,77.12,946182,77.12
2013-01-04,77.28,77.39,76.62,77.05,455751,77.05
2013-01-07,76.71,77.19,76.71,76.96,297927,76.96
2013-01-08,76.98,77.44,76.87,77.27,443102,77.27
2013-01-09,77.53,77.95,77.4,77.73,266527,77.73
2013-01-10,78.25,78.87,77.91,78.67,571684,78.67
2013-01-11,78.7,79.03,78.54,78.78,378343,78.78
2013-01-14,78.9,79.04,78.39,78.7,251605,78.7
2013-01-15,78.65,79.33,78.25,79.32,391306,79.32
2013-01-16,79.25,79.25,78.55,78.7,419681,78.7
2013-01-17,78.75,79.11,78.64,78.87,304409,78.87
2013-01-18,78.93,79.38,78.74,79.35,728415,79.35
2013-01-22,79.47,79.48,78.98,79.25,423079,79.25
2013-01-23,78.9,79.37,78.82,78.97,334387,78.97
2013-01-24,79.4,79.97,79.18,79.63,503366,79.63
2013-01-25,79.7,79.91,79.21,79.9,432433,79.9
2013-01-28,79.69,79.72,78.76,78.88,389018,78.88
2013-01-29,78.9,79.05,78.5,78.62,381499,78.62
2013-01-30,78.8,78.8,76.88,76.95,783911,76.95
2013-01-31,77.07,77.13,75.37,76.15,796901,76.15
2013-02-01,76.42,77.1,76.42,76.65,575788,76.65
2013-02-04,76.26,76.77,76.15,76.46,590665,76.46
2013-02-05,76.8,76.93,76.55,76.73,457341,76.73
2013-02-06,76.4,76.55,75.68,75.95,603849,75.95
2013-02-07,76.14,76.46,75.67,75.89,796829,75.89
2013-02-08,75.76,77.08,75.6,77.06,445832,77.06
2013-02-11,76.87,76.88,76.25,76.38,257785,76.38
2013-02-12,76.37,76.56,75.45,75.59,374946,75.59
2013-02-13,75.64,75.66,73.59,74,844521,74
2013-02-14,73.52,73.92,72.56,73.48,813207,73.48
2013-02-15,73.67,75.26,73.57,75.18,1016241,75.18
2013-02-19,75.37,75.44,73.98,74.62,581372,74.62
2013-02-20,74.53,74.7,73.93,73.95,508255,73.95
