DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,176.35,179.47,175.55,179.03,1067246,179.03
2012-01-04,179.21,180.48,176.07,177.51,875096,177.51
2012-01-05,175.94,178.21,174.06,177.61,734010,177.61
2012-01-06,178.07,184.64,177.5,182.61,1467880,182.61
2012-01-09,182.76,184.3,177,178.56,1256704,178.56
2012-01-10,181.1,182.34,177.13,179.34,855336,179.34
2012-01-11,179.64,180.72,178.23,178.9,686029,178.9
2012-01-12,179.42,179.49,175.76,175.93,1204551,175.93
2012-01-13,176.15,178.8,173.51,178.42,1270945,178.42
2012-01-17,180.39,183.28,178.51,181.63,1326060,181.63
2012-01-18,181.94,190.25,181.22,189.44,1776525,189.44
2012-01-19,190.84,195.91,190.36,194.45,1688655,194.45
2012-01-20,190.97,192.9,189.05,190.93,1621189,190.93
2012-01-23,190.8,191.6,185.23,186.09,1098263,186.09
2012-01-24,185,188.39,183.92,187,908193,187
2012-01-25,186.99,188.13,184.66,187.8,858329,187.8
2012-01-26,189.44,194.81,188.8,193.38,1140656,193.38
2012-01-27,193.09,196.5,192.5,195.37,1222902,195.37
2012-01-30,193.68,195,190.13,192.15,1211999,192.15
2012-01-31,194.25,195.55,189.72,194.44,3532480,194.44
2012-02-01,173.88,179.95,172,179.46,5878119,179.46
2012-02-02,179.95,181.93,176.8,181.71,2359230,181.71
2012-02-03,182.63,187.86,181.9,187.68,1825970,187.68
2012-02-06,186.5,186.52,182.94,183.14,1359960,183.14
2012-02-07,182.65,184.92,182.06,184.19,956142,184.19
2012-02-08,184.95,186.45,182.92,185.48,1077933,185.48
2012-02-09,184.5,185.68,181.77,184.98,1458995,184.98
2012-02-10,183.42,187.63,182.55,185.64,1297901,185.64
2012-02-13,187.17,192.48,185.68,191.59,1386277,191.59
2012-02-14,190.65,193.57,186.1,191.3,2229666,191.3
2012-02-15,191.03,191.29,183.27,184.47,1814483,184.47
2012-02-16,177.98,181.65,175.16,179.93,2527662,179.93
2012-02-17,180.14,183.37,179.4,182.5,1787644,182.5
2012-02-21,182.65,184.74,180.58,182.26,1428414,182.26
2012-02-22,181.95,182.98,180.29,180.58,1154129,180.58
2012-02-23,179.32,180.75,176.96,178.89,1328674,178.89
2012-02-24,179.2,180.71,178.39,179.13,746872,179.13
2012-02-27,177.54,179.18,176.5,178.53,957758,178.53
2012-02-28,178.9,184.24,178,183.8,1474524,183.8
2012-02-29,183.89,184,179.01,179.69,1312249,179.69
2012-03-01,179.89,180.47,176.58,180.04,1071620,180.04
2012-03-02,179.35,181.84,178.99,179.3,863942,179.3
2012-03-05,179,181.81,178.21,180.26,1091151,180.26
2012-03-06,178.68,183.49,178.11,181.09,1349627,181.09
2012-03-07,182.65,185.5,182.4,183.77,1303872,183.77
2012-03-08,184.17,188.38,183.85,187.64,1107608,187.64
2012-03-09,186.79,187.2,183.47,184.32,1172224,184.32
2012-03-12,184.13,185.34,182.2,183.39,646296,183.39
2012-03-13,183.92,184.85,180.78,184.59,991476,184.59
2012-03-14,183.65,184.29,181.16,182.26,987669,182.26
2012-03-15,182.14,184.43,180.3,184.43,1095993,184.43
2012-03-16,183.28,185.68,182.35,185.05,2123494,185.05
2012-03-19,183.45,186.67,183,185.52,951540,185.52
2012-03-20,184.88,194.4,182.88,192.33,2530246,192.33
2012-03-21,192.39,194.25,191.27,191.73,967608,191.73
2012-03-22,190.54,194.04,190.31,192.3,947673,192.3
2012-03-23,191.89,196.2,191.81,195.04,1602336,195.04
2012-03-26,196.59,202.95,195.5,202.87,1736933,202.87
2012-03-27,203.59,209.85,202.88,205.44,2047745,205.44
2012-03-28,206.14,207,200.35,201.16,1586538,201.16
2012-03-29,201.28,205.31,200.65,204.61,1243757,204.61
2012-03-30,205.02,206.82,201.88,202.51,1333042,202.51
2012-04-02,198.57,199.88,197,198.05,1606138,198.05
2012-04-03,198.24,202.39,197.55,199.66,1190064,199.66
2012-04-04,196.95,197.5,192.36,193.99,1296300,193.99
2012-04-05,193.55,196.03,193.55,194.39,753135,194.39
2012-04-09,192.02,194.2,190.61,191.87,874906,191.87
2012-04-10,192.75,193.5,186.58,186.98,1148098,186.98
2012-04-11,189.63,191.97,186.79,187.97,1090749,187.97
2012-04-12,188.06,192.26,185.63,190.69,1071993,190.69
2012-04-13,189.9,189.94,186.27,188.46,846641,188.46
2012-04-16,189.01,189.2,183.66,185.5,1100562,185.5
2012-04-17,187.21,190.04,186.9,188.39,696153,188.39
