DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,37.36,37.55,35.61,35.7,425062,35.7
2012-01-04,35.22,35.48,33.17,33.26,611977,33.26
2012-01-05,33.02,34.13,31.91,34.05,540987,34.05
2012-01-06,34.06,34.31,33.38,33.44,236215,33.44
2012-01-09,33.73,34.34,33.58,33.8,195842,33.8
2012-01-10,33.92,34.71,33.83,34.34,275554,34.34
2012-01-11,34.23,34.46,33.9,34.35,166247,34.35
2012-01-12,34.39,34.61,33.93,34.39,134427,34.39
2012-01-13,34.28,34.49,34.02,34.1,242761,34.1
2012-01-17,34.43,34.57,33.81,34.28,318098,34.28
2012-01-18,34.23,35.55,34.11,35.33,324842,35.33
2012-01-19,35.37,35.66,35.11,35.55,321572,35.55
2012-01-20,35.53,35.9,35.07,35.21,265714,35.21
2012-01-23,35.31,36.2,35.31,35.88,286281,35.88
2012-01-24,35.7,36.29,35.68,36.25,195811,36.25
2012-01-25,36.1,36.56,35.97,36.34,169652,36.34
2012-01-26,38.01,38.27,36.54,36.82,407497,36.82
2012-01-27,36.65,36.77,35.86,36.5,247920,36.5
2012-01-30,36.12,36.5,36.05,36.37,175195,36.37
2012-01-31,36.51,36.51,35.54,35.76,178878,35.76
2012-02-01,36.15,36.55,35.92,36.27,249795,36.27
2012-02-02,36.35,36.43,35.89,35.89,294576,35.89
2012-02-03,36.25,37.15,36.25,37.02,306900,37.02
2012-02-06,37,37.32,36.93,37.14,161963,37.14
2012-02-07,37.08,37.25,36.93,37.18,149911,37.18
2012-02-08,37.2,37.34,36.79,36.86,308696,36.86
2012-02-09,36.87,37.05,36.59,36.83,218596,36.83
2012-02-10,36.57,36.69,36.1,36.11,401656,36.11
2012-02-13,36.39,36.54,35.85,35.9,404895,35.9
2012-02-14,35.8,35.87,34.99,35.15,505932,35.15
2012-02-15,35.31,35.49,34.5,34.55,522756,34.55
2012-02-16,34.5,34.89,34.22,34.63,288131,34.63
2012-02-17,34.75,35.25,34.67,35,277241,35
2012-02-21,35,35.35,34.83,34.93,242332,34.93
2012-02-22,35.06,35.28,34.3,34.34,217186,34.34
2012-02-23,34.38,35.17,34.38,34.49,199650,34.49
2012-02-24,34.76,34.78,33.91,34.02,220604,34.02
2012-02-27,33.99,34.52,33.79,34.36,255976,34.36
2012-02-28,34.53,34.79,34.16,34.47,191171,34.47
2012-02-29,34.47,34.47,33.89,34.08,236110,34.08
2012-03-01,34.12,34.49,33.37,34.09,190138,34.09
2012-03-02,34.17,34.58,33.98,34.32,207782,34.32
2012-03-05,34.22,34.37,33.8,33.85,301225,33.85
2012-03-06,33.59,33.64,33.13,33.28,220247,33.28
2012-03-07,33.39,33.99,32.98,33.79,222105,33.79
2012-03-08,34.16,34.62,34.11,34.49,375126,34.49
2012-03-09,34.59,34.8,34.1,34.14,305792,34.14
2012-03-12,34.14,34.29,33.72,33.82,211390,33.82
2012-03-13,33.91,34.21,33.69,34.16,304460,34.16
2012-03-14,34.13,34.75,34.13,34.62,236907,34.62
2012-03-15,34.63,35.09,34.56,34.85,239370,34.85
2012-03-16,34.97,35.51,34.73,34.74,465897,34.74
2012-03-19,34.6,35.18,34.46,35.02,187932,35.02
2012-03-20,34.76,35.33,34.69,35.15,229993,35.15
2012-03-21,35.16,35.6,35.13,35.37,157422,35.37
2012-03-22,35.05,35.33,34.88,35.21,201186,35.21
2012-03-23,35.14,35.48,34.63,35.33,210264,35.33
2012-03-26,35.65,36.04,35.55,35.79,184864,35.79
2012-03-27,35.78,35.89,35.37,35.42,172773,35.42
2012-03-28,35.34,35.34,34.76,34.79,308546,34.79
2012-03-29,34.6,34.63,34.19,34.52,263645,34.52
2012-03-30,34.67,34.8,34.3,34.31,248099,34.31
2012-04-02,34.09,35,34.09,34.78,285864,34.78
2012-04-03,34.83,35.85,34.73,34.85,374533,34.85
2012-04-04,34.59,35.03,34.46,34.55,465831,34.55
2012-04-05,34.47,34.87,34.2,34.21,217895,34.21
2012-04-09,33.73,33.98,33.48,33.69,301896,33.69
2012-04-10,33.56,33.68,32.52,32.54,261771,32.54
2012-04-11,32.84,33.22,32.83,33.22,252183,33.22
2012-04-12,33.27,33.48,33,33.34,150571,33.34
2012-04-13,33.18,33.28,32.84,32.97,141927,32.97
2012-04-16,33.28,33.51,32.78,33.2,278426,33.2
2012-04-17,33.75,34.19,33.59,33.97,199933,33.97
2012-04-18,33.85,33.98,33.67,33.75,200094,33.75
2012-04-19,33.75,33.88,33.15,33.38,197414,33.38
2012-04-20,33.47,34.03,33.27,33.74,309029,33.74
2012-04-23,33.48,33.78,33.18,33.6,300762,33.6
2012-04-24,33.6,33.98,33.27,33.58,314905,33.58
2012-04-25,34.5,34.5,31.57,33.23,571480,33.23
2012-04-26,33.67,34.63,33.33,34.38,387336,34.38
2012-04-27,34.37,34.6,33.84,34.51,258718,34.51
2012-04-30,34.58,34.89,34.24,34.58,317991,34.58
2012-05-01,34.74,35.49,34.65,35.18,233252,35.18
2012-05-02,34.93,35.07,34.64,34.94,313443,34.94
2012-05-03,35,35.26,34.79,35.22,302602,35.22
2012-05-04,34.89,35.33,34.87,34.94,390878,34.94
2012-05-07,34.87,35.24,34.82,35.01,241690,35.01
2012-05-08,34.74,34.79,34.09,34.4,496190,34.4
2012-05-09,34.02,35.14,33.97,34.95,420447,34.95
2012-05-10,35.17,35.59,34.95,35.04,247268,35.04
2012-05-11,35.04,35.39,34.93,35.02,229049,35.02
2012-05-14,34.98,35.27,34.8,34.85,332121,34.85
2012-05-15,34.78,35.22,34.6,34.8,310884,34.8
2012-05-16,34.84,35.37,34.8,34.92,332891,34.92
2012-05-17,34.99,34.99,34.09,34.18,373071,34.18
2012-05-18,34.26,34.72,34.15,34.38,396007,34.38
2012-05-21,34.51,35.11,34.4,35.03,278476,35.03
2012-05-22,35.15,35.84,35.15,35.56,263905,35.56
2012-05-23,35.49,35.89,35.17,35.79,288541,35.79
2012-05-24,35.89,36.13,35.61,35.88,183293,35.88
2012-05-25,35.91,36.4,35.84,36.27,118789,36.27
2012-05-29,36.64,36.69,36.03,36.61,113857,36.61
2012-05-30,36.32,36.32,35.59,35.92,113689,35.92
2012-05-31,35.9,36.24,35.3,36.02,373356,36.02
2012-06-01,35.43,35.74,34.95,35,311265,35
2012-06-04,35.16,35.75,34.95,35.32,251154,35.32
2012-06-05,35.24,35.68,35.09,35.55,238181,35.55
2012-06-06,35.84,36.91,35.83,36.9,173732,36.9
2012-06-07,36.86,36.97,36.26,36.54,165640,36.54
2012-06-08,36.42,37.3,36.37,37.22,126283,37.22
2012-06-11,37.5,37.67,36.36,36.36,217473,36.36
2012-06-12,36.55,36.99,36.5,36.87,236255,36.87
2012-06-13,36.68,36.96,36.03,36.14,131264,36.14
2012-06-14,36.15,36.84,36,36.61,175249,36.61
2012-06-15,36.75,37.05,36.37,36.9,486059,36.9
2012-06-18,36.67,37.24,36.39,37.08,173629,37.08
2012-06-19,37.19,37.76,37.05,37.48,118350,37.48
2012-06-20,37.47,37.47,36.78,36.98,118562,36.98
2012-06-21,36.93,36.97,35.85,35.95,153065,35.95
2012-06-22,36.08,36.18,35.77,35.87,146765,35.87
2012-06-25,34.8,34.99,34.25,34.32,386607,34.32
2012-06-26,34.28,34.64,33.89,34.38,237844,34.38
2012-06-27,34.32,34.7,33.84,34.52,244969,34.52
2012-06-28,34.19,34.61,33.84,34.45,238837,34.45
2012-06-29,35.13,35.53,34.95,35.28,277824,35.28
2012-07-02,35.53,36.82,35.53,36.76,225390,36.76
2012-07-03,36.85,37.93,36.81,37.79,123255,37.79
2012-07-05,38,39.64,37.72,38.99,472733,38.99
2012-07-06,38.57,39,38.52,38.91,207964,38.91
2012-07-09,38.85,39.27,38.7,39.19,150433,39.19
2012-07-10,39.62,39.99,39.4,39.75,180453,39.75
2012-07-11,39.66,39.71,39.13,39.25,191175,39.25
2012-07-12,39.04,39.66,38.91,39.43,164377,39.43
2012-07-13,39.78,40.01,39.52,39.84,167461,39.84
2012-07-16,39.72,39.94,39.58,39.72,149049,39.72
2012-07-17,39.95,40.96,39.79,40.93,268118,40.93
2012-07-18,40.85,42.83,40.85,42.45,260152,42.45
2012-07-19,43.43,43.65,40.27,40.78,309365,40.78
2012-07-20,40.22,40.8,39.58,39.68,357221,39.68
2012-07-23,39.22,39.65,39.04,39.54,242904,39.54
2012-07-24,39.54,39.73,39,39.25,234361,39.25
2012-07-25,39.42,39.65,39.03,39.17,135137,39.17
2012-07-26,39.5,39.71,38.98,39.17,208402,39.17
2012-07-27,39.45,40.67,39.36,40.12,182097,40.12
2012-07-30,40,40.21,39.79,39.86,112121,39.86
2012-07-31,39.61,39.86,39.42,39.43,144999,39.43
2012-08-01,39.4,39.4,37.85,38.19,200493,38.19
2012-08-02,38.08,38.42,37.61,38.34,164061,38.34
2012-08-03,38.96,39.28,38.58,38.83,177449,38.83
2012-08-06,38.96,38.99,38.43,38.61,177846,38.61
2012-08-07,38.87,39.74,38.71,39.16,112259,39.16
2012-08-08,38.96,39.7,38.96,39.52,106316,39.52
2012-08-09,39.55,39.76,39.29,39.56,57926,39.56
2012-08-10,39.43,39.6,38.92,39.58,132727,39.58
2012-08-13,39.45,39.53,38.84,39.41,98394,39.41
2012-08-14,39.62,40.13,39.46,39.58,115306,39.58
2012-08-15,39.47,39.73,39.35,39.53,94882,39.53
2012-08-16,39.56,40,39.42,39.88,142793,39.88
2012-08-17,39.92,40.23,39.63,39.87,140491,39.87
2012-08-20,39.86,40.01,39.56,39.75,95820,39.75
2012-08-21,39.78,40.2,39.54,39.67,116287,39.67
2012-08-22,39.5,39.91,39.5,39.87,81420,39.87
2012-08-23,39.8,40.54,39.73,39.82,132476,39.82
2012-08-24,39.7,40.64,39.56,40.52,115593,40.52
2012-08-27,40.64,41.29,40.49,40.7,170124,40.7
2012-08-28,40.65,41,40.33,40.47,116250,40.47
2012-08-29,40.52,40.54,40.23,40.39,87163,40.39
2012-08-30,40.27,40.72,40.18,40.29,67999,40.29
2012-08-31,40.59,40.67,40.02,40.2,422288,40.2
2012-09-04,40.36,41.48,40.36,41.16,222043,41.16
2012-09-05,41,41.22,40.77,41.14,217798,41.14
2012-09-06,41.22,42.09,40.91,42.04,258975,42.04
2012-09-07,42.23,42.42,41.8,41.82,174291,41.82
2012-09-10,41.67,42.05,41.53,41.55,98347,41.55
2012-09-11,41.61,41.75,41.4,41.46,118415,41.46
2012-09-12,41.46,42.02,40.95,41.09,182149,41.09
2012-09-13,41.08,42.03,40.9,41.86,121345,41.86
2012-09-14,41.89,42.33,41.8,42.17,129251,42.17
2012-09-17,42.09,42.52,42.08,42.25,138270,42.25
2012-09-18,42.18,42.18,40.87,40.98,117370,40.98
2012-09-19,41.13,42.25,40.77,41.94,108185,41.94
2012-09-20,41.63,42.12,41.26,41.54,175925,41.54
2012-09-21,42.19,43.75,42.14,42.95,566366,42.95
2012-09-24,42.7,42.99,42.6,42.71,130217,42.71
2012-09-25,42.96,43.76,42.96,43.06,129265,43.06
2012-09-26,43.04,43.54,42.83,43.26,149844,43.26
2012-09-27,43.43,43.78,43.12,43.38,89754,43.38
2012-09-28,43.15,43.69,42.75,43.67,174934,43.67
2012-10-01,43.77,44.36,43.43,43.5,136276,43.5
2012-10-02,43.82,44.68,43.82,44.55,142227,44.55
2012-10-03,44.75,45.35,44.46,45.1,379850,45.1
2012-10-04,45.31,46.44,45.22,46.34,179469,46.34
2012-10-05,46.66,46.74,46.03,46.53,128851,46.53
2012-10-08,46.38,48,46.38,47.93,196780,47.93
2012-10-09,47.98,48.1,47.34,47.97,188035,47.97
2012-10-10,47.75,47.78,46.32,46.56,238412,46.56
2012-10-11,46.98,47.09,46.26,46.28,108637,46.28
2012-10-12,46.32,46.94,46.32,46.69,152431,46.69
2012-10-15,46.8,47.26,46.48,47.06,80797,47.06
2012-10-16,47.21,47.69,47.1,47.59,94214,47.59
2012-10-17,47.64,48.05,47.47,47.93,78042,47.93
2012-10-18,47.98,48.47,47.76,48.36,155843,48.36
2012-10-19,48.27,48.55,47.86,48.45,137896,48.45
2012-10-22,48.3,48.3,47,47.91,95762,47.91
2012-10-23,47.44,47.96,46.821,47.9,134643,47.9
2012-10-24,48,48.12,47.51,48.04,147710,48.04
2012-10-25,46.74,47.27,43.81,45.76,244640,45.76
2012-10-26,45.47,45.47,43.8,44.61,235987,44.61
2012-10-31,44.83,45.04,44.12,44.4,588098,44.4
2012-11-01,44.61,44.61,43.64,44.25,337982,44.25
2012-11-02,44.54,44.92,43.4,43.56,228097,43.56
2012-11-05,43.39,43.79,43.34,43.5,77455,43.5
2012-11-06,43.69,43.94,43.13,43.48,231996,43.48
2012-11-07,43.23,43.41,41.91,41.93,294916,41.93
2012-11-08,41.93,42,40.96,41.06,79124,41.06
2012-11-09,40.72,41.14,40.49,40.87,111503,40.87
2012-11-12,41.04,41.04,40.28,40.56,148238,40.56
2012-11-13,40.42,41.32,40.42,40.82,95870,40.82
2012-11-14,40.85,40.97,39.48,39.54,123000,39.54
2012-11-15,39.44,40.42,39.36,40.28,174929,40.28
2012-11-16,40.28,41.29,40.28,41.08,221185,41.08
2012-11-19,41.25,41.71,40.8,41.3,177501,41.3
2012-11-20,41.24,41.89,41.19,41.44,95820,41.44
2012-11-21,41.46,41.66,41.22,41.42,73506,41.42
2012-11-23,41.53,42.08,41.25,42.08,39634,42.08
2012-11-26,41.98,42.3,39.66,39.83,292251,39.83
2012-11-27,39.83,40.1,39.33,39.48,282214,39.48
2012-11-28,39.48,40,39.24,39.9,307231,39.9
2012-11-29,40.03,40.03,38.29,38.9,190760,38.9
2012-11-30,39.11,39.36,38.48,38.94,427607,38.94
2012-12-03,39.1,39.22,38.43,38.63,180777,38.63
2012-12-04,39,39.74,38.76,39.36,260725,39.36
2012-12-05,39.58,39.75,39.04,39.37,224974,39.37
2012-12-06,39.24,39.85,39.12,39.53,178063,39.53
2012-12-07,39.66,39.78,39.42,39.74,145680,39.74
2012-12-10,39.6,39.75,39.41,39.52,240074,39.52
2012-12-11,39.61,39.93,39.45,39.64,225364,39.64
2012-12-12,39.63,40.04,38.98,39.11,194040,39.11
2012-12-13,39.1,39.38,38.54,38.69,155957,38.69
2012-12-14,38.69,39.14,38.28,38.42,285896,38.42
2012-12-17,38.6,39.31,38.6,39.31,178814,39.31
2012-12-18,39.28,39.77,39.25,39.52,192950,39.52
2012-12-19,39.52,39.69,39.1,39.35,201067,39.35
2012-12-20,39.5,39.79,38.96,39.39,253765,39.39
2012-12-21,39.21,39.32,38.32,38.9,403402,38.9
2012-12-24,38.68,39.25,38.5,38.91,126673,38.91
2012-12-26,38.94,39.1,38.51,38.68,164334,38.68
2012-12-27,38.73,39.31,38.67,39.19,241495,39.19
2012-12-28,38.98,39.23,38.56,38.92,136672,38.92
2012-12-31,38.81,39.85,38.77,39.7,297526,39.7
2013-01-02,40.11,40.23,38.93,39.59,379611,39.59
2013-01-03,39.64,40.76,39.62,40.58,266358,40.58
2013-01-04,40.96,42.39,40.21,42.23,350434,42.23
2013-01-07,42.23,42.23,41.47,41.67,141445,41.67
2013-01-08,41.71,42.79,41.59,42.12,252866,42.12
2013-01-09,42.2,42.52,42.08,42.25,206964,42.25
2013-01-10,42.33,42.7,42.03,42.69,195165,42.69
2013-01-11,42.58,43.14,42.47,43.05,312389,43.05
2013-01-14,42.91,43.4,42.57,43.31,214957,43.31
2013-01-15,43.14,43.71,43.1,43.58,175808,43.58
2013-01-16,43.38,43.76,43.27,43.65,108462,43.65
2013-01-17,43.75,44.4,43.37,44.24,163929,44.24
2013-01-18,44.19,44.32,43.59,44.16,360140,44.16
2013-01-22,44.14,44.14,43.62,44.03,108588,44.03
2013-01-23,44.1,44.19,43.71,44.01,230552,44.01
2013-01-24,44.24,44.38,43.54,44.01,182650,44.01
2013-01-25,44.22,44.35,43.81,44.14,191912,44.14
2013-01-28,44.36,44.96,44.36,44.86,151933,44.86
2013-01-29,44.66,44.88,44.38,44.87,138068,44.87
