DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,94.1,96.58,93.13,95.93,860598,95.93
2012-01-04,95.38,96.54,94.84,96.42,576419,96.42
2012-01-05,95.97,97.45,95.61,97.17,656297,97.17
2012-01-06,97.47,97.53,96.83,97.04,542381,97.04
2012-01-09,97.44,98.9,96.92,98.84,654910,98.84
2012-01-10,100.99,101.07,97.69,98.09,697113,98.09
2012-01-11,97.63,97.97,96,96.24,677447,96.24
2012-01-12,96.31,96.38,92.93,94.3,893187,94.3
2012-01-13,92.85,93.97,91.48,92.84,586984,92.84
2012-01-17,94.42,94.94,93.5,94.7,505695,94.7
2012-01-18,94.84,96.27,94.2,95.43,764916,95.43
2012-01-19,95.82,97.44,95.66,97.16,892390,97.16
2012-01-20,97.1,97.1,95.12,96.8,1216572,96.8
2012-01-23,97.86,99,96.34,98.38,787338,98.38
2012-01-24,97.5,97.84,96.12,97.71,709297,97.71
2012-01-25,97.45,99.97,95.8,99.83,752449,99.83
2012-01-26,100.51,100.95,97.32,97.91,703509,97.91
2012-01-27,97.2,98.43,97.11,98,498642,98
2012-01-30,97.1,98.89,96.02,98.86,483625,98.86
2012-01-31,100.18,100.32,98.3,98.88,610503,98.88
2012-02-01,100.22,100.4,99.08,99.41,652086,99.41
2012-02-02,99.38,100.24,98.46,99.55,416240,99.55
2012-02-03,101.4,102.08,100.46,101.15,716722,101.15
2012-02-06,100.5,103.01,99.67,102.92,615202,102.92
2012-02-07,103,104.62,101.5,104.53,556645,104.53
2012-02-08,104.52,105.52,103.82,105.11,575897,105.11
2012-02-09,105.57,107.49,105.4,106.68,611409,106.68
2012-02-10,104.83,105.88,104.31,105.13,515829,105.13
2012-02-13,106.89,107.34,105.81,106.25,504622,106.25
2012-02-14,106.43,108.09,106.38,107.31,844275,107.31
2012-02-15,107.46,108.62,106.9,107.67,662838,107.67
2012-02-16,107.76,108.73,105.28,107.61,1076991,107.61
2012-02-17,109.76,110.19,108.29,109.45,1109869,109.45
2012-02-21,110.17,110.75,109.08,109.96,752179,109.96
2012-02-22,110.97,112.02,110.11,110.13,952265,110.13
2012-02-23,110.52,110.87,108.73,109.92,544473,109.92
2012-02-24,110.53,112.08,110.52,111.57,670019,111.57
2012-02-27,110.84,111.17,109.26,110.03,526095,110.03
2012-02-28,110.35,111.28,109.05,109.59,576348,109.59
2012-02-29,109.9,110.43,107.58,107.93,718261,107.93
2012-03-01,108.14,109.29,108.13,109.15,638711,109.15
2012-03-02,109.13,109.25,106.28,106.45,528360,106.45
2012-03-05,106.24,107.02,104.82,106.93,724893,106.93
2012-03-06,104.84,105.48,102.51,103.31,907158,103.31
2012-03-07,103.73,106.45,103.38,105.63,632004,105.63
2012-03-08,106.77,107.89,105.69,107.5,470544,107.5
2012-03-09,107.68,108.74,106.9,107.45,625932,107.45
2012-03-12,107.42,107.42,105.31,106.4,498587,106.4
2012-03-13,107.01,108.18,105.75,108.06,614360,108.06
2012-03-14,107.74,108.25,106.56,106.99,494271,106.99
2012-03-15,107.28,107.82,105.84,106.97,741163,106.97
2012-03-16,107.37,109.5,107.08,108.98,1226429,108.98
2012-03-19,108.51,109.1,107.37,108.6,771457,108.6
2012-03-20,106.95,107.15,105.34,105.61,714971,105.61
2012-03-21,105.93,106.07,103.33,103.48,1026464,103.48
2012-03-22,101.97,102.78,100.52,100.9,1159330,100.9
2012-03-23,101.53,102.84,100.31,101.76,930815,101.76
2012-03-26,102.61,103.15,100.29,101.04,902316,101.04
2012-03-27,101.66,102.15,100.55,101.38,753612,101.38
2012-03-28,100.91,101.24,98.51,98.98,785771,98.98
2012-03-29,98.45,99.13,97.15,98.81,745167,98.81
2012-03-30,99.57,100.7,99.14,100.44,826709,100.44
2012-04-02,100.4,102.11,99.69,100.97,548143,100.97
2012-04-03,100.65,100.9,98.45,99.23,809183,99.23
2012-04-04,97.94,98.08,96.5,97.54,778834,97.54
2012-04-05,97,98.08,95.7,95.87,659169,95.87
2012-04-09,94.38,95.27,93.62,94.58,640028,94.58
2012-04-10,94.3,94.8,93.02,93.5,619872,93.5
2012-04-11,94.7,94.81,92.65,92.81,638191,92.81
2012-04-12,93.25,95.18,92.57,94.9,561825,94.9
2012-04-13,94.69,94.87,93.32,93.65,868311,93.65
2012-04-16,94.15,94.68,91.83,92.27,749187,92.27
2012-04-17,93.37,94.74,92.91,94.55,607153,94.55
2012-04-18,94.07,94.35,91.94,92.3,704657,92.3
2012-04-19,92.94,93.15,91.53,92.11,754373,92.11
2012-04-20,93.2,93.82,91.45,91.47,811089,91.47
2012-04-23,90.44,91.5,89.89,90.96,729141,90.96
2012-04-24,91.21,91.73,90.25,91.26,942837,91.26
2012-04-25,92.09,93.42,91.92,93.37,794767,93.37
2012-04-26,92.6,94.82,92.55,94.79,875757,94.79
2012-04-27,94.92,95.28,94.39,94.91,620444,94.91
2012-04-30,94.75,96.08,94.46,95.94,775313,95.94
2012-05-01,96.38,98.2,95.8,97.77,1088214,97.77
2012-05-02,96.71,97.19,95.32,95.54,777953,95.54
2012-05-03,93.88,93.89,91.47,91.96,1012063,91.96
2012-05-04,90.57,90.82,88.86,89.06,987409,89.06
2012-05-07,89.06,89.35,86.94,87.84,845411,87.84
2012-05-08,86.94,87.7,85.25,87.58,1052553,87.58
2012-05-09,85.98,87.9,85.25,87.17,859940,87.17
2012-05-10,88.52,89.43,87.44,87.87,805582,87.87
2012-05-11,87,88.92,86.66,87.26,597003,87.26
2012-05-14,86.3,86.41,84.89,85.05,971941,85.05
2012-05-15,85.01,85.32,82.38,82.51,968948,82.51
2012-05-16,82.17,85.05,82.06,82.12,954309,82.12
2012-05-17,82.13,83.57,81.64,81.67,834143,81.67
2012-05-18,82.14,82.6,80.14,80.52,1098946,80.52
2012-05-21,81,82.77,80.73,82.72,640347,82.72
2012-05-22,83.19,84.32,82.02,82.63,937052,82.63
2012-05-23,81.81,82.89,80.39,82.89,1139843,82.89
2012-05-24,83.53,83.6,81.32,82.09,928564,82.09
2012-05-25,82.69,82.99,82.2,82.38,487301,82.38
2012-05-29,83.4,84.6,82.84,84.04,802394,84.04
2012-05-30,82.77,82.99,80.68,81.54,773098,81.54
2012-05-31,81.22,82.17,79.4,81.38,1081404,81.38
2012-06-01,78.5,80.93,78.35,79.37,1149303,79.37
2012-06-04,79.51,80.12,77.95,79.56,789951,79.56
2012-06-05,78.95,81.43,78.95,81.15,727869,81.15
2012-06-06,82.23,83.6,82.02,83.59,739520,83.59
2012-06-07,84.6,85.43,83.29,83.48,753119,83.48
2012-06-08,81.62,83.04,81.53,82.97,875776,82.97
2012-06-11,84.22,84.7,81.75,81.83,542718,81.83
2012-06-12,82.38,83.56,81.92,83.27,704055,83.27
2012-06-13,82.87,84.1,82.35,82.97,619975,82.97
2012-06-14,83.39,86.91,83.32,86.01,1573845,86.01
2012-06-15,86.96,87.85,85.57,87.8,2546957,87.8
2012-06-18,86.65,86.9,85,85.37,1027355,85.37
2012-06-19,86,86.38,85.05,85.47,980449,85.47
2012-06-20,85.5,85.8,83.55,84.27,748957,84.27
2012-06-21,84.49,84.49,81.13,81.33,1169852,81.33
2012-06-22,81.81,82.66,80.69,82.25,1503474,82.25
2012-06-25,80.84,81.79,80.12,81.51,1036622,81.51
2012-06-26,81.71,83.46,80.8,82.41,774700,82.41
2012-06-27,83.12,85.25,83,84.99,846755,84.99
2012-06-28,84.24,85.46,83.51,85.23,891537,85.23
2012-06-29,87.73,87.92,86.35,87.89,1077396,87.89
2012-07-02,87.95,88.65,86.23,87.29,772343,87.29
2012-07-03,88.05,90.2,87.69,90.19,633739,90.19
2012-07-05,89.75,89.93,87.78,87.89,819122,87.89
2012-07-06,86.41,86.63,84.71,85.53,886572,85.53
2012-07-09,85.47,86,84.34,85.41,567958,85.41
2012-07-10,86.08,86.31,83.18,83.68,643599,83.68
2012-07-11,84.08,85.38,83.85,84.2,925442,84.2
2012-07-12,82.99,83.32,81.82,82.72,991829,82.72
2012-07-13,83.21,83.92,82.68,83.58,665273,83.58
2012-07-16,83.17,83.42,81.87,83.37,1054972,83.37
2012-07-17,83.75,86.12,83.03,85.93,835327,85.93
2012-07-18,85.43,86.4,85.19,85.68,643354,85.68
2012-07-19,85.86,87.54,85.7,86.92,829876,86.92
2012-07-20,85.56,86.06,84.77,85.08,1274481,85.08
2012-07-23,82.88,84.27,82.73,83.92,764098,83.92
2012-07-24,84.11,84.56,81.57,82.67,561069,82.67
2012-07-25,83.46,83.91,82.44,83.57,689214,83.57
2012-07-26,85,85.36,83.95,85.16,710835,85.16
2012-07-27,85.59,87.82,85.31,87.57,626725,87.57
2012-07-30,87.69,88.02,86.97,87.61,506382,87.61
2012-07-31,87.06,87.61,85.89,86.12,673652,86.12
2012-08-01,86.61,87.04,85.28,86.86,870024,86.86
2012-08-02,82.24,83.8,81.58,82.58,1404755,82.58
2012-08-03,84.34,85,83.45,84.85,1017358,84.85
2012-08-06,85.31,86.48,85.21,86.02,924064,86.02
2012-08-07,86.56,88.39,86.54,88.03,751031,88.03
2012-08-08,87.78,89.33,87.53,88.33,538542,88.33
2012-08-09,88.01,89.26,87.62,88.5,390166,88.5
2012-08-10,87.53,88.1,86.52,87.86,484342,87.86
2012-08-13,87.75,89.02,87.64,87.96,504328,87.96
2012-08-14,88.5,88.69,87.74,88.05,461390,88.05
2012-08-15,88.2,88.2,87.27,87.73,291028,87.73
2012-08-16,88.04,89.03,87.59,88.63,480694,88.63
2012-08-17,88.88,89.17,88.34,89.06,585934,89.06
2012-08-20,88.69,89.9,88.53,89.06,682503,89.06
2012-08-21,89.3,89.62,88.12,88.39,438001,88.39
2012-08-22,88.02,89,87.62,88.7,473870,88.7
2012-08-23,88.6,88.93,87.43,87.55,366372,87.55
2012-08-24,87.35,87.74,86.4,87.5,604535,87.5
2012-08-27,87.51,88.48,87.07,87.43,444280,87.43
2012-08-28,87.22,87.32,86.32,87.02,594014,87.02
2012-08-29,86.97,87.1,86.4,86.53,346521,86.53
2012-08-30,86.06,86.06,84.64,85.09,547103,85.09
2012-08-31,85.77,87,85.37,85.75,795506,85.75
2012-09-04,85.9,85.9,84.01,84.37,734627,84.37
2012-09-05,84.45,84.74,83.73,84.47,608184,84.47
2012-09-06,85.43,87.59,85.25,86.55,609799,86.55
2012-09-07,87.05,89.91,87.05,89.9,1031781,89.9
2012-09-10,89.98,90.59,89.41,89.58,446006,89.58
2012-09-11,89.94,90.45,89.51,89.79,557148,89.79
2012-09-12,90.13,90.52,89.36,90.51,460880,90.51
2012-09-13,90.7,93.36,90.07,92.48,647145,92.48
2012-09-14,93.11,94.83,92.01,92.48,1336478,92.48
2012-09-17,92.31,93.75,91.86,92.1,867928,92.1
2012-09-18,91.91,92.11,89.92,90.65,617200,90.65
2012-09-19,90.5,90.73,88.48,89.21,1110763,89.21
2012-09-20,88.5,89.7,87.73,89.17,948758,89.17
2012-09-21,89.6,89.97,88.31,88.59,1551924,88.59
2012-09-24,87.96,87.99,86.72,86.95,789228,86.95
2012-09-25,87.08,87.75,85.21,85.28,641854,85.28
2012-09-26,84.61,86,84.51,85.24,707413,85.24
2012-09-27,85.99,87.21,85.62,86.84,549565,86.84
2012-09-28,86.4,87.38,85.58,86.47,805269,86.47
2012-10-01,86.95,87.45,86.1,86.41,522354,86.41
2012-10-02,86.95,87.19,86.1,86.55,592654,86.55
2012-10-03,86.71,86.75,85.45,86.5,804506,86.5
2012-10-04,86.98,87.19,85.8,86.52,589302,86.52
2012-10-05,86.9,87.16,85.45,85.89,583343,85.89
2012-10-08,85.12,86.56,85.04,86.43,482276,86.43
2012-10-09,86.6,87.42,85.93,86.95,407479,86.95
2012-10-10,86.76,87.35,85.39,85.47,514023,85.47
2012-10-11,86.32,86.97,85.95,85.97,565719,85.97
2012-10-12,86.1,86.46,84.74,85.33,604824,85.33
2012-10-15,85.22,85.62,84.7,85.44,830098,85.44
2012-10-16,86,87.42,85.93,87.09,555283,87.09
2012-10-17,87.55,88.86,86.82,88.73,685636,88.73
2012-10-18,88.05,89.08,87.74,88.72,730720,88.72
2012-10-19,88.73,88.89,86.71,86.87,949836,86.87
2012-10-22,86.67,86.78,84.6,85.53,718587,85.53
2012-10-23,83.94,84.01,82.72,83.13,640737,83.13
2012-10-24,83.81,83.97,82.15,82.25,676267,82.25
2012-10-25,83.01,83.1,81.81,82.81,617351,82.81
2012-10-26,82.83,83.09,81.95,82.36,667880,82.36
2012-10-31,82.7,82.92,81.92,82.75,746483,82.75
2012-11-01,82.65,83.25,81.08,81.85,1046501,81.85
2012-11-02,82.47,82.62,80.98,81.22,750069,81.22
