DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,78.57,79.12,77.7,78.65,762345,78.65
2012-01-04,78.36,79.95,77.93,79.77,592451,79.77
2012-01-05,79.73,81.15,79,80.8,944442,80.8
2012-01-06,80.92,81.02,79.76,80.27,587508,80.27
2012-01-09,80.15,81.81,80.03,80.77,550926,80.77
2012-01-10,82,82.46,80.58,80.88,893811,80.88
2012-01-11,80.4,81.01,79.02,79.72,904860,79.72
2012-01-12,79.8,80.31,78.46,78.74,702620,78.74
2012-01-13,78.25,78.88,77.61,78.01,827629,78.01
2012-01-17,79.77,79.89,78.79,79.2,681456,79.2
2012-01-18,78.98,80.35,77.71,80.24,714476,80.24
2012-01-19,80.5,80.67,79.62,79.79,1368833,79.79
2012-01-20,79,79.97,78.34,79.02,1066811,79.02
2012-01-23,79.53,79.71,78.33,79.5,884971,79.5
2012-01-24,78.82,79.47,78.42,78.99,553144,78.99
2012-01-25,78.83,81.2,78.25,81.08,948171,81.08
2012-01-26,81.5,81.69,79.01,79.31,923900,79.31
2012-01-27,78.85,79.87,78.8,79.32,639493,79.32
2012-01-30,78.39,80.03,78,80.03,572596,80.03
2012-01-31,80.56,81.23,79.82,80.72,873814,80.72
2012-02-01,81.46,81.78,80.43,80.51,632309,80.51
2012-02-02,80.8,82.32,80.72,82.16,707303,82.16
2012-02-03,82.68,84.47,82.14,84.34,1043449,84.34
2012-02-06,83.34,83.46,81.98,82.87,844441,82.87
2012-02-07,85,87.55,83.62,87.21,1461875,87.21
2012-02-08,87.02,87.43,85.3,86.82,755170,86.82
2012-02-09,87.14,88.21,86.12,87.46,688786,87.46
2012-02-10,86.25,87.26,85.61,87.04,764482,87.04
2012-02-13,88,88.02,86.29,87.34,861724,87.34
2012-02-14,87.2,87.48,86.32,87.05,614110,87.05
2012-02-15,87.35,88.48,86.74,87.51,694854,87.51
2012-02-16,87.79,88.36,86.85,87.75,434322,87.75
2012-02-17,88.45,88.68,87.29,88.05,1412808,88.05
2012-02-21,86.95,87.14,84.5,85.74,1410972,85.74
2012-02-22,87.69,88.28,86.8,87.32,959301,87.32
2012-02-23,86.75,87.66,85.62,87.5,623127,87.5
2012-02-24,87.52,88.19,86.56,87.3,602385,87.3
2012-02-27,86.06,87.43,86,86.52,664045,86.52
2012-02-28,86.73,87.07,85.44,85.89,557339,85.89
2012-02-29,86.41,86.41,83.55,84.12,942048,84.12
2012-03-01,84.66,85.86,84.52,85.81,809188,85.81
2012-03-02,85.39,85.61,82.25,82.55,1139651,82.55
2012-03-05,82.13,83.29,81.68,83.16,580470,83.16
2012-03-06,81.5,82.11,80.84,81.87,852252,81.87
2012-03-07,82.02,83.1,81.23,82.76,520646,82.76
2012-03-08,83.56,84.19,82.82,83.61,554867,83.61
2012-03-09,86.95,87.35,84.73,85.25,1177284,85.25
2012-03-12,85.24,85.24,84,84.76,714318,84.76
2012-03-13,84.93,84.96,82.26,83.64,1248436,83.64
2012-03-14,84.88,85.19,82.9,83.09,877345,83.09
2012-03-15,83.78,84.42,83.01,83.9,990376,83.9
2012-03-16,84.11,84.93,84.11,84.68,2801304,84.68
2012-03-19,84.5,84.94,83.87,84.25,699788,84.25
2012-03-20,83.46,83.46,81.75,82.03,639990,82.03
2012-03-21,82,82.11,80.77,81.04,1009882,81.04
2012-03-22,79.6,80,77.94,78.23,919746,78.23
2012-03-23,78.31,79.76,77.97,79.41,1240424,79.41
2012-03-26,80.5,80.57,78.91,79.46,819773,79.46
2012-03-27,79.65,79.65,78.09,78.33,1354591,78.33
2012-03-28,77.75,77.97,76.31,77.38,902140,77.38
2012-03-29,76.5,77.57,75.91,77.33,1016792,77.33
2012-03-30,78,78.64,77.16,78.34,1153055,78.34
2012-04-02,78.19,79.85,77.58,79.11,682599,79.11
2012-04-03,78.6,79.27,77.9,79.21,705177,79.21
2012-04-04,78.13,78.74,77.45,78.12,735275,78.12
2012-04-05,77.69,78.86,77.59,78.26,731044,78.26
2012-04-09,76.8,77.05,75.58,75.83,783514,75.83
2012-04-10,75.75,76.33,74.25,74.63,892124,74.63
2012-04-11,75.37,75.87,74.27,74.37,822090,74.37
2012-04-12,74.83,76.98,74.74,76.59,592954,76.59
2012-04-13,76.08,76.39,74.89,74.96,617898,74.96
2012-04-16,75.38,75.57,73.16,73.37,843924,73.37
2012-04-17,74.11,74.54,73.63,73.75,1086083,73.75
2012-04-18,73.35,73.36,72.18,72.54,931938,72.54
2012-04-19,72.47,72.89,71.5,72.29,1382014,72.29
2012-04-20,72.75,73.63,71.71,71.73,1098628,71.73
2012-04-23,70.6,71.49,69.8,71,1207835,71
2012-04-24,71.6,72.18,71.1,72.09,858279,72.09
2012-04-25,72.5,73.16,71.95,72.77,916570,72.77
2012-04-26,72.8,74.18,72.31,74.14,764447,74.14
2012-04-27,74.12,74.68,73.59,73.79,635417,73.79
2012-04-30,73.82,73.82,72.41,73.21,799039,73.21
2012-05-01,74.19,76.02,73.97,75.06,1491291,75.06
2012-05-02,74.26,74.31,72.85,72.9,814430,72.9
2012-05-03,73.24,73.3,71.23,71.44,1007707,71.44
2012-05-04,70.51,70.8,68.26,69.01,946732,69.01
2012-05-07,69.25,69.41,67.73,68.97,936374,68.97
2012-05-08,68.49,69.32,66.99,69.1,1408743,69.1
2012-05-09,67.75,69.59,67.34,68.62,951228,68.62
2012-05-10,69.7,70.07,68.82,69.27,900343,69.27
2012-05-11,68.55,69.7,68.16,68.31,671221,68.31
2012-05-14,66.77,67.63,66.17,66.75,1118641,66.75
2012-05-15,66.76,68.27,66.19,66.38,1650968,66.38
2012-05-16,66.58,67.53,65.04,65.08,1126593,65.08
2012-05-17,65.03,65.25,63.58,63.63,1163179,63.63
2012-05-18,64.45,64.59,62.56,62.88,1508230,62.88
2012-05-21,63.32,64.88,63.18,64.74,1295358,64.74
2012-05-22,64.61,65.17,63.59,64.11,1158017,64.11
2012-05-23,63,64.13,62.25,63.96,1513120,63.96
2012-05-24,64.41,64.41,62.84,63.65,885991,63.65
2012-05-25,63.72,64.1,62.73,63.08,683095,63.08
2012-05-29,63.78,64.76,63.62,64.45,555207,64.45
2012-05-30,63.5,63.5,61.49,62.24,1133113,62.24
2012-05-31,62.25,62.4,59.56,61,1665589,61
2012-06-01,59,59.46,57.95,58.13,1490412,58.13
2012-06-04,58.54,58.63,56.42,57.12,1217073,57.12
2012-06-05,56.97,59.04,56.7,58.86,899329,58.86
2012-06-06,59.45,62.2,59.35,62.16,1934098,62.16
2012-06-07,63.13,65,62.71,63.2,1316932,63.2
2012-06-08,62.55,63.96,61.53,63.84,1060701,63.84
2012-06-11,64.52,65.39,61.73,61.81,962543,61.81
2012-06-12,62.22,63.64,62.05,63.59,807469,63.59
2012-06-13,63.11,64,62.58,63,1037762,63
2012-06-14,63.17,64.15,62.62,63.96,815356,63.96
2012-06-15,64.27,65.41,63.63,65.37,2103009,65.37
2012-06-18,64.65,64.84,63.88,64.63,756751,64.63
2012-06-19,65.6,66.16,65.15,65.8,716399,65.8
2012-06-20,65.7,66.18,63.65,64.21,1217702,64.21
2012-06-21,64.57,64.62,60.48,60.56,1368379,60.56
2012-06-22,60.98,62.48,60.84,61.93,2307439,61.93
2012-06-25,60.36,60.67,59.65,60.07,1050230,60.07
2012-06-26,60.22,60.78,59.3,60.45,856126,60.45
2012-06-27,60.9,63.12,60.55,62.2,1139258,62.2
2012-06-28,62.88,63.69,61.86,63.25,1324884,63.25
2012-06-29,65.4,66.22,64.68,66.2,1527547,66.2
2012-07-02,66.02,66.27,64.8,65.66,985740,65.66
2012-07-03,66.49,69.19,66.33,69.05,668888,69.05
2012-07-05,68.51,68.51,66.38,67.13,1057385,67.13
2012-07-06,65.97,66.23,64.86,65.51,752945,65.51
2012-07-09,65.83,66.58,65.05,66.33,649321,66.33
2012-07-10,66.82,67.81,64.19,64.77,1017643,64.77
2012-07-11,65.15,66.94,65.11,66.58,1132950,66.58
2012-07-12,65.33,69.42,64.62,68.12,1937077,68.12
2012-07-13,68.07,68.93,68.07,68.81,791293,68.81
2012-07-16,69.65,71.1,69.36,70.68,1084954,70.68
2012-07-17,71.06,71.88,69.54,71.82,1029304,71.82
2012-07-18,71.25,73.74,71.25,72.63,1260848,72.63
2012-07-19,72.92,73.46,68.86,72.59,1909311,72.59
2012-07-20,71.92,72.12,71.21,72.06,1125305,72.06
2012-07-23,70.69,70.8,69.01,70.29,1135901,70.29
2012-07-24,70.81,71,66.69,68.91,1530661,68.91
2012-07-25,69.36,70.15,68.48,69.52,896482,69.52
2012-07-26,71.35,71.56,69.86,71.16,896263,71.16
2012-07-27,71.24,71.89,70.83,71.41,1243862,71.41
2012-07-30,71.38,72.34,70.57,71.75,806829,71.75
2012-07-31,71.47,71.77,69.29,69.44,1795180,69.44
2012-08-01,69.76,70.05,68.34,68.63,933193,68.63
2012-08-02,67.52,67.74,65.38,66.22,1303880,66.22
2012-08-03,68.78,68.88,67.44,68.41,1455978,68.41
2012-08-06,69.15,69.51,68.19,68.22,855170,68.22
2012-08-07,68.83,71.02,68.81,70.53,940481,70.53
2012-08-08,70.14,71.06,69.61,69.78,745085,69.78
2012-08-09,69.4,70.88,68.48,69.66,929706,69.66
2012-08-10,69.08,69.72,68.61,69.68,588088,69.68
2012-08-13,69.41,69.84,68.42,68.5,647809,68.5
2012-08-14,68.61,69.37,68.6,69.04,549601,69.04
2012-08-15,69.53,69.53,68.63,69.06,988179,69.06
2012-08-16,69.26,71.07,69.18,70.97,801035,70.97
2012-08-17,70.85,71.08,70.07,70.34,1743260,70.34
2012-08-20,70.01,70.26,69.1,69.6,1110510,69.6
2012-08-21,70.04,70.47,69.25,69.55,597290,69.55
2012-08-22,69.43,70.13,69.12,69.93,619843,69.93
2012-08-23,69.69,70.33,68.91,68.92,569040,68.92
2012-08-24,68.78,69.7,68.33,69.57,444809,69.57
2012-08-27,69.5,69.78,68.7,68.77,447409,68.77
2012-08-28,68.6,69.54,68.39,69.27,363321,69.27
2012-08-29,69.32,70,68.83,69.72,550391,69.72
2012-08-30,69.12,69.17,68.11,68.26,552151,68.26
2012-08-31,69.11,70.13,68.8,69.27,913779,69.27
2012-09-04,69.32,69.5,68.31,69.13,471243,69.13
