DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,79.75,79.9,78.94,79.02,146704,79.02
2012-01-04,78.85,80.66,78.85,80.03,133740,80.03
2012-01-05,79.67,79.9,79.18,79.44,296477,79.44
2012-01-06,79.47,79.83,79.19,79.67,108231,79.67
2012-01-09,79.62,79.67,78.53,79,159290,79
2012-01-10,79.49,79.7,78.88,79.69,175021,79.69
2012-01-11,79.46,80.59,79.46,80.56,172647,80.56
2012-01-12,80.64,81.62,80.42,81.46,98983,81.46
2012-01-13,81.06,81.06,79.64,80.61,165244,80.61
2012-01-17,81.37,81.49,80.62,81.25,83486,81.25
2012-01-18,80.91,81.42,80.74,81.19,107009,81.19
2012-01-19,81.2,81.2,80.54,80.82,144476,80.82
2012-01-20,80.65,80.84,79.13,79.4,218567,79.4
2012-01-23,79.51,80,79.39,79.82,261162,79.82
2012-01-24,79.32,79.57,78.91,79,165252,79
2012-01-25,78.78,81,78.25,80.23,291230,80.23
2012-01-26,79.88,80.33,76.96,77.27,222065,77.27
2012-01-27,77.3,78.93,77.18,78.67,201809,78.67
2012-01-30,78.24,78.92,77.45,78.92,155205,78.92
2012-01-31,79.1,79.5,78.34,78.93,120885,78.93
2012-02-01,79.53,80.27,78.85,79.03,145183,79.03
2012-02-02,79.17,79.17,76.97,77.02,193373,77.02
2012-02-03,76.57,78.85,75.84,78.81,263768,78.81
2012-02-06,78.63,78.9,78.23,78.36,92244,78.36
2012-02-07,78.39,79.02,78.01,78.85,176795,78.85
2012-02-08,78.84,79.73,78.58,79.73,97827,79.73
2012-02-09,79.63,79.88,78.89,79.81,126469,79.81
2012-02-10,79.06,79.38,78.27,78.68,85002,78.68
2012-02-13,79.14,79.99,78.98,79.27,94207,79.27
2012-02-14,79.15,79.43,78.38,79.03,93687,79.03
2012-02-15,79.43,79.71,79,79.46,114602,79.46
2012-02-16,79.55,80.39,79.35,80.37,179625,80.37
2012-02-17,80.56,80.76,80.03,80.65,134160,80.65
2012-02-21,80.72,80.92,79.55,80.04,133390,80.04
2012-02-22,79.89,81.25,79.5,81.12,157860,81.12
2012-02-23,81.13,81.93,80.47,81.83,118587,81.83
2012-02-24,81.99,82,81.72,81.85,109407,81.85
2012-02-27,81.25,82.55,81,82.25,140317,82.25
