DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,50,50.84,49.6,50.21,497415,50.21
2012-01-04,49.7,50.34,48.42,48.85,436721,48.85
2012-01-05,48.09,48.33,46.92,48.21,613361,48.21
2012-01-06,48.32,48.43,47.25,47.98,393727,47.98
2012-01-09,48.4,48.87,47.91,48.24,326227,48.24
2012-01-10,49.56,50.08,49.04,49.47,565659,49.47
2012-01-11,49.3,50.31,49.2,49.99,334814,49.99
2012-01-12,50.32,50.49,49.28,49.96,350564,49.96
2012-01-13,49,49.19,48.26,49,460074,49
2012-01-17,50.11,50.4,49,49.28,340411,49.28
2012-01-18,49.54,50.18,48.95,49.63,414980,49.63
2012-01-19,49.91,53,49.78,51.62,548380,51.62
2012-01-20,51.34,51.91,50.64,51.1,463941,51.1
2012-01-23,51.15,51.69,50.23,50.41,276501,50.41
2012-01-24,50.41,50.93,49.19,50.8,435330,50.8
2012-01-25,47.3,50.31,46.37,50.03,1261482,50.03
2012-01-26,50.54,50.54,47.07,47.71,678705,47.71
2012-01-27,47.36,47.4,46.4,46.7,647002,46.7
2012-01-30,45.68,46.53,45.03,45.97,511789,45.97
2012-01-31,46.5,46.77,44.45,45.39,483129,45.39
2012-02-01,46.15,47.08,46,46.5,655237,46.5
2012-02-02,46.66,47.65,46.46,46.9,588628,46.9
2012-02-03,47.94,48.58,47.55,48.28,516394,48.28
2012-02-06,47.8,48.45,47.56,48.4,398895,48.4
2012-02-07,48.21,48.98,47.2,48.46,328056,48.46
2012-02-08,48.71,49,47.34,47.43,333955,47.43
2012-02-09,47.73,48.19,47.25,47.68,483709,47.68
2012-02-10,46.58,46.58,45.37,45.58,563866,45.58
2012-02-13,46.34,46.43,45.36,46.07,363129,46.07
2012-02-14,45.79,45.83,44.47,45.03,461208,45.03
2012-02-15,45.18,45.32,44.19,44.65,424153,44.65
2012-02-16,44.48,45.77,44.28,45.62,469875,45.62
2012-02-17,45.85,45.99,44.91,45.39,414797,45.39
2012-02-21,45.53,45.93,45.01,45.1,461225,45.1
2012-02-22,45,45.2,43.63,43.78,658982,43.78
2012-02-23,43.79,44.17,43.2,44.07,426054,44.07
2012-02-24,44.24,44.92,44.1,44.21,223393,44.21
2012-02-27,43.86,44.27,43.27,44.02,324617,44.02
2012-02-28,44.11,44.27,43.14,43.83,545543,43.83
2012-02-29,44,44.59,43.28,43.87,538692,43.87
2012-03-01,44.09,44.96,44.09,44.55,342069,44.55
2012-03-02,44.52,44.72,43.74,43.8,296532,43.8
2012-03-05,43.44,43.63,42.12,42.26,518043,42.26
2012-03-06,40.91,40.99,40.08,40.37,976192,40.37
2012-03-07,40.5,40.77,39.95,40.2,504162,40.2
2012-03-08,40.86,41.43,40.61,40.86,495825,40.86
2012-03-09,41.01,41.94,40.78,41.3,358366,41.3
2012-03-12,41.01,41.81,40.53,40.54,392224,40.54
2012-03-13,40.92,41.83,40.92,41.8,435063,41.8
2012-03-14,41.8,42.38,41.21,41.55,673156,41.55
2012-03-15,41.76,42.93,41.45,42.85,734359,42.85
2012-03-16,43.3,43.8,43.02,43.49,733697,43.49
2012-03-19,43.51,44.6,43.51,44.15,617042,44.15
2012-03-20,43.27,43.68,42.36,43.18,610905,43.18
2012-03-21,43.4,43.54,42.5,42.72,354084,42.72
2012-03-22,41.81,41.91,40.9,41.58,508205,41.58
2012-03-23,41.7,42.45,41.38,42,350318,42
2012-03-26,42.63,42.63,41.79,42.09,412092,42.09
2012-03-27,42.1,42.8,41.99,42.02,335103,42.02
2012-03-28,41.84,41.84,40.34,40.79,544340,40.79
2012-03-29,40.31,40.81,39.79,40.67,913753,40.67
2012-03-30,41.16,41.32,40.42,41.17,549947,41.17
2012-04-02,41.05,42.33,40.9,41.79,424694,41.79
2012-04-03,41.7,42.01,40.2,40.74,601928,40.74
2012-04-04,39.92,40.22,39.69,39.75,350777,39.75
2012-04-05,39.51,40.41,39.12,39.3,363555,39.3
2012-04-09,38.55,39.19,38.22,39.14,440197,39.14
2012-04-10,39.08,39.3,38.2,38.43,524498,38.43
2012-04-11,39.46,39.98,39.05,39.23,464208,39.23
2012-04-12,39.5,41.62,39.5,41.37,635546,41.37
2012-04-13,41.1,41.1,39.77,39.98,424518,39.98
2012-04-16,40.57,41,39.74,40.3,754199,40.3
2012-04-17,41.12,42.09,40.94,41.53,562040,41.53
2012-04-18,41.1,41.54,40.92,41.26,518173,41.26
2012-04-19,41.36,41.85,40.58,40.87,554561,40.87
2012-04-20,41.25,41.82,40.44,40.45,466064,40.45
2012-04-23,39.52,40.04,38.94,39.76,428225,39.76
2012-04-24,39.92,40.6,39.84,40.33,673712,40.33
2012-04-25,41.03,42.9,41.03,42.79,573480,42.79
2012-04-26,43.35,43.46,42.48,42.59,628370,42.59
2012-04-27,42.87,43.13,42.05,42.3,408056,42.3
2012-04-30,42.1,43.02,41.75,42.94,439713,42.94
2012-05-01,42.97,44.17,42.8,43.85,568907,43.85
2012-05-02,43.4,43.55,42.46,43.04,353727,43.04
2012-05-03,42.98,43.35,42.05,42.3,315971,42.3
2012-05-04,42,42.14,41.07,41.34,304286,41.34
2012-05-07,41.13,41.59,40.58,41.1,202380,41.1
2012-05-08,40.55,40.77,39.17,40.36,529269,40.36
2012-05-09,39.42,40.84,39.2,39.97,438811,39.97
2012-05-10,40.74,40.74,39.5,39.91,281777,39.91
2012-05-11,39.47,40.18,39.11,39.59,288356,39.59
2012-05-14,38.91,39.34,38.58,38.88,242771,38.88
2012-05-15,38.87,39.18,36.49,36.59,589686,36.59
2012-05-16,36.78,37.39,35.26,35.37,552593,35.37
2012-05-17,35.45,35.73,33.6,33.74,666994,33.74
2012-05-18,33.89,34.14,32.97,33.18,464525,33.18
2012-05-21,33.39,35.14,33.22,34.94,452098,34.94
2012-05-22,35.71,35.74,34.28,34.61,635248,34.61
2012-05-23,33.98,35.78,33.48,35.62,461649,35.62
2012-05-24,35.87,35.87,34.17,34.78,265053,34.78
2012-05-25,34.61,34.61,34.03,34.11,249711,34.11
2012-05-29,34.79,35.34,34.45,34.97,351842,34.97
2012-05-30,34.1,34.1,32.91,32.98,378344,32.98
2012-05-31,33.01,33.06,31.56,32.12,742081,32.12
2012-06-01,31.26,31.45,30.23,30.33,801551,30.33
2012-06-04,30.5,30.7,28.74,29.8,760193,29.8
2012-06-05,29.57,30.74,29.57,30.66,490471,30.66
2012-06-06,31.14,31.45,30.68,31.12,496976,31.12
2012-06-07,32.06,32.66,31.11,31.22,453109,31.22
2012-06-08,30.73,30.79,29.84,30.3,457895,30.3
2012-06-11,30.71,30.84,28.52,28.57,583885,28.57
2012-06-12,28.81,28.95,28.23,28.91,516527,28.91
2012-06-13,28.7,29,28.08,28.22,347234,28.22
2012-06-14,28.86,29.24,28.42,29.03,720110,29.03
2012-06-15,29.2,29.5,28.55,29.49,931958,29.49
2012-06-18,29.14,29.24,28.53,28.89,426294,28.89
2012-06-19,29.28,30.57,29.08,30.19,566282,30.19
2012-06-20,30.19,31.36,29.99,30.98,572640,30.98
2012-06-21,30.92,31.09,28.97,29.02,672134,29.02
2012-06-22,29.33,29.35,28.66,28.67,775629,28.67
2012-06-25,28.04,28.18,27.61,28.07,595743,28.07
2012-06-26,28.18,28.85,28,28.62,445664,28.62
2012-06-27,28.65,29.87,28.53,29.75,571146,29.75
2012-06-28,29.38,30.29,29.23,30.23,636290,30.23
2012-06-29,31.41,32.3,31.11,31.89,706196,31.89
2012-07-02,31.79,32.08,31.01,31.74,503766,31.74
2012-07-03,31.9,33.2,31.89,32.97,219599,32.97
2012-07-05,32.76,33.26,32.28,32.59,384037,32.59
2012-07-06,31.83,32.24,31.48,31.86,382997,31.86
2012-07-09,31.71,32.35,31.5,31.72,435608,31.72
2012-07-10,31.98,32.69,30.86,31.11,466652,31.11
2012-07-11,31.15,31.4,30.45,30.76,532943,30.76
2012-07-12,30.27,31.23,29.95,30.92,513053,30.92
2012-07-13,31.08,31.8,31.06,31.61,472222,31.61
2012-07-16,31.45,31.45,30.84,31.16,236887,31.16
2012-07-17,31.37,31.6,30.36,31.16,334429,31.16
2012-07-18,30.93,32.19,30.78,31.88,287824,31.88
2012-07-19,32.09,32.63,32.06,32.1,331581,32.1
2012-07-20,31.71,31.77,30.64,30.84,411757,30.84
2012-07-23,29.89,29.93,29.48,29.63,499869,29.63
2012-07-24,29.65,30.02,28.45,28.64,543070,28.64
2012-07-25,28,29.12,27.72,27.97,706525,27.97
2012-07-26,28.3,29.03,27.81,28.85,696342,28.85
2012-07-27,29.33,30.44,28.9,30.19,466745,30.19
2012-07-30,30.03,30.12,29.17,29.97,297209,29.97
2012-07-31,29.84,30.9,29.84,30.03,552751,30.03
2012-08-01,30.33,30.33,29.35,29.39,379883,29.39
2012-08-02,28.72,29.45,28.15,28.7,318742,28.7
2012-08-03,29.59,30.62,29.3,30.18,284461,30.18
2012-08-06,30.18,31.44,30.18,30.96,431334,30.96
2012-08-07,31.42,32.44,31.42,31.84,309255,31.84
2012-08-08,31.81,32.44,31.55,32.28,451267,32.28
2012-08-09,32.18,33,32.18,32.46,245195,32.46
2012-08-10,32.2,32.72,32.17,32.52,195981,32.52
2012-08-13,32.5,32.69,31.79,31.99,376220,31.99
2012-08-14,32.19,32.47,31.49,31.87,280467,31.87
2012-08-15,31.71,31.71,30.91,31.49,266897,31.49
2012-08-16,31.55,32.6,31.43,32.47,186678,32.47
2012-08-17,32.53,32.93,32.26,32.41,237572,32.41
2012-08-20,32.51,32.77,32.16,32.59,240476,32.59
2012-08-21,32.91,34.1,32.91,33.35,462186,33.35
2012-08-22,33.24,33.24,32.25,33,431675,33
2012-08-23,32.79,32.79,31.34,31.41,381030,31.41
2012-08-24,31.08,31.08,30.57,30.77,428325,30.77
2012-08-27,30.82,31.1,30.1,30.61,374288,30.61
