DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,132.13,133.9,129,130.04,186967,130.04
2012-01-04,128.65,129.44,127.26,127.48,182172,127.48
2012-01-05,127.1,130.15,127.05,129.83,171299,129.83
2012-01-06,130.22,130.69,127.93,128.2,183283,128.2
2012-01-09,128.65,128.65,126.73,126.95,159438,126.95
2012-01-10,128.68,129.15,127.63,128.11,275826,128.11
2012-01-11,127.75,128.16,126.38,127.53,160582,127.53
2012-01-12,126.52,126.54,123.8,124.26,222819,124.26
2012-01-13,124.64,126.77,123.71,126.49,311548,126.49
2012-01-17,127.99,130.17,127.46,128.73,274277,128.73
2012-01-18,128.82,130.81,127.77,127.98,217285,127.98
2012-01-19,128.45,128.75,126.92,127.09,285125,127.09
2012-01-20,127.23,128.18,126.19,127.82,331728,127.82
2012-01-23,127.72,129.97,127.72,129.73,150717,129.73
2012-01-24,128.92,131.38,128.92,131.13,276014,131.13
2012-01-25,130.71,133.95,130.62,133.81,194950,133.81
2012-01-26,134.49,136.07,134.49,134.89,158618,134.89
2012-01-27,134.53,135.88,133.68,135.42,212075,135.42
2012-01-30,134.74,134.9,133.32,134.88,188419,134.88
2012-01-31,135.26,136.1,134.55,136.01,580883,136.01
2012-02-01,137.04,138.2,135.27,136.92,240444,136.92
2012-02-02,135.5,138.28,133.73,138.24,372456,138.24
2012-02-03,139.08,139.82,137.86,139.82,226664,139.82
2012-02-06,139,139.32,137.48,138.18,156730,138.18
2012-02-07,137.22,138.4,136.89,136.99,165839,136.99
2012-02-08,136.99,137.65,135.18,135.81,181468,135.81
2012-02-09,135.85,136.07,134.24,134.37,154967,134.37
2012-02-10,133.61,135.34,133.61,134.45,262970,134.45
2012-02-13,135.63,136.12,134.9,135.33,95945,135.33
2012-02-14,134.96,134.96,132.09,132.75,162788,132.75
2012-02-15,133.05,133.24,131.66,132.45,113296,132.45
2012-02-16,132.2,133.35,132.18,132.95,118955,132.95
2012-02-17,133.48,134.43,132.51,134.03,229764,134.03
2012-02-21,134.23,134.7,130.44,130.88,207443,130.88
2012-02-22,130.54,131.95,129.77,129.87,155263,129.87
2012-02-23,129.81,130.75,129.65,130.06,284392,130.06
2012-02-24,131.7,133.48,130.54,133,403263,133
2012-02-27,132.29,132.95,131.12,132.63,99815,132.63
2012-02-28,133.01,133.27,130.73,130.96,195089,130.96
2012-02-29,131.05,131.93,129.53,129.67,476851,129.67
2012-03-01,129.65,131.26,129.51,131.09,205355,131.09
2012-03-02,131.01,132.44,130.66,132.22,117226,132.22
2012-03-05,132.09,135.1,132.09,134.9,138904,134.9
2012-03-06,133.82,135,133.27,133.55,217136,133.55
2012-03-07,133.85,134.67,132.39,134.56,181061,134.56
2012-03-08,134.99,134.99,133.39,134,200502,134
2012-03-09,135.53,137.96,134.81,137.8,361502,137.8
2012-03-12,137.82,139.59,137.82,138.76,303284,138.76
2012-03-13,139.79,140.61,138.51,140.39,297135,140.39
2012-03-14,140.11,140.4,137.77,138.82,150190,138.82
2012-03-15,138.78,138.78,136.78,137.41,199539,137.41
2012-03-16,137.7,138.52,137.38,138.48,359309,138.48
2012-03-19,138.36,140.08,137.51,139.39,177813,139.39
2012-03-20,138.83,139.59,138.25,138.49,172126,138.49
2012-03-21,138.51,138.52,136.71,137.27,188089,137.27
2012-03-22,136.23,136.23,134.24,135.54,192108,135.54
2012-03-23,135.58,138.17,135.58,137.09,224408,137.09
2012-03-26,138.32,139.14,138.06,138.89,133844,138.89
2012-03-27,139.15,140.26,138.75,139.2,155059,139.2
2012-03-28,137.96,138.22,136.51,138,154346,138
2012-03-29,137.37,138.93,136.93,138.66,154670,138.66
2012-03-30,139.16,141.69,139.12,141.35,321009,141.35
2012-04-02,141.36,141.65,140.31,141.43,156646,141.43
2012-04-03,141.19,142,140.65,141.57,120679,141.57
2012-04-04,140.76,140.8,139.41,139.98,122891,139.98
2012-04-05,139.41,140.23,139.11,139.72,80670,139.72
2012-04-09,138.13,139.59,137.36,138.94,119205,138.94
2012-04-10,139.13,139.43,135.77,136.39,292924,136.39
2012-04-11,137.79,138.23,136.87,137.34,143143,137.34
2012-04-12,137.69,139.8,137.22,139.66,136292,139.66
2012-04-13,138.07,141.38,138.07,140.15,180873,140.15
2012-04-16,141.21,143.2,140.66,142.1,161932,142.1
2012-04-17,142.62,142.9,140.98,142.32,126261,142.32
2012-04-18,141.6,142.69,141.41,142.13,97223,142.13
2012-04-19,142.16,143.12,141.85,142.48,81702,142.48
