DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,29.4,30.09,29.04,29.31,582159,29.31
2012-01-04,29.28,29.45,28.55,29.43,469839,29.43
2012-01-05,29.16,29.54,28.74,29.23,330564,29.23
2012-01-06,29.25,30.3,28.99,29.59,344105,29.59
2012-01-09,29.75,29.85,29.33,29.46,201033,29.46
2012-01-10,29.91,30.14,29.57,29.65,247509,29.65
2012-01-11,29.54,29.95,29.38,29.8,146514,29.8
2012-01-12,29.92,30.12,29.56,29.74,253954,29.74
2012-01-13,29.49,29.5,28.79,28.8,389040,28.8
2012-01-17,29.23,29.23,28.39,28.42,402595,28.42
2012-01-18,28.43,28.93,28.23,28.9,308544,28.9
2012-01-19,29.03,29.49,28.88,29.34,266885,29.34
2012-01-20,29.2,29.51,29.05,29.22,272798,29.22
2012-01-23,29.26,29.32,28.88,28.93,138568,28.93
2012-01-24,28.81,28.88,28.55,28.61,346596,28.61
2012-01-25,28.57,28.75,28.36,28.7,247980,28.7
2012-01-26,28.89,29.31,28.86,29.24,336837,29.24
2012-01-27,29.13,29.39,28.74,28.78,269518,28.78
2012-01-30,28.57,28.72,28.04,28.7,293957,28.7
2012-01-31,25.52,27.43,25.52,27.15,1341156,27.15
2012-02-01,28.02,28.85,28.02,28.53,756899,28.53
2012-02-02,28.59,29.09,28.57,28.79,386405,28.79
2012-02-03,29.12,29.23,28.54,28.56,472311,28.56
2012-02-06,28.49,28.86,28.38,28.84,199155,28.84
2012-02-07,28.8,29.5,28.65,29.44,284966,29.44
2012-02-08,29.5,29.95,29.46,29.77,356628,29.77
2012-02-09,29.83,30,29.45,29.75,425746,29.75
2012-02-10,29.5,29.5,29,29.2,278009,29.2
2012-02-13,29.42,29.9,29.36,29.89,420208,29.89
2012-02-14,29.83,29.83,29.08,29.35,277353,29.35
2012-02-15,29.55,29.55,28.95,29.18,184039,29.18
2012-02-16,29.21,30.1,29.2,29.84,270989,29.84
2012-02-17,30.07,30.29,29.66,30.24,259363,30.24
2012-02-21,30.41,30.75,30.27,30.33,189535,30.33
2012-02-22,30.24,30.61,30.21,30.36,185937,30.36
2012-02-23,30.3,30.95,30.05,30.85,261377,30.85
2012-02-24,30.92,31.1,30.77,30.8,267675,30.8
2012-02-27,30.68,31.09,30.49,31.03,255930,31.03
2012-02-28,31.08,31.1,30.68,30.86,266158,30.86
2012-02-29,30.94,31.28,30.47,30.5,273919,30.5
2012-03-01,30.58,30.87,29.66,29.91,361891,29.91
2012-03-02,29.93,30.48,29.82,29.97,378956,29.97
2012-03-05,29.68,29.68,29.18,29.49,225434,29.49
2012-03-06,29.05,29.28,28.47,28.5,491810,28.5
2012-03-07,28.51,28.73,28.04,28.31,297564,28.31
2012-03-08,28.49,28.88,28.19,28.77,293076,28.77
2012-03-09,28.76,29.46,28.76,29.15,182951,29.15
2012-03-12,29.08,29.38,29.02,29.06,150823,29.06
2012-03-13,29.19,29.65,28.98,29.62,208629,29.62
2012-03-14,29.58,29.82,29.27,29.39,181708,29.39
2012-03-15,29.37,29.85,29.07,29.81,426900,29.81
2012-03-16,29.76,30.02,29.68,29.91,438032,29.91
2012-03-19,29.9,30.17,29.81,29.9,179563,29.9
2012-03-20,29.67,29.76,29.39,29.41,256569,29.41
2012-03-21,29.42,29.44,29.04,29.27,180933,29.27
2012-03-22,28.91,29.07,28.53,28.68,222810,28.68
2012-03-23,28.69,29.19,28.59,29.11,206441,29.11
2012-03-26,29.43,29.84,29.3,29.81,292896,29.81
2012-03-27,29.84,30.6,29.84,30.36,293401,30.36
2012-03-28,30.34,30.48,29.94,30.14,266780,30.14
2012-03-29,29.83,30.26,29.76,30.17,221522,30.17
2012-03-30,30.46,30.46,29.98,30.13,321059,30.13
2012-04-02,29.89,30.32,29.74,30.02,273686,30.02
2012-04-03,29.97,30.14,29.75,29.89,263436,29.89
2012-04-04,29.65,29.86,29.4,29.77,305683,29.77
2012-04-05,29.59,30.07,29.54,29.86,263995,29.86
2012-04-09,29.32,29.78,29.32,29.68,495764,29.68
2012-04-10,29.59,29.59,28.68,28.8,312972,28.8
2012-04-11,29.17,29.71,29.03,29.68,345443,29.68
2012-04-12,29.74,30.78,29.72,30.64,389264,30.64
2012-04-13,30.52,30.52,29.91,30.32,320156,30.32
2012-04-16,30.51,30.79,30.1,30.39,201603,30.39
2012-04-17,30.64,31.36,30.62,31.17,290245,31.17
2012-04-18,30.97,31.24,30.73,31.14,182170,31.14
2012-04-19,31.19,31.52,30.73,30.89,246857,30.89
2012-04-20,31.17,31.68,30.99,31.07,372474,31.07
2012-04-23,30.63,30.93,30.17,30.87,285181,30.87
2012-04-24,30.9,31.36,30.85,31.28,244787,31.28
2012-04-25,31.66,32.1,31.39,31.53,391794,31.53
2012-04-26,31.58,32.45,31.28,32.35,320421,32.35
2012-04-27,32.47,32.51,32.2,32.39,271995,32.39
2012-04-30,32.35,32.35,31.91,31.98,413522,31.98
2012-05-01,31.92,32.64,31.83,32.36,355218,32.36
2012-05-02,32.12,32.53,31.89,32.42,251687,32.42
2012-05-03,32.46,32.78,32.26,32.27,298964,32.27
2012-05-04,32.07,32.17,31.26,31.45,362047,31.45
2012-05-07,31.32,31.64,31.28,31.29,290572,31.29
2012-05-08,31.12,31.15,30.48,31,350801,31
2012-05-09,30.58,31.01,30.43,30.78,394962,30.78
2012-05-10,31.1,31.15,30.61,30.68,182530,30.68
2012-05-11,30.5,31.02,30.41,30.73,222489,30.73
2012-05-14,30.34,30.49,30.13,30.2,306858,30.2
2012-05-15,30.21,30.43,29.82,29.89,176025,29.89
2012-05-16,30.01,30.28,29.46,29.51,292477,29.51
2012-05-17,29.56,29.67,28.91,28.91,210245,28.91
2012-05-18,28.98,29.22,28.58,28.68,312558,28.68
2012-05-21,28.76,29.25,28.5,29.09,379599,29.09
2012-05-22,29.23,29.29,28.79,29,284423,29
2012-05-23,28.74,29.49,28.72,29.41,226771,29.41
2012-05-24,29.42,29.49,28.91,29.33,290712,29.33
2012-05-25,29.35,29.58,29.26,29.45,176977,29.45
2012-05-29,29.74,30.46,29.74,30.43,258038,30.43
2012-05-30,30.06,30.13,29.2,29.2,238473,29.2
2012-05-31,29.22,29.25,28.85,29.11,547624,29.11
2012-06-01,28.61,28.73,28.05,28.12,284216,28.12
2012-06-04,27.92,28.04,27.14,27.36,368055,27.36
2012-06-05,27.3,27.77,27.24,27.37,250288,27.37
2012-06-06,27.69,28.21,27.53,28.21,246376,28.21
2012-06-07,28.65,29.1,28.01,28.09,211254,28.09
2012-06-08,27.97,28.48,27.79,28.32,293629,28.32
2012-06-11,28.66,28.67,27.75,27.82,217992,27.82
2012-06-12,27.92,28.03,27.58,27.7,344593,27.7
2012-06-13,27.63,27.66,26.96,27.02,241030,27.02
2012-06-14,27.1,27.29,26.83,27.06,209662,27.06
2012-06-15,27.22,27.83,27.19,27.81,824492,27.81
2012-06-18,27.65,27.87,27.54,27.76,189968,27.76
2012-06-19,27.96,28.64,27.89,28.39,227381,28.39
2012-06-20,28.35,28.49,27.97,28.06,334476,28.06
2012-06-21,28.16,28.27,27.39,27.4,150065,27.4
2012-06-22,27.64,27.67,27.32,27.51,390382,27.51
2012-06-25,27.15,27.15,26.55,26.55,234620,26.55
2012-06-26,26.72,26.77,26.18,26.38,312135,26.38
2012-06-27,26.55,26.71,26.27,26.63,251803,26.63
2012-06-28,26.41,26.8,26.41,26.73,177797,26.73
2012-06-29,27.33,27.51,27.2,27.34,181646,27.34
2012-07-02,27.53,27.53,27.02,27.22,224621,27.22
2012-07-03,27.22,27.82,26.99,27.77,116166,27.77
2012-07-05,27.62,27.77,27.3,27.41,214104,27.41
2012-07-06,27.02,27.38,27.01,27.37,264314,27.37
2012-07-09,27.26,27.43,27.04,27.43,266371,27.43
2012-07-10,27.49,27.79,27.37,27.51,293755,27.51
2012-07-11,27.53,27.87,27.46,27.8,345200,27.8
2012-07-12,27.6,27.61,27.33,27.37,312077,27.37
2012-07-13,27.47,28.1,27.47,28.02,210839,28.02
2012-07-16,27.94,28.25,27.72,28.14,165573,28.14
2012-07-17,28.16,28.66,27.89,28.59,156042,28.59
2012-07-18,28.49,29.25,28.49,29.12,158262,29.12
2012-07-19,29.22,29.5,29.17,29.31,256603,29.31
2012-07-20,29.12,29.49,28.7,28.74,434270,28.74
2012-07-23,28.09,28.37,27.79,28.24,281714,28.24
2012-07-24,28.56,30.88,28.56,30.31,678296,30.31
2012-07-25,29.7,30.39,29.54,29.91,434884,29.91
2012-07-26,30.73,30.78,29.97,30.31,280958,30.31
2012-07-27,30.58,31.29,30.47,30.87,292274,30.87
2012-07-30,30.87,31.33,30.71,31.32,246705,31.32
2012-07-31,31.18,31.36,30.78,30.79,407036,30.79
2012-08-01,30.94,31.25,30.71,30.72,255746,30.72
2012-08-02,30.53,30.81,30.16,30.54,240987,30.54
2012-08-03,31.13,31.46,31.06,31.12,168283,31.12
2012-08-06,31.25,31.39,30.96,31.23,204728,31.23
2012-08-07,31.37,31.61,31.18,31.48,160774,31.48
2012-08-08,31.24,31.87,31.24,31.62,217758,31.62
2012-08-09,31.61,31.8,31.47,31.57,183289,31.57
2012-08-10,31.44,31.78,31.27,31.77,193066,31.77
2012-08-13,31.72,31.95,31.4,31.56,127838,31.56
2012-08-14,31.77,31.81,31.38,31.46,117319,31.46
2012-08-15,31.29,31.5,31.22,31.29,137770,31.29
2012-08-16,31.25,31.96,31.25,31.84,153700,31.84
2012-08-17,31.91,32.12,31.83,32.04,170299,32.04
2012-08-20,31.94,32.23,31.79,31.96,145564,31.96
2012-08-21,32.07,32.25,31.73,31.89,230031,31.89
2012-08-22,31.82,31.83,31.51,31.61,131482,31.61
2012-08-23,31.59,31.59,31.18,31.33,126934,31.33
2012-08-24,31.29,31.59,31.24,31.5,108984,31.5
2012-08-27,31.59,31.59,31.01,31.02,124035,31.02
2012-08-28,31.01,31.23,30.96,31.07,91766,31.07
2012-08-29,31.08,31.72,31.08,31.37,146191,31.37
2012-08-30,31.17,31.18,30.78,31,148483,31
2012-08-31,30.92,31.41,30.85,31.23,319559,31.23
2012-09-04,31.25,31.25,29.27,29.6,446512,29.6
2012-09-05,29.39,30.03,29.22,29.86,475277,29.86
2012-09-06,30.17,30.9,30.06,30.81,336750,30.81
2012-09-07,30.85,30.93,30.67,30.76,139393,30.76
2012-09-10,30.66,31.01,30.6,30.61,152895,30.61
2012-09-11,30.6,30.85,30.54,30.69,168264,30.69
2012-09-12,30.83,30.97,30.45,30.64,246950,30.64
2012-09-13,30.66,31.08,30.38,30.95,224111,30.95
2012-09-14,30.9,31.97,30.9,31.84,236816,31.84
2012-09-17,31.75,31.75,31.31,31.44,112591,31.44
2012-09-18,31.42,31.42,30.96,31.17,90520,31.17
2012-09-19,31.16,31.47,31.16,31.28,85998,31.28
2012-09-20,31.03,31.08,30.77,30.85,185092,30.85
2012-09-21,31.02,31.22,30.65,31.16,405693,31.16
2012-09-24,30.93,31.42,30.93,31.28,133110,31.28
2012-09-25,31.36,31.54,31.05,31.2,259020,31.2
2012-09-26,31.18,31.4,31.1,31.26,143430,31.26
2012-09-27,31.4,31.75,31.13,31.67,183195,31.67
2012-09-28,31.65,31.9,31.15,31.82,359289,31.82
2012-10-01,31.94,32.29,31.79,31.89,146719,31.89
2012-10-02,31.94,32.03,31.6,31.81,182134,31.81
2012-10-03,31.83,31.87,31.33,31.45,185496,31.45
2012-10-04,29.6,30.52,29.5,30.07,565867,30.07
2012-10-05,29.74,30.3,29.74,30.05,441653,30.05
2012-10-08,29.97,30.19,29.95,30.02,335763,30.02
2012-10-09,30.06,30.13,29.89,29.9,249637,29.9
2012-10-10,29.9,30.17,29.82,29.88,291925,29.88
2012-10-11,30.11,30.36,30.02,30.04,200447,30.04
