DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,327.72,328.49,318.19,319.79,89898,319.79
2012-01-04,313.75,327.79,313.26,326.96,136537,326.96
2012-01-05,324.69,334,321.19,333.85,99173,333.85
2012-01-06,333.85,339.23,332,338.04,95179,338.04
2012-01-09,337.98,340.51,336.48,339.5,102401,339.5
2012-01-10,340.5,341.2,337.86,340.14,122297,340.14
2012-01-11,340.72,342.49,339.55,341.87,125061,341.87
2012-01-12,340.44,343.49,339.94,342.98,68596,342.98
2012-01-13,342.34,344.44,341.22,344.44,65940,344.44
2012-01-17,345,346,344,345,87253,345
2012-01-18,344.31,346.97,342.59,346.28,84672,346.28
2012-01-19,347.48,347.48,344.64,346.5,75953,346.5
2012-01-20,346.9,347.99,344.67,347,82051,347
2012-01-23,347.47,347.8,345.74,347.01,61060,347.01
2012-01-24,346.54,347.6,345.19,346.75,34756,346.75
2012-01-25,346.5,348.59,345,348.58,58578,348.58
2012-01-26,348.62,348.9,347.35,347.91,80380,347.91
2012-01-27,347.7,349,346.47,347.58,62168,347.58
2012-01-30,347.5,349.6,346.57,347.67,60806,347.67
2012-01-31,349.6,351.22,346.49,347.88,89636,347.88
2012-02-01,348.81,353.36,348.34,352.99,58511,352.99
2012-02-02,352.6,352.89,349.14,349.17,34850,349.17
2012-02-03,351.69,353.91,350.34,353.18,44547,353.18
2012-02-06,352.01,352.01,350.07,350.76,60771,350.76
2012-02-07,350.59,351.74,348.19,350.48,44411,350.48
2012-02-08,350.62,351.77,347.27,349.15,47416,349.15
2012-02-09,348.73,354.25,348.48,354.04,58186,354.04
2012-02-10,353.2,354.15,352.06,354.1,43499,354.1
2012-02-13,354.5,360.18,354.1,358.46,73995,358.46
2012-02-14,358.06,360.11,356.64,360.11,32302,360.11
2012-02-15,360.5,360.5,355.1,356.12,41497,356.12
2012-02-16,357.01,358.58,353.9,357.96,57227,357.96
2012-02-17,359.8,360.58,358.01,360.21,61680,360.21
2012-02-21,360.2,361.2,358.23,359.66,95582,359.66
2012-02-22,359.99,360.39,358.59,358.95,29633,358.95
2012-02-23,359.23,360.27,358,358.5,62621,358.5
2012-02-24,360,360,358.85,359.8,42625,359.8
2012-02-27,360.5,367.59,359.8,366.09,129866,366.09
2012-02-28,375,377.5,371.29,376.41,147020,376.41
2012-02-29,373.04,375.57,372.22,374.48,114149,374.48
2012-03-01,375.12,378.88,373.81,378.44,82929,378.44
2012-03-02,378,379.48,377.42,378.45,33231,378.45
2012-03-05,379.1,385.52,377.45,385.22,85145,385.22
2012-03-06,384.24,385.23,380.47,385.23,91237,385.23
2012-03-07,385.36,385.36,380.46,383.74,100822,383.74
2012-03-08,384.88,386,380.42,380.5,85752,380.5
2012-03-09,381.83,383.81,381.33,382.23,44812,382.23
2012-03-12,382,382.01,380.51,380.83,32692,380.83
2012-03-13,381.72,381.98,377.83,379.63,75298,379.63
2012-03-14,380.23,382.15,379.75,379.92,66063,379.92
2012-03-15,378.94,380.34,377.49,379,36636,379
2012-03-16,379,379.42,378.29,378.87,153762,378.87
2012-03-19,378.84,378.98,376.32,377.36,45251,377.36
2012-03-20,376.55,378.65,376.55,377.8,79990,377.8
2012-03-21,377.82,378.88,375.42,375.42,93575,375.42
2012-03-22,375.25,379.22,375.25,378.13,98115,378.13
2012-03-23,377.77,379.31,375.9,378.66,48906,378.66
2012-03-26,379,380,376.74,379,44545,379
2012-03-27,378.67,381.15,378.67,379.58,48311,379.58
2012-03-28,379.41,380.33,375.61,376.36,96920,376.36
2012-03-29,375.21,376.74,373.55,374.34,33371,374.34
2012-03-30,376.1,376.1,371.8,371.8,106329,371.8
2012-04-02,371.81,379.12,371.81,378.72,103769,378.72
2012-04-03,384,385.4,381.83,381.89,133509,381.89
2012-04-04,381,384.36,380,382.4,101080,382.4
2012-04-05,381,385.06,381,383.8,106909,383.8
2012-04-09,380,384.3,378.69,383.5,124535,383.5
2012-04-10,382.95,383.15,375.61,375.87,150310,375.87
2012-04-11,377.1,380.31,376.63,377.05,76969,377.05
2012-04-12,375.91,379.31,374.69,378.73,47748,378.73
2012-04-13,378.74,382.74,375.13,380.97,60840,380.97
2012-04-16,381.43,383.09,378.61,380.8,58487,380.8
2012-04-17,382.51,382.51,378.01,379.17,51794,379.17
2012-04-18,379.21,381.6,377.6,379.5,39631,379.5
2012-04-19,379.23,382.41,378.8,380,78682,380
2012-04-20,380.15,382.63,380.15,381.73,90901,381.73
2012-04-23,379.95,382.64,378.35,382,83202,382
2012-04-24,386,386.25,376.84,379.36,92038,379.36
2012-04-25,380.12,384.36,380.07,382.83,52232,382.83
2012-04-26,383.52,395.1,383.44,393.72,190771,393.72
2012-04-27,395.2,399.08,394.47,397.13,116476,397.13
2012-04-30,398.71,399.1,394.21,396.16,121619,396.16
2012-05-01,394.1,398.51,392.59,395.41,50592,395.41
2012-05-02,395.74,397.6,393.96,396.44,45717,396.44
2012-05-03,397.09,397.64,392.94,393.7,60378,393.7
2012-05-04,391.06,394.23,386.35,389.43,96381,389.43
2012-05-07,388.08,391.42,385.61,386.91,53403,386.91
2012-05-08,385.89,387.21,380.33,383.8,76242,383.8
2012-05-09,382.42,387.09,380.8,382.88,62072,382.88
2012-05-10,383.9,387.89,382.54,385.73,49097,385.73
2012-05-11,386.03,389.54,384.07,387.5,47584,387.5
2012-05-14,385.5,386.06,377.51,377.62,67640,377.62
2012-05-15,377.3,383.78,376.92,382.48,64563,382.48
2012-05-16,381.76,389.62,381.76,388.87,104275,388.87
2012-05-17,376.26,377.45,362.66,365.58,284598,365.58
