DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,74.75,75,74.13,74.22,1254819,74.22
2012-01-04,74.03,74.59,73.6,74.33,1182206,74.33
2012-01-05,73.7,73.89,72.74,73.53,1124081,73.53
2012-01-06,73.8,74.27,72.98,73.98,1086366,73.98
2012-01-09,74.85,74.86,74.18,74.53,952345,74.53
2012-01-10,75,75.34,74.5,75,825102,75
2012-01-11,74.78,74.93,74.23,74.74,591492,74.74
2012-01-12,74.84,75.68,74.78,75.51,817722,75.51
2012-01-13,75.04,75.13,74.16,74.6,1368185,74.6
2012-01-17,75.49,76,75.14,75.24,816375,75.24
2012-01-18,75,75.44,74.8,75.06,983871,75.06
2012-01-19,75.27,75.92,75.11,75.56,1820953,75.56
2012-01-20,75.67,75.9,75.15,75.52,1382535,75.52
2012-01-23,75.5,76.34,75.33,75.51,983529,75.51
2012-01-24,75,75.61,74.6,75.36,966461,75.36
2012-01-25,74.25,76.19,72.85,75.82,2312127,75.82
2012-01-26,76.07,76.34,75,75.31,776198,75.31
2012-01-27,74.79,75.21,74.41,74.55,1111609,74.55
2012-01-30,73.95,74.34,73.69,74.16,1619515,74.16
2012-01-31,74.53,75.2,73.97,74.18,1195268,74.18
2012-02-01,75,75.88,74.98,75.37,935962,75.37
2012-02-02,75.27,75.32,74.51,75.22,824502,75.22
2012-02-03,76,76.74,75.89,76.34,838123,76.34
2012-02-06,75.25,75.55,75.17,75.46,979853,75.46
2012-02-07,75,75.33,74.3,75.2,1066232,75.2
2012-02-08,74.8,75.65,74.51,75.46,1576929,75.46
2012-02-09,75.76,76.23,75.37,75.9,922064,75.9
2012-02-10,75.38,75.56,74.57,74.95,690763,74.95
2012-02-13,75.46,75.5,74.75,74.85,770523,74.85
2012-02-14,75.29,75.57,74.91,75.56,816828,75.56
2012-02-15,75.78,76,75.01,75.21,871713,75.21
2012-02-16,75.01,75.47,74.88,75.27,829613,75.27
2012-02-17,75.54,75.55,75.03,75.35,1206992,75.35
2012-02-21,75.58,75.95,75.09,75.72,870358,75.72
2012-02-22,75.44,76.3,75.31,76.06,722093,76.06
2012-02-23,75.9,76.16,75.53,75.85,860436,75.85
2012-02-24,75.66,76.64,75.63,76.06,672170,76.06
2012-02-27,75.61,75.78,75.02,75.21,853337,75.21
2012-02-28,75.06,75.38,74.81,75.16,751784,75.16
2012-02-29,75.23,75.72,74.76,74.95,1314142,74.95
2012-03-01,75.08,75.63,74.86,75.08,739463,75.08
2012-03-02,75.15,75.26,74.64,74.9,616337,74.9
