DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,5.75,5.89,5.74,5.8,22006406,5.8
2012-01-04,5.72,5.88,5.62,5.8100000000000005,19490202,5.8100000000000005
2012-01-05,5.75,6.35,5.72,6.31,47203196,6.31
2012-01-06,6.2,6.3,6.07,6.18,21852833,6.18
2012-01-09,6.25,6.37,6.19,6.27,21992592,6.27
2012-01-10,6.45,6.65,6.45,6.63,29826214,6.63
2012-01-11,6.59,6.9,6.53,6.87,27033644,6.87
2012-01-12,7,7.02,6.66,6.79,29591487,6.79
2012-01-13,6.5,6.6899999999999995,6.41,6.61,34748402,6.61
2012-01-17,6.65,6.8100000000000005,6.44,6.48,26912975,6.48
2012-01-18,6.5,6.8,6.47,6.8,25074775,6.8
2012-01-19,7.22,7.28,6.91,6.96,38747705,6.96
2012-01-20,6.96,7.08,6.84,7.07,33405960,7.07
2012-01-23,7.15,7.37,7.12,7.25,27936085,7.25
2012-01-24,7.12,7.35,7.06,7.29,18551466,7.29
2012-01-25,7.2,7.37,7.15,7.35,19638644,7.35
2012-01-26,7.46,7.5,7.23,7.3,23288321,7.3
2012-01-27,7.21,7.35,7.2,7.29,50499463,7.29
2012-01-30,7.14,7.14,7.02,7.07,27767493,7.07
2012-01-31,7.18,7.19,7.05,7.13,23516649,7.13
2012-02-01,7.25,7.44,7.22,7.36,24335925,7.36
2012-02-02,7.43,7.49,7.34,7.45,16691563,7.45
2012-02-03,7.66,7.88,7.63,7.84,33736949,7.84
2012-02-06,7.8,7.97,7.77,7.97,20902338,7.97
2012-02-07,7.97,7.99,7.83,7.85,24007614,7.85
2012-02-08,7.95,8.14,7.93,8.13,33055196,8.13
2012-02-09,8.32,8.34,8.1,8.18,42508944,8.18
2012-02-10,8.03,8.12,7.98,8.07,26727665,8.07
2012-02-13,8.28,8.31,8.22,8.25,34436308,8.25
2012-02-14,8.15,8.17,7.95,7.98,35380010,7.98
2012-02-15,8,8.12,7.77,7.78,37918212,7.78
2012-02-16,7.6899999999999995,8.13,7.66,8.09,34016970,8.09
2012-02-17,8.02,8.08,7.95,8.02,57367766,8.02
2012-02-21,8.01,8.19,8,8.11,57381797,8.11
2012-02-22,8.07,8.12,7.95,7.95,20834535,7.95
2012-02-23,7.95,8.05,7.9,8.02,13308961,8.02
2012-02-24,8.05,8.09,7.88,7.88,15162880,7.88
2012-02-27,7.77,8.05,7.67,8.04,43897179,8.04
2012-02-28,8.06,8.15,8,8.12,17615842,8.12
2012-02-29,8.15,8.23,7.97,7.97,25738066,7.97
2012-03-01,8.08,8.17,8.06,8.12,19310146,8.12
2012-03-02,8.11,8.21,8.1,8.13,12602229,8.13
2012-03-05,8.1,8.12,7.95,7.97,18274562,7.97
2012-03-06,7.78,7.79,7.66,7.71,27807165,7.71
2012-03-07,7.82,8.02,7.78,8.02,77438834,8.02
2012-03-08,8.08,8.12,8.01,8.06,15923584,8.06
2012-03-09,8.12,8.18,8.01,8.05,19542886,8.05
2012-03-12,8,8.06,7.92,7.99,16862172,7.99
2012-03-13,8.08,8.5,8.05,8.49,38885761,8.49
2012-03-14,8.67,8.89,8.56,8.84,49994129,8.84
2012-03-15,8.98,9.25,8.85,9.24,46928256,9.24
2012-03-16,9.43,9.8,9.33,9.8,88520189,9.8
2012-03-19,9.8,10.09,9.51,9.53,69807718,9.53
2012-03-20,9.6,9.97,9.59,9.81,39304925,9.81
2012-03-21,9.98,10.03,9.8,9.82,29010017,9.82
2012-03-22,9.65,9.77,9.52,9.6,31291496,9.6
2012-03-23,9.48,9.85,9.41,9.85,37269385,9.85
2012-03-26,10,10.04,9.85,9.93,25992879,9.93
2012-03-27,9.86,9.9,9.58,9.6,27311262,9.6
2012-03-28,9.61,9.77,9.58,9.75,24679296,9.75
2012-03-29,9.63,9.67,9.43,9.53,27952689,9.53
2012-03-30,9.62,9.64,9.35,9.57,47454866,9.57
2012-04-02,9.53,9.78,9.42,9.68,16880888,9.68
2012-04-03,9.63,9.67,9.41,9.49,19668828,9.49
2012-04-04,9.35,9.35,9.15,9.2,25626241,9.2
2012-04-05,9.13,9.4,9.11,9.23,22646510,9.23
2012-04-09,9.04,9.04,8.83,8.93,25293427,8.93
2012-04-10,8.96,9.09,8.5,8.54,41400911,8.54
2012-04-11,8.79,8.91,8.73,8.86,22157188,8.86
2012-04-12,8.93,9.18,8.91,9.17,24255362,9.17
2012-04-13,9.06,9.08,8.68,8.68,28849620,8.68
2012-04-16,8.87,8.92,8.63,8.79,21472964,8.79
2012-04-17,8.96,9,8.88,8.92,17034810,8.92
2012-04-18,8.87,8.97,8.85,8.92,19176947,8.92
2012-04-19,9.15,9.16,8.68,8.77,36186706,8.77
2012-04-20,8.76,8.78,8.33,8.36,34168507,8.36
2012-04-23,8.01,8.3,7.95,8.18,29930830,8.18
2012-04-24,8.23,8.27,8.1,8.21,18864503,8.21
2012-04-25,8.3,8.35,8.17,8.26,17445692,8.26
2012-04-26,8.2,8.39,8.18,8.27,15182708,8.27
2012-04-27,8.31,8.33,8.2,8.25,11987110,8.25
2012-04-30,8.21,8.23,8.04,8.11,21661748,8.11
2012-05-01,8.08,8.4,8.08,8.31,18020601,8.31
2012-05-02,8.2,8.23,8.12,8.16,15021907,8.16
2012-05-03,8.17,8.18,7.91,8,17958236,8
2012-05-04,7.9,7.91,7.7,7.74,19302266,7.74
2012-05-07,7.66,8,7.66,7.96,16588564,7.96
2012-05-08,7.87,7.9,7.6899999999999995,7.79,23259788,7.79
2012-05-09,7.66,7.82,7.65,7.73,21375081,7.73
2012-05-10,7.9,7.9399999999999995,7.67,7.7,21890282,7.7
2012-05-11,7.48,7.77,7.41,7.55,26545608,7.55
2012-05-14,7.36,7.52,7.35,7.35,21345084,7.35
2012-05-15,7.35,7.55,7.25,7.3,20784807,7.3
2012-05-16,7.38,7.47,7.08,7.11,20591921,7.11
2012-05-17,7.1,7.25,6.9399999999999995,6.98,24462270,6.98
2012-05-18,6.98,7.03,6.89,7.02,33410120,7.02
2012-05-21,7.04,7.11,6.72,6.83,23740987,6.83
2012-05-22,6.91,7.15,6.86,6.98,22315520,6.98
2012-05-23,6.89,7.17,6.85,7.17,19906242,7.17
2012-05-24,7.27,7.32,7.01,7.14,19264911,7.14
2012-05-25,7.08,7.24,7.07,7.15,10938612,7.15
2012-05-29,7.28,7.45,7.22,7.44,18256133,7.44
2012-05-30,7.32,7.41,7.1,7.2,22793300,7.2
2012-05-31,7.2,7.37,7.05,7.35,33115369,7.35
2012-06-01,7.1,7.19,6.9399999999999995,7.02,27492043,7.02
2012-06-04,7.08,7.1,6.85,6.9,17226609,6.9
2012-06-05,6.92,7.14,6.9,7.1,13209224,7.1
2012-06-06,7.25,7.77,7.18,7.64,34041309,7.64
2012-06-07,7.8,7.9,7.38,7.42,28348860,7.42
2012-06-08,7.33,7.58,7.2,7.5600000000000005,21636294,7.5600000000000005
2012-06-11,7.72,7.76,7.28,7.28,20078822,7.28
2012-06-12,7.32,7.5,7.22,7.49,15407964,7.49
2012-06-13,7.38,7.61,7.36,7.5,20401429,7.5
2012-06-14,7.53,7.6899999999999995,7.45,7.66,13478530,7.66
2012-06-15,7.73,7.9,7.5600000000000005,7.9,38129251,7.9
2012-06-18,7.77,7.9,7.73,7.76,11162211,7.76
2012-06-19,7.88,8.19,7.86,8.11,22548886,8.11
2012-06-20,8.17,8.22,8.02,8.14,16230577,8.14
2012-06-21,8.12,8.17,7.8,7.82,19093433,7.82
2012-06-22,7.98,7.99,7.8,7.9399999999999995,16437058,7.9399999999999995
2012-06-25,7.73,7.74,7.5600000000000005,7.6,26156457,7.6
2012-06-26,7.65,7.67,7.48,7.61,13188968,7.61
2012-06-27,7.6899999999999995,7.8100000000000005,7.61,7.77,10819646,7.77
2012-06-28,7.61,7.75,7.53,7.74,12708059,7.74
2012-06-29,7.98,8.2,7.96,8.18,28875996,8.18
2012-07-02,8.2,8.2,7.87,8.05,15632461,8.05
2012-07-03,8.03,8.11,8.02,8.06,5112213,8.06
2012-07-05,8.02,8.02,7.82,7.82,11606082,7.82
2012-07-06,7.6899999999999995,7.8,7.65,7.66,10348669,7.66
2012-07-09,7.63,7.6899999999999995,7.53,7.5600000000000005,10190824,7.5600000000000005
2012-07-10,7.66,7.67,7.4,7.48,11555030,7.48
2012-07-11,7.49,7.6899999999999995,7.45,7.63,14429273,7.63
2012-07-12,7.52,7.55,7.43,7.48,11370751,7.48
