DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,50.28,50.77,50.23,50.54,983404,50.54
2012-01-04,50.35,50.51,49.61,49.66,683308,49.66
2012-01-05,49.85,50.02,49.64,49.66,803816,49.66
2012-01-06,49.76,50.39,49.5,50.14,712375,50.14
2012-01-09,50.14,50.39,49.62,49.74,1106282,49.74
2012-01-10,50.03,50.3,49.96,50.18,658700,50.18
2012-01-11,49.93,50.92,49.89,50.86,941948,50.86
2012-01-12,51.15,51.98,51,51.79,989004,51.79
2012-01-13,51.39,51.54,51.26,51.3,911458,51.3
2012-01-17,52.05,52.25,51.74,51.94,824601,51.94
2012-01-18,51.95,52.03,51.43,51.75,948112,51.75
2012-01-19,51.78,53.32,51.75,52.62,1286262,52.62
2012-01-20,52.73,52.77,52.25,52.68,1178166,52.68
2012-01-23,52.6,52.94,52.55,52.78,718700,52.78
2012-01-24,53.5,54.02,53,53.61,1109850,53.61
2012-01-25,53.37,54.41,53.35,54.37,1177121,54.37
2012-01-26,55,56.67,54.45,55.65,1650147,55.65
2012-01-27,55.53,55.91,55.21,55.87,1155564,55.87
2012-01-30,55.08,55.57,54.92,55.3,1174997,55.3
2012-01-31,55.45,55.76,55.23,55.48,1267050,55.48
2012-02-01,55.74,56.5,55.6,56.35,1161546,56.35
2012-02-02,56.41,56.69,56.25,56.54,1072527,56.54
2012-02-03,56.78,57.08,56.66,57.04,967928,57.04
2012-02-06,56.9,57.11,56.67,57.11,802638,57.11
2012-02-07,56.85,57.15,56.56,57.02,876581,57.02
2012-02-08,56.96,57.09,56.62,57.07,582921,57.07
2012-02-09,57.03,57.04,56.34,56.8,783754,56.8
2012-02-10,56.5,56.84,56.23,56.84,806194,56.84
2012-02-13,56.91,57.05,56.81,57.04,697159,57.04
2012-02-14,56.75,56.99,56.41,56.99,767257,56.99
2012-02-15,56.99,56.99,56.57,56.84,745179,56.84
2012-02-16,56.92,57.07,56.7,56.78,867335,56.78
2012-02-17,57.03,57.09,56.64,56.97,1218522,56.97
2012-02-21,56.97,56.97,56.49,56.64,572275,56.64
2012-02-22,56.38,56.8,56.36,56.64,763358,56.64
2012-02-23,56.53,56.75,56.4,56.59,647939,56.59
2012-02-24,56.77,57.72,56.75,57.64,908508,57.64
2012-02-27,57.31,58.18,57.31,57.95,885868,57.95
2012-02-28,58.08,58.38,57.98,58.22,546413,58.22
2012-02-29,58.22,58.38,57.92,58.13,1008892,58.13
2012-03-01,58.2,58.37,57.69,58.3,637128,58.3
2012-03-02,58.29,58.29,57.67,57.98,542711,57.98
2012-03-05,57.96,58.13,57.55,57.84,745486,57.84
2012-03-06,57.43,57.72,57.32,57.48,616659,57.48
2012-03-07,57.25,57.57,57.18,57.46,1012645,57.46
2012-03-08,57.93,59.06,57.89,59,1150490,59
2012-03-09,59.03,59.12,58.76,58.89,1166838,58.89
2012-03-12,58.77,59.12,58.63,58.66,757239,58.66
2012-03-13,59.06,59.77,58.95,59.74,836535,59.74
2012-03-14,59.66,59.86,59.4,59.59,524208,59.59
2012-03-15,59.5,59.86,59.41,59.78,825075,59.78
2012-03-16,59.85,59.92,59.57,59.81,1422283,59.81
2012-03-19,59.77,59.95,59.52,59.55,666760,59.55
2012-03-20,59.25,59.61,59.25,59.52,540806,59.52
2012-03-21,59.55,59.65,59.35,59.4,554156,59.4
2012-03-22,59.14,59.36,59.02,59.24,545906,59.24
2012-03-23,59.4,59.56,59.19,59.31,546384,59.31
2012-03-26,59.76,59.99,59.68,59.95,779574,59.95
2012-03-27,60,60.53,59.71,60.26,1202259,60.26
2012-03-28,60.3,60.48,59.41,59.59,720492,59.59
2012-03-29,59.11,59.64,59.07,59.52,679038,59.52
2012-03-30,59.8,60.39,59.63,59.78,1128868,59.78
2012-04-02,59.57,60.3,59.57,60.25,766160,60.25
2012-04-03,60.18,60.45,59.98,60.27,664966,60.27
2012-04-04,59.9,59.99,59.4,59.76,699408,59.76
2012-04-05,59.5,59.61,59.09,59.57,725854,59.57
2012-04-09,58.88,59.05,58.45,58.47,699713,58.47
2012-04-10,58.29,58.49,57.67,57.67,775186,57.67
2012-04-11,58.21,58.37,57.95,58.13,533541,58.13
2012-04-12,58.23,58.81,57.98,58.71,662696,58.71
2012-04-13,58.61,58.79,58.02,58.03,652333,58.03
2012-04-16,55.46,55.83,53.95,54.1,2618703,54.1
2012-04-17,54.81,55.3,54.54,54.64,1535762,54.64
2012-04-18,54.5,54.77,54.38,54.39,888353,54.39
2012-04-19,55.05,55.18,53.79,54.18,1005048,54.18
2012-04-20,54.43,54.7,53.91,54.17,1484757,54.17
2012-04-23,53.76,54.13,53.65,54.12,877973,54.12
2012-04-24,54.29,54.83,54.04,54.76,953844,54.76
2012-04-25,55.22,55.22,54.85,54.95,837411,54.95
2012-04-26,54.97,55.15,54.61,54.69,750494,54.69
2012-04-27,55.02,55.53,54.72,55.09,757715,55.09
2012-04-30,55.07,55.46,55.06,55.41,725645,55.41
2012-05-01,55.25,55.94,55.15,55.68,650702,55.68
2012-05-02,55.53,55.66,55.14,55.46,620914,55.46
2012-05-03,55.85,55.85,55.32,55.4,875247,55.4
2012-05-04,55.27,55.35,54.63,54.65,648511,54.65
2012-05-07,54.59,54.98,54.54,54.78,773553,54.78
2012-05-08,54.42,54.89,54.38,54.82,636291,54.82
2012-05-09,54.27,54.53,53.9,54.26,1009136,54.26
2012-05-10,54.53,54.95,54.31,54.42,423420,54.42
2012-05-11,54.38,54.64,54.07,54.08,695146,54.08
2012-05-14,53.57,53.68,53.06,53.46,742181,53.46
2012-05-15,53.39,53.62,53.14,53.23,455807,53.23
2012-05-16,53.38,53.43,52.8,52.82,505206,52.82
2012-05-17,52.76,53.02,52.2,52.21,600498,52.21
2012-05-18,52.17,52.37,51.33,51.51,1382429,51.51
2012-05-21,51.66,52.2,51.65,52.13,523385,52.13
2012-05-22,52.29,52.3,51.74,51.96,605908,51.96
2012-05-23,51.74,51.99,51.35,51.93,523291,51.93
2012-05-24,52.07,52.3,51.87,52.25,459414,52.25
2012-05-25,52.32,52.61,51.89,51.99,451961,51.99
2012-05-29,52.31,52.44,51.48,51.57,658647,51.57
2012-05-30,51.42,51.61,51.19,51.36,929683,51.36
2012-05-31,51.41,51.45,50.56,50.62,1130385,50.62
2012-06-01,50.31,50.45,50.03,50.17,915086,50.17
2012-06-04,50.25,50.42,49.9,50.06,664687,50.06
2012-06-05,49.9,50.32,49.74,50.23,668672,50.23
2012-06-06,50.2,50.36,50.03,50.36,745361,50.36
2012-06-07,50.83,51.01,50.38,50.48,771665,50.48
2012-06-08,50.44,50.68,50.25,50.62,601578,50.62
2012-06-11,50.81,51,50.08,50.09,516409,50.09
2012-06-12,50.07,50.39,49.54,50.39,643188,50.39
2012-06-13,50.32,50.69,49.68,49.8,535946,49.8
2012-06-14,49.8,50.2,48.98,49.03,1447163,49.03
2012-06-15,49.38,49.43,49.09,49.3,2575390,49.3
2012-06-18,49.26,49.98,49.15,49.92,616035,49.92
2012-06-19,50.71,51.76,50.61,51.54,925372,51.54
2012-06-20,51.54,51.92,51.02,51.73,890102,51.73
2012-06-21,51.89,52.61,51.39,51.48,1352570,51.48
2012-06-22,51.67,52,51.13,51.87,2378440,51.87
2012-06-25,51.68,51.69,51.09,51.39,800913,51.39
2012-06-26,51.39,51.56,51.1,51.24,696216,51.24
2012-06-27,51.23,52.18,51.23,52.09,617292,52.09
2012-06-28,51.9,52.04,51.1,51.58,588119,51.58
2012-06-29,52.28,53.16,52.28,53.15,1006690,53.15
2012-07-02,53.29,53.88,53.23,53.86,870338,53.86
2012-07-03,53.86,54.25,53.81,54.22,681304,54.22
2012-07-05,54.06,54.31,53.79,54.01,943186,54.01
2012-07-06,53.66,53.79,53.5,53.58,797709,53.58
2012-07-09,53.62,54.1,53.49,54.1,859861,54.1
2012-07-10,54.25,54.3,53.65,53.8,1104287,53.8
2012-07-11,53.63,54.07,53.58,53.97,714768,53.97
2012-07-12,53.57,54.01,53.51,53.86,636668,53.86
2012-07-13,53.87,54.59,53.83,54.53,603350,54.53
2012-07-16,54.39,54.79,54.38,54.75,510084,54.75
2012-07-17,54.99,55.79,54.59,55.68,1113108,55.68
2012-07-18,55.76,56.19,55.44,56.17,711198,56.17
2012-07-19,57,57.24,56.32,56.44,944688,56.44
2012-07-20,56.34,56.44,55.8,56.21,1071865,56.21
2012-07-23,55.67,55.68,55.14,55.46,493873,55.46
2012-07-24,55.51,55.75,54.54,54.96,564338,54.96
2012-07-25,56.3,57.25,56.2,56.83,1320097,56.83
2012-07-26,57.55,57.79,56.95,57.74,845591,57.74
2012-07-27,58,59.96,57.82,59.7,1109492,59.7
2012-07-30,59.49,59.6,58.71,58.97,680344,58.97
2012-07-31,58.97,59.5,58.49,58.51,876664,58.51
2012-08-01,58.89,59.27,58.59,58.63,765688,58.63
2012-08-02,58.27,58.33,57.4,57.95,576135,57.95
2012-08-03,58.69,59.02,58.62,58.93,553004,58.93
2012-08-06,59.01,59.31,58.66,58.66,734510,58.66
2012-08-07,58.61,59.23,58.5,59.11,483855,59.11
2012-08-08,59.02,59.08,58.44,58.75,644448,58.75
2012-08-09,58.53,59,58.53,58.78,336022,58.78
2012-08-10,58.61,58.85,58.46,58.84,346979,58.84
2012-08-13,58.44,59.09,58.39,58.74,354918,58.74
2012-08-14,59.01,59.15,58.64,59.1,362514,59.1
2012-08-15,59.08,59.74,58.99,59.44,543656,59.44
2012-08-16,59.6,59.61,58.84,58.92,504423,58.92
2012-08-17,58.86,59.13,58.61,58.9,773183,58.9
2012-08-20,58.89,58.97,58.63,58.81,266881,58.81
2012-08-21,58.74,59.2,58.66,58.79,362130,58.79
2012-08-22,58.79,58.85,58,58.32,486241,58.32
2012-08-23,58.33,58.49,58.04,58.27,396794,58.27
2012-08-24,58.1,58.88,57.88,58.75,436163,58.75
2012-08-27,58.71,59.31,58.5,58.86,332448,58.86
2012-08-28,58.61,58.96,58.36,58.63,441364,58.63
2012-08-29,58.63,58.8,58.53,58.61,418445,58.61
2012-08-30,58.41,58.67,58.01,58.45,423484,58.45
2012-08-31,58.86,59,58.51,58.68,592079,58.68
2012-09-04,58.55,59.12,58.19,58.9,441469,58.9
2012-09-05,58.5,58.53,57.97,58.08,473469,58.08
2012-09-06,58.48,59.04,58.36,59.04,597499,59.04
2012-09-07,59.09,59.26,58.95,59.18,476835,59.18
2012-09-10,58.99,59.55,58.77,59.33,438378,59.33
2012-09-11,59.33,59.74,59.33,59.7,634699,59.7
2012-09-12,59.75,60.47,59.74,60.3,846371,60.3
2012-09-13,60.26,61.09,60.02,60.77,846723,60.77
2012-09-14,60.72,61.2,60.18,60.48,1006059,60.48
2012-09-17,60.35,61.1,60.35,61,563216,61
2012-09-18,60.98,61.12,60.81,60.96,399811,60.96
2012-09-19,61.15,61.19,60.8,60.8,578532,60.8
2012-09-20,60.99,61.11,60.59,61,676878,61
2012-09-21,61.05,61.15,60.79,61.01,1116463,61.01
2012-09-24,60.18,61.36,60.07,61.15,857867,61.15
2012-09-25,61.38,61.66,60.75,60.81,493499,60.81
2012-09-26,60.5,60.53,59.61,59.82,705895,59.82
2012-09-27,60.1,60.49,59.8,60.23,411303,60.23
2012-09-28,60.09,60.38,59.67,60.26,778846,60.26
2012-10-01,60.47,60.82,59.99,60.09,422715,60.09
2012-10-02,60.22,60.55,59.84,60.47,428774,60.47
2012-10-03,60.66,61.44,60.45,61.17,783685,61.17
2012-10-04,61.43,61.88,61.08,61.75,476341,61.75
2012-10-05,61.87,61.97,61.54,61.93,454827,61.93
2012-10-08,61.85,61.94,61.61,61.82,295132,61.82
2012-10-09,61.63,61.63,60.24,60.48,655041,60.48
2012-10-10,60.48,61.36,60.33,60.85,694071,60.85
2012-10-11,61.14,61.34,60.75,60.96,467783,60.96
2012-10-12,61.12,61.17,60.49,60.69,549849,60.69
2012-10-15,60.78,60.99,60.61,60.93,434654,60.93
2012-10-16,61.19,61.62,61.11,61.53,522133,61.53
2012-10-17,61.6,62,61.17,61.92,866135,61.92
2012-10-18,61.53,63.05,61.53,62.74,1101800,62.74
2012-10-19,62.74,62.86,61.78,61.92,975941,61.92
2012-10-22,61.82,62.18,61.49,61.98,550131,61.98
2012-10-23,61.5,61.54,60.82,60.93,516961,60.93
2012-10-24,61.21,61.7,61.11,61.23,657979,61.23
2012-10-25,61.73,61.89,60.99,61.42,520090,61.42
2012-10-26,61.3,61.55,60.83,61.16,542421,61.16
2012-10-31,61.78,62.96,61.25,62.63,1243548,62.63
2012-11-01,62.62,63.98,62.54,63.61,1107015,63.61
2012-11-02,64,64.91,63.82,64.75,1542192,64.75
2012-11-05,64.74,65.29,64.25,65.24,1239435,65.24
2012-11-06,65.19,66.7,65.05,66.08,1085873,66.08
2012-11-07,65.76,65.98,64.58,65.54,821250,65.54
2012-11-08,65.49,65.86,64.59,64.59,1062875,64.59
2012-11-09,64.38,64.7,64.16,64.27,1294723,64.27
2012-11-12,64.57,65.49,64.27,65.06,563054,65.06
2012-11-13,64.79,66.35,64.45,65.95,1086168,65.95
2012-11-14,66.51,66.88,64.91,65.04,889617,65.04
2012-11-15,64.99,65.99,64.83,65.9,941332,65.9
2012-11-16,65.89,66.3,65.41,66.03,1740457,66.03
2012-11-19,66.42,66.6,65.8,66.49,693136,66.49
2012-11-20,66.27,66.66,65.66,66.3,598830,66.3
2012-11-21,66.35,66.4,65.88,66.12,454814,66.12
2012-11-23,66.29,68.91,66.08,68.81,781314,68.81
2012-11-26,68.04,68.11,66.32,66.84,975072,66.84
2012-11-27,66.52,66.72,65.73,65.81,692125,65.81
2012-11-28,65.67,66,65.2,65.99,868001,65.99
2012-11-29,66.26,66.35,65.59,65.96,562916,65.96
2012-11-30,66.15,66.44,65.74,66.27,1033752,66.27
2012-12-03,66.6,66.62,65.73,65.8,435865,65.8
2012-12-04,65.59,65.84,64.84,65.22,719662,65.22
2012-12-05,64.94,65.08,64.24,64.47,627940,64.47
2012-12-06,64.5,64.57,63.87,64.43,622466,64.43
2012-12-07,64.64,65.25,64.4,65.07,733930,65.07
2012-12-10,65.06,65.73,64.81,65.49,712980,65.49
2012-12-11,65.31,66.02,65.23,65.68,640402,65.68
2012-12-12,65.84,66.55,65.73,65.82,856555,65.82
2012-12-13,65.8,65.93,65.31,65.66,356028,65.66
2012-12-14,65.49,66.24,65.47,65.95,724223,65.95
2012-12-17,65.98,66.35,65.95,66.33,602862,66.33
2012-12-18,66.44,67.09,66.19,66.95,631355,66.95
2012-12-19,67.08,67.34,66.39,66.4,473988,66.4
2012-12-20,66.54,67.8,66.54,67.8,672122,67.8
2012-12-21,67.46,67.71,66.64,67.25,1999277,67.25
2012-12-24,67,67.09,66.72,66.97,247843,66.97
2012-12-26,67.03,67.04,65.88,66.19,318754,66.19
