DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,58.75,59.2,57.91,58.38,738077,58.38
2012-01-04,58.39,60,58.36,59.445,1071763,59.445
2012-01-05,59.2,60,58.87,59.74,698579,59.74
2012-01-06,59.92,60.24,59.49,59.94,809712,59.94
2012-01-09,60,60.2,58.97,59.65,587069,59.65
2012-01-10,60.11,60.68,59.81,60.64,870963,60.64
2012-01-11,60.74,61.27,60.6,60.8,609464,60.8
2012-01-12,60.21,60.28,58.72,59.8,1198641,59.8
2012-01-13,59.53,59.91,58.89,59.02,935156,59.02
2012-01-17,59.65,60.13,59.55,59.83,899698,59.83
2012-01-18,59.76,61.935,59.7,61.7,950502,61.7
2012-01-19,62.04,63.32,61.65,63.19,1223721,63.19
2012-01-20,63.31,63.59,61.51,61.71,985270,61.71
2012-01-23,61.74,62.25,61.31,62.01,521842,62.01
2012-01-24,61.96,63.06,61.85,62.83,666718,62.83
2012-01-25,62.75,63.07,61.82,62.93,775833,62.93
2012-01-26,63.32,63.32,61.85,62.26,791647,62.26
2012-01-27,61.77,62.77,61.77,62.54,508312,62.54
2012-01-30,62.14,62.14,60.43,61.3,840171,61.3
2012-01-31,61.55,61.62,60.17,60.7,778517,60.7
2012-02-01,61.33,62.26,61.33,61.64,773274,61.64
2012-02-02,61.9,62.38,61.64,61.72,556322,61.72
2012-02-03,62.37,63.225,62.15,63.15,640853,63.15
2012-02-06,62.92,62.99,61.86,61.99,481154,61.99
2012-02-07,61.55,61.73,61.19,61.395,1041718,61.395
2012-02-08,61.29,61.86,61.08,61.1,875368,61.1
2012-02-09,60.87,61.1,59.88,60.17,1012093,60.17
2012-02-10,58.82,59.46,57.86,58.98,1241877,58.98
2012-02-13,59.6,59.82,59.08,59.375,512460,59.375
2012-02-14,58.18,59.82,58.15,59.76,908662,59.76
2012-02-15,59.98,60.03,57.92,57.94,1104239,57.94
2012-02-16,58.05,58.5,57.59,58.185,875438,58.185
2012-02-17,58.18,59.61,58.18,59.47,1254030,59.47
2012-02-21,59.73,60.48,58.99,59.24,848900,59.24
2012-02-22,59.31,60.01,59.21,59.63,717245,59.63
2012-02-23,59.67,60.75,59.67,60.41,674851,60.41
2012-02-24,60.68,60.75,60,60.35,656488,60.35
2012-02-27,59.86,60.34,59.23,60.08,712511,60.08
2012-02-28,60.14,60.16,59.52,60,740518,60
2012-02-29,59.95,60.14,59.51,59.74,953214,59.74
2012-03-01,59.81,60.47,59.81,60.33,765138,60.33
2012-03-02,60.52,61.01,60.37,60.84,592473,60.84
2012-03-05,61.24,62.03,60.94,61.73,766286,61.73
2012-03-06,61.04,61.8,61.04,61.51,842961,61.51
2012-03-07,61.52,62,61.18,61.74,686562,61.74
2012-03-08,62.14,62.99,61.96,62.72,968401,62.72
2012-03-09,62.71,62.975,62.25,62.66,696315,62.66
2012-03-12,62.51,62.59,62.09,62.285,503258,62.285
2012-03-13,62.45,62.56,61.705,62.55,664612,62.55
2012-03-14,62.93,65.65,62.67,65.47,1872110,65.47
2012-03-15,65.55,65.85,64.72,65.55,707603,65.55
2012-03-16,65.37,66.29,65.37,66.03,1542339,66.03
2012-03-19,65,66.22,64.23,65.91,957786,65.91
2012-03-20,65.57,65.98,65.24,65.82,741256,65.82
2012-03-21,65.71,66.53,65.13,66.24,717459,66.24
2012-03-22,66.19,66.72,65.61,65.72,927271,65.72
2012-03-23,65.54,66.25,64.72,66.11,813960,66.11
2012-03-26,66.64,67.25,66.49,67.23,596318,67.23
2012-03-27,67.47,68.2,67.25,67.37,734712,67.37
2012-03-28,67.2,67.37,66.44,67.03,839409,67.03
2012-03-29,66.78,66.81,65.55,66.72,721394,66.72
2012-03-30,67.15,67.15,65.77,65.77,1258356,65.77
2012-04-02,66.21,67.035,65.89,66.88,886515,66.88
2012-04-03,66.66,67.64,66.59,66.99,606407,66.99
2012-04-04,66.79,67.16,65.98,66.23,1327076,66.23
2012-04-05,69.35,72.75,69.19,71.85,2935555,71.85
2012-04-09,70.83,72.26,70.51,71.04,1058179,71.04
2012-04-10,70.83,70.99,69.03,69.31,891007,69.31
2012-04-11,69.65,70.62,69.65,70.07,599678,70.07
2012-04-12,69.45,70.23,69.17,70.14,880368,70.14
2012-04-13,69.78,70.3,69.41,69.41,485260,69.41
2012-04-16,69.82,70.09,68.96,69.55,648562,69.55
2012-04-17,69.81,70.3,69.59,70.01,516010,70.01
2012-04-18,69.75,70.24,69.29,69.59,624552,69.59
2012-04-19,69.6,69.83,67.95,68.17,695185,68.17
2012-04-20,68.52,68.95,68.17,68.56,824727,68.56
2012-04-23,68.13,68.52,67.37,68.08,522940,68.08
2012-04-24,68.16,68.36,67.33,67.71,618535,67.71
2012-04-25,68.18,69.14,68.1,68.9,778394,68.9
2012-04-26,68.82,69.79,68.66,69.47,691478,69.47
2012-04-27,69.4,71.64,69.4,71.18,738971,71.18
2012-04-30,71,71.11,70.06,70.39,840235,70.39
2012-05-01,70.54,71.03,69.78,70.04,563563,70.04
2012-05-02,69.69,71.735,69.58,71.61,683001,71.61
2012-05-03,70.12,70.81,69.51,69.9,934246,69.9
2012-05-04,69.71,69.81,67.91,68.05,696907,68.05
2012-05-07,67.5,69.12,67.32,68.12,705389,68.12
2012-05-08,67.98,68.39,66.78,68.23,977634,68.23
2012-05-09,66.89,69.64,66.72,68.02,1429533,68.02
2012-05-10,68.55,69.59,68.28,68.75,585502,68.75
2012-05-11,70.02,72.42,69.35,71.55,1446950,71.55
2012-05-14,71,71.79,70.56,71.02,957655,71.02
2012-05-15,70.98,72.41,70.83,71.37,765947,71.37
2012-05-16,71.74,72.5,71.53,72.08,890603,72.08
2012-05-17,72.15,72.16,69.16,69.16,903899,69.16
2012-05-18,69.33,69.95,68.19,68.84,1315755,68.84
2012-05-21,68.93,69.93,68.14,69.79,803527,69.79
2012-05-22,69.94,71.14,69.89,70.64,676368,70.64
2012-05-23,70.18,71.21,69.98,71.01,672535,71.01
2012-05-24,71.46,72.48,71.39,72.47,723818,72.47
2012-05-25,72.53,73.1,72.21,72.4,641336,72.4
2012-05-29,73.29,74.67,72.99,73.92,914712,73.92
2012-05-30,73.7,73.75,72.69,73.1,575446,73.1
2012-05-31,73.23,73.29,72.07,72.25,1318228,72.25
2012-06-01,71.45,72.35,70.58,70.78,855575,70.78
2012-06-04,71.03,71.71,70.19,71.02,1017679,71.02
2012-06-05,70.89,71.24,70.01,70.9,685669,70.9
2012-06-06,71.48,72.35,71.44,71.91,786265,71.91
2012-06-07,72.61,72.84,71,71.08,932338,71.08
2012-06-08,70.67,71.32,70.61,70.81,1037828,70.81
2012-06-11,71.26,71.69,69.74,69.85,785620,69.85
2012-06-12,70.15,71.64,69.31,71.52,827745,71.52
2012-06-13,71.29,72.25,70.49,70.66,815985,70.66
2012-06-14,69.57,72.29,69.25,72.01,1039398,72.01
2012-06-15,72.31,73.88,72.06,72.67,1944950,72.67
2012-06-18,72.57,74.37,72.05,74.26,847421,74.26
2012-06-19,74.78,75.83,74.02,74.72,1129939,74.72
2012-06-20,75,75.07,72.98,73.67,1397208,73.67
2012-06-21,65.16,65.24,60.61,61.17,4503929,61.17
2012-06-22,61.31,61.61,60.26,61.195,1750286,61.195
2012-06-25,60.68,61.21,59.23,59.37,1634810,59.37
2012-06-26,59.64,60.15,58.78,59.76,1401777,59.76
2012-06-27,60.14,60.67,59.63,59.88,1077218,59.88
2012-06-28,59.79,59.88,58.81,59.64,835123,59.64
2012-06-29,61.39,61.92,60.92,61.8,1300857,61.8
2012-07-02,62.19,62.2,61.04,61.61,909320,61.61
2012-07-03,61.78,62.46,61.54,62.36,340941,62.36
2012-07-05,62.25,63.49,62.05,62.41,742782,62.41
2012-07-06,62,62.69,61.24,61.85,559136,61.85
2012-07-09,61.8,62.01,60.78,61.21,537158,61.21
2012-07-10,61.74,62.3,61.11,61.32,532453,61.32
2012-07-11,61.14,61.28,60.16,60.51,546142,60.51
2012-07-12,60,60.83,59.76,60.33,555985,60.33
2012-07-13,60.41,61.7,60.41,60.94,626032,60.94
2012-07-16,60.85,61.66,60.5,60.68,513973,60.68
2012-07-17,61.04,61.5,60.33,61.31,513327,61.31
2012-07-18,60.92,62.74,60.92,61.85,543434,61.85
2012-07-19,61.76,62.8,61.5,62.29,472844,62.29
2012-07-20,62.31,62.49,61.35,61.38,942600,61.38
2012-07-23,60.49,62.22,60.04,62,694516,62
2012-07-24,61.98,62.06,60.41,60.93,631653,60.93
2012-07-25,60.93,61.27,60.05,60.32,605169,60.32
2012-07-26,61.44,61.94,60.68,61.72,490750,61.72
2012-07-27,62.32,63.9,61.89,63.62,543037,63.62
2012-07-30,63.63,63.67,62.41,62.62,450274,62.62
2012-07-31,62.52,62.555,60.82,60.95,1118544,60.95
2012-08-01,61.55,62.04,60.18,60.24,685994,60.24
2012-08-02,59.91,60.86,59.44,60.61,578867,60.61
2012-08-03,61.16,62.78,61.16,62.44,687946,62.44
2012-08-06,62.59,62.9,61.81,62.04,510322,62.04
2012-08-07,61.99,63.46,61.99,63,410899,63
2012-08-08,62.92,64.85,62.89,64.17,607282,64.17
2012-08-09,64.13,64.22,63.43,63.56,580749,63.56
2012-08-10,63.41,63.47,62.31,62.78,447293,62.78
2012-08-13,63.67,63.73,62.73,63.54,675861,63.54
2012-08-14,63.93,64.32,62.88,63.07,580092,63.07
2012-08-15,62.67,63.83,62.67,63.56,468402,63.56
2012-08-16,63.42,66.29,63.21,65.55,964374,65.55
2012-08-17,66,67.07,65.54,66.56,739389,66.56
2012-08-20,66.49,66.71,66,66.13,465771,66.13
2012-08-21,66.18,66.53,65.8,66,400121,66
2012-08-22,66.6,67.26,66.26,66.6,536241,66.6
2012-08-23,66.62,66.86,66.06,66.18,436860,66.18
2012-08-24,65.97,66.52,65.63,66.4,470634,66.4
2012-08-27,66.61,67.26,66.24,66.52,426462,66.52
2012-08-28,66.74,67.71,66.45,67.24,596256,67.24
2012-08-29,67.2,67.24,66.62,66.77,390435,66.77
2012-08-30,66.63,67.27,66.56,67.02,387147,67.02
2012-08-31,67.47,67.72,66.72,67.17,616679,67.17
2012-09-04,66.92,67.45,66.24,66.98,380878,66.98
2012-09-05,66.93,67.62,66.93,67.17,352061,67.17
2012-09-06,67.79,69.7,67.78,69.67,698789,69.67
2012-09-07,69.81,69.81,68.64,69.17,597932,69.17
2012-09-10,69.11,69.49,68.71,68.74,528743,68.74
2012-09-11,69.32,70.27,69.04,69.33,613049,69.33
2012-09-12,69.81,70.45,69.63,69.77,488834,69.77
2012-09-13,69.63,70.79,69.27,70.3,660992,70.3
2012-09-14,70.6,71.61,70.27,71.6,1001692,71.6
2012-09-17,71.46,71.6,70.56,70.81,657395,70.81
2012-09-18,70.09,70.09,68.23,68.39,1159104,68.39
2012-09-19,68.72,69.41,67.95,68.79,1461965,68.79
