DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,25.72,26.16,25.72,25.86,1245905,25.86
2012-01-04,25.56,25.97,25.26,25.92,1459310,25.92
2012-01-05,25.71,26.48,25.58,26.17,1386195,26.17
2012-01-06,26.15,26.19,25.71,25.79,1384838,25.79
2012-01-09,25.98,26.49,25.82,26.4,1362387,26.4
2012-01-10,26.79,26.89,26.56,26.73,1147636,26.73
2012-01-11,26.6,26.77,26.48,26.76,1063148,26.76
2012-01-12,26.89,27.08,26.59,27.05,1060206,27.05
2012-01-13,26.67,27.3,26.55,27.23,1600665,27.23
2012-01-17,27.47,27.63,27.14,27.22,1465774,27.22
2012-01-18,27.03,27.44,26.79,27.44,1693644,27.44
2012-01-19,27.66,27.66,26.59,27.12,1364280,27.12
2012-01-20,27.14,27.51,26.92,27.49,1895333,27.49
2012-01-23,27.42,27.81,27.29,27.74,1168478,27.74
2012-01-24,27.35,27.77,27.12,27.75,1290873,27.75
2012-01-25,27.53,27.83,27.39,27.7,1381298,27.7
2012-01-26,27.83,27.9,26.86,27.04,1401309,27.04
2012-01-27,26.94,27.22,26.83,26.95,1169836,26.95
2012-01-30,26.66,27.25,26.61,27.21,1857724,27.21
2012-01-31,27.49,27.67,27.09,27.19,1989419,27.19
2012-02-01,27.5,28.17,27.43,27.95,1945499,27.95
2012-02-02,28.01,28.15,27.79,28.02,1356544,28.02
2012-02-03,28.53,29.24,28.51,29.12,2026344,29.12
2012-02-06,28.89,28.99,28.65,28.82,1166970,28.82
2012-02-07,28.79,29.7,28.71,29.52,1923849,29.52
2012-02-08,29.49,29.79,29.37,29.65,1727114,29.65
2012-02-09,29.73,29.82,29.31,29.42,1547053,29.42
2012-02-10,29.1,29.52,29.01,29.33,1081078,29.33
2012-02-13,29.62,29.75,29.49,29.65,796997,29.65
2012-02-14,29.48,29.6,29.18,29.6,1037501,29.6
2012-02-15,29.73,29.75,29.22,29.38,1445950,29.38
2012-02-16,29.36,30.3,29.31,30.19,1402950,30.19
2012-02-17,30.31,30.38,30,30.33,1305290,30.33
2012-02-21,30.38,30.4,29.89,30.09,981787,30.09
2012-02-22,29.93,29.97,29.41,29.47,1047290,29.47
2012-02-23,29.46,29.89,29.36,29.81,805343,29.81
2012-02-24,29.84,29.89,29.31,29.48,731189,29.48
2012-02-27,29.24,30.09,29.1,29.76,1197075,29.76
2012-02-28,29.82,29.87,29.35,29.45,1434549,29.45
2012-02-29,29.53,29.61,29.11,29.25,1983507,29.25
2012-03-01,29.4,29.57,29.08,29.22,1529924,29.22
2012-03-02,29.24,29.43,29.09,29.31,934973,29.31
2012-03-05,29.2,29.2,28.76,28.96,1112421,28.96
2012-03-06,28.6,28.71,28.25,28.31,1400682,28.31
2012-03-07,28.28,28.81,28.28,28.74,1227808,28.74
2012-03-08,28.97,29.31,28.83,29.1,1020064,29.1
2012-03-09,29.12,29.66,29.08,29.46,943298,29.46
2012-03-12,29.4,29.4,28.92,29.31,1062219,29.31
2012-03-13,29.53,30.46,29.39,30.4,1734868,30.4
2012-03-14,30.46,30.68,29.99,30.42,1178754,30.42
2012-03-15,30.47,31.2,30.28,31.2,1596980,31.2
2012-03-16,31.33,31.4,30.97,31.06,2728639,31.06
2012-03-19,31,31.71,30.82,31.38,1239089,31.38
2012-03-20,31.14,31.59,31.05,31.37,974353,31.37
2012-03-21,31.25,31.37,30.96,31.07,995510,31.07
2012-03-22,30.67,30.94,30.54,30.83,1016114,30.83
2012-03-23,30.89,31.01,30.58,30.99,835968,30.99
2012-03-26,31.34,31.42,30.98,31.42,1241692,31.42
2012-03-27,31.5,31.66,31.07,31.08,1126776,31.08
2012-03-28,31.11,31.93,31.02,31.88,1889909,31.88
2012-03-29,31.58,31.65,31.17,31.47,1462069,31.47
2012-03-30,31.83,31.83,31.15,31.39,1415952,31.39
2012-04-02,31.15,31.5,31.03,31.34,1736622,31.34
2012-04-03,31.34,31.69,31.25,31.69,1691618,31.69
2012-04-04,31.24,31.58,31.07,31.37,1425836,31.37
2012-04-05,31.12,31.4,31.06,31.3,897825,31.3
2012-04-09,30.65,30.91,30.39,30.63,1051214,30.63
2012-04-10,30.6,30.73,29.94,29.96,1739723,29.96
2012-04-11,30.51,30.9,30.48,30.58,1265950,30.58
2012-04-12,30.58,31.21,30.56,31.2,1189778,31.2
2012-04-13,31,31.02,30.48,30.49,1071519,30.49
2012-04-16,30.75,30.99,30.49,30.83,1076675,30.83
2012-04-17,31.03,31.42,30.96,31.26,1116944,31.26
2012-04-18,31.07,31.49,30.9,31.28,1166031,31.28
2012-04-19,31.28,31.49,30.82,31.1,1385474,31.1
2012-04-20,31.23,31.72,31.21,31.58,1901327,31.58
2012-04-23,31.05,31.76,31.05,31.64,1329291,31.64
2012-04-24,31.7,32,31.68,31.95,1259711,31.95
2012-04-25,32.2,32.5,32,32.44,1106068,32.44
2012-04-26,32.44,32.64,32.31,32.49,1333414,32.49
2012-04-27,32.67,32.7,32.33,32.63,921020,32.63
2012-04-30,32.59,32.74,31.88,32.04,1147764,32.04
2012-05-01,32.1,32.67,32.03,32.38,1155662,32.38
2012-05-02,32.2,32.39,31.91,32.19,1066056,32.19
2012-05-03,32.26,32.42,31.93,32.04,969407,32.04
2012-05-04,31.88,32.07,31.44,31.57,998938,31.57
2012-05-07,31.59,32,31.55,31.87,879412,31.87
2012-05-08,31.6,31.78,31.36,31.63,902358,31.63
2012-05-09,31.28,31.52,31,31.23,1061887,31.23
2012-05-10,31.74,31.96,31.6,31.77,922202,31.77
2012-05-11,31.36,31.97,31.23,31.75,1144734,31.75
2012-05-14,31.24,31.5,31.1,31.14,933086,31.14
2012-05-15,31.11,31.26,30.67,30.74,1173777,30.74
2012-05-16,30.97,31.21,30.64,30.64,1134126,30.64
2012-05-17,30.69,30.73,30.11,30.11,922237,30.11
2012-05-18,30.2,30.35,29.53,29.68,1829426,29.68
2012-05-21,29.86,30.25,29.56,30.01,951580,30.01
2012-05-22,30.1,30.38,29.9,30.1,1134878,30.1
2012-05-23,29.88,30.23,29.53,30.14,1018705,30.14
2012-05-24,30.15,30.33,29.9,30.26,791595,30.26
2012-05-25,30.29,30.69,30.2,30.43,692231,30.43
2012-05-29,30.64,30.74,30.31,30.64,747267,30.64
2012-05-30,30.3,30.45,30.1,30.16,844953,30.16
2012-05-31,30.1,30.44,29.79,30.22,1303406,30.22
2012-06-01,29.6,29.62,28.28,28.35,2146778,28.35
2012-06-04,28.42,28.48,27.4,27.64,1719813,27.64
2012-06-05,27.57,28.12,27.5,27.85,1193336,27.85
2012-06-06,28.13,28.39,27.87,28.39,1288551,28.39
2012-06-07,28.87,29.07,28.5,28.54,1163451,28.54
2012-06-08,28.5,29.01,28.28,29.01,989993,29.01
2012-06-11,29.29,29.34,28.45,28.48,1110283,28.48
2012-06-12,28.55,29.01,28.19,29.01,1172079,29.01
2012-06-13,28.83,29.23,28.72,28.82,1233627,28.82
2012-06-14,28.88,29.5,28.87,29.38,1207634,29.38
2012-06-15,29.58,29.82,29.3,29.82,2009577,29.82
2012-06-18,29.67,30.21,29.63,30.05,1146985,30.05
2012-06-19,30.23,30.49,30.17,30.27,1159860,30.27
2012-06-20,30.32,30.39,29.69,30.28,1086003,30.28
2012-06-21,30.38,30.52,29.95,29.97,1513718,29.97
2012-06-22,30.25,30.47,30.1,30.39,1122156,30.39
2012-06-25,29.84,29.84,29.48,29.6,865989,29.6
2012-06-26,29.66,29.84,29.39,29.44,1689273,29.44
2012-06-27,29.62,29.95,29.4,29.89,1127782,29.89
2012-06-28,29.65,30.21,29.53,30.2,1079558,30.2
2012-06-29,30.78,30.85,30.56,30.85,1470060,30.85
2012-07-02,31.29,31.29,30.78,31.11,1108563,31.11
2012-07-03,30.82,31.25,30.8,31.15,505651,31.15
2012-07-05,31.03,31.15,30.9,30.9,939144,30.9
2012-07-06,30.48,31.04,30.41,30.95,874499,30.95
2012-07-09,30.84,31.04,30.61,30.84,716662,30.84
2012-07-10,30.97,31.19,30.56,30.67,1000551,30.67
2012-07-11,30.73,31.08,30.63,31,1137324,31
2012-07-12,30.77,30.91,30.64,30.78,909326,30.78
2012-07-13,30.84,31.51,30.8,31.5,972772,31.5
2012-07-16,31.4,31.64,31.28,31.45,669401,31.45
2012-07-17,31.62,31.94,31.21,31.88,921042,31.88
2012-07-18,31.71,31.98,31.59,31.61,1116331,31.61
2012-07-19,31.75,32.73,31.68,32,1490587,32
2012-07-20,31.96,31.96,31.58,31.68,1283380,31.68
2012-07-23,31.21,31.56,31.08,31.49,1134051,31.49
2012-07-24,31.56,31.68,31.27,31.63,1102939,31.63
2012-07-25,31.81,31.9,31.56,31.65,743764,31.65
2012-07-26,32.13,32.14,31.86,32.08,970201,32.08
2012-07-27,32.19,32.66,31.98,32.4,1043521,32.4
2012-07-30,32.07,32.18,31.64,31.71,1172011,31.71
2012-07-31,31.62,31.74,31.37,31.37,1018447,31.37
2012-08-01,31.53,31.77,31.3,31.31,1206649,31.31
2012-08-02,30.91,31.38,30.78,31.08,1114971,31.08
2012-08-03,31.55,31.85,31.49,31.65,1016187,31.65
2012-08-06,31.79,31.9,31.51,31.52,477846,31.52
2012-08-07,31.64,31.87,31.62,31.67,590039,31.67
2012-08-08,31.54,31.64,31.34,31.59,721747,31.59
2012-08-09,31.5,31.78,31.39,31.7,470587,31.7
2012-08-10,31.58,31.61,31.37,31.56,535782,31.56
2012-08-13,31.53,31.61,31.34,31.6,407960,31.6
2012-08-14,31.7,31.85,31.48,31.55,690324,31.55
2012-08-15,31.51,31.94,31.38,31.88,568700,31.88
2012-08-16,31.93,31.99,31.73,31.78,677676,31.78
2012-08-17,31.79,32,31.7,31.96,787491,31.96
2012-08-20,31.87,31.98,31.67,31.85,585652,31.85
2012-08-21,31.87,32,31.55,31.66,783200,31.66
2012-08-22,31.61,31.87,31.61,31.74,601898,31.74
2012-08-23,31.66,31.73,30.99,31.01,1139309,31.01
2012-08-24,30.91,31.22,30.91,31.11,669063,31.11
2012-08-27,31.24,31.35,31.09,31.19,657631,31.19
2012-08-28,31.1,31.59,31.04,31.52,625994,31.52
2012-08-29,31.58,31.78,31.56,31.7,533685,31.7
2012-08-30,31.5,31.7,31.4,31.6,724243,31.6
2012-08-31,31.72,31.78,31.44,31.54,991638,31.54
2012-09-04,31.51,31.79,31.35,31.72,531833,31.72
2012-09-05,31.78,31.89,31.61,31.79,803411,31.79
2012-09-06,31.96,32.43,31.96,32.29,956265,32.29
2012-09-07,32.37,32.92,32.35,32.86,823739,32.86
2012-09-10,32.79,32.94,32.57,32.58,577968,32.58
2012-09-11,32.51,32.72,32.48,32.56,612025,32.56
2012-09-12,32.61,32.86,32.56,32.86,605561,32.86
2012-09-13,32.82,33.63,32.63,33.62,1057880,33.62
2012-09-14,33.63,34.37,33.63,33.99,1402758,33.99
2012-09-17,33.85,33.96,33.53,33.57,690571,33.57
2012-09-18,33.57,33.62,33.39,33.46,666832,33.46
2012-09-19,33.12,33.85,33.12,33.61,1018595,33.61
2012-09-20,33.38,33.55,33.11,33.49,795751,33.49
2012-09-21,33.83,33.84,33.3,33.31,1980152,33.31
2012-09-24,33.15,33.5,33.1,33.31,766688,33.31
2012-09-25,33.36,33.72,33.17,33.17,890548,33.17
2012-09-26,33.17,33.29,32.72,32.72,964316,32.72
2012-09-27,32.86,33.2,32.78,33.11,730164,33.11
2012-09-28,32.93,33.32,32.83,33.16,999816,33.16
2012-10-01,33.38,33.43,32.88,32.96,801354,32.96
