DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,33.06,33.4767,32.9067,33.0067,1058094,33.0067
2012-01-04,32.7467,32.78,32.3333,32.61,610059,32.61
2012-01-05,32.3167,33.0167,31.98,32.98,678312,32.98
2012-01-06,32.893299999999996,32.98,32.4267,32.7533,739554,32.7533
2012-01-09,32.89,32.99,32.6267,32.9433,828225,32.9433
2012-01-10,33.35,34.0433,33.3333,33.9333,889896,33.9333
2012-01-11,32,32.5,31.7467,32.2233,2160357,32.2233
2012-01-12,32.44,32.5,31.9,32.19,1189353,32.19
2012-01-13,31.7933,32.18,31.46,32.0867,1368936,32.0867
2012-01-17,32.3,32.7333,32.25,32.2867,885693,32.2867
2012-01-18,32.3767,33.24,32.17,33.23,824307,33.23
2012-01-19,33.34,33.9733,33.34,33.7733,978201,33.7733
2012-01-20,33.7267,34.19,33.4567,34.1333,1178217,34.1333
2012-01-23,34.22,34.5433,34.0567,34.2,692952,34.2
2012-01-24,33.9333,34.6,33.7767,34.5367,730743,34.5367
2012-01-25,34.37,35.1267,34.29,35.03,645501,35.03
2012-01-26,35.19,35.94,35.0267,35.56,1133673,35.56
2012-01-27,35.4133,35.65,35.17,35.4867,1206738,35.4867
2012-01-30,35.3333,35.88,35.1833,35.8367,1030860,35.8367
2012-01-31,36.07,36.0733,34.9467,35.3667,992343,35.3667
2012-02-01,36.32,37.3667,36.0733,37.3233,1450545,37.3233
2012-02-02,37.2933,37.8767,37.1767,37.7433,1072734,37.7433
2012-02-03,38.3267,38.8233,38.13,38.8033,958518,38.8033
2012-02-06,38.5667,38.7567,38.3467,38.74,532221,38.74
2012-02-07,38.5233,39.04,38.4033,38.9133,581805,38.9133
2012-02-08,38.8133,39.1933,38.7867,38.9,597774,38.9
2012-02-09,39.2167,39.4433,38.67,38.95,686658,38.95
2012-02-10,38.6,38.79,38.51,38.7,550731,38.7
2012-02-13,39.16,39.2467,38.8367,39.0533,322407,39.0533
2012-02-14,38.9167,38.9267,38.4633,38.6633,581661,38.6633
