DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,20.48,20.76,20.4,20.51,1695244,20.51
2012-01-04,20.39,20.7,20.02,20.58,1321532,20.58
2012-01-05,20.36,20.96,20.22,20.75,1722917,20.75
2012-01-06,20.8,20.82,20.43,20.45,1495036,20.45
2012-01-09,20.56,20.92,20.52,20.88,1896268,20.88
2012-01-10,21.25,21.38,21.03,21.3,1525067,21.3
2012-01-11,21.26,21.52,21.07,21.5,1288767,21.5
2012-01-12,21.64,21.8,21.29,21.76,1792254,21.76
2012-01-13,21.42,21.68,21.12,21.45,1916896,21.45
2012-01-17,22,22.08,21.16,21.27,2249179,21.27
2012-01-18,20.45,20.73,20.16,20.3,3001151,20.3
2012-01-19,20.47,20.91,20.39,20.91,2081342,20.91
2012-01-20,20.96,21.38,20.89,21.28,3599801,21.28
2012-01-23,21.39,21.77,21.26,21.64,2004253,21.64
2012-01-24,21.45,21.6,21.2,21.25,2009125,21.25
2012-01-25,21.16,21.24,20.51,20.57,3870075,20.57
2012-01-26,20.56,20.63,19.82,20,3452371,20
2012-01-27,19.82,20.3,19.75,20.23,2433373,20.23
2012-01-30,19.99,20.1,19.74,20.02,1572995,20.02
2012-01-31,20.07,20.26,19.93,20.13,2518156,20.13
2012-02-01,20.38,20.72,20.34,20.54,2227655,20.54
2012-02-02,20.65,21.32,20.6,21.29,2285266,21.29
2012-02-03,21.62,22.14,21.6,21.94,2702973,21.94
2012-02-06,21.76,21.99,21.64,21.95,2415174,21.95
2012-02-07,21.8,21.81,21.56,21.69,1989649,21.69
2012-02-08,21.78,21.96,21.62,21.92,1865532,21.92
2012-02-09,22,22.07,21.64,21.78,1454106,21.78
2012-02-10,21.47,21.64,21.35,21.42,1350895,21.42
2012-02-13,21.67,21.73,21.33,21.36,929613,21.36
2012-02-14,21.26,21.33,20.75,21.01,2053520,21.01
2012-02-15,21.1,21.38,21.01,21.23,1464611,21.23
2012-02-16,21.2,21.99,21.12,21.98,1847781,21.98
2012-02-17,22.1,22.16,21.85,22.01,3052159,22.01
2012-02-21,22.05,22.34,21.97,22.16,2701072,22.16
2012-02-22,22.14,22.14,21.77,21.84,1546718,21.84
2012-02-23,21.83,22.08,21.57,22.03,1474239,22.03
2012-02-24,22.06,22.12,21.64,21.67,1391696,21.67
2012-02-27,21.5,22.11,21.38,22.02,1145095,22.02
2012-02-28,22.08,22.37,21.92,22.34,1164855,22.34
2012-02-29,22.41,22.51,22.04,22.11,2471322,22.11
2012-03-01,22.18,22.83,22.15,22.48,1665196,22.48
2012-03-02,22.5,22.58,22.24,22.3,1288164,22.3
2012-03-05,22.24,22.29,22,22.16,1251525,22.16
2012-03-06,21.86,21.91,21.55,21.61,1767499,21.61
2012-03-07,21.73,21.88,21.61,21.84,1382775,21.84
2012-03-08,22.13,22.35,21.98,22.34,1254586,22.34
2012-03-09,22.4,22.63,22.21,22.42,1378209,22.42
2012-03-12,22.48,22.66,22.33,22.62,1857665,22.62
2012-03-13,22.74,23.31,22.54,23.28,2608531,23.28
2012-03-14,23.49,23.57,23,23.2,2013755,23.2
2012-03-15,23.25,24.33,23.19,24.28,2645110,24.28
2012-03-16,24.42,24.51,23.8,24.14,4305507,24.14
2012-03-19,24.07,24.7,23.88,24.51,1354624,24.51
2012-03-20,24.27,24.52,24.11,24.36,1245336,24.36
2012-03-21,24.36,24.43,24.02,24.04,1464503,24.04
2012-03-22,23.85,23.88,23.59,23.7,1373510,23.7
2012-03-23,23.76,24.02,23.57,23.95,1237065,23.95
2012-03-26,24.26,24.59,24.15,24.59,1751483,24.59
2012-03-27,24.59,24.69,23.85,23.89,2302943,23.89
2012-03-28,23.88,24.02,23.64,24,2059399,24
2012-03-29,23.79,23.83,23.39,23.77,2308948,23.77
2012-03-30,23.94,24.14,23.67,24.13,2625354,24.13
2012-04-02,24.06,24.55,23.88,24.49,1794782,24.49
2012-04-03,24.39,24.72,24.25,24.67,2580094,24.67
2012-04-04,24.31,24.35,23.79,24.14,2357895,24.14
2012-04-05,23.99,24.12,23.69,23.82,1699213,23.82
2012-04-09,23.41,23.49,23.16,23.34,1568055,23.34
2012-04-10,23.34,23.51,23.09,23.11,2736520,23.11
2012-04-11,23.49,23.78,23.34,23.47,1632222,23.47
2012-04-12,23.5,23.94,23.43,23.94,1353879,23.94
2012-04-13,23.71,23.71,23.11,23.11,1894598,23.11
2012-04-16,23.37,23.51,23.08,23.29,1407656,23.29
2012-04-17,23.5,23.91,23.38,23.8,1356870,23.8
2012-04-18,23.2,23.58,22.99,23.08,1847577,23.08
2012-04-19,23.18,23.36,22.64,22.76,1765119,22.76
2012-04-20,22.93,23.06,22.78,22.85,2535708,22.85
2012-04-23,22.5,22.75,22.37,22.69,2396117,22.69
2012-04-24,22.74,23.29,22.74,23.24,2479855,23.24
2012-04-25,23.49,23.69,23.29,23.65,1926520,23.65
2012-04-26,23.47,23.71,23.34,23.7,1362377,23.7
2012-04-27,23.85,23.9,23.63,23.84,1649557,23.84
2012-04-30,23.69,23.8,23.53,23.65,1628275,23.65
2012-05-01,23.58,24.2,23.51,23.93,1421454,23.93
2012-05-02,23.75,24.04,23.54,23.91,1875706,23.91
2012-05-03,23.9,24.03,23.44,23.48,2148366,23.48
2012-05-04,23.34,23.43,23.02,23.07,1785390,23.07
2012-05-07,22.95,23.21,22.93,23.1,2455788,23.1
2012-05-08,22.94,23.05,22.69,22.87,2126777,22.87
2012-05-09,22.53,22.58,22.08,22.19,2286536,22.19
2012-05-10,22.49,22.56,22.16,22.23,2000968,22.23
2012-05-11,22,22.41,21.76,22.09,2105831,22.09
2012-05-14,21.8,22.02,21.38,21.4,2142864,21.4
