DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,35.91,36.44,35.91,36.32,242465,36.32
2012-01-04,36.2,36.49,36.09,36.25,301847,36.25
2012-01-05,36.12,36.45,35.66,36.27,227138,36.27
2012-01-06,36.34,37.18,36.09,37.12,365884,37.12
2012-01-09,37.13,37.32,36.77,36.83,371707,36.83
2012-01-10,37.09,37.27,36.7,36.86,286636,36.86
2012-01-11,36.82,37.04,36.61,36.91,156094,36.91
2012-01-12,37.69,37.86,37.43,37.82,295466,37.82
2012-01-13,37.55,37.7,37.21,37.64,291122,37.64
2012-01-17,37.75,37.91,37.03,37.14,328227,37.14
2012-01-18,36.99,37.76,36.89,37.69,205588,37.69
2012-01-19,37.72,38.35,37.64,38.15,209280,38.15
2012-01-20,38.2,38.25,37.85,37.91,384113,37.91
2012-01-23,37.8,38.1,37.53,37.79,191511,37.79
2012-01-24,37.85,38.04,37.6,37.75,253988,37.75
2012-01-25,37.56,37.88,37.08,37.7,439921,37.7
2012-01-26,37.9,39.68,37.31,39.36,439001,39.36
2012-01-27,39.65,39.84,39.1,39.44,522081,39.44
2012-01-30,38.98,39.36,38.96,39.18,334760,39.18
2012-01-31,39.32,39.41,39.09,39.26,331958,39.26
2012-02-01,39.45,40.65,39.45,40.32,417794,40.32
2012-02-02,40.27,40.28,39.7,39.7,363408,39.7
2012-02-03,39.98,40.23,39.78,39.8,299744,39.8
2012-02-06,39.68,40.02,39.66,40,252878,40
2012-02-07,39.87,40.2,39.72,39.8,220179,39.8
2012-02-08,39.87,40.15,39.7,39.85,247112,39.85
2012-02-09,39.9,40.1,39.61,40.04,255232,40.04
2012-02-10,39.65,39.86,39.31,39.81,309931,39.81
2012-02-13,40.05,40.29,39.82,39.96,166040,39.96
2012-02-14,39.83,39.93,39.61,39.87,126444,39.87
2012-02-15,39.92,40.07,39.64,39.73,232277,39.73
2012-02-16,39.77,40.39,39.59,40.32,189054,40.32
2012-02-17,40.5,40.5,40.01,40.11,300650,40.11
2012-02-21,40.11,40.49,40.05,40.24,166520,40.24
2012-02-22,40.17,40.32,39.65,39.7,148053,39.7
2012-02-23,39.7,39.96,39.7,39.85,246024,39.85
2012-02-24,39.92,40.19,39.67,39.78,160616,39.78
2012-02-27,39.67,40.02,39.48,39.9,257014,39.9
2012-02-28,39.9,40.23,39.85,40.07,252796,40.07
2012-02-29,40.05,40.44,39.86,40.08,496725,40.08
2012-03-01,40.05,40.38,39.82,39.98,270394,39.98
2012-03-02,39.94,40.11,39.64,39.81,188737,39.81
2012-03-05,39.77,39.84,39.53,39.69,253499,39.69
2012-03-06,39.3,39.37,39.08,39.28,852699,39.28
2012-03-07,39.39,39.54,39.22,39.46,378100,39.46
2012-03-08,39.64,40.07,39.56,39.87,484958,39.87
2012-03-09,39.86,40.12,39.61,39.72,186687,39.72
2012-03-12,39.62,39.87,39.53,39.69,335396,39.69
2012-03-13,39.81,40.45,39.71,40.38,208413,40.38
2012-03-14,40.3,40.52,40.15,40.3,313705,40.3
2012-03-15,40.28,40.72,40.24,40.63,199914,40.63
2012-03-16,40.74,41.39,40.71,41.39,1070220,41.39
2012-03-19,41.46,41.78,41.37,41.39,289763,41.39
2012-03-20,41.16,41.55,41.08,41.27,214717,41.27
2012-03-21,41.36,41.4,41.07,41.08,243244,41.08
2012-03-22,40.74,41.01,40.51,40.83,266031,40.83
2012-03-23,40.93,41.13,40.69,41.09,243020,41.09
2012-03-26,41.41,41.54,41.21,41.53,251818,41.53
2012-03-27,41.58,42.45,41.34,42.35,408096,42.35
2012-03-28,42.26,42.49,42.13,42.44,448089,42.44
2012-03-29,42.15,42.81,41.92,42.75,348517,42.75
2012-03-30,42.96,42.99,42.53,42.88,537790,42.88
2012-04-02,42.54,43.17,42.54,43.1,376001,43.1
2012-04-03,43.16,43.57,43.05,43.55,458639,43.55
2012-04-04,43.3,43.69,43.03,43.62,617681,43.62
2012-04-05,43.48,43.64,43.29,43.57,310546,43.57
2012-04-09,43.03,43.45,42.96,43.43,344239,43.43
2012-04-10,43.29,43.39,42.33,42.45,381911,42.45
2012-04-11,43.41,43.41,42.7,42.73,376925,42.73
2012-04-12,42.79,43.01,42.68,42.81,503746,42.81
2012-04-13,42.74,43.07,42.72,42.77,320646,42.77
2012-04-16,42.43,42.87,42.15,42.78,406218,42.78
2012-04-17,43.2,43.29,42.71,43.15,281119,43.15
2012-04-18,42.99,43.26,42.97,43.03,249755,43.03
2012-04-19,43.09,43.57,43.09,43.3,308076,43.3
2012-04-20,43.44,43.7,43.29,43.52,304445,43.52
2012-04-23,43.21,43.21,42.56,42.87,215335,42.87
2012-04-24,42.88,43.12,42.72,42.96,177440,42.96
2012-04-25,43.32,43.43,42.92,43,368774,43
2012-04-26,42.5,42.57,41.51,41.63,542754,41.63
2012-04-27,41.79,42.01,41.52,41.78,297199,41.78
2012-04-30,41.8,41.99,41.66,41.76,400847,41.76
2012-05-01,41.75,42.22,41.73,41.83,288482,41.83
2012-05-02,41.5,41.66,41.35,41.47,501870,41.47
2012-05-03,41.5,41.81,41.37,41.45,373148,41.45
2012-05-04,41.4,41.43,40.72,40.76,377665,40.76
2012-05-07,40.69,40.96,40.68,40.92,296982,40.92
2012-05-08,40.63,40.96,40.05,40.92,384207,40.92
2012-05-09,40.54,41.31,40.48,40.91,388794,40.91
2012-05-10,41.16,41.33,40.83,41.26,309397,41.26
2012-05-11,40.96,41.25,40.88,40.96,243402,40.96
2012-05-14,40.6,40.74,40.41,40.48,280192,40.48
2012-05-15,40.41,40.68,40.26,40.34,272341,40.34
2012-05-16,40.37,40.47,39.81,39.9,392750,39.9
2012-05-17,39.9,39.98,38.89,38.89,420056,38.89
2012-05-18,38.96,39.16,38.56,38.66,456289,38.66
2012-05-21,38.66,39.27,38.39,39.27,252524,39.27
2012-05-22,39.37,39.53,38.89,39.06,345105,39.06
2012-05-23,38.88,39.6,38.49,39.53,232450,39.53
2012-05-24,39.55,39.86,39.46,39.86,250894,39.86
2012-05-25,39.95,40.09,39.79,39.88,244633,39.88
2012-05-29,40.1,40.49,40.09,40.36,228072,40.36
2012-05-30,40.01,40.29,39.93,40,313956,40
2012-05-31,39.91,40.1,39.38,39.97,834785,39.97
2012-06-01,39.43,39.66,39.19,39.33,272145,39.33
2012-06-04,39.33,39.59,38.99,39.54,261052,39.54
2012-06-05,39.32,39.8,39.14,39.69,224151,39.69
2012-06-06,39.91,40.56,39.91,40.56,223705,40.56
2012-06-07,40.89,41.11,40.29,40.34,264488,40.34
2012-06-08,40.24,41.17,39.9,41.15,281423,41.15
2012-06-11,41.36,41.58,40.74,40.76,244396,40.76
2012-06-12,40.89,41.2,40.56,41.17,191217,41.17
2012-06-13,41.08,41.35,40.9,41.1,208453,41.1
2012-06-14,41.16,41.77,41.1,41.56,181162,41.56
2012-06-15,41.86,42.88,41.83,42.75,632224,42.75
2012-06-18,42.52,42.61,42.22,42.49,286214,42.49
2012-06-19,42.7,42.91,42.57,42.71,181080,42.71
2012-06-20,42.71,42.71,42.17,42.44,251214,42.44
2012-06-21,42.43,42.52,41.37,41.48,240927,41.48
2012-06-22,41.59,41.82,41.28,41.64,210490,41.64
2012-06-25,40.78,40.9,40.37,40.41,238789,40.41
2012-06-26,40.38,40.46,39.75,40.03,289485,40.03
2012-06-27,40.05,40.34,39.92,40.16,263383,40.16
2012-06-28,39.98,40.62,39.92,40.57,238699,40.57
2012-06-29,41.12,41.18,40.89,41.05,405984,41.05
2012-07-02,41.09,41.18,40.24,40.52,248435,40.52
