DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,30,30.22,29.42,29.52,2050878,29.52
2012-01-04,29.42,29.54,29.05,29.13,2409714,29.13
2012-01-05,29.08,29.47,29.01,29.45,2189463,29.45
2012-01-06,29.35,30.17,29.2,30.15,2369187,30.15
2012-01-09,30.88,31.25,30.61,30.9,3314521,30.9
2012-01-10,31.69,31.76,30.83,31.23,2885444,31.23
2012-01-11,31.04,31.37,30.89,31.06,2050744,31.06
2012-01-12,31.3,32.81,31.27,32.66,4776459,32.66
2012-01-13,32.22,32.6,31.76,31.83,3097702,31.83
2012-01-17,32.27,32.48,32.04,32.22,2098103,32.22
2012-01-18,32.75,33.9,32.75,33.35,5533094,33.35
2012-01-19,34.33,35,34.035,34.99,5559252,34.99
2012-01-20,34.76,35.01,34.5,35,4062182,35
2012-01-23,35.01,35.24,34.3,34.465,3353168,34.465
2012-01-24,34.55,35.24,34.52,35.23,3328178,35.23
2012-01-25,36.01,36.1,35.3,35.79,4549700,35.79
2012-01-26,36,36.12,35.16,35.29,3176410,35.29
2012-01-27,35.05,35.46,35,35.05,2949518,35.05
2012-01-30,34.75,34.8,34.03,34.45,3539181,34.45
2012-01-31,34.8,34.88,34.27,34.34,4085791,34.34
2012-02-01,35.52,37.68,35.41,37.13,8977519,37.13
2012-02-02,36.95,37.29,36.25,37.01,3455489,37.01
2012-02-03,37.38,37.89,37.28,37.675,2970902,37.675
2012-02-06,37.1,37.24,36.75,37.14,2201511,37.14
2012-02-07,37,37.31,36.77,37.17,1745074,37.17
2012-02-08,37.46,38.34,37.38,37.66,2708906,37.66
2012-02-09,37.83,37.99,37.48,37.81,1644476,37.81
2012-02-10,37.44,37.44,36.76,36.98,2224245,36.98
2012-02-13,37.02,37.22,36.31,36.82,1943116,36.82
2012-02-14,36.54,36.865,36.17,36.85,2040561,36.85
2012-02-15,36.96,37.59,36.9,37.09,2716919,37.09
2012-02-16,37.21,38.2,37.13,38.18,2599801,38.18
2012-02-17,38.16,38.2,37.41,37.66,2371776,37.66
2012-02-21,38.2,38.65,37.81,37.97,2387834,37.97
2012-02-22,37.81,38.13,37.57,37.83,1662658,37.83
2012-02-23,37.82,37.82,36.95,37,2724423,37
2012-02-24,37.19,37.32,36.68,36.75,1573476,36.75
2012-02-27,36,36.995,35.7,36.47,3401156,36.47
2012-02-28,36.65,37.75,36.25,37.37,2951163,37.37
2012-02-29,37.41,37.54,36.96,37.15,3055298,37.15
2012-03-01,37.4,37.4,36.62,37.15,2716981,37.15
2012-03-02,37.12,37.19,36.085,36.18,1891593,36.18
2012-03-05,36.04,36.06,34.74,34.78,3354350,34.78
2012-03-06,34.3,34.76,33.83,34.14,3165097,34.14
2012-03-07,34.51,35.335,34.4,35.16,3137061,35.16
2012-03-08,35.7,36.04,35.48,35.86,2053022,35.86
2012-03-09,35.86,36.465,35.74,36.38,2026074,36.38
2012-03-12,36.45,36.59,35.715,35.94,2048384,35.94
2012-03-13,36.2,37.45,36.11,37.39,2362670,37.39
2012-03-14,37.65,37.84,36.67,36.85,2854876,36.85
2012-03-15,37,37.85,36.94,37.75,3394137,37.75
2012-03-16,38,38.12,37.7,37.81,4474926,37.81
2012-03-19,38.18,39.04,38.12,38.78,3008754,38.78
2012-03-20,38.61,38.68,38.03,38.39,2333945,38.39
2012-03-21,38.4,38.87,38.03,38.62,2178813,38.62
2012-03-22,38.31,38.36,37.675,38.08,2118402,38.08
2012-03-23,38.18,38.57,37.73,38.47,1898240,38.47
2012-03-26,38.75,38.99,38.41,38.93,1879228,38.93
2012-03-27,39,39.66,38.94,38.95,2630213,38.95
2012-03-28,38.96,39.02,38.13,38.28,2539110,38.28
2012-03-29,38.05,38.68,37.65,38.56,1825843,38.56
2012-03-30,38.87,39.38,38.61,39.3,2441856,39.3
2012-04-02,39.11,39.22,38.28,38.89,2897700,38.89
2012-04-03,38.86,38.95,37.945,38.21,2681645,38.21
2012-04-04,37.6,37.78,36.865,37.54,2424782,37.54
2012-04-05,37.28,37.51,37.04,37.4,2112307,37.4
2012-04-09,36.81,37,36.33,36.83,1819645,36.83
2012-04-10,36.84,37.2,35.85,35.93,2957536,35.93
2012-04-11,36.42,37.2,36.26,36.54,2280274,36.54
2012-04-12,36.51,37.5,36.5,37.42,1679820,37.42
2012-04-13,37.25,37.9,36.58,36.71,2808862,36.71
2012-04-16,36.98,37.23,36.34,36.54,2048375,36.54
2012-04-17,36.73,37.5,36.73,37.23,1435509,37.23
2012-04-18,36.86,37.09,36.47,36.86,1342648,36.86
2012-04-19,36.29,36.55,35.5,35.73,3539109,35.73
2012-04-20,35.98,35.98,34.735,34.77,3866772,34.77
2012-04-23,34.35,34.86,34.03,34.77,2606028,34.77
2012-04-24,34.59,34.85,34,34.42,2798784,34.42
2012-04-25,35.83,37.01,35.75,36.51,4773374,36.51
2012-04-26,36.39,36.75,35.81,36.47,3199329,36.47
2012-04-27,36.54,36.74,35.93,36.47,2096822,36.47
2012-04-30,36.5,36.805,36.19,36.6,1958050,36.6
2012-05-01,36.6,36.79,36.13,36.72,3710985,36.72
2012-05-02,36.35,37.08,35.95,36.89,4349775,36.89
2012-05-03,36.95,37.25,35.92,35.99,2188149,35.99
2012-05-04,35.49,35.65,34.45,34.63,2608087,34.63
2012-05-07,34.23,34.69,34.02,34.34,1931927,34.34
2012-05-08,34.03,34.13,33.22,33.95,2502435,33.95
2012-05-09,33.3,33.87,32.99,33.64,2575629,33.64
2012-05-10,33.75,33.83,33.005,33.37,2205538,33.37
2012-05-11,33.17,34.26,33.17,33.79,2170257,33.79
2012-05-14,33.26,33.415,33.035,33.05,1998063,33.05
2012-05-15,33.26,34.02,33.05,33.14,3005608,33.14
2012-05-16,33.18,33.44,32.14,32.18,3313223,32.18
2012-05-17,32.17,32.31,31.3,31.3,2399507,31.3
2012-05-18,31.46,31.89,31.23,31.32,3042935,31.32
2012-05-21,31.36,32.33,31.21,32.28,2130799,32.28
2012-05-22,32.26,32.53,31.8,32.05,1894116,32.05
2012-05-23,31.68,32.34,31.41,32.29,2161924,32.29
2012-05-24,32.29,32.3,30.95,31.15,3372676,31.15
2012-05-25,31.23,31.77,31.105,31.68,1711856,31.68
2012-05-29,32.26,32.9,32.15,32.89,2560192,32.89
2012-05-30,32.49,32.49,31.875,32.19,1813846,32.19
2012-05-31,32.29,32.43,31.6,32.35,2414077,32.35
2012-06-01,31.85,32.08,31.68,31.74,3788218,31.74
2012-06-04,31.83,32.31,31.6,32.02,2258357,32.02
2012-06-05,31.97,32.81,31.94,32.69,1622396,32.69
2012-06-06,33.05,34.24,32.97,34.22,2407038,34.22
2012-06-07,34.55,35.01,33.81,33.87,2530508,33.87
2012-06-08,33.65,34.26,33.38,34.06,1784260,34.06
2012-06-11,34.58,34.73,33.17,33.24,1878394,33.24
2012-06-12,33.48,34.14,33.25,34.13,1796114,34.13
2012-06-13,34.05,34.46,33.64,33.82,1475112,33.82
2012-06-14,33.78,34.11,33.51,33.89,2090218,33.89
2012-06-15,33.9,34.35,33.63,34.28,2821591,34.28
2012-06-18,34.14,35.04,34,34.66,2464012,34.66
2012-06-19,34.85,35.23,34.76,34.98,2033425,34.98
2012-06-20,35.12,35.53,34.96,35.27,2296451,35.27
2012-06-21,35.04,35.24,33.52,33.6,2265788,33.6
2012-06-22,33.78,34.49,33.72,34.425,2409006,34.425
2012-06-25,33.97,34.07,32.22,32.24,3204291,32.24
2012-06-26,32.39,32.74,32.19,32.33,2567699,32.33
2012-06-27,32.61,33.03,32.54,32.89,1718156,32.89
2012-06-28,32.55,32.85,32.04,32.48,1980828,32.48
2012-06-29,33.21,33.8,33.04,33.8,2118930,33.8
2012-07-02,33.83,33.9,33.17,33.53,1670981,33.53
2012-07-03,33.55,33.97,33.35,33.85,862494,33.85
2012-07-05,33.8,33.94,33.48,33.69,991745,33.69
2012-07-06,33.33,33.35,32.45,32.57,1817611,32.57
2012-07-09,32.5,32.61,31.59,31.64,2519403,31.64
2012-07-10,31.68,32.09,31.3,31.53,2343073,31.53
2012-07-11,31.46,31.86,31.09,31.19,1936055,31.19
2012-07-12,30.97,31.09,30.6,30.86,2481528,30.86
2012-07-13,30.87,31.16,30.78,31.02,1652258,31.02
2012-07-16,31.07,31.17,30.63,30.8,1477177,30.8
2012-07-17,30.09,30.11,28.6,29.6,7178527,29.6
2012-07-18,29.52,30.85,29.4,30.65,2665084,30.65
2012-07-19,31.68,32.49,31.53,32.45,4864076,32.45
2012-07-20,32.06,32.16,31.61,31.62,2879442,31.62
2012-07-23,30.9,31.1,30.41,30.98,2433082,30.98
2012-07-24,31.4,31.44,30.5,30.77,2114973,30.77
2012-07-25,32.75,33.87,32.63,32.98,5092654,32.98
2012-07-26,33.45,33.88,32.63,33.07,3121021,33.07
2012-07-27,33.32,33.88,32.8,33.74,2250125,33.74
2012-07-30,33.88,34.16,33.26,33.79,2305168,33.79
2012-07-31,33.85,34.63,33.74,33.88,3068930,33.88
2012-08-01,34.09,34.3,33.59,33.85,2081422,33.85
2012-08-02,33.44,34.38,33.35,33.45,2443555,33.45
2012-08-03,34,34.48,33.9,34.01,2814276,34.01
2012-08-06,33.99,34.1,33.65,33.9,2646737,33.9
2012-08-07,34.1,34.83,34.03,34.23,2162082,34.23
2012-08-08,34.07,34.4,33.8,33.9,1367554,33.9
2012-08-09,33.82,34.33,33.74,34.33,2184760,34.33
2012-08-10,34.95,35.42,34.85,35.35,3455510,35.35
2012-08-13,35.1,35.36,34.76,35.11,1623107,35.11
2012-08-14,35.34,35.44,34.29,34.41,1706504,34.41
2012-08-15,34.27,34.84,34.27,34.71,1246499,34.71
2012-08-16,34.83,36.065,34.74,36.02,3062380,36.02
2012-08-17,35.89,36.15,35.66,35.83,2696665,35.83
2012-08-20,35.8,36,35.41,35.72,1501867,35.72
2012-08-21,35.73,36.21,35.25,35.39,1837757,35.39
2012-08-22,35.31,35.5,35,35.17,1717713,35.17
2012-08-23,35.02,35.46,34.97,35.2,1420726,35.2
2012-08-24,35.15,35.5,34.94,35.35,1499473,35.35
2012-08-27,35.28,35.49,35.11,35.42,1137381,35.42
2012-08-28,35.34,35.7,35.22,35.39,1430424,35.39
2012-08-29,35.27,35.74,35.2,35.66,1367300,35.66
2012-08-30,35.36,35.52,34.83,34.99,1067352,34.99
2012-08-31,35.35,35.8,34.8,35.53,1558935,35.53
2012-09-04,35.34,35.52,34.65,35.34,1815502,35.34
2012-09-05,35.25,35.4,34.855,34.93,1499575,34.93
2012-09-06,35.31,36.17,35.29,36.12,1675277,36.12
2012-09-07,36.05,36.19,35.71,36.12,1383089,36.12
2012-09-10,36.1,36.42,35.55,35.585,1686691,35.585
2012-09-11,35.61,35.85,35.46,35.59,1622444,35.59
2012-09-12,35.85,36.4,35.83,36.08,1903851,36.08
2012-09-13,36.04,36.39,35.55,36.19,2471100,36.19
2012-09-14,36.21,36.99,36.08,36.23,2953115,36.23
2012-09-17,36.75,36.75,35.74,36.09,1809032,36.09
2012-09-18,36.51,36.92,36.3,36.9,2697787,36.9
2012-09-19,36.57,36.85,36.36,36.57,2670762,36.57
2012-09-20,36.3,36.63,35.85,36.12,2181525,36.12
2012-09-21,36.52,36.7,36.19,36.26,4554812,36.26
2012-09-24,35.98,36.09,35.57,35.64,1760129,35.64
2012-09-25,35.68,35.87,34.55,34.56,2395894,34.56
2012-09-26,34.57,34.65,33.805,34.06,2550738,34.06
2012-09-27,34.28,35.29,34.16,35.205,2548554,35.205
2012-09-28,35.17,35.21,34.54,34.58,1963583,34.58
2012-10-01,34.69,34.99,34.01,34.13,2047914,34.13
2012-10-02,34.29,34.55,33.78,34.06,2316678,34.06
2012-10-03,34.27,34.37,33.8,33.98,1778248,33.98
2012-10-04,34.1,34.26,33.73,34.235,1237162,34.235
2012-10-05,34.38,34.965,34.16,34.28,1271025,34.28
2012-10-08,34.02,34.23,33.78,34.01,956024,34.01
2012-10-09,33.92,33.98,32.96,33.18,1643366,33.18
2012-10-10,33.26,33.3,32.66,32.92,1415663,32.92
2012-10-11,33.31,33.49,32.86,32.87,1484633,32.87
2012-10-12,32.92,33.07,32.72,32.9,1374703,32.9
2012-10-15,32.97,33.18,32.55,33.12,1267244,33.12
2012-10-16,33.26,34.29,33,34.26,1337379,34.26
2012-10-17,34.08,34.73,33.91,34.62,1519360,34.62
2012-10-18,34.47,34.89,34.26,34.58,1828785,34.58
2012-10-19,34.5,34.58,33.29,33.29,3517848,33.29
2012-10-22,33.43,33.91,33.105,33.42,1704357,33.42
2012-10-23,32.95,33.495,32.6,33.36,2267263,33.36
2012-10-24,34.16,34.3,32.03,32.22,4395653,32.22
2012-10-25,32.47,32.52,31.29,31.62,2750082,31.62
2012-10-26,31.8,32.485,31.64,31.76,1984432,31.76
2012-10-31,31.96,32.06,31.49,31.535,1757400,31.535
2012-11-01,31.44,32.1,31.44,32.04,2924619,32.04
2012-11-02,32.1,32.35,31.43,31.45,1689777,31.45
2012-11-05,31.45,31.69,31.27,31.58,1694837,31.58
2012-11-06,31.67,31.67,31.29,31.39,2293080,31.39
2012-11-07,31.16,31.33,30.78,30.95,2983057,30.95
2012-11-08,31.1,31.36,30.59,30.62,2178940,30.62
2012-11-09,30.55,30.92,30.46,30.61,1800638,30.61
2012-11-12,30.78,31.005,30.36,30.9,1283820,30.9
2012-11-13,30.54,30.88,30.43,30.44,1796988,30.44
2012-11-14,31.11,31.39,30.59,30.64,2406925,30.64
2012-11-15,30.64,30.89,30.11,30.29,2171805,30.29
2012-11-16,30.3,30.74,29.96,30.47,2785671,30.47
2012-11-19,30.79,31.42,30.63,31.25,1886906,31.25
2012-11-20,31.06,31.39,30.83,31.13,1465599,31.13
2012-11-21,31.15,31.445,30.99,31.19,873359,31.19
2012-11-23,31.34,31.71,31.26,31.58,637261,31.58
2012-11-26,31.71,32.3,31.6,32.18,1733095,32.18
2012-11-27,32.15,32.31,31.81,32.09,1664694,32.09
2012-11-28,31.83,32.17,31.33,32.16,2245242,32.16
2012-11-29,32.3,32.47,32.1,32.44,1353782,32.44
2012-11-30,32.41,32.5,32.19,32.38,1331714,32.38
2012-12-03,32.69,32.81,32.1,32.19,2545661,32.19
2012-12-04,32.27,32.6,31.77,32.47,1984140,32.47
2012-12-05,32.55,32.61,31.905,32.34,2216735,32.34
