DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,77.36,78.29,77.31,77.68,1942151,77.68
2012-01-04,77.25,77.33,76.61,76.8,1611623,76.8
2012-01-05,76.27,77.12,75.86,76.93,1426668,76.93
2012-01-06,76.81,77.11,76.13,76.39,1398017,76.39
2012-01-09,76.49,76.75,75.94,76.29,1277124,76.29
2012-01-10,76.89,77.5,76.73,77.42,1896991,77.42
2012-01-11,77.03,78.05,76.92,78,1366973,78
2012-01-12,78.3,78.5,77.63,78.5,1579398,78.5
2012-01-13,77.68,77.95,77,77.77,2298584,77.77
2012-01-17,78.62,78.62,77.6,77.97,1647057,77.97
2012-01-18,77.89,78.92,77.83,78.92,1634691,78.92
2012-01-19,78.9,79.59,78.6,79.59,1635063,79.59
2012-01-20,79.84,79.92,79.34,79.91,2865101,79.91
2012-01-23,79.6,79.7,78.81,79.15,1113672,79.15
2012-01-24,78.23,78.73,78.23,78.48,1113355,78.48
2012-01-25,78.09,79.96,77.96,79.85,1478448,79.85
2012-01-26,79.87,80.07,79.05,79.66,1618543,79.66
2012-01-27,79.4,79.73,78.87,79.42,1359517,79.42
2012-01-30,78.41,78.8,78.11,78.69,1335746,78.69
2012-01-31,79.26,79.26,78.25,78.37,1738709,78.37
2012-02-01,78.8,79.65,78.58,78.66,1576062,78.66
2012-02-02,78.7,79.04,78.45,78.73,1125524,78.73
2012-02-03,79.48,80.02,79.29,80,2094438,80
2012-02-06,79.44,79.92,79.44,79.85,1267768,79.85
2012-02-07,79.38,79.99,79.18,79.88,768812,79.88
2012-02-08,79.72,79.89,79.47,79.66,1035924,79.66
2012-02-09,79.64,79.76,78.95,79.2,1129681,79.2
2012-02-10,79,79.22,78.5,78.79,1404510,78.79
2012-02-13,79.12,79.61,79.01,79.44,1002376,79.44
2012-02-14,79.28,79.29,78.24,78.92,1383335,78.92
2012-02-15,79.1,79.34,77.9,78.07,1527514,78.07
2012-02-16,78.03,78.94,77.99,78.91,1447579,78.91
2012-02-17,79.52,79.65,78.89,79.42,2825681,79.42
2012-02-21,79.5,79.88,79.31,79.63,1262587,79.63
2012-02-22,79.5,79.59,78.83,78.93,1106853,78.93
2012-02-23,78.75,79.41,78.75,79.37,1282197,79.37
2012-02-24,79.6,80.09,79.55,80.04,1766272,80.04
2012-02-27,79.5,80.45,78.7,80.25,1885699,80.25
2012-02-28,80.49,80.49,79.21,79.44,1591097,79.44
2012-02-29,79.52,79.67,78.41,78.45,2906423,78.45
2012-03-01,78.81,78.92,78.45,78.78,1455023,78.78
2012-03-02,78.54,78.75,78.18,78.29,1181579,78.29
2012-03-05,78.46,79.3,78.28,79.17,1561066,79.17
2012-03-06,78.78,79.04,78.31,78.47,1849239,78.47
2012-03-07,78.5,78.84,78.26,78.82,1426894,78.82
2012-03-08,79.11,79.15,78.44,78.87,1127417,78.87
2012-03-09,79,79.5,78.84,79.41,1184618,79.41
2012-03-12,79.46,79.66,79.3,79.54,1030784,79.54
2012-03-13,79.75,80.85,79.71,80.76,2646159,80.76
2012-03-14,80.61,80.89,80.39,80.71,1347404,80.71
2012-03-15,80.53,81.37,80.34,81.34,1732523,81.34
2012-03-16,81.2,81.49,80.95,81.07,4186597,81.07
2012-03-19,81.17,81.62,81.03,81.48,1292257,81.48
