DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,27.16,28.51,27.16,28.33,9541895,28.33
2012-01-04,27.99,28.38,27.63,28.17,6994626,28.17
2012-01-05,27.62,29.18,27.48,28.51,8944086,28.51
2012-01-06,28.68,29.06,28.01,28.55,6086304,28.55
2012-01-09,28.75,29.38,28.65,29.07,5228280,29.07
2012-01-10,29.8,30.13,29.66,30,8150926,30
2012-01-11,29.8,31.45,29.74,31.27,9914956,31.27
2012-01-12,31.93,32.09,30.87,31.6,9117133,31.6
2012-01-13,30.15,31,29.89,30.74,10694804,30.74
2012-01-17,29.18,29.97,28.16,28.25,14899906,28.25
2012-01-18,28.15,29.09,27.66,29.03,8642538,29.03
2012-01-19,29.8,30.04,29.1,29.33,8690697,29.33
2012-01-20,29.31,29.64,28.67,29.64,9915229,29.64
2012-01-23,29.64,30.33,29.41,29.85,6106860,29.85
2012-01-24,29.16,29.98,28.91,29.9,5433292,29.9
2012-01-25,29.38,30.14,29.35,29.96,5601187,29.96
2012-01-26,30.48,30.95,30.11,30.38,6216017,30.38
2012-01-27,30.08,30.91,30.06,30.87,5576219,30.87
2012-01-30,30.45,30.5,30.08,30.23,5618104,30.23
2012-01-31,30.61,30.9,30.3,30.72,8847319,30.72
2012-02-01,31.35,32.05,31.32,31.6,10570801,31.6
2012-02-02,31.69,32.34,31.34,31.99,6067215,31.99
2012-02-03,32.85,33.6,32.65,33.54,8693917,33.54
2012-02-06,33.25,33.37,32.94,33.3,4404249,33.3
2012-02-07,33.09,33.36,32.79,33.07,4379650,33.07
2012-02-08,33.26,34.28,33.26,34.23,6957536,34.23
2012-02-09,34.55,34.74,33.6,33.66,7016862,33.66
2012-02-10,32.98,33.2,32.66,32.92,6935811,32.92
2012-02-13,33.41,33.59,32.86,32.88,4796128,32.88
2012-02-14,32.68,32.69,31.35,32.08,7120223,32.08
2012-02-15,32.27,32.7,31.53,31.72,6640090,31.72
2012-02-16,31.46,32.72,31.07,32.71,6682072,32.71
2012-02-17,32.9,33.07,32.62,32.92,7334918,32.92
2012-02-21,32.99,33.53,32.91,33.36,11162941,33.36
2012-02-22,32.94,33.08,32.28,32.36,5715235,32.36
2012-02-23,32.32,32.92,32.08,32.71,7835636,32.71
2012-02-24,32.8,32.98,32.2,32.35,3201531,32.35
2012-02-27,32.05,33.03,31.93,32.93,4952888,32.93
2012-02-28,32.97,33.61,32.94,33.48,5409393,33.48
2012-02-29,33.55,34,33.26,33.32,7827746,33.32
2012-03-01,33.57,34.45,33.54,34.13,7357746,34.13
2012-03-02,34.26,34.48,34.08,34.1,4143200,34.1
2012-03-05,33.93,33.99,33.41,33.68,7851405,33.68
2012-03-06,32.8,32.94,31.86,32.12,7720587,32.12
2012-03-07,32.45,33.35,32.33,33.24,5423669,33.24
2012-03-08,33.67,34.01,33.22,33.99,5532366,33.99
2012-03-09,34.28,34.89,34.1,34.2,5975413,34.2
2012-03-12,33.93,34.31,33.54,34.29,5280892,34.29
2012-03-13,34.97,36.72,34.87,36.45,14217546,36.45
2012-03-14,35.37,36.1,34.88,35.21,13940090,35.21
2012-03-15,35.5,36.59,35.08,36.27,9216741,36.27
2012-03-16,36.53,36.8,36.27,36.69,11987447,36.69
2012-03-19,36.8,38.4,36.54,37.17,11110132,37.17
2012-03-20,36.89,38.39,36.72,38.08,7917084,38.08
2012-03-21,38.2,38.32,37.32,37.8,5809333,37.8
2012-03-22,37.3,37.49,36.55,36.9,10375084,36.9
2012-03-23,36.81,37.39,36.66,37.16,6090977,37.16
2012-03-26,37.66,37.69,37.18,37.43,4931759,37.43
2012-03-27,37.4,37.71,36.77,36.78,4975111,36.78
2012-03-28,36.68,37.24,36.52,37.06,5284874,37.06
2012-03-29,36.64,36.78,35.93,36.51,4990690,36.51
2012-03-30,36.7,36.8,36.26,36.55,5219591,36.55
2012-04-02,36.46,37.14,36.16,36.87,4111614,36.87
2012-04-03,36.68,36.84,36,36.37,5357574,36.37
2012-04-04,35.88,35.89,34.83,35.04,6491343,35.04
2012-04-05,34.73,35.27,34.53,34.79,7207797,34.79
2012-04-09,34,34.27,33.58,33.97,5582905,33.97
2012-04-10,33.87,34.39,32.71,32.86,10310984,32.86
2012-04-11,33.57,33.99,33.29,33.57,5187218,33.57
2012-04-12,33.76,34.86,33.61,34.64,5313246,34.64
2012-04-13,34.62,34.65,33.17,33.41,6443847,33.41
2012-04-16,34.24,34.7,33.76,34,7357923,34
2012-04-17,34.84,35.39,34.44,35.08,7092794,35.08
2012-04-18,34.95,35.99,34.9,35.08,6530731,35.08
2012-04-19,35.48,35.5,34.47,34.85,5824173,34.85
2012-04-20,34.98,35.02,33.8,33.89,8891602,33.89
2012-04-23,32.82,33.3,32.46,33.25,7851234,33.25
2012-04-24,33.4,33.91,33,33.42,4807787,33.42
2012-04-25,34.01,34.06,33.21,33.68,5108135,33.68
2012-04-26,33.45,34.14,33.36,33.88,4332659,33.88
2012-04-27,34.08,34.09,33.4,33.5,5088208,33.5
2012-04-30,33.35,33.41,32.73,33.04,4176550,33.04
2012-05-01,32.92,33.91,32.75,33.6,4528142,33.6
2012-05-02,33.3,33.33,32.66,32.7,4913793,32.7
2012-05-03,32.77,32.91,32.21,32.48,4789184,32.48
2012-05-04,32.3,32.55,31.58,31.6,5315384,31.6
2012-05-07,31.09,31.97,31.09,31.67,6345215,31.67
2012-05-08,31.1,31.61,31.01,31.32,5294699,31.32
2012-05-09,30.89,30.99,30.21,30.45,9263189,30.45
2012-05-10,31.15,31.44,30.47,30.65,8042075,30.65
2012-05-11,29.43,29.97,29.12,29.35,9247341,29.35
2012-05-14,28.89,29.17,28.06,28.14,10548243,28.14
2012-05-15,28.32,28.6,27.65,27.79,9457321,27.79
2012-05-16,28.1,28.44,26.91,26.92,7410786,26.92
2012-05-17,26.91,27.4,26.33,26.41,10835647,26.41
2012-05-18,26.41,26.55,25.84,26.01,11273414,26.01
2012-05-21,26.2,26.74,25.76,26.25,8097212,26.25
2012-05-22,26.64,27.69,26.52,26.92,7360793,26.92
2012-05-23,26.5,27.17,26.09,27.15,8859902,27.15
2012-05-24,27.25,27.42,26.31,26.66,5375452,26.66
2012-05-25,26.4,26.92,26.35,26.47,3857814,26.47
2012-05-29,26.84,27.07,26.67,27.02,3890449,27.02
2012-05-30,26.51,26.61,25.98,26,7753388,26
2012-05-31,26.15,26.78,25.86,26.51,6707274,26.51
2012-06-01,25.88,26.08,25.26,25.39,6832947,25.39
2012-06-04,25.51,25.52,24.61,24.82,5906410,24.82
2012-06-05,24.8,25.88,24.79,25.75,5541242,25.75
2012-06-06,26.28,27.15,26.01,27.14,6427810,27.14
2012-06-07,27.82,27.95,26.7,26.91,6213933,26.91
2012-06-08,26.72,27.79,26.36,27.77,6019428,27.77
2012-06-11,28.4,28.5,26.43,26.48,8837307,26.48
2012-06-12,26.57,27.65,26.42,27.62,6476512,27.62
2012-06-13,27.25,28.1,27.07,27.67,5489062,27.67
2012-06-14,27.76,28.16,27.57,27.91,6536793,27.91
2012-06-15,28.11,28.31,27.11,28.31,11703242,28.31
2012-06-18,28,28.12,27.5,27.55,5437059,27.55
2012-06-19,27.9,28.69,27.88,28.5,7280071,28.5
2012-06-20,28.72,29.31,28.39,28.86,6063815,28.86
2012-06-21,28.95,29.2,27.76,27.83,6460614,27.83
2012-06-22,28.16,28.37,27.81,27.99,5013367,27.99
2012-06-25,27.28,27.29,26.5,26.75,6875893,26.75
2012-06-26,26.81,27.1,26.58,26.73,5259027,26.73
2012-06-27,26.87,27.22,26.5,27.1,3987445,27.1
2012-06-28,26.5,26.74,25.63,26.39,10085744,26.39
2012-06-29,27.5,27.59,27.02,27.41,9523280,27.41
2012-07-02,27.5,27.93,26.98,27.46,5759910,27.46
2012-07-03,27.38,27.77,27.19,27.65,2282046,27.65
2012-07-05,27.56,27.57,26.7,26.84,4987054,26.84
2012-07-06,26.49,26.77,26.1,26.36,3744206,26.36
