DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,20.57,20.79,20.26,20.3,886196,20.3
2012-01-04,20.26,20.29,20.05,20.16,555855,20.16
2012-01-05,20.12,20.42,20,20.31,713267,20.31
2012-01-06,20.28,20.65,20.19,20.55,1253675,20.55
2012-01-09,20.57,20.73,20.49,20.71,702689,20.71
2012-01-10,20.83,21.08,20.83,20.94,817190,20.94
2012-01-11,20.85,21.11,20.84,20.94,711689,20.94
2012-01-12,22,22,21.7,21.82,1592331,21.82
2012-01-13,21.65,21.76,21.38,21.5,1044105,21.5
2012-01-17,21.32,21.79,21.32,21.61,1063628,21.61
2012-01-18,21.71,22.08,21.59,22.05,815958,22.05
2012-01-19,22.16,22.35,22,22.28,801366,22.28
2012-01-20,22.37,22.73,22.21,22.65,1370443,22.65
2012-01-23,22.59,22.67,22.33,22.44,737989,22.44
2012-01-24,22.42,22.82,22.35,22.82,3093471,22.82
2012-01-25,25.7,26.19,24.835,25.02,5879235,25.02
2012-01-26,25.09,25.62,25.03,25.21,3326570,25.21
2012-01-27,25.15,25.725,25.15,25.42,2147285,25.42
2012-01-30,25.2,25.67,25.07,25.55,2096171,25.55
2012-01-31,25.6,26,25.4,25.78,2294128,25.78
2012-02-01,26,26.45,25.91,26.22,2049127,26.22
2012-02-02,26.2,26.61,26.03,26.3,1716004,26.3
2012-02-03,26.6,26.78,26.39,26.535,1505494,26.535
2012-02-06,26.55,26.72,26.38,26.42,1163302,26.42
2012-02-07,26.47,26.73,26.41,26.66,891489,26.66
2012-02-08,26.67,26.75,26.44,26.63,1294884,26.63
2012-02-09,26.71,27.13,26.71,27.13,1558868,27.13
2012-02-10,26.53,26.74,26.45,26.71,1122730,26.71
2012-02-13,26.86,26.89,26.68,26.77,812093,26.77
2012-02-14,26.76,27.14,26.73,27.03,1313763,27.03
2012-02-15,27.21,27.23,26.74,26.9,1163491,26.9
2012-02-16,27,27.34,26.98,27.24,1162832,27.24
2012-02-17,27.4,27.42,26.88,26.98,1650840,26.98
2012-02-21,26.93,27.18,26.71,27.01,1364425,27.01
2012-02-22,27.06,27.33,26.86,26.93,1049870,26.93
2012-02-23,26.94,27.14,26.77,26.92,1384430,26.92
2012-02-24,27.09,27.265,26.91,26.93,1141825,26.93
2012-02-27,26.79,27.16,26.59,27.04,1012318,27.04
2012-02-28,27.03,27.29,27.01,27.28,1481251,27.28
2012-02-29,27.34,27.34,26.96,27.03,1224358,27.03
2012-03-01,27.25,27.27,26.92,27.15,1225903,27.15
2012-03-02,27.06,27.24,26.96,27.05,1037738,27.05
2012-03-05,27.03,27.1,26.67,26.86,932862,26.86
2012-03-06,26.69,26.84,26.37,26.48,1196547,26.48
2012-03-07,26.56,26.71,26.51,26.69,884409,26.69
