DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,41.28,41.74,41.27,41.48,580865,41.48
2012-01-04,41.35,41.47,40.94,41.2,373879,41.2
2012-01-05,40.84,41.16,40.62,40.9,679793,40.9
2012-01-06,40.89,41.73,40.82,41.56,707983,41.56
2012-01-09,41.32,41.47,40.9,41.24,702929,41.24
2012-01-10,41.62,41.94,41.38,41.4,533610,41.4
2012-01-11,41.4,41.61,41.22,41.58,446437,41.58
2012-01-12,41.6,41.86,41.38,41.86,674496,41.86
2012-01-13,41.53,41.65,41.15,41.25,675051,41.25
2012-01-17,41.64,41.98,41.57,41.75,495842,41.75
2012-01-18,42,42.56,41.85,42.29,672380,42.29
2012-01-19,42.25,42.79,41.98,42.71,625814,42.71
2012-01-20,42.85,43.11,42.5,42.64,1005293,42.64
2012-01-23,42.76,42.76,41.94,42,1000841,42
2012-01-24,41.79,42.17,41.63,41.85,669491,41.85
2012-01-25,41.75,42.15,41.35,42.08,640540,42.08
2012-01-26,42.03,42.18,41.31,42.12,643473,42.12
2012-01-27,42.05,42.55,42.01,42.34,575389,42.34
2012-01-30,42.09,42.71,41.84,42.6,610934,42.6
2012-01-31,43.64,44.49,42.8,43.03,1288046,43.03
2012-02-01,43.14,43.68,43.08,43.08,750727,43.08
2012-02-02,43.43,43.95,42.09,42.22,1133860,42.22
2012-02-03,42.66,42.82,40.94,42.05,1504661,42.05
2012-02-06,42.01,42.21,41.62,41.8,807120,41.8
2012-02-07,41.79,42.47,41.71,42.41,707402,42.41
2012-02-08,42.35,42.65,42.22,42.51,474679,42.51
2012-02-09,42.62,42.62,42.09,42.13,549187,42.13
2012-02-10,41.9,41.97,41.64,41.88,450472,41.88
2012-02-13,42.15,42.4,41.99,42.37,622659,42.37
2012-02-14,42.16,42.53,41.83,42.06,572326,42.06
2012-02-15,42.28,42.39,41.38,41.5,529314,41.5
2012-02-16,41.5,41.82,41.47,41.8,328986,41.8
2012-02-17,41.94,41.94,41.23,41.52,1145035,41.52
2012-02-21,41.68,41.74,41.15,41.3,362961,41.3
2012-02-22,41.15,41.47,40.94,41.08,394930,41.08
2012-02-23,41.12,41.58,41.08,41.54,414185,41.54
2012-02-24,41.55,42.13,41.41,42.05,459279,42.05
2012-02-27,41.75,42.11,41.61,41.83,506565,41.83
2012-02-28,41.95,42.13,41.78,42.1,493010,42.1
2012-02-29,42.09,42.17,41.5,41.55,790092,41.55
2012-03-01,41.55,41.83,41.37,41.59,569932,41.59
2012-03-02,41.5,41.7,40.97,41.04,413171,41.04
2012-03-05,40.88,41.44,40.82,41.41,686864,41.41
2012-03-06,40.9,41.4,40.75,41.4,1148439,41.4
2012-03-07,41.33,41.42,40.87,41.05,782002,41.05
2012-03-08,41.28,41.8,41.19,41.75,541839,41.75
2012-03-09,41.76,42.5,41.76,42.22,638480,42.22
2012-03-12,42.1,42.26,41.75,41.81,574201,41.81
2012-03-13,41.89,42,41.5,41.83,571921,41.83
2012-03-14,41.71,41.99,41.46,41.57,571862,41.57
2012-03-15,41.61,41.74,41.35,41.7,459505,41.7
2012-03-16,41.79,41.95,41.49,41.59,1049345,41.59
2012-03-19,41.5,41.64,41.2,41.23,422676,41.23
2012-03-20,41.03,41.17,40.78,40.82,517890,40.82
2012-03-21,40.75,41.5,40.55,41.41,828896,41.41
2012-03-22,41.15,41.57,41.03,41.53,471059,41.53
2012-03-23,41.46,42.58,41.46,42.18,1288996,42.18
2012-03-26,42.5,43.36,42.4,43.28,899289,43.28
2012-03-27,43.37,43.38,43.09,43.31,553060,43.31
2012-03-28,43.15,43.31,42.69,42.92,551680,42.92
2012-03-29,42.66,43.13,42.65,43.1,440468,43.1
