DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,93.45,95.1,93.39,93.98,2012280,93.98
2012-01-04,93.69,95.5,93.61,94.85,1987278,94.85
2012-01-05,94.74,96.16,93.91,95.52,1501855,95.52
2012-01-06,96,96.2,95.32,95.76,1382509,95.76
2012-01-09,96.05,97.41,96.01,97.1,1308060,97.1
2012-01-10,98.5,99.97,98.5,99.96,2575245,99.96
2012-01-11,99.78,100.44,99.4,99.64,1505078,99.64
2012-01-12,99.99,102.03,98.67,101.94,1544650,101.94
2012-01-13,101,102.7,100.75,102.48,2157033,102.48
2012-01-17,103.98,104.8,103.32,103.37,1570257,103.37
2012-01-18,102.8,104.5,102.5,104.26,1773953,104.26
2012-01-19,104.67,105.76,103.63,105.75,2156059,105.75
2012-01-20,105.21,105.91,104.86,105.64,1634627,105.64
2012-01-23,105.98,107.24,105.65,106.37,1408214,106.37
2012-01-24,105.6,106.79,105.17,106.29,1172792,106.29
2012-01-25,106.1,109.25,106.09,109.05,2131425,109.05
2012-01-26,112,114,110.7,111.31,3435495,111.31
2012-01-27,110.28,111.98,109.7,111.28,1387991,111.28
2012-01-30,110,110.75,109.06,110.41,1311396,110.41
2012-01-31,111.2,112,108.72,109.12,2146684,109.12
2012-02-01,110.79,111.39,109.94,110.52,1621596,110.52
2012-02-02,110.82,111.01,109.87,110.33,1069008,110.33
2012-02-03,112.15,114.65,111.93,113.94,2397279,113.94
2012-02-06,113.27,114.24,112.8,113.78,1103193,113.78
2012-02-07,113.05,114.09,112.49,113.81,1074860,113.81
2012-02-08,113.9,114.33,113.22,114.04,1082085,114.04
2012-02-09,114.41,114.64,112.59,112.83,1548270,112.83
2012-02-10,111,111.78,110.34,111.75,1478180,111.75
2012-02-13,112.5,113.86,111.69,113.7,1258181,113.7
2012-02-14,113.36,114.48,113.22,114.45,1123832,114.45
2012-02-15,114.31,114.7,111.94,112.53,1600085,112.53
2012-02-16,112.9,114.05,112.39,113.96,1139897,113.96
2012-02-17,114.5,114.5,113.03,113.95,1464087,113.95
2012-02-21,114.73,116.42,114.39,115,1702909,115
2012-02-22,114.87,116.45,114.52,115.81,1217536,115.81
2012-02-23,115.9,116.45,115,116.2,1290685,116.2
2012-02-24,116.25,116.95,115.68,116,852126,116
2012-02-27,114.77,116.49,114.55,115.63,959159,115.63
2012-02-28,115.87,116.22,115.22,115.76,894317,115.76
2012-02-29,116.1,116.38,113.7,114.21,1907180,114.21
2012-03-01,114.39,115.38,113.02,113.39,1554155,113.39
2012-03-02,113.16,113.94,111.8,112.49,1375679,112.49
2012-03-05,111.7,111.86,109.53,110.09,2064276,110.09
2012-03-06,106.45,107.16,105.2,106,2511415,106
2012-03-07,106.76,108.62,106.33,108.28,1894256,108.28
2012-03-08,109.66,110.56,108.66,110.28,1358970,110.28
2012-03-09,110.88,111.09,109.8,110.22,1758242,110.22
2012-03-12,110.09,110.91,108.68,108.94,1380591,108.94
2012-03-13,110,113.38,109.31,113.3,1752410,113.3
2012-03-14,113.19,113.44,111.29,112.27,941183,112.27
2012-03-15,112.88,113.48,111.4,113.45,1322960,113.45
2012-03-16,113.92,114.23,113.04,113.58,2974899,113.58
2012-03-19,113.5,114.08,112.8,113.73,978595,113.73
2012-03-20,112,112,110.53,110.76,1658813,110.76
2012-03-21,110.8,111.34,109,109,2117331,109
2012-03-22,107.3,107.94,105.7,106.44,1944060,106.44
2012-03-23,106.59,108.61,105.82,107.83,1367177,107.83
2012-03-26,109.24,109.69,108.14,108.75,1056972,108.75
2012-03-27,108.64,109.56,107.9,108.06,1183608,108.06
2012-03-28,107.79,107.86,103.56,104.26,2539239,104.26
2012-03-29,103.73,106.26,103.61,106.02,1706036,106.02
2012-03-30,106.87,106.93,105.6,106.52,1163510,106.52
2012-04-02,105.8,107.93,105.05,107.25,1241147,107.25
2012-04-03,107.61,108.09,105.83,106.21,1539398,106.21
2012-04-04,105,106.83,104.34,106.26,1278416,106.26
2012-04-05,105.51,107.13,105.47,105.87,969260,105.87
2012-04-09,103.61,104.28,102.8,103.57,1587166,103.57
2012-04-10,103.27,103.66,99.8,100.43,1777889,100.43
2012-04-11,102.12,102.5,100.5,101.75,1144824,101.75
2012-04-12,102.23,106.5,102.23,106.44,2300153,106.44
2012-04-13,106.18,106.91,105.24,105.89,1504254,105.89
2012-04-16,108.03,108.96,106.16,106.74,1212022,106.74
2012-04-17,107.84,109.2,106.73,108.41,1014348,108.41
2012-04-18,107.94,109.72,107.85,109.21,950584,109.21
2012-04-19,109.38,109.76,106.37,107.36,1151075,107.36
2012-04-20,107.78,108.61,107.62,107.73,1357178,107.73
2012-04-23,106,107.04,105.14,106.9,1071449,106.9
2012-04-24,107.29,108.78,107.11,108.4,1603506,108.4
2012-04-25,107,107.11,102.3,103.44,2473631,103.44
2012-04-26,104.18,104.54,103,104.39,1561122,104.39
2012-04-27,104.97,105.05,104.11,104.56,1101299,104.56
2012-04-30,104,104.09,102.56,102.77,1608799,102.77
2012-05-01,102.73,103.5,101.74,102.11,1348087,102.11
2012-05-02,101.51,102.72,100.65,102.63,1320819,102.63
2012-05-03,102.86,103.37,100.5,100.67,1332668,100.67
2012-05-04,100,100.05,98,98.44,1890043,98.44
2012-05-07,97.69,98.2,97.03,97.19,1380088,97.19
2012-05-08,96.88,96.9,93.93,96.49,2228952,96.49
2012-05-09,95,97.3,94.1,95.99,1878444,95.99
2012-05-10,97.21,97.36,95.18,95.44,1162772,95.44
2012-05-11,94.5,96.66,94.3,95.5,1226142,95.5
2012-05-14,94.16,94.76,93.46,93.6,1306924,93.6
2012-05-15,93.87,94.66,92.29,92.68,1110590,92.68
2012-05-16,93.52,94.08,91.72,91.86,1377179,91.86
2012-05-17,91.12,91.62,87.6,87.8,2280019,87.8
2012-05-18,88.24,89.81,88.02,88.68,2369651,88.68
2012-05-21,89.5,92.29,89.4,91.98,1845596,91.98
2012-05-22,92.65,92.98,90.89,91.49,1644698,91.49
2012-05-23,90.5,92.78,89.89,92.47,1464353,92.47
2012-05-24,92.95,92.95,90.17,91.42,1192001,91.42
2012-05-25,91.5,91.6,89.63,89.94,1099551,89.94
2012-05-29,91,93.93,90.95,92.52,1578835,92.52
2012-05-30,90.96,91,89.5,90.18,1464709,90.18
2012-05-31,88.29,88.35,86.02,87.62,2759966,87.62
2012-06-01,85.26,86.79,84.73,85.52,2047416,85.52
2012-06-04,85.79,85.85,82.74,83.26,1887367,83.26
2012-06-05,83.22,84.8,83.08,83.65,2516881,83.65
2012-06-06,85.03,86.66,84.56,86.66,2573165,86.66
2012-06-07,88.87,89.87,86.92,87.14,1315751,87.14
2012-06-08,86.52,87.66,85.33,87.6,1003894,87.6
2012-06-11,89.37,89.45,85.09,85.19,1498104,85.19
2012-06-12,85.9,87.05,84.76,87.05,1254682,87.05
2012-06-13,86.2,87,84.68,85.29,1705992,85.29
2012-06-14,85.31,86.24,84.51,85.89,1438705,85.89
2012-06-15,86.46,86.95,85.69,86.93,2912596,86.93
2012-06-18,86.3,87.09,85.68,86.74,994277,86.74
2012-06-19,87.46,89.79,87.25,88.84,1399155,88.84
2012-06-20,88.59,88.6,86.5,87.17,2299402,87.17
2012-06-21,87.25,87.43,84.84,84.98,1889900,84.98
2012-06-22,85.5,86.03,84.86,84.96,2225689,84.96
2012-06-25,83.96,83.96,82.12,82.89,1640037,82.89
2012-06-26,83.35,83.37,81.8,82.73,1170159,82.73
2012-06-27,82.73,82.87,81.71,82.25,1549039,82.25
2012-06-28,81.79,82.69,80.97,82.63,1968949,82.63
2012-06-29,84.11,84.94,83.81,84.91,1898701,84.91
2012-07-02,85.28,85.3,83.04,83.68,1395956,83.68
2012-07-03,83.93,86.7,83.9,86.46,858944,86.46
2012-07-05,86.57,87.56,85.65,86.79,1236311,86.79
2012-07-06,85.06,85.1,83.83,84.61,1401467,84.61
2012-07-09,83.96,84.35,82.96,83.14,1597894,83.14
2012-07-10,83.8,84.29,79.13,80.27,2792032,80.27
2012-07-11,80.24,80.74,79.26,79.74,1754323,79.74
2012-07-12,78.95,80.33,78.25,79.64,1918686,79.64
2012-07-13,79.8,82.13,79.56,82.07,1785688,82.07
2012-07-16,81.68,81.7,80.21,81.15,1354149,81.15
2012-07-17,81.77,82.29,79.95,81.91,1496608,81.91
2012-07-18,80.5,83.34,80.09,82.52,1274672,82.52
2012-07-19,82.85,83.39,82.06,82.63,1216128,82.63
2012-07-20,82,82.51,80.67,80.95,1652380,80.95
2012-07-23,79.23,82.6,78.81,81.58,1464498,81.58
2012-07-24,82.75,83.3,80.28,81.43,2018542,81.43
2012-07-25,85,85.42,80.31,82.6,3121055,82.6
2012-07-26,84.35,84.41,82.1,83.3,2339954,83.3
2012-07-27,83.76,86.6,83.3,86.16,2750994,86.16
2012-07-30,86.77,86.96,85,85.69,1492730,85.69
2012-07-31,85.69,86.35,84.16,84.21,2427788,84.21
2012-08-01,84.92,84.97,82.51,82.65,1818991,82.65
2012-08-02,82.5,84.3,82.1,83.12,2091154,83.12
2012-08-03,84.5,86,84.08,85.02,1528491,85.02
2012-08-06,85.62,87,85.52,86.35,1502929,86.35
2012-08-07,87,88.32,86.75,87.22,1238860,87.22
2012-08-08,86.5,87.86,86.36,87.22,1024716,87.22
2012-08-09,87.41,88.79,87.25,88.4,1439166,88.4
2012-08-10,88.32,88.96,87.64,88.94,1278286,88.94
2012-08-13,88.91,89.26,87.6,88.61,943517,88.61
2012-08-14,89.53,89.65,87.76,87.87,1122772,87.87
2012-08-15,87.23,87.73,86.16,87.61,1171193,87.61
2012-08-16,87.75,88.82,87.23,88.59,1183043,88.59
2012-08-17,89.9,90.1,89.1,90.01,1776657,90.01
2012-08-20,89.76,90.48,89.24,90.44,1080578,90.44
2012-08-21,90.95,92.08,89.95,90.29,1386795,90.29
2012-08-22,90.11,90.21,87.65,88.72,1714379,88.72
2012-08-23,88.66,88.72,87.14,87.63,1139794,87.63
2012-08-24,87.01,87.74,86.4,87.47,1218782,87.47
2012-08-27,87.71,88,86.54,86.63,935875,86.63
2012-08-28,86.4,86.98,85.88,86.01,1132937,86.01
2012-08-29,85.55,86.32,84.45,86.09,1509569,86.09
2012-08-30,85.44,85.81,84.46,84.47,938206,84.47
2012-08-31,85.32,85.93,84.25,85.33,1170605,85.33
2012-09-04,85.12,85.13,82.21,82.66,2198773,82.66
2012-09-05,82.6,83.08,81.78,82.75,1343158,82.75
2012-09-06,83.62,84.92,83.37,84.79,1279396,84.79
2012-09-07,87.4,88.44,86.75,88.1,1790479,88.1
2012-09-10,87.9,88.61,87.08,87.1,1088823,87.1
2012-09-11,87.41,89.12,87.41,88.6,998849,88.6
2012-09-12,89.47,90.24,88.68,89.12,1635774,89.12
2012-09-13,88.79,90.97,88.3,90.68,1548737,90.68
2012-09-14,92.13,94.27,92.13,93.17,2126645,93.17
2012-09-17,93.04,93.47,91.74,91.99,1828530,91.99
2012-09-18,91.82,93.07,91.78,93.07,1369324,93.07
2012-09-19,93.26,94.23,92.84,93.94,1492260,93.94
2012-09-20,92.94,92.94,91.27,92.54,1277848,92.54
2012-09-21,93.27,93.32,91.37,91.72,3794616,91.72
2012-09-24,90.67,91.77,90.62,90.87,2037366,90.87
2012-09-25,88.56,89.55,87,87.01,2645198,87.01
2012-09-26,87,87.91,85.82,86.95,1335134,86.95
2012-09-27,87.82,87.84,86.75,86.92,1382737,86.92
2012-09-28,86.25,86.59,85.44,86.04,1637468,86.04
2012-10-01,86.59,87.15,85.24,85.47,1380070,85.47
2012-10-02,85.65,85.92,84.35,85.47,1759072,85.47
2012-10-03,85.42,85.62,84.55,85.28,1108124,85.28
2012-10-04,85.59,86.5,85.21,85.96,895469,85.96
2012-10-05,87,87.34,85.01,85.43,1190800,85.43
2012-10-08,84.9,85.81,84.43,85.44,814820,85.44
2012-10-09,85.66,86.13,84.5,84.75,931807,84.75
2012-10-10,83.9,84.37,82.61,83.16,1751417,83.16
2012-10-11,83,83.7,82.252,82.85,1556986,82.85
2012-10-12,82.99,84.08,82.46,82.82,1002731,82.82
2012-10-15,82.94,83.189,82.11,82.81,994756,82.81
2012-10-16,83.5,85.04,83.22,84.96,1511454,84.96
2012-10-17,85.6,86.77,85.21,86.63,1442782,86.63
2012-10-18,86.45,87.52,85.83,86.62,1378050,86.62
2012-10-19,85.48,85.48,83.49,83.86,2732833,83.86
2012-10-22,82.75,86.04,82.29,85.08,2843591,85.08
2012-10-23,83.71,83.97,82.99,83.58,1205815,83.58
2012-10-24,84.12,84.14,82.52,82.73,1165892,82.73
2012-10-25,83.26,83.539,82.37,83.53,1231589,83.53
2012-10-26,83.6,84.31,83.25,84.25,1929020,84.25
2012-10-31,85.75,85.92,84.46,84.81,1456601,84.81
2012-11-01,85.25,87.86,85.01,87.65,1853886,87.65
2012-11-02,88.26,88.44,85.7,85.79,1582383,85.79
2012-11-05,86,86.78,85.65,86.77,891801,86.77
2012-11-06,87.42,88.581,87.33,88.08,1398791,88.08
2012-11-07,86.64,87.23,84.84,85.02,1621637,85.02
2012-11-08,84.92,85.21,83.53,83.66,1258734,83.66
2012-11-09,83,85.28,82.9,84.95,1548628,84.95
2012-11-12,84.5,85.56,84.23,85.18,823819,85.18
2012-11-13,84.75,85.16,83.17,83.26,1376930,83.26
2012-11-14,83.77,83.8,80.88,81.1,1879593,81.1
2012-11-15,81.24,82.55,80.5,81.3,1474769,81.3
2012-11-16,81.49,82.2,80.16,81.93,1925671,81.93
2012-11-19,83.34,83.83,83.15,83.62,1317229,83.62
2012-11-20,83.62,83.77,82.59,83.33,1363204,83.33
2012-11-21,83,83.72,82.66,83.05,1095370,83.05
2012-11-23,83.69,84.19,83.25,84.16,691718,84.16
2012-11-26,84.13,84.81,83.98,84.65,941348,84.65
2012-11-27,84.4,85.11,83.9,84.01,1026219,84.01
2012-11-28,83.63,85.09,83,84.94,1226920,84.94
2012-11-29,85.6,86.48,85.5,86.25,1743198,86.25
2012-11-30,86.25,86.29,85.03,85.24,1574301,85.24
2012-12-03,85.81,85.92,84.43,84.49,1420726,84.49
2012-12-04,84.25,84.95,83.751,84.16,857010,84.16
2012-12-05,84.6,86.56,84.6,86.05,1626028,86.05
2012-12-06,85.79,86.32,85.1,85.95,740787,85.95
2012-12-07,86.6,87.55,86.53,86.99,1333825,86.99
2012-12-10,86.74,87.45,86.4,87.23,960823,87.23
2012-12-11,87.54,88.16,87.04,87.33,1018521,87.33
2012-12-12,88,88.76,87.47,87.95,1328025,87.95
2012-12-13,87.95,89.3,87.83,88.36,1277144,88.36
2012-12-14,88.51,89.5,88.32,89,1264203,89
2012-12-17,89.25,89.69,88.91,89.64,1283844,89.64
2012-12-18,89.87,91.09,89.69,90.77,1252363,90.77
2012-12-19,91,91.83,90.74,90.79,1553176,90.79
2012-12-20,90.04,90.06,88.65,89.5,1384390,89.5
2012-12-21,87.53,88.18,86.75,87.9,3722180,87.9
2012-12-24,87.5,87.82,87.16,87.48,534388,87.48
2012-12-26,87.82,88.67,87.58,87.67,758859,87.67
2012-12-27,87.82,88.4,86.55,87.66,741048,87.66
2012-12-28,87.13,87.6,86.69,86.81,654531,86.81
2012-12-31,86.81,89.8,86.68,89.58,1474494,89.58
2013-01-02,93.37,94.44,93.04,93.5,2274568,93.5
2013-01-03,93.16,94.99,92.97,94.4,1611274,94.4
2013-01-04,94.5,94.92,94.06,94.92,1249460,94.92
2013-01-07,94.5,95.67,94.4,95.21,986390,95.21
2013-01-08,94.68,95.15,93.57,94,1450414,94
2013-01-09,94.25,94.77,94.1,94.44,772403,94.44
2013-01-10,95.18,95.19,94.24,95.08,919927,95.08
2013-01-11,94.55,95.38,94.12,95.19,857728,95.19
2013-01-14,95.38,95.44,94.15,94.63,734330,94.63
2013-01-15,94.2,95.82,94.18,95.67,847686,95.67
2013-01-16,95.1,95.66,94.86,95.19,921762,95.19
2013-01-17,95.67,96.26,95.15,95.7,1321167,95.7
2013-01-18,96.61,97.62,96.1,97.62,2409383,97.62
2013-01-22,96.5,97.73,96.07,97.72,2032663,97.72
2013-01-23,97.56,97.71,96.61,96.85,920717,96.85
2013-01-24,96.1,97.739,96.09,96.6,1208178,96.6
2013-01-25,96.01,96.28,94.66,95.58,1419526,95.58
2013-01-28,98,98.74,96.43,97.45,4770636,97.45
2013-01-29,98,99.2,97.83,98.6,1413900,98.6
2013-01-30,98.8,98.94,98.28,98.65,1180314,98.65
2013-01-31,98,98.71,97.96,98.39,2062735,98.39
2013-02-01,99,99.7,98.95,99.49,1554342,99.49
2013-02-04,98.76,98.84,97.92,98.26,1441087,98.26
2013-02-05,98.44,99.09,98.34,98.44,812712,98.44
2013-02-06,97.81,98.75,97.37,97.7,858733,97.7
2013-02-07,97.53,98.12,95.22,96.11,1035920,96.11
2013-02-08,96.15,97.5,96.11,96.85,735635,96.85
2013-02-11,96.96,96.96,96.31,96.6,492745,96.6
2013-02-12,96.84,97.41,96.68,97.22,1637976,97.22
2013-02-13,97.25,97.5,96.02,96.38,695141,96.38
2013-02-14,96.03,96.68,95.68,96.07,514016,96.07
2013-02-15,96.34,96.37,95.29,95.61,1383464,95.61
2013-02-19,95.83,96.35,95.13,95.6,1038638,95.6
2013-02-20,95,95,93.05,93.22,1847596,93.22
2013-02-21,92.68,92.72,90.59,91.53,1347891,91.53
2013-02-22,92.04,92.48,91.06,91.54,1071899,91.54
2013-02-25,92.12,92.12,89.09,89.16,1357339,89.16
2013-02-26,89.69,90.2,88.5,89.95,1249735,89.95
2013-02-27,90.11,92.35,90.06,92.25,1086013,92.25
2013-02-28,92.46,93.16,92.24,92.37,1227795,92.37
2013-03-01,91.4,91.95,90.14,91.36,1004566,91.36
2013-03-04,90.26,90.74,89.2,89.75,1206871,89.75
2013-03-05,90.82,91.27,90,90.21,1343980,90.21
2013-03-06,91,91.04,89.42,89.64,1706275,89.64
2013-03-07,90,90.4,89.28,89.65,757890,89.65
2013-03-08,90.63,90.71,90.01,90.51,1046189,90.51
2013-03-11,90.6,91.52,90.1,91.18,866082,91.18
2013-03-12,91.02,91.15,89.4,89.74,1674536,89.74
2013-03-13,89.74,89.9,89.13,89.28,1201524,89.28
2013-03-14,89.41,89.5,88.17,88.7,1277356,88.7
2013-03-15,88.68,89.249,88.13,88.83,2864828,88.83
2013-03-18,87.96,90.01,87.68,89.36,1317863,89.36
2013-03-19,89.35,89.37,87.44,88.27,1397866,88.27
2013-03-20,87.5,87.65,86.42,86.94,1504377,86.94
2013-03-21,86.58,87.32,86.461,86.83,878290,86.83
2013-03-22,87.04,87.63,86.97,87.48,905799,87.48
2013-03-25,87.89,87.91,86.05,86.64,1035927,86.64
2013-03-26,87.08,87.39,86.67,87,769158,87
2013-03-27,86.39,87.16,85.8,86.9,847777,86.9
2013-03-28,87.08,87.96,86.65,86.97,1472425,86.97
2013-04-01,86.9,86.92,85.41,85.64,1079150,85.64
2013-04-02,85.78,85.78,84.48,84.88,1014989,84.88
2013-04-03,84,84.6,83.61,84.12,1456627,84.12
2013-04-04,84.25,84.73,83.85,84.63,1142297,84.63
2013-04-05,83.37,85.36,83.05,84.6,1614181,84.6
2013-04-08,84.75,85.35,83.71,84.19,922725,84.19
2013-04-09,84.38,86.64,84.15,85.9,1634838,85.9
2013-04-10,86.28,86.88,85.9,86.57,1003837,86.57
