DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,70.27,70.62,69.84,70.13,853969,70.13
2012-01-04,70.07,70.23,68.6,68.9,460334,68.9
2012-01-05,68.69,69.8,68.37,69.74,564259,69.74
2012-01-06,69.74,70.03,69.27,69.28,343176,69.28
2012-01-09,69.41,69.7,69.3,69.6,348377,69.6
2012-01-10,70.04,70.08,69.17,69.31,505328,69.31
2012-01-11,69.11,69.3,68.9,69.25,322247,69.25
2012-01-12,69.6,69.7,68.88,69.1,320694,69.1
2012-01-13,68.54,69.2,68.42,69.09,440876,69.09
2012-01-17,69.81,70.44,69.66,69.8,529997,69.8
2012-01-18,69.7,70.29,69.37,70.24,372173,70.24
2012-01-19,70.3,70.57,69.78,70.3,387487,70.3
2012-01-20,70.25,70.99,70.14,70.97,730123,70.97
2012-01-23,70.88,71.76,70.51,71.01,425861,71.01
2012-01-24,70.24,70.4,69.53,70.06,382205,70.06
2012-01-25,69.9,70.47,69.32,70.42,457977,70.42
2012-01-26,70.61,70.61,69.72,70.35,441191,70.35
2012-01-27,69.17,69.17,66.91,67.42,1086006,67.42
2012-01-30,66.99,67.13,66.73,66.9,475198,66.9
2012-01-31,66.99,67.6,66.99,67.41,863044,67.41
2012-02-01,67.87,68.31,67.58,67.68,893869,67.68
2012-02-02,67.94,68.1,67.46,67.81,485125,67.81
2012-02-03,68.21,68.59,67.84,68.58,452751,68.58
2012-02-06,68.18,68.37,67.76,67.81,401036,67.81
2012-02-07,67.61,69.02,67.61,68.94,395973,68.94
2012-02-08,68.88,69.24,68.45,68.79,390065,68.79
2012-02-09,69.07,69.17,68.6,68.89,285987,68.89
2012-02-10,68.52,68.84,68.25,68.8,308210,68.8
2012-02-13,69.02,69.34,68.75,69.15,255030,69.15
2012-02-14,68.94,69.33,68.42,69.32,320461,69.32
2012-02-15,69.46,69.64,68.69,68.75,354052,68.75
2012-02-16,68.87,69.28,68.72,68.8,341168,68.8
2012-02-17,69.34,69.54,68.87,69.09,655903,69.09
2012-02-21,69.12,69.14,68.59,68.93,259952,68.93
2012-02-22,68.95,69.22,67.93,67.95,337887,67.95
2012-02-23,68.12,68.8,67.95,68.63,365750,68.63
2012-02-24,68.88,69.15,68.51,68.6,383108,68.6
2012-02-27,68.21,69.33,68.1,69.15,361291,69.15
2012-02-28,69,69.07,68.14,68.45,391991,68.45
2012-02-29,68.45,68.78,67.82,67.96,976071,67.96
2012-03-01,67.99,68.54,67.45,67.63,513193,67.63
2012-03-02,67.48,67.7,66.92,67.37,389071,67.37
2012-03-05,67.1,68.04,67.04,67.9,415049,67.9
2012-03-06,67.54,67.84,67.11,67.14,394148,67.14
2012-03-07,67.2,67.48,66.66,67.25,533081,67.25
2012-03-08,67.4,67.52,66.8,67.35,329945,67.35
2012-03-09,67.35,67.67,67.07,67.23,517771,67.23
2012-03-12,67.37,68.25,67.31,67.77,609474,67.77
2012-03-13,68.22,69.2,67.88,69.17,559958,69.17
2012-03-14,68.76,68.91,68.32,68.65,345297,68.65
2012-03-15,68.51,68.88,68.23,68.65,324997,68.65
2012-03-16,68.66,68.79,68.11,68.39,1299580,68.39
2012-03-19,68.5,69.39,68.38,69.17,383438,69.17
2012-03-20,68.66,69.48,68.66,69.29,441475,69.29
2012-03-21,69.27,69.46,68.86,69.04,380991,69.04
2012-03-22,68.46,68.74,67.83,67.88,467928,67.88
2012-03-23,67.86,68.09,67.59,67.76,429923,67.76
2012-03-26,68.39,68.84,68.19,68.6,705984,68.6
2012-03-27,68.76,69.33,68.64,68.76,471283,68.76
2012-03-28,68.72,68.97,68.6,68.9,440679,68.9
2012-03-29,68.52,69.08,68.33,68.87,444309,68.87
2012-03-30,69.25,69.55,68.94,69.11,661418,69.11
2012-04-02,69.19,70.1,68.86,69.8,528942,69.8
2012-04-03,69.8,70.37,69.5,70.08,454564,70.08
2012-04-04,69.65,70.57,69.65,70.19,396489,70.19
2012-04-05,69.8,70.48,69.8,70.16,245386,70.16
2012-04-09,69.44,69.64,69.15,69.5,285081,69.5
2012-04-10,69.45,69.5,68.8,68.8,519067,68.8
2012-04-11,69.33,69.64,69.16,69.61,319146,69.61
2012-04-12,69.55,70.54,69.33,70.51,329490,70.51
2012-04-13,70.39,70.55,69.65,69.66,391242,69.66
2012-04-16,70.19,71.18,70.12,71,421588,71
2012-04-17,70.83,71.35,70.21,71.2,539025,71.2
2012-04-18,70.78,71.36,70.67,70.67,384210,70.67
2012-04-19,71.05,72.46,71.05,72.19,631174,72.19
2012-04-20,72.5,72.5,71.14,71.92,970758,71.92
2012-04-23,71.44,71.56,70.94,71.5,496225,71.5
