DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,26.33,26.52,25.86,25.87,701302,25.87
2012-01-04,25.77,26.07,25.73,26.05,425833,26.05
2012-01-05,25.92,26.27,25.83,26.08,781703,26.08
2012-01-06,26.03,26.03,25.45,25.46,718294,25.46
2012-01-09,25.71,25.81,25.59,25.73,618713,25.73
2012-01-10,25.91,25.96,25.63,25.72,626384,25.72
2012-01-11,25.56,25.91,25.52,25.85,406590,25.85
2012-01-12,25.94,26.09,25.75,25.77,410719,25.77
2012-01-13,25.65,25.77,25.46,25.59,524244,25.59
2012-01-17,25.84,26.02,25.74,25.88,651921,25.88
2012-01-18,25.81,26.15,25.75,26,811682,26
2012-01-19,26.02,26.9,25.87,26.74,841728,26.74
2012-01-20,26.72,26.82,26.49,26.59,1019713,26.59
2012-01-23,26.6,26.73,26.44,26.6,454573,26.6
2012-01-24,26.43,26.64,26.32,26.59,489697,26.59
2012-01-25,26.45,27.42,26.33,27.33,662878,27.33
2012-01-26,27.38,27.38,26.74,26.88,644202,26.88
2012-01-27,26.81,27.08,26.68,26.99,533770,26.99
2012-01-30,26.73,26.83,26.57,26.67,375825,26.67
2012-01-31,26.74,26.83,26.6,26.79,642268,26.79
2012-02-01,26.97,27.16,26.91,26.94,541174,26.94
2012-02-02,26.94,27.26,26.89,27.18,306240,27.18
2012-02-03,27.39,27.49,27.23,27.49,404002,27.49
2012-02-06,27.42,27.42,27.02,27.1,575112,27.1
2012-02-07,27.11,27.54,27.1,27.24,403591,27.24
2012-02-08,27.31,27.51,27.14,27.45,355392,27.45
2012-02-09,27.42,27.91,26.95,27.86,620197,27.86
2012-02-10,27.71,27.75,27.3,27.43,532768,27.43
2012-02-13,27.68,28.32,27.61,28.16,647205,28.16
2012-02-14,28.03,28.14,27.89,28.1,528069,28.1
2012-02-15,28.21,28.41,28.17,28.34,647480,28.34
2012-02-16,28.36,28.67,28.1,28.67,581244,28.67
2012-02-17,28.81,29.03,28.64,29,1452331,29
2012-02-21,28.99,28.99,28.52,28.61,576173,28.61
2012-02-22,28.6,28.88,28.54,28.85,438628,28.85
2012-02-23,28.79,28.8,28.44,28.61,514620,28.61
2012-02-24,28.6,28.98,28.28,28.71,618746,28.71
2012-02-27,28.53,28.55,28.2,28.26,601398,28.26
2012-02-28,28.4,28.53,28.12,28.25,1040644,28.25
2012-02-29,28.35,29.04,28.25,28.9,1588572,28.9
2012-03-01,28.9,28.99,28.4,28.58,789769,28.58
2012-03-02,28.61,28.73,28.2,28.33,388630,28.33
2012-03-05,28.33,28.35,28.03,28.09,492882,28.09
2012-03-06,27.91,27.99,27.18,27.24,677007,27.24
