DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,45.15,45.25,44.67,44.92,420413,44.92
2012-01-04,44.98,45.21,44.62,45.02,337899,45.02
2012-01-05,45,45.05,44.67,44.98,259419,44.98
2012-01-06,44.95,45.24,44.77,45.05,177296,45.05
2012-01-09,45.11,45.75,45.08,45.63,360791,45.63
2012-01-10,45.75,46.46,45.75,46.13,464384,46.13
2012-01-11,46.11,46.31,45.91,46.24,182742,46.24
2012-01-12,46.23,46.46,45.53,46.25,344365,46.25
2012-01-13,46,46.18,45.69,46,266193,46
2012-01-17,46.25,46.49,45.69,45.83,172269,45.83
2012-01-18,45.83,46.04,44.92,45.84,730156,45.84
2012-01-19,46,46.87,45.64,46.4,340121,46.4
2012-01-20,46.92,46.92,46.13,46.22,204362,46.22
2012-01-23,46.21,46.52,45.95,46.05,301070,46.05
2012-01-24,45.95,46.11,45.43,45.94,366146,45.94
2012-01-25,46,46.77,45.57,46.7,350262,46.7
2012-01-26,46.84,47.23,46.17,46.33,569665,46.33
2012-01-27,46.28,49.46,46.2,48.72,1076828,48.72
2012-01-30,48.47,48.47,47.91,48.41,351604,48.41
2012-01-31,48.68,48.91,48.3,48.48,535244,48.48
2012-02-01,48.8,49.15,48.57,48.65,391241,48.65
2012-02-02,48.8,49.55,48.68,48.99,297902,48.99
2012-02-03,49.33,49.56,48.92,49.22,273264,49.22
2012-02-06,49.13,49.33,49.04,49.28,159994,49.28
2012-02-07,49.12,49.36,48.99,49.11,253540,49.11
2012-02-08,49.06,49.26,48.72,49.26,333834,49.26
2012-02-09,49.27,49.34,48.68,49.31,290687,49.31
2012-02-10,48.86,49.32,48.82,49.31,195980,49.31
2012-02-13,49.5,49.67,49.31,49.4,203662,49.4
2012-02-14,49.33,49.45,48.86,49.42,426810,49.42
2012-02-15,49.65,51.06,49.51,50.65,772995,50.65
2012-02-16,50.5,51.03,50,50.81,439762,50.81
2012-02-17,50.89,51.42,50.8,51.37,319145,51.37
2012-02-21,51.21,51.63,50.98,51.47,383547,51.47
2012-02-22,51.22,51.47,50.88,51.42,315919,51.42
2012-02-23,51.36,52.01,51,52.01,316875,52.01
2012-02-24,51.98,52.79,51.79,52.55,372017,52.55
2012-02-27,52.01,52.01,51.21,51.8,386291,51.8
2012-02-28,51.95,52.14,51.77,52.09,430204,52.09
2012-02-29,52,52.29,51.62,51.81,449331,51.81
2012-03-01,52,52.88,51.83,52.84,533991,52.84
2012-03-02,52.82,53.53,52.63,53.15,342863,53.15
2012-03-05,53.03,53.36,52.85,53.12,329095,53.12
2012-03-06,52.72,52.89,52.19,52.39,394836,52.39
2012-03-07,52.56,52.79,52.33,52.59,231287,52.59
2012-03-08,54,54.41,53.56,53.74,1459381,53.74
2012-03-09,53.96,54.53,53.88,54.43,675719,54.43
2012-03-12,55.6,55.99,54.68,54.95,1890411,54.95
2012-03-13,55.11,55.25,53.67,53.98,20841525,53.98
2012-03-14,53.06,53.4,51.99,52.44,1773408,52.44
2012-03-15,52.31,53.21,52.26,52.55,597480,52.55
2012-03-16,52.66,53.01,51.84,52.23,1488241,52.23
2012-03-19,52.23,53.24,52.12,53.09,833743,53.09
2012-03-20,52.72,53.1,52.51,52.75,499390,52.75
2012-03-21,52.75,53.4,52.75,53.12,559956,53.12
2012-03-22,53.01,53.22,52.97,53.02,417748,53.02
2012-03-23,53.18,53.36,52.87,53.2,395324,53.2
2012-03-26,53.56,53.78,53.21,53.58,309983,53.58
2012-03-27,53.56,53.67,53.05,53.14,303363,53.14
2012-03-28,53.01,53.18,52.62,52.99,265688,52.99
2012-03-29,52.9,53.01,52.28,53,339739,53
2012-03-30,53.34,53.66,52.92,53.34,331159,53.34
2012-04-02,53.5,53.76,53.15,53.37,452356,53.37
2012-04-03,53.64,53.64,52.72,53.06,516050,53.06
2012-04-04,52.84,53,51.86,52.85,448731,52.85
2012-04-05,52.79,53.72,52.57,53.4,468499,53.4
2012-04-09,52.91,53.16,52.64,53.03,311935,53.03
2012-04-10,53,53.18,52.5,52.6,533114,52.6
2012-04-11,53.27,54.07,53.18,53.89,576640,53.89
2012-04-12,53.81,54.62,53.67,54.38,349782,54.38
