DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,149.86,154.44,149.72,153.81,365388,153.81
2012-01-04,156.52,158.7,155.45,157.99,538933,157.99
2012-01-05,157.85,161.3,156.85,159.66,336244,159.66
2012-01-06,160.8,160.91,156.52,157.99,320070,157.99
2012-01-09,159.31,160.17,158.1,159.8,237674,159.8
2012-01-10,165.46,166.69,164.55,166.21,436320,166.21
2012-01-11,165.34,167.67,162.4,167.16,310067,167.16
2012-01-12,162.13,168.11,159.1,166.29,560462,166.29
2012-01-13,165.35,172.7,163.77,172.55,490963,172.55
2012-01-17,172.03,174.49,170.47,172.68,382860,172.68
2012-01-18,171.86,175.01,166.53,167.79,658432,167.79
2012-01-19,169.39,171.39,167.45,171.18,359572,171.18
2012-01-20,171.35,177.63,171,175.49,432967,175.49
2012-01-23,175,176.11,172.25,173.48,337851,173.48
2012-01-24,171,172.83,168.02,172.36,277266,172.36
2012-01-25,172.22,181.69,171.31,181.06,399117,181.06
2012-01-26,180.88,183.67,173.41,174.05,521168,174.05
2012-01-27,173.38,181.63,173.31,179.59,370049,179.59
2012-01-30,176.12,178.46,173.11,177.06,308731,177.06
2012-01-31,180.02,181.3,174.54,177.38,343112,177.38
2012-02-01,180.08,184.71,179.2,183.81,498858,183.81
2012-02-02,184.22,185.64,182.1,182.3,285616,182.3
2012-02-03,185.2,187.84,183.62,186.75,470679,186.75
2012-02-06,186.45,188.5,184.5,187.42,424692,187.42
2012-02-07,186.59,189.5,183.96,188.5,271882,188.5
2012-02-08,190,192.4,187.05,189.51,340012,189.51
2012-02-09,190.8,192.33,185.44,185.73,345357,185.73
2012-02-10,182.07,182.53,179.53,180.15,365228,180.15
2012-02-13,182.9,184.29,180.47,182.31,259564,182.31
2012-02-14,181.96,182.21,176.34,177.9,345559,177.9
2012-02-15,178.19,180.82,177.07,179.18,317681,179.18
2012-02-16,179.65,180.48,172.63,175.89,558450,175.89
2012-02-17,178.18,179.4,175,178.84,311049,178.84
2012-02-21,179.56,187.89,179.26,184.3,366582,184.3
2012-02-22,185.05,188.25,184.5,186.04,237604,186.04
2012-02-23,185.99,189.4,184.65,187.32,358501,187.32
2012-02-24,187.28,188.26,183.61,183.88,202085,183.88
2012-02-27,182.85,189.79,181.45,189.13,387620,189.13
2012-02-28,189.73,195.46,188.89,191.56,383392,191.56
2012-02-29,193.04,193.46,184.8,186,600068,186
2012-03-01,189.27,189.62,184.9,189.23,322029,189.23
2012-03-02,189.12,192,186.97,188.25,223701,188.25
2012-03-05,184.7,185.59,176.21,177.98,488127,177.98
2012-03-06,173.82,174.07,168.35,168.97,510645,168.97
