DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,25.85,25.95,25.63,25.66,677634,25.66
2012-01-04,25.57,25.75,25.37,25.53,252034,25.53
2012-01-05,25.75,25.75,25.36,25.67,397250,25.67
2012-01-06,25.66,25.79,25.45,25.48,449071,25.48
2012-01-09,24.5,24.5,23.06,23.28,1454273,23.28
2012-01-10,23.27,23.35,22.59,22.99,1017689,22.99
2012-01-11,22.93,22.96,22.8,22.88,499679,22.88
2012-01-12,22.9,23,22.62,22.88,484947,22.88
2012-01-13,22.66,22.87,22.55,22.83,477359,22.83
2012-01-17,23,23.01,22.7,22.82,334411,22.82
2012-01-18,22.78,23,22.65,22.9,432096,22.9
2012-01-19,22.95,23.4,22.87,23.3,421714,23.3
2012-01-20,23.31,23.65,23.23,23.51,667252,23.51
2012-01-23,23.51,23.82,23.47,23.64,567730,23.64
2012-01-24,23.48,23.97,23.42,23.77,345228,23.77
2012-01-25,23.63,24.15,23.63,24.02,414368,24.02
2012-01-26,24.23,24.35,24.06,24.16,442061,24.16
2012-01-27,24.1,24.1,23.63,23.9,430981,23.9
2012-01-30,23.73,24.35,23.39,24.35,701432,24.35
2012-01-31,24.48,24.54,23.9,23.95,649064,23.95
2012-02-01,24.18,24.26,23.85,24,864384,24
2012-02-02,24.02,24.29,23.94,24.14,438284,24.14
2012-02-03,23.63,25.25,23.62,25,970566,25
2012-02-06,24.98,25.24,24.88,25.13,389027,25.13
2012-02-07,25.01,25.16,24.83,25.1,346767,25.1
2012-02-08,25.09,25.22,24.9,24.92,314711,24.92
2012-02-09,24.93,25,24.6,24.81,427366,24.81
2012-02-10,25,25.6,24.89,25.43,676690,25.43
2012-02-13,25.55,25.72,25.3,25.47,234792,25.47
2012-02-14,25.43,25.92,25.36,25.76,489051,25.76
2012-02-15,25.9,26.09,25.28,25.36,531049,25.36
2012-02-16,25.4,25.87,25.2,25.86,649812,25.86
2012-02-17,26.36,26.38,26,26.05,595575,26.05
2012-02-21,26.21,26.33,26.01,26.09,389666,26.09
2012-02-22,25.96,26.11,25.8,25.86,837183,25.86
2012-02-23,25.78,25.9,25.64,25.83,307028,25.83
2012-02-24,25.85,25.99,25.8,25.89,225340,25.89
2012-02-27,25.67,25.88,25.36,25.77,292504,25.77
2012-02-28,25.84,26.32,25.75,26.2,650959,26.2
2012-02-29,26.14,26.25,25.79,25.81,484508,25.81
2012-03-01,25.83,25.87,25.33,25.51,477884,25.51
2012-03-02,25.54,25.61,25.25,25.31,247600,25.31
2012-03-05,25.24,25.52,24.93,25.14,337032,25.14
2012-03-06,24.95,25.28,24.83,25.03,328440,25.03
