DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,42.87,43.48,42.85,43.23,858848,43.23
2012-01-04,43.02,43.43,42.73,43.21,557503,43.21
2012-01-05,43.16,43.39,42.76,43.21,649428,43.21
2012-01-06,43.19,44.34,43.14,43.61,698092,43.61
2012-01-09,43.74,43.91,43.2,43.78,690499,43.78
2012-01-10,44.12,45.68,43.84,45.67,1469801,45.67
2012-01-11,45.55,45.95,45.29,45.76,750139,45.76
2012-01-12,45.77,45.85,45.05,45.38,477215,45.38
2012-01-13,44.92,45.62,44.51,45.61,853006,45.61
2012-01-17,46.03,47.5,45.84,46.67,1365772,46.67
2012-01-18,46.43,47.06,46.24,46.94,723580,46.94
2012-01-19,46.72,46.87,46.01,46.28,843130,46.28
2012-01-20,46.51,46.53,45.76,46.14,709891,46.14
2012-01-23,46.1,46.76,45.75,45.88,495985,45.88
2012-01-24,45.59,45.87,45.02,45.39,792389,45.39
2012-01-25,44.49,45.91,43.87,45.77,970521,45.77
2012-01-26,46.13,46.13,43.99,44.1,1024941,44.1
2012-01-27,44,45.57,44,45.18,883115,45.18
2012-01-30,44.9,44.9,44.2,44.5,980226,44.5
2012-01-31,44.75,45.77,44.73,44.83,853007,44.83
2012-02-01,45,46.03,44.97,45.68,1273378,45.68
2012-02-02,42.23,44.46,41.27,44.13,3125093,44.13
2012-02-03,44,44,43.26,43.55,1463908,43.55
2012-02-06,43.13,43.25,42.37,42.92,1059810,42.92
2012-02-07,42.9,43.34,42.77,43.24,1205512,43.24
2012-02-08,43.31,43.73,43.12,43.35,1071634,43.35
2012-02-09,43.26,43.89,43.11,43.54,776561,43.54
2012-02-10,43.23,43.72,43.08,43.54,760949,43.54
2012-02-13,43.68,43.72,42.87,43.18,933917,43.18
2012-02-14,43.21,44,43.12,43.99,693363,43.99
2012-02-15,44.36,44.79,44,44.13,1110492,44.13
2012-02-16,44.18,44.71,44.13,44.7,756933,44.7
2012-02-17,45.07,45.32,44.78,44.93,1126348,44.93
2012-02-21,45.18,46.03,45.1,45.37,1004611,45.37
2012-02-22,45.4,45.6,44.93,45.14,861756,45.14
2012-02-23,45,45.16,44.57,44.83,585415,44.83
2012-02-24,44.8,45.38,44.8,45.09,538175,45.09
2012-02-27,44.86,45.31,44.64,44.64,787841,44.64
2012-02-28,44.62,44.67,44.18,44.34,759271,44.34
2012-02-29,44.3,44.52,43.87,44.11,705690,44.11
