DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,24.28,24.695,24.28,24.53,5348172,24.53
2012-01-04,24.51,24.75,24.38,24.73,5174921,24.73
2012-01-05,24.68,25.02,24.49,24.95,6840470,24.95
2012-01-06,24.9,25.03,24.59,24.71,2813105,24.71
2012-01-09,24.86,25.37,24.85,25.22,4983958,25.22
2012-01-10,25.54,25.7,25.34,25.4,5102849,25.4
2012-01-11,25.39,25.59,25.21,25.42,3607539,25.42
2012-01-12,25.53,25.62,25.315,25.5,2872203,25.5
2012-01-13,25.42,25.48,25.15,25.36,3630901,25.36
2012-01-17,25.7,25.85,25.43,25.52,3671709,25.52
2012-01-18,25.48,25.82,25.31,25.72,4322187,25.72
2012-01-19,25.72,25.94,25.66,25.87,2861234,25.87
2012-01-20,25.88,26.11,25.75,26.07,6078416,26.07
2012-01-23,26,26.32,25.78,25.93,3453096,25.93
2012-01-24,25.81,25.89,25.6,25.86,3853865,25.86
2012-01-25,25.76,26.22,25.61,26.13,4989208,26.13
2012-01-26,26.34,26.8,26.17,26.31,6128083,26.31
2012-01-27,26.31,26.58,26.2,26.33,4537388,26.33
2012-01-30,26.2,26.55,25.86,26.36,5170677,26.36
2012-01-31,26.5,26.59,26.26,26.59,4760916,26.59
2012-02-01,26.75,27.16,26.58,26.85,4102409,26.85
2012-02-02,26.8,26.98,26.66,26.69,3613349,26.69
2012-02-03,26.97,27.17,26.9,27.15,3826939,27.15
2012-02-06,27.09,27.18,26.94,27.09,4139704,27.09
2012-02-07,27,27.14,26.76,27.09,3450268,27.09
2012-02-08,27.05,27.29,26.84,27.25,3342633,27.25
2012-02-09,27.24,27.5,27.11,27.46,3503416,27.46
2012-02-10,27.26,27.35,27,27.18,3145616,27.18
2012-02-13,27.39,27.51,27.27,27.41,2250673,27.41
2012-02-14,27.22,27.355,26.93,27.25,4690805,27.25
2012-02-15,28.93,29.05,28.3,28.52,11320347,28.52
2012-02-16,28.72,28.8,28.4,28.645,6181089,28.645
2012-02-17,28.5,29.26,28.4,29.17,9870160,29.17
2012-02-21,29.11,29.17,28.92,29.07,4112041,29.07
2012-02-22,28.97,29.29,28.82,29.28,5902245,29.28
2012-02-23,29.23,29.83,29.2,29.81,5570501,29.81
2012-02-24,29.92,29.92,29.05,29.19,4417246,29.19
2012-02-27,28.91,29.39,28.9,29.19,3876839,29.19
2012-02-28,29.14,29.39,29.04,29.37,4458620,29.37
2012-02-29,29.4,29.55,29.27,29.38,5471715,29.38
2012-03-01,29.4,29.64,29.29,29.45,4107945,29.45
2012-03-02,29.36,29.61,29.09,29.24,3459674,29.24
2012-03-05,29.18,29.21,28.83,29.1,3694056,29.1
2012-03-06,28.88,29.16,28.73,28.92,4037629,28.92
2012-03-07,28.96,29.315,28.8,29.24,3602558,29.24
2012-03-08,29.44,29.745,29.4,29.62,2890057,29.62
2012-03-09,29.69,29.85,29.68,29.84,2540073,29.84
2012-03-12,29.69,29.84,29.55,29.61,2939242,29.61
2012-03-13,29.83,30.05,29.65,30.04,3250719,30.04
2012-03-14,29.96,29.98,29.72,29.78,3449395,29.78
2012-03-15,29.78,29.89,29.42,29.8,3712514,29.8
2012-03-16,29.73,29.83,29.41,29.5,10723530,29.5
2012-03-19,29.36,29.98,29.28,29.86,2860239,29.86
2012-03-20,29.71,29.94,29.46,29.77,3034327,29.77
2012-03-21,29.77,29.89,29.53,29.71,3202677,29.71
2012-03-22,29.6,29.9,29.53,29.89,4604343,29.89
2012-03-23,29.94,30,29.64,29.98,3280625,29.98
2012-03-26,30.09,30.385,29.96,30.35,4048972,30.35
2012-03-27,30.31,30.4,30.14,30.17,3282831,30.17
2012-03-28,30.01,30.2,29.825,29.92,4101374,29.92
2012-03-29,29.72,29.86,29.51,29.83,3852745,29.83
2012-03-30,29.99,30.045,29.73,30.01,3505364,30.01
2012-04-02,29.75,30.14,29.57,30.05,3798022,30.05
2012-04-03,29.84,29.94,29.44,29.66,4319563,29.66
2012-04-04,29.55,29.57,29.09,29.32,3255816,29.32
2012-04-05,29.17,29.57,29.08,29.56,3688665,29.56
2012-04-09,29.11,29.43,29.01,29.33,3059278,29.33
2012-04-10,29.18,29.21,28.54,28.65,3562666,28.65
2012-04-11,28.87,29.08,28.74,28.95,2717893,28.95
2012-04-12,29.05,29.75,28.95,29.69,3744987,29.69
2012-04-13,29.68,29.78,29.48,29.5,3169514,29.5
2012-04-16,29.58,29.835,29.495,29.77,2867759,29.77
2012-04-17,29.88,30.19,29.71,30.09,2647707,30.09
2012-04-18,29.95,30.02,29.8,29.86,2276202,29.86
2012-04-19,29.71,30.05,29.42,29.47,2930482,29.47
2012-04-20,29.62,29.75,29.43,29.45,5513307,29.45
2012-04-23,29.28,29.28,28.86,29.04,4058248,29.04
2012-04-24,29.18,29.5,29.13,29.35,3561142,29.35
2012-04-25,29.6,29.735,29.38,29.65,3367224,29.65
2012-04-26,29.52,30.34,29.51,30.24,5061418,30.24
2012-04-27,30.26,30.44,29.895,30.28,3641376,30.28
2012-04-30,30.21,30.46,30.17,30.33,2948457,30.33
2012-05-01,30.28,30.87,30.26,30.6,4974790,30.6
2012-05-02,30.15,30.56,29.56,30.42,6335522,30.42
2012-05-03,30.5,30.74,30.15,30.36,3828018,30.36
2012-05-04,30.03,30.19,29.44,29.45,4198329,29.45
2012-05-07,29.25,29.79,29.12,29.63,3874749,29.63
2012-05-08,29.51,29.66,29.125,29.4,4833579,29.4
2012-05-09,29.12,29.45,29.05,29.17,4202519,29.17
2012-05-10,29.4,29.72,29.325,29.63,3440459,29.63
2012-05-11,29.56,29.81,29.37,29.38,3485066,29.38
2012-05-14,29.19,29.33,28.825,28.9,4048151,28.9
2012-05-15,28.89,29.33,28.74,28.85,3450840,28.85
2012-05-16,28.89,29.19,28.815,28.85,2995757,28.85
2012-05-17,28.83,28.86,28.35,28.35,3090969,28.35
2012-05-18,28.51,28.63,28.19,28.28,7163648,28.28
2012-05-21,28.28,28.75,28.1,28.71,3331937,28.71
2012-05-22,28.71,29.12,28.62,28.96,3890379,28.96
2012-05-23,28.73,28.835,28.395,28.79,4048730,28.79
2012-05-24,28.82,29.16,28.695,28.93,4391612,28.93
2012-05-25,29,29.15,28.71,28.85,3286309,28.85
2012-05-29,28.97,29.28,28.84,29.22,3289130,29.22
2012-05-30,29.03,29.17,28.9,28.95,3557976,28.95
2012-05-31,28.95,29.175,28.73,28.91,5624179,28.91
2012-06-01,28.56,28.835,28.35,28.63,6211029,28.63
2012-06-04,28.67,29.05,28.64,28.95,5803016,28.95
2012-06-05,28.92,29.09,28.81,29.01,3857262,29.01
2012-06-06,29.19,29.77,29.05,29.77,4243917,29.77
2012-06-07,30.1,30.29,29.91,30.01,4531152,30.01
2012-06-08,29.87,30.32,29.84,30.27,4793381,30.27
2012-06-11,30.43,30.59,29.905,29.97,3959404,29.97
2012-06-12,30.09,30.47,29.92,30.45,5705250,30.45
2012-06-13,30.38,30.44,29.79,29.98,3966131,29.98
2012-06-14,30.1,30.78,30.06,30.71,4882020,30.71
2012-06-15,30.9,31.165,30.67,31.09,8570782,31.09
2012-06-18,31.1,31.41,30.99,31.16,4150841,31.16
2012-06-19,31.25,31.65,31.07,31.31,4094566,31.31
2012-06-20,31.25,31.38,30.89,31.19,4649910,31.19
2012-06-21,31.34,31.34,30.64,30.68,4342942,30.68
2012-06-22,30.75,30.95,30.57,30.83,6406780,30.83
2012-06-25,30.68,30.7,30.21,30.33,3175131,30.33
2012-06-26,30.37,30.685,30.17,30.57,3794900,30.57
2012-06-27,30.77,31.3,30.72,31.04,3621290,31.04
2012-06-28,30.9,31.09,30.56,31.04,3684992,31.04
2012-06-29,31.54,31.99,31.21,31.97,5590921,31.97
2012-07-02,32.1,32.5,31.98,32.25,3462216,32.25
2012-07-03,32.36,32.4,31.905,32.03,2635121,32.03
2012-07-05,31.9,32.05,31.43,31.45,3481562,31.45
2012-07-06,31.29,31.82,31.19,31.38,3283533,31.38
2012-07-09,31.45,31.52,31.22,31.27,3326122,31.27
2012-07-10,31.51,31.95,31.185,31.35,3816468,31.35
2012-07-11,31.3,31.81,31.27,31.73,4360853,31.73
2012-07-12,31.42,31.45,31.04,31.1,5405497,31.1
2012-07-13,31.13,31.9,31.13,31.87,3275815,31.87
2012-07-16,31.69,31.86,31.55,31.83,2667996,31.83
2012-07-17,31.88,32.395,31.745,32.33,3838161,32.33
2012-07-18,32.25,32.44,31.965,32.39,3096138,32.39
2012-07-19,32.36,32.78,32.19,32.38,3276888,32.38
2012-07-20,32.32,32.41,32.05,32.18,5063182,32.18
2012-07-23,31.69,31.78,31.3,31.37,4145001,31.37
2012-07-24,31.44,31.48,31.06,31.41,3800503,31.41
2012-07-25,31.55,31.57,31.1,31.36,3359091,31.36
2012-07-26,31.92,32.25,31.55,31.58,5644243,31.58
2012-07-27,31.89,32.36,31.74,32.3,5167979,32.3
2012-07-30,32.33,32.55,32.08,32.21,2638998,32.21
2012-07-31,32.21,32.73,32.18,32.55,6383149,32.55
2012-08-01,33.54,34,33.48,33.55,5553176,33.55
2012-08-02,33.47,34.45,33.38,34.12,5773446,34.12
2012-08-03,34.55,35.08,34.45,34.61,4957623,34.61
