DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,49.484,49.904,49.036,49.126,684335,49.126
2012-01-04,48.838,49.112,48.022,48.202,882535,48.202
2012-01-05,47.988,48.186,47.344,47.724,1216475,47.724
2012-01-06,47.076,47.102,45.91,46.8,1920040,46.8
2012-01-09,46.474,46.52,45.23,45.648,1946190,45.648
2012-01-10,45.85,46.072,45.292,45.506,1413040,45.506
2012-01-11,45.518,45.708,44.942,45.2,1108330,45.2
2012-01-12,45.188,46.666,45.104,46.646,993775,46.646
2012-01-13,46.36,47.198,46.204,46.9,1199175,46.9
2012-01-17,47.298,47.978,45.444,45.83,1340430,45.83
2012-01-18,45.844,46.574,45.204,46.53,774285,46.53
2012-01-19,46.634,48.736,46.632,47.51,1060545,47.51
2012-01-20,47.496,48.1,47.136,47.98,1136050,47.98
2012-01-23,47.944,48.238,47.654,47.688,716790,47.688
2012-01-24,47.292,48.198,47.012,48.104,588550,48.104
2012-01-25,48.016,49.034,48.016,48.412,802195,48.412
2012-01-26,48.384,48.818,48.03,48.09,538080,48.09
2012-01-27,47.878,48.4,47.684,48.176,386510,48.176
2012-01-30,47.788,48.24,47.649,48,688425,48
2012-01-31,48.012,48.27,47.334,47.902,1150865,47.902
2012-02-01,48.366,49.401,48.161,49.082,1104410,49.082
2012-02-02,49.922,53.226,49.688,53.202,2930415,53.202
2012-02-03,53.504,54.934,53.272,54.686,2094555,54.686
2012-02-06,54.664,55.088,54.258,55.064,1458935,55.064
2012-02-07,54.692,55.424,54.158,55.209,884365,55.209
2012-02-08,55.598,57.05,55.534,56.964,1467230,56.964
2012-02-09,57.162,57.462,56.56,56.674,854520,56.674
2012-02-10,56.112,58.45,56.112,58.318,1837690,58.318
2012-02-13,58.474,58.5,57.402,58.2,1108670,58.2
2012-02-14,57.868,58.012,57.16,58,1036645,58
2012-02-15,57.936,58.272,57.576,58.128,909135,58.128
2012-02-16,58,59.394,57.4,59.13,1094045,59.13
2012-02-17,59.398,59.398,58.152,58.796,1277450,58.796
2012-02-21,58.734,58.894,57.366,58.016,1472745,58.016
2012-02-22,57.686,58.058,57.02,57.63,930355,57.63
2012-02-23,57.636,58.476,57.486,58.358,979385,58.358
2012-02-24,58.574,58.574,57.8,58.478,598245,58.478
2012-02-27,58.19,58.492,57.562,57.956,692865,57.956
2012-02-28,58.092,58.94,57.566,58.16,803805,58.16
2012-02-29,58.274,58.9,57.86,57.898,1258955,57.898
2012-03-01,57.414,58.186,57.414,57.908,956895,57.908
2012-03-02,57.918,58.414,57.68,57.92,665005,57.92
2012-03-05,57.936,57.96,56.12,56.204,1409415,56.204
2012-03-06,56,56.238,54.794,54.986,2165505,54.986
2012-03-07,54.418,55.368,54.278,55.042,1104220,55.042
2012-03-08,55.282,55.34,54.762,55.246,612225,55.246
2012-03-09,55.312,55.458,55.056,55.312,511870,55.312
2012-03-12,55.266,55.302,53.752,54.04,789980,54.04
2012-03-13,54.44,54.75,53.5,54.598,1238565,54.598
2012-03-14,54.83,55.444,54.44,55.31,1097980,55.31
2012-03-15,55.176,58.07,55.176,57.25,1694490,57.25
2012-03-16,57.678,58.8,57.182,57.89,1956740,57.89
2012-03-19,57.562,58.348,57.196,58.008,863145,58.008
2012-03-20,57.842,59.48,57.65,58.878,1296265,58.878
2012-03-21,58.826,60.858,58.036,59.734,1650730,59.734
2012-03-22,59.41,59.444,58.732,59.15,1017490,59.15
2012-03-23,59.152,59.442,58.31,59.202,918730,59.202
2012-03-26,59.62,59.83,58.566,59.54,800305,59.54
2012-03-27,59.494,59.59,58.685,58.82,644330,58.82
2012-03-28,58.788,58.788,57.752,58.144,817580,58.144
2012-03-29,58.088,58.484,57.33,57.92,700080,57.92
