DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,343.85,350.39,340.23,341.27,114408,341.27
2012-01-04,346,349.95,345.03,348.75,104326,348.75
2012-01-05,347.43,351.68,342.81,350.48,98696,350.48
2012-01-06,348,352.41,347.77,348.95,82484,348.95
2012-01-09,349.49,349.49,336.51,339.74,98854,339.74
2012-01-10,343,344.16,336.66,341.12,78224,341.12
2012-01-11,339.99,347.91,339.36,347.6,75495,347.6
2012-01-12,347.61,348.5,344.18,347.62,56377,347.62
2012-01-13,350.03,355,350,354.62,105953,354.62
2012-01-17,357.44,357.75,353.3,353.38,77053,353.38
2012-01-18,354.2,357.58,352.12,356.82,41918,356.82
2012-01-19,356.71,359.47,355.56,358.09,72045,358.09
2012-01-20,358.55,358.55,354.46,356.39,78253,356.39
2012-01-23,356.84,362.99,356.84,360.46,88465,360.46
2012-01-24,358.53,361.02,357.11,360.6,71656,360.6
2012-01-25,359.96,364.79,359.12,363.14,91234,363.14
2012-01-26,364.12,370.33,363.02,365.81,97614,365.81
2012-01-27,364.2,368.23,364.2,366.76,52325,366.76
2012-01-30,364.9,368.19,364.45,367.69,43136,367.69
2012-01-31,369.4,369.72,365.64,367.29,80627,367.29
2012-02-01,368.01,371.45,364.42,370.41,108223,370.41
2012-02-02,367.5,372.41,358.67,362.82,191994,362.82
2012-02-03,367.5,373.19,366.34,372.19,124287,372.19
2012-02-06,370,374.85,369.51,371.63,97155,371.63
2012-02-07,372.17,374.59,370.09,374.02,64967,374.02
2012-02-08,373.89,375.25,370.6,374.02,62980,374.02
2012-02-09,375.5,377.69,372.5,376.49,75024,376.49
2012-02-10,372.93,376.58,372.46,376.45,65825,376.45
2012-02-13,378.7,379.91,375.54,377.45,66533,377.45
2012-02-14,377.23,379.43,375.35,378.94,63775,378.94
2012-02-15,380.49,383.27,373.75,375.73,112752,375.73
2012-02-16,375.73,382.95,375,382.04,73485,382.04
2012-02-17,380,385.26,380,384.7,135368,384.7
2012-02-21,380.15,386.76,380.14,383.58,146475,383.58
2012-02-22,381.49,386.55,381.49,384.95,76766,384.95
2012-02-23,384.05,387.67,383.75,386.8,71125,386.8
2012-02-24,387.76,387.94,385,387.42,51845,387.42
2012-02-27,385.94,390.4,385.21,388.89,79176,388.89
2012-02-28,389.6,392.3,387.51,391.96,80504,391.96
2012-02-29,390.99,392,387.47,390.22,84906,390.22
2012-03-01,391.85,394.74,388.14,394.1,61906,394.1
2012-03-02,393.5,394.79,392.08,394.39,53391,394.39
2012-03-05,394.29,396.38,391.77,392.98,53948,392.98
2012-03-06,389,389.39,386.56,387.3,70506,387.3
2012-03-07,389.48,393.35,387.1,392.1,55546,392.1
2012-03-08,393,399.53,392.47,398.18,63578,398.18
2012-03-09,399.1,399.8,396.54,398.12,64895,398.12
2012-03-12,398.98,401.36,395.68,397.52,50453,397.52
