DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,90.76,92.73,90.37,91.05,686728,91.05
2012-01-04,90.87,92.77,90.5,92.3,588235,92.3
2012-01-05,92.79,94.85,91.67,94.7,626258,94.7
2012-01-06,95,95.02,93.38,93.53,593352,93.53
2012-01-09,93.77,96.57,93.75,96.21,636346,96.21
2012-01-10,97.95,99.2,97.72,98.73,847612,98.73
2012-01-11,98.35,99.24,98.17,98.57,400469,98.57
2012-01-12,99,99.5,97.3,99.23,342836,99.23
2012-01-13,97.96,99.04,96.84,97.76,560191,97.76
2012-01-17,99.67,100.94,98.98,99.25,470137,99.25
2012-01-18,98.92,101.73,98.71,101.32,539571,101.32
2012-01-19,104,106.1,103.2,105.51,946372,105.51
2012-01-20,105,105.49,104.12,104.78,627760,104.78
2012-01-23,105.4,106.5,104.39,105.5,363155,105.5
2012-01-24,104.45,107.23,103.82,106.8,478475,106.8
2012-01-25,106.5,109.34,105.95,108.96,468405,108.96
2012-01-26,110.37,110.37,106.61,107.25,719652,107.25
2012-01-27,106.95,107.7,106.21,106.5,518095,106.5
2012-01-30,104.75,105.89,102.61,105.35,537157,105.35
2012-01-31,106.53,107.05,103.75,104,591387,104
2012-02-01,105.6,107.9,104.26,105.82,778400,105.82
2012-02-02,112,114.75,110.58,113.31,1123398,113.31
2012-02-03,115.1,120.64,114.76,120.09,1113911,120.09
2012-02-06,118.9,120.85,118.41,119.8,612750,119.8
2012-02-07,119.09,120.04,118.21,119.55,528091,119.55
2012-02-08,119.35,119.99,118.59,119.58,429776,119.58
2012-02-09,119.85,121.73,119.24,121.24,431030,121.24
2012-02-10,119,120.37,118,120.3,488473,120.3
2012-02-13,121.66,122.92,120.05,122.88,426586,122.88
2012-02-14,121.99,122.69,120.3,121.5,437259,121.5
2012-02-15,121.93,123.17,120.46,121.07,466927,121.07
2012-02-16,121.49,123.06,120.81,123.04,365743,123.04
2012-02-17,123.02,123.03,121.31,122.07,623517,122.07
2012-02-21,122.25,124.64,122.2,123.3,440790,123.3
2012-02-22,123,123.05,121,122.38,271433,122.38
2012-02-23,122.57,123.5,121.62,122.56,356634,122.56
2012-02-24,122.67,123.5,121.51,121.78,397646,121.78
2012-02-27,121.05,122.01,119.5,121.4,317548,121.4
2012-02-28,121.08,122.52,120.44,121.71,372611,121.71
2012-02-29,122.03,122.75,120.28,120.57,393361,120.57
2012-03-01,121.32,122.24,120.48,121.65,263307,121.65
2012-03-02,121.2,121.45,118.85,119.46,341494,119.46
2012-03-05,119.88,122.08,118.89,120.28,576978,120.28
2012-03-06,117.51,117.51,114.88,115.37,879303,115.37
2012-03-07,115.74,118.15,115.65,117.72,444009,117.72
2012-03-08,118.95,120.34,117.33,119.98,525910,119.98
2012-03-09,120.49,121.62,118.63,118.93,451060,118.93
2012-03-12,119.27,119.27,117.38,117.55,822348,117.55
2012-03-13,119.33,124.48,118.64,124.31,754564,124.31
2012-03-14,124.05,124.23,122.71,123.88,385445,123.88
2012-03-15,123.76,127.81,123.06,126.99,564645,126.99
2012-03-16,127.75,129.51,127.34,127.54,780355,127.54
2012-03-19,128.64,129.4,126.96,128,380359,128
2012-03-20,126.03,126.3,121.87,123.42,762727,123.42
2012-03-21,124,124.63,123,123.59,386923,123.59
2012-03-22,121.42,121.56,119,120.12,514710,120.12
2012-03-23,120.12,122.05,119.49,121.52,389493,121.52
2012-03-26,123.61,124.35,122.92,123.91,397094,123.91
2012-03-27,123.75,124.44,122.39,122.51,259631,122.51
2012-03-28,122.23,122.52,117.28,117.98,687618,117.98
2012-03-29,116.95,119.82,116.27,119.66,610798,119.66
2012-03-30,120.65,120.76,118.63,120.04,497265,120.04
2012-04-02,120,122.25,118.39,121.71,364469,121.71
2012-04-03,121.2,123.34,118.82,119.84,676639,119.84
2012-04-04,117,117.22,114.86,115.62,1004720,115.62
2012-04-05,115.53,116.93,115.26,115.54,410799,115.54
2012-04-09,113.03,116.82,112.78,115.54,599906,115.54
2012-04-10,115,115.29,111.36,111.76,626477,111.76
2012-04-11,113.68,113.68,110.03,111.81,681621,111.81
2012-04-12,112.45,116.75,112.25,116.05,566894,116.05
2012-04-13,115.46,115.79,113.76,114.02,391866,114.02
2012-04-16,115.42,115.95,112.76,114.1,436489,114.1
2012-04-17,115.63,116.97,114.3,116.07,448177,116.07
2012-04-18,115.01,117.55,114.21,116.81,510474,116.81
2012-04-19,116.93,117.15,113.43,114.8,331324,114.8
2012-04-20,115.97,117.03,115.27,116.03,484133,116.03
2012-04-23,114,115.34,113.52,114.67,352799,114.67
2012-04-24,115.13,117.19,114.83,116.04,300901,116.04
2012-04-25,115.4,116.36,113.82,115.1,555075,115.1
2012-04-26,114.73,116.36,113.82,116.08,306564,116.08
2012-04-27,116.93,119,116.78,118.29,304875,118.29
2012-04-30,117,117.39,114.98,115.83,591511,115.83
2012-05-01,113.84,114.42,110.5,111.14,860254,111.14
2012-05-02,110.8,113.11,109.55,112.49,619048,112.49
2012-05-03,112,112.34,109.75,110.44,691450,110.44
2012-05-04,109.64,109.86,105.44,107.11,639717,107.11
2012-05-07,104.26,107.51,104.26,105.5,823025,105.5
2012-05-08,104.57,107.25,103,106.89,818421,106.89
2012-05-09,105,109.2,104.8,106.74,876662,106.74
2012-05-10,108.65,108.65,105.39,105.87,562052,105.87
2012-05-11,105,107.31,105,106.47,418836,106.47
2012-05-14,104.94,105.41,103.52,103.66,430365,103.66
2012-05-15,103.58,104.37,102.6,102.97,408851,102.97
2012-05-16,103.81,104.01,100.52,100.61,484844,100.61
2012-05-17,100.49,100.84,96.35,96.74,766089,96.74
2012-05-18,97.73,99.05,96.59,97.2,664356,97.2
2012-05-21,98,99.86,97.76,99.49,432075,99.49
2012-05-22,100.2,102.5,99.65,100.94,642056,100.94
2012-05-23,99.56,101.53,98.52,101.52,470016,101.52
2012-05-24,102.18,102.42,99,100.26,392813,100.26
2012-05-25,100.28,100.39,98.54,98.95,389956,98.95
2012-05-29,100.32,101.91,99.68,101.06,702581,101.06
2012-05-30,99.23,99.88,97.83,99,476067,99
2012-05-31,97.9,98.03,95.43,96.95,775208,96.95
2012-06-01,94.61,95.09,93.24,93.56,661090,93.56
2012-06-04,92.3,93.74,89.45,91.68,702240,91.68
2012-06-05,91.02,92.96,91,92.33,559747,92.33
2012-06-06,93.28,95.75,93.28,95.75,560405,95.75
2012-06-07,98.28,100.53,97.11,97.29,820839,97.29
2012-06-08,96,97.05,95.18,96.8,649263,96.8
2012-06-11,98.31,98.38,92.26,92.48,912021,92.48
2012-06-12,93.24,96.84,92.56,96.73,885504,96.73
2012-06-13,95.5,96.56,93.2,93.65,604823,93.65
2012-06-14,93.96,94,91.89,93.15,635823,93.15
2012-06-15,93.73,94.73,93.28,94.69,734102,94.69
