DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,20.3,20.34,19.85,19.89,535562,19.89
2012-01-04,19.81,20.07,19.73,19.79,617138,19.79
2012-01-05,19.69,19.86,19.61,19.8,1195532,19.8
2012-01-06,19.77,19.84,19.51,19.54,633689,19.54
2012-01-09,19.55,19.72,19.53,19.7,733304,19.7
2012-01-10,19.82,19.88,19.53,19.55,710046,19.55
2012-01-11,19.55,19.55,19.29,19.32,430092,19.32
2012-01-12,19.41,19.45,19.12,19.16,597239,19.16
2012-01-13,19.1,19.19,18.98,19.09,842845,19.09
2012-01-17,19.34,19.34,19.01,19.13,1185271,19.13
2012-01-18,19.07,19.09,18.88,18.94,892295,18.94
2012-01-19,18.91,18.93,18.42,18.43,1068956,18.43
2012-01-20,18.53,18.82,18.44,18.81,1964333,18.81
2012-01-23,18.85,18.91,18.73,18.74,852815,18.74
2012-01-24,18.34,18.64,18.32,18.58,1105644,18.58
2012-01-25,18.51,18.76,18.35,18.72,926362,18.72
2012-01-26,18.8,18.86,18.43,18.48,1044031,18.48
2012-01-27,18.48,18.48,18.13,18.23,1403640,18.23
2012-01-30,18.21,18.4,18.08,18.34,1267916,18.34
2012-01-31,18.35,18.55,18.22,18.47,1293183,18.47
2012-02-01,18.56,18.86,18.56,18.68,877928,18.68
2012-02-02,18.64,18.74,18.54,18.58,729533,18.58
2012-02-03,18.99,19.02,18.72,18.88,1282072,18.88
2012-02-06,18.85,18.88,18.66,18.77,569810,18.77
2012-02-07,18.69,18.97,18.62,18.87,870272,18.87
2012-02-08,18.87,18.92,18.8,18.89,924751,18.89
2012-02-09,18.87,18.92,18.76,18.84,817853,18.84
2012-02-10,18.75,18.92,18.72,18.91,1143027,18.91
2012-02-13,19,19.07,18.85,18.86,1118200,18.86
2012-02-14,18.58,18.73,18.53,18.63,1098333,18.63
2012-02-15,18.58,18.94,18.47,18.84,1812449,18.84
2012-02-16,18.82,19.01,18.77,18.85,1143275,18.85
2012-02-17,18.81,19.24,18.78,18.98,1620077,18.98
2012-02-21,19.04,19.12,18.9,18.95,935205,18.95
2012-02-22,18.95,19.04,18.74,18.79,823763,18.79
2012-02-23,18.79,18.89,18.74,18.83,757379,18.83
2012-02-24,18.84,18.91,18.73,18.8,403158,18.8
2012-02-27,18.75,18.79,18.56,18.62,841665,18.62
