DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,38.44,39.4,38.22,39.14,887094,39.14
2012-01-04,38.7,39.51,38.28,39.37,620569,39.37
2012-01-05,38.75,39.34,38.44,38.63,616735,38.63
2012-01-06,38.78,38.82,37.63,38.57,639869,38.57
2012-01-09,38.56,38.64,37.53,37.69,571694,37.69
2012-01-10,38.83,38.97,36.96,37.21,1460645,37.21
2012-01-11,37,37.15,35.1,36,1664929,36
2012-01-12,36.34,36.73,35.15,36.51,1439120,36.51
2012-01-13,35.7,35.7,33.44,34.33,1610019,34.33
2012-01-17,35.2,35.2,32.88,33.37,1334990,33.37
2012-01-18,33.07,34.24,32.51,34.17,986781,34.17
2012-01-19,34.4,34.46,33.4,33.73,957076,33.73
2012-01-20,33.56,33.59,32.95,33.02,1384928,33.02
2012-01-23,34.23,35.25,33.9,34.15,1412664,34.15
2012-01-24,33.33,34.77,33.33,34.69,1406055,34.69
2012-01-25,34.5,36.05,34.18,35.87,1244755,35.87
2012-01-26,36.1,36.78,35.49,36.14,2022548,36.14
2012-01-27,35.93,36.69,35.62,36.46,1118485,36.46
2012-01-30,35.79,36.51,35.34,36.21,863402,36.21
2012-01-31,36.55,36.57,35.2,35.74,961161,35.74
2012-02-01,36.4,36.4,35.64,35.85,731610,35.85
2012-02-02,35.94,38.12,35.9,37.86,1343282,37.86
2012-02-03,38.22,38.22,37.22,37.67,824536,37.67
2012-02-06,36.8,37.71,36.69,37.37,782053,37.37
2012-02-07,37.18,37.42,36.49,36.74,729406,36.74
2012-02-08,36.74,37.13,36.05,36.24,1134690,36.24
2012-02-09,36.48,37.4,36.2,37.29,1072090,37.29
2012-02-10,36.75,37.01,35.88,36.03,1063365,36.03
2012-02-13,36.35,36.45,35.5,35.84,577183,35.84
2012-02-14,35.68,35.9,35.26,35.84,717201,35.84
2012-02-15,36.1,37.08,35.78,36.87,1164360,36.87
2012-02-16,36.9,37.47,36.43,37.42,951528,37.42
2012-02-17,37.69,37.75,36.83,37.26,938690,37.26
2012-02-21,37.69,37.96,37.19,37.39,749716,37.39
2012-02-22,37.37,37.67,35.63,35.77,1099174,35.77
2012-02-23,35.68,35.76,35.11,35.37,895277,35.37
2012-02-24,35.4,36.4,34.99,36.33,973708,36.33
2012-02-27,36.07,36.51,35.75,36.32,840575,36.32
2012-02-28,36.39,36.66,36.02,36.3,639415,36.3
2012-02-29,36.04,36.74,35.52,35.82,1240843,35.82
2012-03-01,35.86,36.1,35.04,35.26,949087,35.26
2012-03-02,35.08,35.24,33.89,33.93,1192157,33.93
2012-03-05,34.11,34.22,32.66,33.35,1427058,33.35
2012-03-06,31.38,33.11,31.01,32.9,2186753,32.9
2012-03-07,33.25,33.26,32.64,32.95,882091,32.95
2012-03-08,33.36,33.37,32.46,32.9,817543,32.9
2012-03-09,32.87,33.97,32.87,33.37,655066,33.37
2012-03-12,33.29,33.59,32.25,32.42,703542,32.42
2012-03-13,32.83,33.16,32.33,32.64,1249421,32.64
2012-03-14,32.64,32.82,31.64,31.72,1046064,31.72
2012-03-15,31.95,32.81,31.41,32.38,1086634,32.38
2012-03-16,32.59,34.31,32.52,34.05,1967216,34.05
2012-03-19,33.95,35.55,33.94,34.91,1375374,34.91
2012-03-20,34.29,34.63,33.73,34.55,1293901,34.55
2012-03-21,34.59,34.99,34.21,34.48,1026991,34.48
2012-03-22,33.79,33.96,32.37,32.94,2058497,32.94
2012-03-23,32.95,34.09,32.87,33.76,1177821,33.76
2012-03-26,34.15,34.2,33.32,33.74,767992,33.74
2012-03-27,33.8,34.24,33.59,33.99,1135089,33.99
2012-03-28,33.76,34,32.57,33.33,1396719,33.33
2012-03-29,33.01,34,32.67,33.86,1270815,33.86
2012-03-30,34.19,34.35,33.57,34.1,1174617,34.1
2012-04-02,34.32,35.09,33.93,34.86,1116679,34.86
2012-04-03,34.8,34.81,33.81,34.05,838663,34.05
2012-04-04,33.47,34.05,33.46,33.96,1021774,33.96
2012-04-05,33.77,34.52,33.66,33.8,954756,33.8
2012-04-09,33.13,33.79,33.05,33.7,1060082,33.7
2012-04-10,33.75,34.01,33.07,33.71,1500329,33.71
2012-04-11,34.22,34.35,33.62,33.74,1178145,33.74
2012-04-12,33.96,35.19,33.8,34.75,1112842,34.75
2012-04-13,34.16,34.18,33.5,33.7,1450762,33.7
2012-04-16,34.08,34.17,33.46,34.01,1020166,34.01
2012-04-17,34.25,35.68,33.85,35.15,1064069,35.15
2012-04-18,35.12,35.15,34.06,34.19,1182086,34.19
2012-04-19,34.29,35.4,34.16,34.44,1165468,34.44
2012-04-20,34.55,34.89,33.61,33.72,1385394,33.72
2012-04-23,32.88,33.73,32.42,33.44,1126482,33.44
2012-04-24,33.45,33.98,33.13,33.55,832644,33.55
2012-04-25,33.93,34.56,33.24,34.54,1067860,34.54
2012-04-26,33.1,34.49,32.84,33.21,1713301,33.21
2012-04-27,32.94,33.15,32.27,32.68,1577606,32.68
2012-04-30,32.41,33.31,32.32,33.24,1268695,33.24
2012-05-01,33.49,34.16,33.18,34.09,1070060,34.09
2012-05-02,33.71,33.71,33.15,33.24,886018,33.24
2012-05-03,33.3,34.09,33.23,33.54,1009487,33.54
2012-05-04,33.29,33.57,32.97,33.38,1111074,33.38
2012-05-07,33.25,34.39,33.17,33.78,1347748,33.78
2012-05-08,33.37,34.26,32.93,34.13,1401180,34.13
2012-05-09,33.29,35.6,33,35.13,1470398,35.13
