DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,19.5375,19.5675,18.9,19.2,1697844,19.2
2012-01-04,19.63,20.65,19.3175,20.58,3294972,20.58
2012-01-05,20.6,20.775,20.185,20.6775,1199044,20.6775
2012-01-06,20.7525,20.7825,20.1475,20.1625,1624852,20.1625
2012-01-09,20.1425,20.3325,19.8725,19.915,1040292,19.915
2012-01-10,20.305,20.3225,19.5275,19.5925,1892968,19.5925
2012-01-11,19.4975,19.4975,17.34,17.405,4319296,17.405
2012-01-12,17.4875,17.6225,16.6075,16.7875,4336248,16.7875
2012-01-13,16.7225,17.1275,16.3875,16.7825,2749096,16.7825
2012-01-17,16.8375,16.85,16.1025,16.59,1909892,16.59
2012-01-18,16.6875,16.9275,16.59,16.8625,1784828,16.8625
2012-01-19,16.7475,16.9425,15.6,15.7725,2417076,15.7725
2012-01-20,15.7125,15.8225,15.065,15.28,3995684,15.28
2012-01-23,15.9125,16.625,15.8825,16.27,4371748,16.27
2012-01-24,15.935,16.04,15.585,16.01,2389496,16.01
2012-01-25,15.635,16.7475,15.4375,16.655,3246600,16.655
2012-01-26,16.975,16.975,15.88,16.22,1919914,16.22
2012-01-27,16.395,16.725,16.135,16.44,2157874,16.44
2012-01-30,16.21,16.27,16.015,16.23,1019840,16.23
2012-01-31,16.335,16.465,15.715,15.95,2074068,15.95
2012-02-01,16.065,16.35,15.715,16.29,1886706,16.29
2012-02-02,16.29,16.31,15.81,16.085,2089044,16.085
2012-02-03,16.34,16.34,15.975,16.225,2388118,16.225
2012-02-06,16.155,16.85,16.005,16.77,2578790,16.77
2012-02-07,16.77,17.135,16.52,17.025,1805896,17.025
2012-02-08,16.99,17.275,16.46,16.525,1514668,16.525
2012-02-09,16.485,16.885,16.195,16.275,3149178,16.275
2012-02-10,16.015,16.815,15.845,16.785,2879812,16.785
2012-02-13,16.93,17.06,16.71,17.02,902916,17.02
2012-02-14,16.98,17.61,16.975,17.505,2884282,17.505
2012-02-15,17.665,17.745,17.215,17.335,1623512,17.335
2012-02-16,17.33,18.02,17.16,17.74,1745066,17.74
2012-02-17,18.055,18.565,17.985,18.32,2451128,18.32
2012-02-21,18.8,19.085,17.465,18.005,3198966,18.005
2012-02-22,18,18.255,17.28,17.52,2246198,17.52
2012-02-23,17.585,17.75,17.255,17.715,1642776,17.715
2012-02-24,17.855,18,17.575,17.845,880036,17.845
2012-02-27,17.805,18.07,17.71,17.75,1583038,17.75
2012-02-28,17.695,17.925,17.45,17.72,1332752,17.72
2012-02-29,17.675,17.73,17.29,17.44,1369286,17.44
2012-03-01,17.485,18,17.405,17.985,1191142,17.985
2012-03-02,17.875,17.965,17.125,17.23,1636150,17.23
2012-03-05,17.165,17.275,16.725,17.175,1661758,17.175
2012-03-06,16.78,16.975,16.515,16.92,1239604,16.92
2012-03-07,16.95,17.305,16.73,17.245,1402516,17.245
2012-03-08,17.37,17.635,17.225,17.525,1235240,17.525
2012-03-09,17.64,17.74,17.325,17.455,1129560,17.455
2012-03-12,17.32,17.32,16.755,16.87,1206024,16.87
2012-03-13,16.89,17.065,16.615,16.96,1351602,16.96
2012-03-14,16.94,17.125,16.585,16.69,1889440,16.69
2012-03-15,16.715,16.84,16.47,16.52,2209932,16.52
2012-03-16,16.435,16.84,16.285,16.71,3344578,16.71
2012-03-19,16.655,17.09,16.525,17.005,1149056,17.005
2012-03-20,16.865,16.865,16.45,16.58,1440900,16.58
2012-03-21,16.615,16.84,16.52,16.78,2052662,16.78
2012-03-22,16.495,16.495,15.72,15.76,1678420,15.76
2012-03-23,15.76,16.525,15.5,16.26,2993150,16.26
2012-03-26,16.45,16.48,15.975,16.325,1379060,16.325
