DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,61.81,61.87,59.96,60.04,846637,60.04
2012-01-04,59.97,61.98,59.8,61.59,676506,61.59
2012-01-05,61.14,62.01,60.47,61.86,638189,61.86
2012-01-06,62,62.94,61.22,62.64,730341,62.64
2012-01-09,62.94,63.64,62.09,62.86,732284,62.86
2012-01-10,62.23,62.75,61.57,62.32,1254038,62.32
2012-01-11,61.83,61.99,60.69,61,1060553,61
2012-01-12,60.74,61.39,59.74,61.35,1689411,61.35
2012-01-13,60.99,62.1,60.96,62.02,974157,62.02
2012-01-17,62.52,62.92,61.96,62.67,722764,62.67
2012-01-18,62.58,64.6,62.55,64.55,705359,64.55
2012-01-19,64.64,65.49,64.6,65,734510,65
2012-01-20,65.19,65.44,64.36,64.84,742496,64.84
2012-01-23,64.67,64.91,63.6,64.24,836062,64.24
2012-01-24,66.2,69.23,65.86,67.97,1518420,67.97
2012-01-25,67.44,69.47,67.25,69.3,1055373,69.3
2012-01-26,69,70,68.43,68.89,1033528,68.89
2012-01-27,68.6,69.2,68.25,68.47,689826,68.47
2012-01-30,67.58,68.84,67.38,68.51,814069,68.51
2012-01-31,68.69,70.16,68.69,70.05,1111600,70.05
2012-02-01,70.47,71.5,70.2,70.6,1054007,70.6
2012-02-02,70.61,71.47,70.44,70.76,599842,70.76
2012-02-03,71.39,72.69,71.03,72.59,611625,72.59
2012-02-06,72.17,72.71,71.86,72.57,427462,72.57
2012-02-07,72.04,72.99,72.02,72.38,548845,72.38
2012-02-08,72.84,74.2,72.51,73.21,696265,73.21
2012-02-09,73.22,74.46,73.07,74.04,640886,74.04
2012-02-10,73.48,74.68,73.45,74.54,788473,74.54
2012-02-13,75,75.12,74.11,74.99,560368,74.99
2012-02-14,74.61,76.24,74.35,75.82,721776,75.82
2012-02-15,76.23,76.68,74.88,75.12,734507,75.12
2012-02-16,75.02,75.51,73.86,74.52,859151,74.52
2012-02-17,75.1,76.09,74.72,75.03,950489,75.03
2012-02-21,75.61,75.65,73.88,74.3,488218,74.3
2012-02-22,73.96,74.99,73.73,74.29,707228,74.29
2012-02-23,73.99,74.58,73.38,73.98,540479,73.98
2012-02-24,74,75.76,73.95,75.28,485993,75.28
2012-02-27,74.78,76.49,74.68,76.05,424356,76.05
2012-02-28,75.62,75.62,74.94,75.25,789886,75.25
2012-02-29,75.59,76.02,74.74,74.84,885510,74.84
2012-03-01,75.18,76.79,74.64,76.74,613300,76.74
2012-03-02,76.86,77.3,76.21,76.49,485531,76.49
2012-03-05,76.32,76.97,75.89,76.17,727144,76.17
2012-03-06,75.35,75.53,72.85,73.12,852912,73.12
2012-03-07,73.75,74.36,72.97,73.39,655741,73.39
2012-03-08,75.27,78.22,74.98,76.79,1434969,76.79
2012-03-09,77.54,77.57,76.5,77.31,834871,77.31
2012-03-12,77.51,78.24,76.91,77.26,551608,77.26
2012-03-13,77.58,78.86,77,78.68,602051,78.68
2012-03-14,78.86,79.17,78.48,78.77,621906,78.77
2012-03-15,78.51,78.51,77.17,78.19,547984,78.19
2012-03-16,78.81,78.99,77.64,77.84,1306338,77.84
2012-03-19,77.37,77.71,76.55,77.36,631163,77.36
2012-03-20,77.11,78.36,77,78.24,460931,78.24
2012-03-21,78.69,79.24,78,78.77,435109,78.77
2012-03-22,78.38,78.75,77.61,78.37,617344,78.37
2012-03-23,78.29,78.42,75.88,77.09,753395,77.09
2012-03-26,77.71,79.41,77.71,79.03,588514,79.03
2012-03-27,79.39,79.64,78.45,78.73,470335,78.73
2012-03-28,78.59,78.62,76.62,77.34,515997,77.34
2012-03-29,76.84,77.43,75.81,77.26,489829,77.26
2012-03-30,77.76,78.08,76.72,77.28,941594,77.28
2012-04-02,77.62,79,77.62,78.46,543588,78.46
2012-04-03,78.03,78.28,75.32,75.48,1626391,75.48
2012-04-04,75.37,76.24,74.19,74.72,1100630,74.72
2012-04-05,74.28,76.06,74.28,75.54,621053,75.54
2012-04-09,74.14,75.66,74.13,75.25,567489,75.25
2012-04-10,75.25,75.25,72.79,72.9,611703,72.9
2012-04-11,73.74,74.4,73.32,73.65,450420,73.65
2012-04-12,74,74.94,73.69,74.85,509919,74.85
2012-04-13,74.71,75.28,73.59,74.24,619662,74.24
2012-04-16,74.52,75.13,73.22,73.84,490982,73.84
2012-04-17,74.28,75.56,73.84,75.12,502333,75.12
2012-04-18,74.78,75.62,74.37,75.33,438649,75.33
2012-04-19,76.06,76.18,74.25,74.83,619959,74.83
2012-04-20,75.12,76.44,74.9,75.67,789014,75.67
2012-04-23,74.65,75.42,74.08,75.12,943776,75.12
2012-04-24,72.75,73.25,69.54,71.87,1889370,71.87
2012-04-25,72.85,73.43,71.34,72.1,904583,72.1
2012-04-26,72.27,73.65,71.8,73.27,599244,73.27
2012-04-27,73.57,74.91,72.55,73.91,624276,73.91
2012-04-30,73.79,73.81,72.81,73.16,620320,73.16
2012-05-01,73.08,74.9,72.78,73.57,571723,73.57
