DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,56.41,56.9,56.15,56.15,256763,56.15
2012-01-04,55.93,56.52,55.32,56.45,348473,56.45
2012-01-05,56.1,56.45,55.54,56.42,271927,56.42
2012-01-06,56.36,56.99,56.04,56.55,228570,56.55
2012-01-09,56.53,57.1,56.32,57,121773,57
2012-01-10,57.45,57.6,57.12,57.2,347842,57.2
2012-01-11,57.2,57.26,56.69,57.2,170030,57.2
2012-01-12,57.2,57.71,57.14,57.5,186083,57.5
2012-01-13,57.02,57.3,56.81,57.15,192596,57.15
2012-01-17,57.74,57.96,56.66,56.8,487914,56.8
2012-01-18,56.75,57.05,56.44,56.84,599947,56.84
2012-01-19,59.48,61.46,58.88,59.96,775588,59.96
2012-01-20,60.1,60.68,59.46,59.87,436534,59.87
2012-01-23,59.7,59.84,58.75,59.18,264158,59.18
2012-01-24,58.71,59.48,58.67,59.26,236616,59.26
2012-01-25,58.76,59.99,58.75,59.65,470872,59.65
2012-01-26,59.85,59.85,58.39,58.62,253465,58.62
2012-01-27,58.5,58.75,58.02,58.23,254096,58.23
2012-01-30,57.84,58.22,57.73,57.95,224348,57.95
2012-01-31,58.33,58.49,57.63,57.89,443591,57.89
2012-02-01,58.53,59.72,58.48,59.12,252445,59.12
2012-02-02,59.11,59.11,58.4,58.77,195970,58.77
2012-02-03,59.24,59.36,58.23,59.33,247651,59.33
2012-02-06,58.77,58.93,58.57,58.63,141120,58.63
2012-02-07,58.43,59.22,58.15,59,201533,59
2012-02-08,58.82,59.36,58.66,59.1,194341,59.1
2012-02-09,59.5,59.5,58.89,58.99,163083,58.99
2012-02-10,58.61,59.23,58.61,59.03,204493,59.03
2012-02-13,59.34,59.9,58.87,59.9,175603,59.9
2012-02-14,59.6,60.1,58.95,59.61,250712,59.61
2012-02-15,59.63,59.64,58.3,58.48,161124,58.48
2012-02-16,58.33,58.85,58.19,58.77,149237,58.77
2012-02-17,59.11,59.53,58.66,59.45,336546,59.45
2012-02-21,59.66,59.68,58.95,59.12,192575,59.12
2012-02-22,59.22,59.39,58.66,59.22,215410,59.22
2012-02-23,59.09,59.51,58.99,59.4,161371,59.4
2012-02-24,59.39,60.52,59.22,59.88,298179,59.88
2012-02-27,59.41,59.95,58.97,59.54,323109,59.54
2012-02-28,59.61,59.62,58.7,59.01,225171,59.01
2012-02-29,59.01,59.63,59.01,59.29,267973,59.29
2012-03-01,59.36,59.66,58.98,59.62,219924,59.62
2012-03-02,59.53,59.65,58.68,58.78,223779,58.78
2012-03-05,58.69,58.85,58.18,58.58,215415,58.58
2012-03-06,58.08,58.25,57.32,57.41,210759,57.41
2012-03-07,57.36,58.1,57.17,58.01,308783,58.01
2012-03-08,58.44,59.02,58.22,58.64,202899,58.64
2012-03-09,58.72,59.24,58.4,58.85,213040,58.85
2012-03-12,58.78,59.26,58.77,58.88,159945,58.88
2012-03-13,59.16,59.16,58.29,58.74,394849,58.74
2012-03-14,58.53,59.17,58.49,58.79,314859,58.79
2012-03-15,58.75,58.95,58.53,58.9,214938,58.9
2012-03-16,58.89,59.08,58.36,58.74,775584,58.74
2012-03-19,58.55,59.07,58.55,58.62,211029,58.62
2012-03-20,58.17,58.37,57.5,57.66,239161,57.66
2012-03-21,57.82,58.07,57.27,57.71,208800,57.71
2012-03-22,57.23,57.49,56.51,57.29,270739,57.29
2012-03-23,57.38,57.64,56.97,57.55,248993,57.55
2012-03-26,58.01,58.84,57.91,58.74,264713,58.74
2012-03-27,58.74,58.9,58.54,58.6,305478,58.6
2012-03-28,58.5,58.56,57.44,57.87,225523,57.87
2012-03-29,57.34,57.67,57.04,57.58,193107,57.58
2012-03-30,57.79,57.94,57.48,57.56,336147,57.56
2012-04-02,57.56,58.4,57.13,58.31,323129,58.31
2012-04-03,58.3,58.43,57.42,58,316487,58
2012-04-04,57.43,57.54,56.92,56.94,473210,56.94
2012-04-05,56.6,56.98,55.96,56.19,363471,56.19
2012-04-09,55.41,56,55.2,55.64,544867,55.64
2012-04-10,55.4,55.57,54.93,55.06,825416,55.06
2012-04-11,55.79,56.33,55.66,56.07,291074,56.07
2012-04-12,56.09,57.33,55.99,57.21,371332,57.21
2012-04-13,57.22,57.26,56.82,57,433150,57
