DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,84.17,85.08,84.16,84.6,775774,84.6
2012-01-04,84.67,84.94,84.01,84.07,716087,84.07
2012-01-05,83.64,83.64,82.11,83.26,1044922,83.26
2012-01-06,83.17,83.17,81.12,81.13,1028760,81.13
2012-01-09,80.35,81,78.82,78.98,1706124,78.98
2012-01-10,79.33,79.68,79.14,79.15,1085334,79.15
2012-01-11,79.25,80.15,78.99,79.99,829240,79.99
2012-01-12,80.19,80.47,79.78,79.95,798495,79.95
2012-01-13,79.76,80.79,79.3,80.61,1135897,80.61
2012-01-17,81.41,81.75,80.62,81.42,994358,81.42
2012-01-18,81.29,81.76,80.61,81.76,1015321,81.76
2012-01-19,81.68,81.75,81.12,81.21,745944,81.21
2012-01-20,81.3,81.68,80.89,81.41,1209784,81.41
2012-01-23,81.3,81.99,81.22,81.64,570026,81.64
2012-01-24,81.26,81.88,81.17,81.73,604850,81.73
2012-01-25,81.36,82.8,81.23,82.72,939624,82.72
2012-01-26,82.83,83.07,81.81,82.04,678399,82.04
2012-01-27,82.13,82.4,81.39,81.63,590869,81.63
2012-01-30,81.2,81.67,81,81.44,540855,81.44
2012-01-31,81.77,82.29,81.12,82.27,718815,82.27
2012-02-01,82.9,83.94,82.83,83.22,823770,83.22
2012-02-02,83.76,85.89,83.76,85.51,1301001,85.51
2012-02-03,86.01,86.12,84.97,85.36,853854,85.36
2012-02-06,84.67,85.19,84.65,85.04,451530,85.04
2012-02-07,84.66,85,84.39,84.56,476946,84.56
2012-02-08,84.45,84.58,83.86,84.28,504562,84.28
2012-02-09,84.27,84.6,84.07,84.53,330221,84.53
2012-02-10,84.12,84.31,83.68,84.2,588514,84.2
2012-02-13,84.55,84.6,83.24,83.87,508490,83.87
2012-02-14,83.47,84.1,83.3,84.1,377709,84.1
2012-02-15,84.48,84.52,83.04,83.24,547712,83.24
2012-02-16,83.51,84.05,83.51,84.05,449145,84.05
2012-02-17,83.94,84.505,83.8,84.47,869782,84.47
2012-02-21,84.6,84.67,83.65,84.26,650418,84.26
2012-02-22,84.35,84.73,83.73,84.31,604838,84.31
2012-02-23,84.31,84.96,83.81,84.77,553382,84.77
2012-02-24,84.99,84.99,84.06,84.4,454624,84.4
2012-02-27,84.17,85.24,84.01,85.09,716463,85.09
2012-02-28,85.03,85.84,84.58,85.27,1075385,85.27
2012-02-29,86.19,87.2,85.73,86.06,1656256,86.06
2012-03-01,86.54,86.77,85.71,86.16,776267,86.16
2012-03-02,85.71,86.3,85.71,86.23,702824,86.23
2012-03-05,86,87.66,85.84,87.63,985041,87.63
2012-03-06,87,87.94,86.95,87.55,1093633,87.55
2012-03-07,87.57,87.93,87.22,87.89,637209,87.89
2012-03-08,88.01,88.5,87.9,88.3,773497,88.3
2012-03-09,88.47,89.51,88.4,89.34,690272,89.34
2012-03-12,89.28,89.71,89.06,89.43,480861,89.43
2012-03-13,89.78,90,89.29,89.98,646092,89.98
2012-03-14,89.72,90.96,89.55,90.9,966942,90.9
2012-03-15,90.82,91.59,90.27,91.46,780716,91.46
2012-03-16,91.26,91.5,90.27,90.44,2070254,90.44
2012-03-19,90.75,90.76,89.59,90.02,557646,90.02
2012-03-20,89.9,90.48,89.58,90.26,514514,90.26
2012-03-21,90.36,90.95,90.22,90.64,708094,90.64
2012-03-22,90.25,91.08,90.06,90.47,590633,90.47
2012-03-23,90.49,90.6,89.83,90.27,619343,90.27
2012-03-26,90.63,91.53,90.38,91.52,686102,91.52
2012-03-27,91.53,91.78,90.97,91.28,492920,91.28
2012-03-28,91.24,91.47,90.13,90.62,719284,90.62
2012-03-29,90.16,90.65,89.34,89.84,903088,89.84
2012-03-30,90.04,91.15,90.02,90.8,1078803,90.8
2012-04-02,90.94,92.1,90.83,91.84,1079798,91.84
2012-04-03,91.45,91.76,90.01,90.39,1052020,90.39
2012-04-04,90.14,90.49,88.97,89.04,1036874,89.04
2012-04-05,87.41,88.87,87.4,88.65,967119,88.65
2012-04-09,87.68,88.14,87.05,87.88,646475,87.88
2012-04-10,87.54,87.59,86.38,86.89,1022182,86.89
2012-04-11,87.5,87.59,87.06,87.23,740695,87.23
2012-04-12,87.51,87.55,86.95,87.16,891611,87.16
2012-04-13,87.1,87.1,86.04,86.32,794787,86.32
2012-04-16,86.66,87.1,86.31,86.88,830909,86.88
2012-04-17,87.17,87.86,87.14,87.67,571322,87.67
2012-04-18,87.3,88.48,87.19,88.07,532504,88.07
2012-04-19,87.94,87.94,86.7,87.09,507692,87.09
2012-04-20,87.5,88.07,87.26,87.58,882781,87.58
2012-04-23,87.22,87.28,86.39,86.62,605703,86.62
2012-04-24,86.81,87.18,86.22,86.43,590654,86.43
2012-04-25,86.77,87.45,86.52,87.28,732059,87.28
2012-04-26,87.26,88.45,87.01,88.08,890108,88.08
2012-04-27,88.39,89.21,88.15,88.69,549499,88.69
2012-04-30,88.7,88.97,88.14,88.17,753439,88.17
2012-05-01,87,88,86.38,86.97,998803,86.97
2012-05-02,86.89,86.91,86.24,86.64,766525,86.64
2012-05-03,85.86,85.94,83.94,84.24,1561362,84.24
2012-05-04,84.21,84.43,83.39,83.39,912592,83.39
2012-05-07,83.38,83.74,83.01,83.13,640219,83.13
2012-05-08,83.02,83.31,81.98,82.64,937912,82.64
2012-05-09,82.22,83.1,82.1,82.62,950554,82.62
2012-05-10,83.4,84.36,83.11,83.88,931613,83.88
2012-05-11,83.84,85.04,83.71,84.6,965967,84.6
2012-05-14,84.26,84.71,83.77,84.3,573287,84.3
2012-05-15,84.1,85.14,84.09,84.58,694933,84.58
2012-05-16,84.88,85.26,84.57,84.91,767826,84.91
2012-05-17,84.86,85.21,83.47,83.47,740217,83.47
2012-05-18,83.7,84.19,82.67,82.91,1470601,82.91
2012-05-21,83.19,83.87,82.79,83.73,458598,83.73
2012-05-22,83.47,84.25,83.01,83.38,807529,83.38
