DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,33.5,33.69,32.93,32.98,529062,32.98
2012-01-04,32.98,33.17,32.66,32.73,544907,32.73
2012-01-05,32.69,32.72,31.8,31.81,1174313,31.81
2012-01-06,31.75,31.83,31.22,31.45,1187100,31.45
2012-01-09,31.56,31.9,31.51,31.83,532849,31.83
2012-01-10,31.97,32.43,31.92,32.4,753221,32.4
2012-01-11,32.4,32.42,31.98,32.27,642829,32.27
2012-01-12,32.42,32.6,32.3,32.58,461914,32.58
2012-01-13,32.16,32.58,32.15,32.48,560208,32.48
2012-01-17,32.31,32.48,31.97,32.05,993916,32.05
2012-01-18,32,32.14,31.92,32.01,1000815,32.01
2012-01-19,31.9,32.39,31.85,32.26,492648,32.26
2012-01-20,31.6,31.75,31.34,31.75,1041386,31.75
2012-01-23,31.74,31.93,31.4,31.72,667440,31.72
2012-01-24,31.6,31.72,31.5,31.61,409893,31.61
2012-01-25,31.51,31.73,31.34,31.72,525091,31.72
2012-01-26,31.76,32.14,31.58,31.67,495267,31.67
2012-01-27,31.68,31.68,31.34,31.44,440181,31.44
2012-01-30,31.32,31.58,31.25,31.57,482323,31.57
2012-01-31,31.59,31.78,31.48,31.7,581979,31.7
2012-02-01,31.82,31.9,31.65,31.71,493200,31.71
2012-02-02,31.68,31.9,31.61,31.84,470133,31.84
2012-02-03,32.04,32.19,31.84,31.9,521832,31.9
2012-02-06,31.96,32.27,31.82,31.85,455631,31.85
2012-02-07,31.83,31.96,31.69,31.87,417601,31.87
2012-02-08,31.89,32.04,31.72,31.87,411368,31.87
2012-02-09,31.87,32.09,31.75,32.07,376500,32.07
2012-02-10,31.9,31.93,31.5,31.67,462336,31.67
2012-02-13,31.65,31.78,31.51,31.63,398268,31.63
2012-02-14,31.44,31.81,31.44,31.81,345537,31.81
2012-02-15,31.99,31.99,31.73,31.84,371216,31.84
2012-02-16,31.85,32.25,31.8,32.06,785560,32.06
2012-02-17,32.95,33.94,32.82,32.9,1612347,32.9
2012-02-21,32.87,33.18,32.77,33.05,670736,33.05
2012-02-22,32.99,33.14,32.94,33.11,865577,33.11
2012-02-23,32.98,33.62,32.95,33.54,743223,33.54
2012-02-24,33.64,34,33.62,33.71,791952,33.71
2012-02-27,33.55,33.75,33.42,33.52,577548,33.52
2012-02-28,33.5,33.57,33.08,33.15,804934,33.15
2012-02-29,33.02,33.63,33.02,33.32,881915,33.32
2012-03-01,33.31,33.37,32.94,33.16,680779,33.16
2012-03-02,33.24,33.29,33.11,33.19,288611,33.19
2012-03-05,33.2,33.2,32.93,33.04,463864,33.04
