DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,26.16,26.4925,25.225,25.3,2028768,25.3
2012-01-04,24.825,24.8325,24.0725,24.37,2709452,24.37
2012-01-05,24.28,24.9775,23.8,24.6925,1596000,24.6925
2012-01-06,24.75,25.31,24.2225,25.265,3771412,25.265
2012-01-09,25.195,25.4475,24.8825,25.1875,2535388,25.1875
2012-01-10,25.61,26.2025,25.4275,26.1975,3116380,26.1975
2012-01-11,26.335,26.905,26.2625,26.455,2532684,26.455
2012-01-12,26.3925,26.5925,26.1325,26.42,1467868,26.42
2012-01-13,26.15,26.215,25.6775,25.975,1327928,25.975
2012-01-17,26.25,26.4975,25.7375,25.86,1262368,25.86
2012-01-18,25.78,27.065,25.57,26.925,2819416,26.925
2012-01-19,27.955,28.97,27.9225,28.6275,3277772,28.6275
2012-01-20,28.325,28.8225,28.15,28.5475,1831556,28.5475
2012-01-23,28.585,29.275,28.285,28.6875,1381884,28.6875
2012-01-24,28.75,29.4575,28.6875,29.3825,1476892,29.3825
2012-01-25,29.265,29.575,28.965,29.535,1106748,29.535
2012-01-26,29.825,29.9875,28.89,29.055,1004704,29.055
2012-01-27,28.765,29.4925,28.7325,29.15,958240,29.15
2012-01-30,28.84,29.325,28.6425,28.8925,1376004,28.8925
2012-01-31,29.2575,29.33,28.6625,29.2,857836,29.2
2012-02-01,29.315,29.995,28.925,29.83,1390636,29.83
2012-02-02,29.915,30.1075,29.265,29.57,1155904,29.57
2012-02-03,29.995,31.1975,29.9675,31.025,1555840,31.025
2012-02-06,30.6625,31.1625,30.6625,30.8075,1406100,30.8075
2012-02-07,30.75,30.9175,30.49,30.7,913264,30.7
2012-02-08,30.8225,30.985,30.235,30.95,1014352,30.95
2012-02-09,30.8825,31.925,30.8275,31.4025,1427420,31.4025
2012-02-10,31.875,32.5,31.73,32.11,2003344,32.11
2012-02-13,32.4175,33.3225,32.3675,33.0575,2784156,33.0575
2012-02-14,33.075,33.675,32.48,32.9,1312844,32.9
2012-02-15,33.02,33.375,32.4975,32.655,1585664,32.655
2012-02-16,32.75,33,32.22,32.9375,1671052,32.9375
2012-02-17,33.1725,33.1975,32.285,32.2925,2092344,32.2925
2012-02-21,32.7375,32.7375,31.705,31.9025,2411316,31.9025
2012-02-22,32.2825,32.4425,31.9375,32.0175,1478068,32.0175
2012-02-23,32,32.9975,31.7725,32.9425,1981844,32.9425
2012-02-24,36.095,36.5,34.9375,35.91,6250508,35.91
2012-02-27,35.305,36.0675,35.0075,35.8375,2273332,35.8375
2012-02-28,35.25,35.875,35.25,35.865,2054232,35.865
2012-02-29,35.7575,36.25,35.5425,35.79,1885088,35.79
2012-03-01,35.93,36.3925,35.5125,36.245,1561640,36.245
2012-03-02,36.1075,36.5,35.8825,35.9475,1452700,35.9475
2012-03-05,35.7575,35.8325,35.0625,35.52,1389692,35.52
2012-03-06,34.9275,35.3375,34.6125,35.1725,1369692,35.1725
2012-03-07,35.325,36,35.305,35.865,1047868,35.865
2012-03-08,36.08,36.875,35.98,36.52,1505688,36.52
2012-03-09,36.5,37,36.4925,36.8575,1015104,36.8575
2012-03-12,36.775,37,36.3925,36.7925,867508,36.7925
2012-03-13,37,38.2175,37,38.065,1586476,38.065
2012-03-14,38,38.085,37.405,37.9025,979016,37.9025
2012-03-15,38,38.5925,37.7525,38.1075,1097392,38.1075
2012-03-16,38.2775,38.465,37.565,37.8475,2148048,37.8475
2012-03-19,37.6075,37.845,37.1875,37.485,1275856,37.485
2012-03-20,37.3375,37.825,36.845,37.7475,993752,37.7475
2012-03-21,37.9375,39,37.9125,38.5925,1421156,38.5925
2012-03-22,38.2075,38.47,37.95,38.21,885868,38.21
2012-03-23,38.165,38.65,38.095,38.475,821984,38.475
2012-03-26,38.7325,39.385,38.5375,39.335,918440,39.335
2012-03-27,39.13,39.2925,38.35,38.375,1134996,38.375
2012-03-28,38.6525,38.9225,37.9175,38.515,1029156,38.515
2012-03-29,38.23,39.3525,38.0575,39.1025,1003224,39.1025
2012-03-30,39.135,39.23,38.225,38.6275,1082644,38.6275
2012-04-02,38.19,39.6075,38.14,39.295,1280220,39.295
2012-04-03,39.2125,39.75,39.15,39.58,1123708,39.58
2012-04-04,39.1425,39.19,38.24,38.92,1050524,38.92
2012-04-05,38.8575,39.4025,38.61,39.26,865052,39.26
2012-04-09,38.29,39.475,38.2775,39.38,1239484,39.38
2012-04-10,39.435,39.75,38.245,38.4325,1812608,38.4325
2012-04-11,38.375,39.6425,38.165,39.52,1812224,39.52
2012-04-12,39.505,39.67,39.11,39.575,839196,39.575
2012-04-13,39.4675,40.4725,39.3475,39.8425,1534500,39.8425
2012-04-16,40.2475,40.375,38.5775,38.7325,1326220,38.7325
2012-04-17,38.8375,39.1975,38.4975,39.0425,1195992,39.0425
2012-04-18,38.73,39.8775,38.72,39.66,993288,39.66
2012-04-19,39.81,41.1875,39.4725,39.8925,1432368,39.8925
2012-04-20,39.995,40.25,39.21,39.225,1501988,39.225
2012-04-23,38.625,38.955,37.6675,38.75,1698156,38.75
2012-04-24,38.6425,38.6575,36.885,37.495,1452664,37.495
2012-04-25,37.5,37.995,36.945,37.675,2054860,37.675
2012-04-26,37.8325,39.085,37.79,39.05,1382648,39.05
2012-04-27,39.1175,39.715,38.685,39.165,1112240,39.165
2012-04-30,39.09,39.255,38.71,38.9325,675904,38.9325
2012-05-01,39.0125,39.8175,38.7575,39.22,792668,39.22
2012-05-02,39.03,39.8725,38.8825,39.735,898308,39.735
