DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,24.25,24.75,24.02,24.52,622458,24.52
2012-01-04,24.47,24.51,24.02,24.49,570131,24.49
2012-01-05,24.42,24.87,24.16,24.31,842274,24.31
2012-01-06,24.31,24.46,23.49,23.53,691497,23.53
2012-01-09,23.69,23.82,23.27,23.37,594803,23.37
2012-01-10,23.85,24.51,23.68,24.41,723599,24.41
2012-01-11,24.39,24.66,24.2,24.58,405056,24.58
2012-01-12,24.64,24.93,24.19,24.88,556228,24.88
2012-01-13,24.65,24.68,24.09,24.15,452977,24.15
2012-01-17,24.41,24.95,24.41,24.69,393556,24.69
2012-01-18,24.78,25.57,24.57,25.52,350924,25.52
2012-01-19,25.51,26.28,25.51,26.09,408071,26.09
2012-01-20,26.07,26.26,25.88,26.1,435557,26.1
2012-01-23,26.15,26.55,25.96,26.29,306434,26.29
2012-01-24,26.15,26.27,25.75,26.09,478931,26.09
2012-01-25,26.14,26.41,25.74,26.32,338911,26.32
2012-01-26,26.41,26.64,25.88,26.03,325342,26.03
2012-01-27,25.94,26.27,25.85,26.18,271573,26.18
2012-01-30,25.96,26.12,25.63,25.93,389846,25.93
2012-01-31,26.03,26.08,25.42,25.83,577395,25.83
2012-02-01,26.11,27.44,25.77,27.19,582260,27.19
2012-02-02,27.29,27.54,27.1,27.26,343998,27.26
2012-02-03,27.71,28.13,27.61,28.07,314440,28.07
2012-02-06,27.61,27.66,27.13,27.45,688059,27.45
2012-02-07,27.13,27.23,26.39,26.48,884426,26.48
2012-02-08,28.83,33.5,28.83,31.39,2274262,31.39
2012-02-09,31.65,33.41,31.35,32.94,1209281,32.94
2012-02-10,32.55,32.73,32.18,32.47,629917,32.47
2012-02-13,32.8,32.87,31.89,32.37,486528,32.37
2012-02-14,32.37,32.76,32.13,32.6,659464,32.6
2012-02-15,32.86,33.79,32.25,32.97,788457,32.97
2012-02-16,33.06,33.48,32.42,33.26,412779,33.26
2012-02-17,33.49,33.49,33.02,33.08,667836,33.08
2012-02-21,33.08,33.35,31.75,31.97,755165,31.97
2012-02-22,31.99,32.27,31.78,31.89,487717,31.89
2012-02-23,31.96,32.31,31.8,32.28,539094,32.28
2012-02-24,32.29,32.41,31.93,32.09,311511,32.09
2012-02-27,32.06,32.62,31.65,32.35,429084,32.35
2012-02-28,32.39,32.54,32.02,32.23,312962,32.23
2012-02-29,32.39,32.55,31.74,31.76,611831,31.76
2012-03-01,32.03,32.11,31.67,31.85,310765,31.85
2012-03-02,31.88,32.2,31.32,31.32,377022,31.32
2012-03-05,32.38,32.78,31.66,31.93,560614,31.93
2012-03-06,31.47,31.59,30.87,31.01,434865,31.01
2012-03-07,31.18,31.2,30.87,30.93,372169,30.93
2012-03-08,31.31,31.42,31.07,31.29,329535,31.29
2012-03-09,31.42,31.72,31.22,31.47,280747,31.47
2012-03-12,31.47,31.9,31.07,31.15,360225,31.15
2012-03-13,31.45,31.58,31.21,31.45,462408,31.45
2012-03-14,31.51,31.55,30.98,31.07,388614,31.07
2012-03-15,31.07,32.13,30.9,32.1,373576,32.1
2012-03-16,32.18,32.34,31.44,31.6,793907,31.6
2012-03-19,31.32,31.95,31.14,31.51,452775,31.51
2012-03-20,31.14,31.19,30.4,30.47,433866,30.47
2012-03-21,30.43,31.02,30.34,30.86,438244,30.86
2012-03-22,30.47,30.54,30.23,30.41,332434,30.41
2012-03-23,30.41,30.76,30.22,30.69,506777,30.69
2012-03-26,31.05,31.24,30.82,31.08,350355,31.08
2012-03-27,31.16,31.43,30.82,31.11,271556,31.11
2012-03-28,31.13,31.13,30.31,30.52,214545,30.52
2012-03-29,30.21,30.36,29.68,30.28,301853,30.28
2012-03-30,30.56,30.65,29.83,29.94,583624,29.94
2012-04-02,29.85,30.23,29.49,30.13,325734,30.13
2012-04-03,30.06,30.28,29.48,29.67,365013,29.67
2012-04-04,29.37,29.49,28.85,29,457944,29
2012-04-05,28.93,29.41,28.61,29.35,492352,29.35
2012-04-09,28.71,28.72,28.43,28.62,310033,28.62
2012-04-10,28.47,28.6,28.1,28.18,367109,28.18
2012-04-11,26.37,27.9,25.67,27.39,1178715,27.39
2012-04-12,27.4,27.74,27.15,27.69,609544,27.69
2012-04-13,27.38,27.46,26.76,27.02,466105,27.02
2012-04-16,27.43,27.98,27.2,27.36,658178,27.36
2012-04-17,27.46,27.8,27.38,27.69,310658,27.69
2012-04-18,27.43,27.92,27.43,27.85,513085,27.85
2012-04-19,27.94,28.12,27.44,27.56,334083,27.56
2012-04-20,27.69,27.72,27.2,27.26,571020,27.26
2012-04-23,26.91,26.97,26.49,26.8,339651,26.8
2012-04-24,26.86,27.11,26.57,27.11,343985,27.11
2012-04-25,27.53,27.84,27.42,27.77,373335,27.77
2012-04-26,27.64,28.11,27.64,28,313630,28
2012-04-27,28.15,28.48,27.99,28.48,460838,28.48
2012-04-30,28.37,28.37,27.88,28.06,509762,28.06
2012-05-01,28.01,28.49,27.94,28.38,253432,28.38
2012-05-02,28.14,28.5,28.04,28.2,332052,28.2
2012-05-03,28.21,28.21,27.82,28,382152,28
2012-05-04,27.65,27.66,27.2,27.21,393087,27.21
2012-05-07,27.04,27.46,26.88,27.25,308812,27.25
2012-05-08,26.75,27.01,26.62,27,417240,27
2012-05-09,26.6,27.32,26.39,27.18,403235,27.18
2012-05-10,27.52,27.54,26.85,27,315142,27
2012-05-11,26.85,27.31,26.75,27.11,275245,27.11
2012-05-14,26.77,26.85,26.36,26.59,325313,26.59
2012-05-15,26.6,26.71,26.31,26.37,418928,26.37
2012-05-16,26.68,27.07,26.39,26.42,510643,26.42
2012-05-17,26.35,26.43,25.68,25.77,864192,25.77
2012-05-18,25.67,26.17,25.54,25.75,843993,25.75
2012-05-21,25.76,26.59,25.53,26.55,382744,26.55
2012-05-22,26.45,26.9,26.25,26.39,392823,26.39
2012-05-23,26.18,26.71,26,26.67,297085,26.67
2012-05-24,26.75,26.75,26.24,26.45,339463,26.45
2012-05-25,26.38,26.99,26.35,26.62,314692,26.62
2012-05-29,26.92,27.36,26.92,27.3,425781,27.3
2012-05-30,27.04,27.18,26.68,26.91,399733,26.91
2012-05-31,26.91,26.95,26.24,26.64,452485,26.64
2012-06-01,26.14,26.22,25.8,25.8,372721,25.8
2012-06-04,25.8,25.89,25.15,25.5,516413,25.5
2012-06-05,25.45,26.32,25.37,26,376601,26
2012-06-06,26.25,26.42,26.17,26.36,470702,26.36
2012-06-07,26.8,26.96,26.13,26.13,362604,26.13
2012-06-08,26.14,26.15,25.77,26.15,314483,26.15
2012-06-11,26.42,26.42,25.02,25.05,402027,25.05
2012-06-12,24.85,24.92,24.43,24.79,445758,24.79
2012-06-13,24.77,24.77,24.12,24.2,371147,24.2
2012-06-14,24.2,24.49,24.09,24.31,413399,24.31
2012-06-15,24.32,24.71,24.29,24.71,540579,24.71
2012-06-18,24.6,24.79,24.24,24.62,276320,24.62
2012-06-19,24.81,24.81,24.38,24.68,341089,24.68
2012-06-20,24.73,24.87,24.5,24.71,299053,24.71
2012-06-21,24.69,24.86,23.84,23.85,366033,23.85
2012-06-22,24,24,23.75,23.9,327573,23.9
2012-06-25,23.63,23.63,23.17,23.33,379772,23.33
2012-06-26,23.4,23.45,23.1,23.29,329530,23.29
2012-06-27,23.38,23.66,23.26,23.66,398202,23.66
2012-06-28,23.48,23.8,23.39,23.76,408187,23.76
