DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,18.54,18.855,18.48,18.66,10353168,18.66
2012-01-04,18.44,19,18.36,18.99,11592609,18.99
2012-01-05,18.96,19,18.67,18.92,10148315,18.92
2012-01-06,18.91,19,18.83,18.87,6013042,18.87
2012-01-09,18.87,19.1,18.795,18.97,8842797,18.97
2012-01-10,19.08,19.24,18.775,18.83,12629431,18.83
2012-01-11,18.9,19.14,18.875,19.07,7219905,19.07
2012-01-12,19.13,19.195,18.96,19.15,6231214,19.15
2012-01-13,19.01,19.17,18.88,19.06,8567247,19.06
2012-01-17,19.2,19.315,19.11,19.31,9304086,19.31
2012-01-18,19.35,19.63,19.33,19.54,15707534,19.54
2012-01-19,19.65,19.945,19.6,19.79,10853740,19.79
2012-01-20,19.77,19.93,19.67,19.92,14070325,19.92
2012-01-23,19.85,20.06,19.56,19.83,12284646,19.83
2012-01-24,19.71,19.86,19.56,19.82,7388751,19.82
2012-01-25,19.72,19.87,19.48,19.83,9790935,19.83
2012-01-26,19.98,19.99,19.72,19.83,10176412,19.83
2012-01-27,19.51,19.68,19.36,19.56,12573730,19.56
2012-01-30,19.39,19.62,19.27,19.55,8252874,19.55
2012-01-31,19.69,19.73,19.44,19.63,12531303,19.63
2012-02-01,19.84,19.95,19.7,19.8,13642519,19.8
2012-02-02,19.81,19.98,19.8,19.8,9015019,19.8
2012-02-03,19.96,20.195,19.91,20.09,11002204,20.09
2012-02-06,20.04,20.2,19.92,20.19,8018739,20.19
2012-02-07,20.08,20.33,20,20.2,14149283,20.2
2012-02-08,20.22,20.45,20.09,20.43,25104995,20.43
2012-02-09,20.25,20.49,19.87,20,32596407,20
2012-02-10,19.76,20.055,19.73,19.9,16580402,19.9
2012-02-13,19.99,20.06,19.9,20.03,11157738,20.03
2012-02-14,19.9,20.07,19.83,20.07,7485122,20.07
2012-02-15,20.09,20.21,19.86,19.91,10800468,19.91
2012-02-16,19.97,20.27,19.91,20.19,9331497,20.19
2012-02-17,20.19,20.35,20.005,20.29,19318140,20.29
2012-02-21,20.31,20.485,20.175,20.36,11039724,20.36
2012-02-22,20.43,20.46,20.05,20.12,10417856,20.12
2012-02-23,20.08,20.25,19.92,20.23,8258731,20.23
2012-02-24,20.27,20.33,20.11,20.14,6618505,20.14
2012-02-27,19.99,20.255,19.98,20.17,8845531,20.17
2012-02-28,20.12,20.22,20.03,20.2,7377071,20.2
2012-02-29,20.19,20.2,19.84,19.88,12731953,19.88
2012-03-01,19.91,19.955,19.74,19.88,11029057,19.88
2012-03-02,19.84,19.89,19.72,19.76,5717050,19.76
2012-03-05,19.73,19.75,19.465,19.6,7434613,19.6
2012-03-06,19.43,19.53,19.33,19.48,9446636,19.48
2012-03-07,19.49,19.53,19.4,19.41,8533140,19.41
2012-03-08,19.57,19.78,19.535,19.68,8247558,19.68
2012-03-09,19.73,19.88,19.685,19.8,5420211,19.8
2012-03-12,19.78,19.87,19.67,19.83,5589194,19.83
2012-03-13,19.9,20.22,19.89,20.22,7418598,20.22
2012-03-14,20.15,20.38,20.06,20.19,8888622,20.19
2012-03-15,20.04,20.2,19.8,19.91,11544169,19.91
2012-03-16,20.01,20.05,19.905,20.03,25523518,20.03
2012-03-19,19.94,20.275,19.94,20.14,7194979,20.14
2012-03-20,20.04,20.64,20.01,20.57,15724646,20.57
2012-03-21,20.55,20.65,20.355,20.5,9161325,20.5
2012-03-22,20.34,20.57,20.27,20.37,8855133,20.37
2012-03-23,20.35,20.59,20.26,20.51,7120575,20.51
2012-03-26,20.66,20.86,20.65,20.84,6498367,20.84
2012-03-27,20.93,21.045,20.88,20.91,9869769,20.91
2012-03-28,20.85,21.11,20.73,21.08,9919650,21.08
2012-03-29,20.96,21.24,20.85,21.03,8659856,21.03
2012-03-30,21.15,21.19,20.98,21.15,10576058,21.15
2012-04-02,21.1,21.29,21.05,21.2,7327893,21.2
2012-04-03,21.08,21.19,20.63,20.82,15811275,20.82
2012-04-04,20.64,20.77,20.26,20.36,10251119,20.36
2012-04-05,20.18,20.37,20.07,20.22,7276383,20.22
2012-04-09,19.94,20.15,19.87,19.96,6723564,19.96
2012-04-10,19.94,20.1,19.53,19.55,10601548,19.55
2012-04-11,19.68,20.04,19.63,20,10097680,20
